# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-11-26 08:04:20
# API-Download für Covid19-Inzidenzen in LK Herzogtum Lauenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,10.81,,,,,,,,,,,,
2020-KW11,,,,,,,26.15,,15.72,,12.67,5.55,,8.57,,,,
2020-KW12,10.41,,,,32.34,54.03,8.72,,,56.56,44.33,5.55,6.64,8.57,20.0,12.03,,
2020-KW13,10.41,,10.3,10.02,32.34,64.84,43.58,55.49,23.58,8.08,12.67,16.64,19.92,8.57,10.0,24.07,6.24,
2020-KW14,,,,,32.34,32.42,8.72,63.42,78.61,40.4,63.33,61.01,6.64,42.83,29.99,60.17,62.39,
2020-KW15,,9.78,10.3,20.04,43.12,64.84,8.72,15.85,15.72,32.32,12.67,33.28,13.28,17.13,,24.07,31.2,
2020-KW16,10.41,,10.3,10.02,53.9,10.81,17.43,7.93,23.58,8.08,19.0,38.83,19.92,8.57,,,6.24,
2020-KW17,,19.56,,10.02,32.34,21.61,8.72,7.93,7.86,,6.33,11.09,6.64,17.13,39.99,12.03,31.2,
2020-KW18,,,,,,,,,,,6.33,5.55,6.64,,,,6.24,
2020-KW19,,,,,,10.81,,,,,,,,,,,6.24,
2020-KW20,,,,,,,,,,,,5.55,,8.57,,,,
2020-KW23,,,,,,10.81,,,,,,,,,,,,
2020-KW25,,,,,,,,7.93,,,,,,,,,,
2020-KW26,,,,,,,,7.93,,,,,,,,,6.24,
2020-KW27,,,,,,,,,,8.08,,,,,,,,
2020-KW29,,9.78,10.3,,,,,,,,,,,,,,,
2020-KW30,,,,,10.78,,,7.93,,,,,,,,12.03,,
2020-KW31,,9.78,,,,,17.43,,7.86,,,,,8.57,10.0,,,
2020-KW32,,9.78,20.6,20.04,,,,15.85,,16.16,,,,,,,,
2020-KW33,,,,10.02,32.34,,,,,,,,,,,,,
2020-KW34,,,,,,,,,,,6.33,,,,,,,
2020-KW35,,,20.6,10.02,10.78,,8.72,,31.45,16.16,,5.55,,,,,6.24,
2020-KW36,20.83,9.78,,,21.56,,17.43,,15.72,,,5.55,6.64,,10.0,,,
2020-KW37,,,,,,21.61,17.43,,7.86,,,,,,,,,
2020-KW38,10.41,,20.6,10.02,10.78,32.42,34.86,7.93,15.72,,25.33,,,,,,,
2020-KW39,,,,,75.45,,17.43,,,8.08,,5.55,,,10.0,,,
2020-KW40,,,,,,10.81,8.72,7.93,7.86,,,5.55,6.64,,,,6.24,
2020-KW41,,,,20.04,,10.81,,7.93,,24.24,25.33,,6.64,8.57,,,,
2020-KW42,,,10.3,10.02,21.56,32.42,8.72,39.64,15.72,8.08,12.67,16.64,6.64,,,,6.24,
2020-KW43,31.24,9.78,41.21,110.21,64.67,64.84,87.16,47.56,55.03,64.64,75.99,44.37,53.11,8.57,29.99,,12.48,
2020-KW44,10.41,78.23,82.41,130.25,86.23,75.64,87.16,126.84,55.03,105.04,69.66,49.92,33.19,25.7,10.0,,6.24,
2020-KW45,10.41,117.34,82.41,120.23,161.69,151.28,78.44,55.49,31.45,48.48,19.0,72.1,26.56,25.7,39.99,12.03,18.72,
2020-KW46,62.48,19.56,41.21,50.1,129.35,86.45,95.87,47.56,55.03,64.64,44.33,44.37,79.67,,,24.07,18.72,
2020-KW47,52.07,19.56,41.21,90.17,53.9,43.22,78.44,63.42,117.92,72.72,56.99,27.73,19.92,25.7,20.0,36.1,18.72,
2020-KW48,72.9,88.01,82.41,50.1,64.67,118.86,87.16,63.42,78.61,48.48,69.66,55.46,33.19,17.13,10.0,60.17,18.72,
2020-KW49,20.83,19.56,51.51,100.19,150.91,118.86,87.16,15.85,78.61,80.8,56.99,55.46,53.11,25.7,,24.07,106.07,
2020-KW50,,39.11,51.51,70.14,194.02,108.06,61.01,47.56,78.61,121.2,56.99,83.2,59.75,34.26,39.99,72.2,68.63,
2020-KW51,41.65,29.34,20.6,110.21,129.35,140.48,69.73,118.91,110.06,137.37,120.32,99.84,53.11,77.1,39.99,24.07,43.68,
2020-KW52,41.65,9.78,20.6,60.12,75.45,140.48,139.45,87.2,133.64,113.12,63.33,83.2,73.03,17.13,39.99,36.1,31.2,
2020-KW53,31.24,48.89,51.51,80.15,258.7,64.84,174.31,87.2,78.61,80.8,120.32,88.74,66.39,59.96,39.99,72.2,155.98,
2021-KW01,41.65,29.34,30.91,110.21,172.46,86.45,174.31,71.35,149.37,145.45,139.32,105.38,152.69,94.23,89.98,120.34,187.18,
2021-KW02,,,20.6,60.12,97.01,75.64,113.3,87.2,86.47,88.88,69.66,83.2,59.75,42.83,20.0,72.2,199.66,
2021-KW03,,19.56,51.51,60.12,107.79,129.67,95.87,79.27,78.61,113.12,101.32,66.56,112.86,59.96,49.99,84.24,249.57,
2021-KW04,41.65,29.34,41.21,50.1,64.67,108.06,87.16,95.13,86.47,72.72,88.66,77.65,33.19,25.7,49.99,36.1,99.83,
2021-KW05,52.07,39.11,41.21,50.1,140.13,172.89,122.02,79.27,70.75,96.96,113.99,77.65,132.78,77.1,59.99,60.17,137.27,
2021-KW06,31.24,29.34,,70.14,129.35,75.64,104.59,39.64,55.03,56.56,94.99,72.1,53.11,59.96,39.99,48.13,174.7,
2021-KW07,10.41,39.11,30.91,70.14,75.45,54.03,61.01,71.35,78.61,72.72,88.66,66.56,53.11,42.83,39.99,120.34,87.35,
2021-KW08,31.24,48.89,20.6,40.08,53.9,43.22,113.3,95.13,39.31,56.56,75.99,55.46,26.56,42.83,49.99,108.3,131.03,
2021-KW09,52.07,19.56,51.51,100.19,64.67,54.03,130.74,63.42,31.45,88.88,38.0,55.46,39.83,17.13,39.99,108.3,137.27,
2021-KW10,62.48,68.45,41.21,70.14,172.46,129.67,95.87,39.64,110.06,96.96,69.66,55.46,46.47,77.1,39.99,48.13,74.87,
2021-KW11,41.65,68.45,61.81,80.15,140.13,75.64,156.88,71.35,125.78,88.88,88.66,66.56,53.11,8.57,29.99,24.07,31.2,
2021-KW12,52.07,19.56,51.51,50.1,129.35,205.31,165.6,95.13,110.06,113.12,88.66,94.29,66.39,25.7,39.99,36.1,37.44,
2021-KW13,166.62,146.68,154.53,120.23,129.35,140.48,183.03,134.77,125.78,129.29,132.98,99.84,79.67,17.13,49.99,48.13,37.44,
2021-KW14,177.03,254.24,144.23,240.46,129.35,237.73,130.74,253.68,157.23,72.72,139.32,88.74,92.94,59.96,29.99,12.03,49.91,
2021-KW15,124.96,166.23,154.53,190.37,226.36,194.51,226.61,166.48,149.37,153.53,139.32,66.56,86.31,34.26,39.99,96.27,31.2,
2021-KW16,72.9,117.34,82.41,110.21,183.24,97.25,130.74,95.13,125.78,64.64,101.32,110.93,46.47,17.13,39.99,24.07,31.2,
2021-KW17,93.72,78.23,154.53,110.21,97.01,129.67,52.29,134.77,149.37,80.8,50.66,77.65,46.47,8.57,10.0,48.13,12.48,
2021-KW18,124.96,127.12,154.53,60.12,140.13,140.48,78.44,79.27,86.47,80.8,50.66,61.01,39.83,34.26,29.99,24.07,6.24,
2021-KW19,41.65,117.34,20.6,110.21,118.57,86.45,61.01,55.49,70.75,80.8,94.99,66.56,53.11,,29.99,12.03,6.24,
2021-KW20,20.83,19.56,72.11,60.12,21.56,97.25,26.15,47.56,39.31,24.24,31.66,27.73,13.28,42.83,29.99,,6.24,
2021-KW21,41.65,39.11,20.6,90.17,10.78,32.42,43.58,39.64,15.72,48.48,12.67,5.55,33.19,17.13,,,6.24,
2021-KW22,10.41,39.11,,10.02,21.56,10.81,26.15,15.85,23.58,8.08,6.33,11.09,6.64,8.57,,,6.24,
2021-KW23,10.41,29.34,20.6,10.02,,21.61,8.72,7.93,31.45,24.24,6.33,5.55,,,,,,
2021-KW24,,9.78,10.3,10.02,,21.61,17.43,7.93,,24.24,6.33,,,,20.0,,,
2021-KW25,,9.78,20.6,,,,,7.93,7.86,,,,,,10.0,12.03,,
2021-KW26,,9.78,,10.02,10.78,10.81,,7.93,,,,,,,,,,
2021-KW27,,,,,10.78,,,,,16.16,,5.55,,8.57,,,,
2021-KW28,,,,30.06,43.12,43.22,8.72,7.93,7.86,,,5.55,,,,,6.24,
2021-KW29,,9.78,,40.08,75.45,,43.58,,15.72,8.08,6.33,11.09,,,,,,
2021-KW30,20.83,9.78,30.91,80.15,21.56,43.22,34.86,39.64,15.72,40.4,6.33,16.64,6.64,,,,,
2021-KW31,31.24,88.01,103.02,120.23,64.67,64.84,43.58,79.27,70.75,24.24,6.33,,6.64,25.7,10.0,,,
2021-KW32,62.48,88.01,195.74,90.17,97.01,75.64,26.15,55.49,86.47,72.72,38.0,22.19,39.83,8.57,20.0,12.03,,
2021-KW33,104.14,146.68,144.23,70.14,75.45,97.25,104.59,71.35,78.61,56.56,19.0,16.64,6.64,17.13,10.0,12.03,,
2021-KW34,31.24,97.79,133.92,100.19,140.13,86.45,87.16,47.56,47.17,16.16,12.67,27.73,19.92,8.57,,12.03,6.24,
2021-KW35,72.9,88.01,257.55,180.35,172.46,97.25,130.74,71.35,62.89,64.64,38.0,22.19,,8.57,10.0,12.03,6.24,
2021-KW36,31.24,176.01,123.62,90.17,97.01,172.89,95.87,47.56,70.75,56.56,19.0,11.09,6.64,25.7,29.99,,31.2,
2021-KW37,20.83,78.23,41.21,60.12,43.12,32.42,52.29,47.56,47.17,24.24,25.33,5.55,19.92,34.26,20.0,,18.72,
2021-KW38,10.41,58.67,30.91,40.08,86.23,43.22,26.15,23.78,55.03,16.16,6.33,,19.92,8.57,,12.03,6.24,
2021-KW39,20.83,19.56,61.81,40.08,32.34,54.03,43.58,15.85,23.58,8.08,12.67,11.09,,,,,,
2021-KW40,31.24,,,30.06,21.56,43.22,52.29,39.64,15.72,8.08,,5.55,,17.13,,24.07,87.35,
2021-KW41,,19.56,20.6,30.06,32.34,54.03,61.01,71.35,23.58,16.16,44.33,27.73,,,,12.03,12.48,
2021-KW42,52.07,117.34,123.62,70.14,97.01,54.03,95.87,95.13,78.61,96.96,145.65,44.37,79.67,17.13,29.99,60.17,18.72,
2021-KW43,52.07,215.13,319.36,260.5,86.23,97.25,174.31,103.06,86.47,80.8,113.99,49.92,33.19,42.83,10.0,72.2,118.55,
2021-KW44,20.83,166.23,195.74,120.23,183.24,75.64,61.01,142.69,157.23,88.88,88.66,110.93,53.11,34.26,39.99,12.03,31.2,
2021-KW45,83.31,293.36,298.75,130.25,150.91,140.48,174.31,198.18,157.23,177.77,113.99,77.65,53.11,51.4,39.99,48.13,81.11,
2021-KW46,135.38,576.93,587.21,160.31,215.58,216.12,191.75,245.75,188.67,274.73,113.99,138.66,106.22,111.36,119.97,120.34,56.15,
2021-KW47,197.86,488.93,422.38,320.62,204.8,183.7,183.03,348.8,408.79,250.49,240.64,160.85,99.58,137.06,139.97,168.47,93.59,
2021-KW48,187.45,400.92,381.17,160.31,107.79,194.51,235.32,277.46,275.15,202.01,196.31,155.3,99.58,145.63,59.99,108.3,62.39,
2021-KW49,239.51,528.04,381.17,200.39,280.26,334.98,270.19,269.53,267.29,266.65,208.97,133.12,86.31,51.4,29.99,72.2,62.39,
2021-KW50,302.0,518.26,566.6,310.6,388.05,324.18,357.35,356.73,290.87,193.93,253.3,155.3,106.22,77.1,49.99,24.07,37.44,
2021-KW51,114.55,508.48,422.38,340.66,431.16,334.98,348.63,245.75,322.31,129.29,196.31,122.02,106.22,94.23,39.99,60.17,62.39,
2021-KW52,177.03,420.48,432.68,641.23,862.32,572.71,479.37,348.8,345.9,363.61,354.62,199.67,126.14,145.63,59.99,60.17,99.83,
2022-KW01,385.31,704.05,782.94,1593.07,2155.81,1080.58,801.85,824.45,715.38,412.1,531.93,415.98,325.31,162.76,169.96,108.3,112.31,
2022-KW02,687.3,1368.99,1359.84,1512.91,1315.04,1275.09,1289.93,1093.98,998.39,993.88,664.91,432.62,411.61,128.49,79.98,72.2,237.1,
2022-KW03,937.23,2649.98,2369.42,1593.07,1422.84,1404.76,1298.64,1601.33,1415.04,1107.0,823.23,632.3,371.78,197.02,159.96,192.54,411.8,
2022-KW04,1218.4,2953.11,2791.8,1823.51,1476.73,1577.65,1638.56,1958.06,1721.63,1252.45,867.56,538.01,478.0,256.99,169.96,264.74,287.01,
2022-KW05,666.48,2151.27,1926.44,1202.31,1185.7,1091.39,1342.22,1522.06,1375.73,896.92,645.92,593.47,378.42,239.85,189.96,216.61,418.04,
2022-KW06,656.06,1368.99,1298.03,1122.16,808.43,1296.7,1228.92,1442.78,1281.4,977.72,671.25,488.09,411.61,256.99,199.96,228.64,536.59,
2022-KW07,666.48,1603.68,1009.58,1011.95,1142.58,788.83,1263.78,1220.82,1124.17,937.32,854.89,604.56,478.0,231.29,259.94,264.74,443.0,
2022-KW08,874.75,1906.81,1359.84,1192.3,937.78,864.47,1228.92,1093.98,1014.11,888.84,620.59,538.01,365.14,179.89,229.95,240.67,461.71,
2022-KW09,833.09,1320.1,1122.9,1072.06,1024.01,1037.36,1202.77,1149.47,959.08,783.79,639.58,532.46,398.33,291.25,119.97,132.37,224.62,
2022-KW10,864.34,1515.67,1658.6,2043.93,1929.45,1642.49,1403.23,1419.0,1234.23,1268.61,1095.53,848.61,717.0,454.01,219.95,312.88,336.93,
2022-KW11,1062.2,2014.37,2699.08,2444.71,2295.94,2053.11,1786.73,2013.56,1957.47,1785.75,1570.47,1286.78,1082.14,591.07,479.89,433.21,511.63,
2022-KW12,958.06,2317.51,2760.89,2945.67,2382.17,1718.13,2091.78,2180.03,2004.64,1898.87,1912.42,1347.79,1029.03,711.0,649.85,589.65,549.06,
2022-KW13,885.16,1633.01,2328.22,2394.61,1918.67,1847.8,1934.89,1973.92,2020.36,1704.95,1595.8,1286.78,922.81,668.17,499.89,517.45,486.67,
2022-KW14,905.99,1769.91,1246.52,1432.76,2026.46,1642.49,1795.44,1855.01,1729.49,1422.14,1215.84,876.34,896.25,599.64,599.87,361.01,293.25,
2022-KW15,874.75,1163.64,1246.52,1372.64,1595.3,1545.24,1525.25,1656.82,1548.68,1341.33,1215.84,1114.84,803.31,531.11,449.9,361.01,311.97,
2022-KW16,656.06,1212.54,1195.01,2104.05,2123.47,1653.29,1481.68,1751.95,1344.29,1422.14,1025.87,931.81,803.31,531.11,349.92,361.01,243.34,
