# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-07-09 09:02:26
# API-Download für Covid19-Inzidenzen in LK Hochsauerlandkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,7.68,30.12,13.82,6.39,6.63,20.46,33.07,4.94,17.33,33.65,17.75,,,,
2020-KW12,,8.55,8.54,7.68,45.18,69.11,51.16,46.43,61.38,46.3,64.16,56.33,38.46,35.49,14.95,,5.07,
2020-KW13,8.53,,8.54,7.68,52.71,89.84,57.55,39.8,27.28,85.99,88.84,69.33,57.69,59.16,37.38,41.13,5.07,
2020-KW14,8.53,8.55,25.61,61.46,82.83,41.46,63.94,46.43,47.74,46.3,83.9,52.0,81.73,29.58,22.43,123.38,131.91,
2020-KW15,8.53,,,30.73,82.83,48.38,44.76,33.17,54.56,33.07,64.16,34.66,43.27,41.41,37.38,30.85,116.69,
2020-KW16,,8.55,,23.05,15.06,6.91,6.39,,,19.84,34.55,17.33,19.23,11.83,14.95,10.28,35.51,
2020-KW17,,,,7.68,15.06,6.91,,13.27,6.82,13.23,,4.33,4.81,,,,,
2020-KW18,8.53,,,,7.53,27.64,6.39,13.27,13.64,6.61,4.94,8.67,19.23,,7.48,,5.07,
2020-KW19,,,17.07,7.68,7.53,,,13.27,6.82,,4.94,,,,,,5.07,
2020-KW20,,,,15.36,,6.91,6.39,13.27,,6.61,4.94,,4.81,,,,5.07,
2020-KW21,,,,15.36,,,,,,,4.94,,,,,,,
2020-KW22,,,,,,6.91,,6.63,,,,,,,,,,
2020-KW24,,,,,7.53,13.82,,,,,,,4.81,,,,5.07,
2020-KW25,,,,,,,,6.63,6.82,,,,4.81,,,,5.07,
2020-KW26,,,,,7.53,,,,6.82,13.23,,8.67,,,,,,
2020-KW27,,,,,,,6.39,,6.82,,,,,,,,,
2020-KW28,59.69,25.64,25.61,38.41,15.06,13.82,25.58,19.9,13.64,13.23,4.94,4.33,,,7.48,,,
2020-KW29,34.11,51.27,34.14,15.36,15.06,,6.39,26.53,27.28,19.84,4.94,13.0,,,,,,
2020-KW30,,8.55,,,,13.82,,,,,,,,,,,,
2020-KW31,25.58,8.55,8.54,,15.06,20.73,12.79,6.63,13.64,26.46,4.94,8.67,,,,,,
2020-KW32,8.53,,25.61,15.36,15.06,13.82,6.39,19.9,13.64,13.23,24.68,8.67,,,,,5.07,
2020-KW33,17.05,25.64,34.14,7.68,45.18,27.64,25.58,39.8,,6.61,9.87,8.67,4.81,,,,,
2020-KW34,8.53,,,,52.71,34.55,12.79,6.63,20.46,26.46,9.87,,,,,10.28,,
2020-KW35,8.53,,,,,13.82,6.39,6.63,,6.61,19.74,4.33,,,7.48,,,
2020-KW36,8.53,17.09,8.54,,30.12,13.82,12.79,6.63,6.82,,4.94,4.33,4.81,,,,,
2020-KW37,8.53,,,7.68,7.53,13.82,6.39,6.63,6.82,,,4.33,,,7.48,,5.07,
2020-KW38,17.05,8.55,,7.68,7.53,20.73,12.79,13.27,,,14.81,,4.81,5.92,,10.28,,
2020-KW39,,,,7.68,30.12,6.91,,,6.82,13.23,9.87,8.67,4.81,,,10.28,5.07,
2020-KW40,,,,23.05,22.59,20.73,12.79,6.63,6.82,13.23,4.94,17.33,,,,10.28,,
2020-KW41,8.53,8.55,,7.68,7.53,48.38,31.97,6.63,13.64,6.61,4.94,13.0,9.62,41.41,14.95,,,
2020-KW42,,8.55,8.54,23.05,75.3,55.29,83.13,26.53,,26.46,54.29,21.66,,11.83,7.48,10.28,5.07,
2020-KW43,34.11,59.82,17.07,99.87,165.67,117.48,140.68,119.4,150.04,119.07,103.64,82.33,57.69,47.32,44.85,41.13,10.15,
2020-KW44,136.43,102.54,59.75,284.23,195.79,228.05,185.44,112.77,190.96,125.68,143.12,121.32,110.58,112.4,82.23,82.26,55.81,
2020-KW45,93.79,136.72,162.18,399.46,271.09,179.68,159.86,145.94,204.6,171.99,192.48,160.32,76.92,53.24,44.85,71.97,60.88,
2020-KW46,85.27,85.45,221.93,491.65,353.92,241.88,204.62,145.94,156.86,277.83,236.89,199.32,125.0,94.65,67.28,123.38,197.86,
2020-KW47,34.11,59.82,51.21,169.0,195.79,200.41,127.89,92.87,81.84,125.68,207.28,129.99,81.73,41.41,29.9,123.38,182.64,
2020-KW48,25.58,25.64,59.75,76.82,105.42,103.66,102.31,59.7,136.4,112.45,152.99,99.66,72.11,41.41,52.33,51.41,86.25,
2020-KW49,17.05,17.09,34.14,99.87,158.14,131.3,95.92,86.24,88.66,119.07,148.06,142.99,57.69,35.49,74.76,61.69,81.17,
2020-KW50,25.58,17.09,59.75,115.23,112.95,89.84,89.52,59.7,102.3,125.68,123.38,103.99,57.69,29.58,29.9,102.82,192.79,
2020-KW51,17.05,25.64,51.21,130.59,188.26,89.84,134.28,132.67,115.94,198.45,123.38,129.99,100.96,59.16,52.33,102.82,177.57,
2020-KW52,17.05,25.64,34.14,84.5,128.01,152.04,102.31,112.77,109.12,119.07,182.61,99.66,153.84,76.9,44.85,92.54,106.54,
2020-KW53,8.53,17.09,8.54,38.41,97.89,145.13,70.34,92.87,88.66,59.53,54.29,77.99,57.69,23.66,52.33,41.13,86.25,
2021-KW01,68.21,42.73,93.89,69.14,195.79,165.86,172.65,112.77,150.04,191.83,78.96,86.66,57.69,47.32,97.18,82.26,136.98,
2021-KW02,34.11,25.64,17.07,84.5,150.61,124.39,108.71,165.84,109.12,66.15,148.06,147.32,81.73,35.49,37.38,92.54,116.69,
2021-KW03,17.05,25.64,8.54,69.14,158.14,131.3,127.89,119.4,109.12,99.22,118.45,121.32,62.5,65.07,67.28,51.41,172.49,
2021-KW04,,8.55,34.14,69.14,112.95,62.2,115.1,86.24,88.66,99.22,98.71,99.66,105.77,59.16,52.33,71.97,157.27,
2021-KW05,68.21,17.09,68.29,53.77,135.54,110.57,127.89,119.4,109.12,92.61,93.77,86.66,72.11,17.75,59.8,41.13,157.27,
2021-KW06,17.05,17.09,34.14,115.23,128.01,165.86,38.37,66.33,68.2,72.76,93.77,73.66,43.27,59.16,37.38,20.56,136.98,
2021-KW07,51.16,42.73,17.07,76.82,150.61,103.66,95.92,72.97,75.02,99.22,98.71,90.99,48.08,47.32,59.8,102.82,157.27,
2021-KW08,25.58,68.36,68.29,76.82,143.07,82.93,95.92,145.94,81.84,112.45,118.45,95.32,62.5,53.24,29.9,71.97,147.13,
2021-KW09,42.63,42.73,34.14,76.82,135.54,48.38,102.31,119.4,102.3,92.61,49.35,86.66,57.69,70.99,22.43,41.13,65.95,
2021-KW10,34.11,59.82,34.14,46.09,158.14,96.75,121.5,33.17,88.66,119.07,93.77,99.66,67.31,23.66,14.95,41.13,65.95,
2021-KW11,76.74,111.09,76.82,115.23,135.54,76.02,76.73,126.04,129.58,119.07,93.77,112.66,62.5,70.99,44.85,61.69,40.59,
2021-KW12,85.27,111.09,170.71,153.64,180.73,186.59,108.71,152.57,184.14,185.22,108.58,82.33,125.0,70.99,37.38,30.85,30.44,
2021-KW13,102.32,119.63,128.04,107.55,120.48,158.95,140.68,265.34,156.86,152.14,93.77,147.32,134.61,47.32,134.56,41.13,20.29,
2021-KW14,68.21,76.91,93.89,184.37,173.2,234.96,179.05,139.3,156.86,125.68,138.19,99.66,105.77,106.48,22.43,30.85,25.37,
2021-KW15,59.69,76.91,145.11,153.64,233.44,228.05,198.23,152.57,122.76,138.91,207.28,121.32,100.96,53.24,52.33,61.69,55.81,
2021-KW16,68.21,145.27,162.18,261.19,263.56,310.98,217.41,232.17,211.42,271.21,172.74,194.98,100.96,47.32,29.9,51.41,45.66,
2021-KW17,119.37,213.63,128.04,207.41,286.15,207.32,230.2,225.54,272.8,238.14,187.54,155.99,139.42,82.82,37.38,61.69,45.66,
2021-KW18,127.9,170.9,179.25,169.0,210.85,103.66,198.23,179.1,190.96,165.37,133.25,77.99,110.58,106.48,112.13,82.26,76.1,
2021-KW19,25.58,68.36,76.82,130.59,105.42,69.11,57.55,132.67,136.4,105.84,108.58,69.33,43.27,59.16,67.28,30.85,30.44,
2021-KW20,17.05,68.36,51.21,84.5,112.95,96.75,70.34,59.7,61.38,59.53,54.29,99.66,33.65,23.66,22.43,41.13,50.73,
2021-KW21,25.58,59.82,76.82,30.73,97.89,55.29,51.16,53.07,68.2,59.53,39.48,30.33,9.62,11.83,7.48,41.13,5.07,
2021-KW22,51.16,59.82,25.61,61.46,52.71,41.46,38.37,26.53,20.46,59.53,9.87,21.66,28.85,23.66,,10.28,15.22,
2021-KW23,8.53,59.82,51.21,46.09,15.06,34.55,57.55,19.9,6.82,6.61,9.87,8.67,4.81,5.92,7.48,,,
2021-KW24,25.58,17.09,8.54,15.36,7.53,13.82,19.18,,6.82,13.23,9.87,13.0,4.81,,,,,
2021-KW25,8.53,,8.54,30.73,60.24,20.73,6.39,,,19.84,19.74,17.33,4.81,5.92,7.48,,,
2021-KW26,,8.55,8.54,61.46,52.71,34.55,38.37,6.63,6.82,19.84,4.94,8.67,9.62,,7.48,,5.07,
2021-KW27,,,,15.36,45.18,,25.58,,6.82,6.61,,4.33,14.42,5.92,,,10.15,
2021-KW28,,,,15.36,22.59,6.91,,,13.64,19.84,,8.67,,,,,5.07,
2021-KW29,,,8.54,69.14,22.59,20.73,19.18,19.9,,13.23,19.74,4.33,,5.92,,,,
2021-KW30,25.58,25.64,51.21,169.0,90.36,20.73,12.79,39.8,61.38,39.69,19.74,8.67,4.81,11.83,14.95,10.28,10.15,
2021-KW31,34.11,34.18,110.96,76.82,97.89,41.46,19.18,39.8,13.64,33.07,34.55,21.66,19.23,17.75,,,15.22,
2021-KW32,,17.09,59.75,84.5,105.42,48.38,57.55,13.27,54.56,19.84,24.68,8.67,14.42,5.92,,,60.88,
2021-KW33,68.21,196.54,256.07,207.41,120.48,69.11,70.34,92.87,109.12,105.84,54.29,30.33,14.42,17.75,,,20.29,
2021-KW34,34.11,239.26,239.0,299.6,135.54,69.11,95.92,72.97,88.66,79.38,39.48,52.0,14.42,17.75,7.48,10.28,15.22,
2021-KW35,119.37,205.08,332.89,184.37,188.26,131.3,147.07,119.4,95.48,79.38,44.42,30.33,38.46,17.75,14.95,20.56,10.15,
2021-KW36,42.63,145.27,273.14,107.55,143.07,103.66,127.89,19.9,81.84,119.07,59.22,34.66,14.42,17.75,22.43,10.28,15.22,
2021-KW37,59.69,111.09,187.79,122.91,120.48,96.75,57.55,53.07,75.02,85.99,59.22,39.0,14.42,23.66,7.48,30.85,,
2021-KW38,17.05,119.63,119.5,23.05,97.89,55.29,102.31,53.07,47.74,39.69,9.87,26.0,14.42,41.41,22.43,,5.07,
2021-KW39,59.69,85.45,42.68,53.77,22.59,48.38,44.76,46.43,61.38,46.3,39.48,17.33,38.46,17.75,29.9,,15.22,
2021-KW40,,85.45,68.29,38.41,30.12,55.29,38.37,66.33,27.28,46.3,24.68,21.66,38.46,17.75,14.95,10.28,5.07,
2021-KW41,,42.73,76.82,76.82,30.12,34.55,19.18,46.43,34.1,59.53,54.29,13.0,43.27,5.92,7.48,10.28,5.07,
2021-KW42,8.53,111.09,34.14,115.23,67.77,34.55,38.37,79.6,61.38,59.53,29.61,60.66,52.88,29.58,14.95,51.41,25.37,
2021-KW43,34.11,213.63,204.86,76.82,165.67,138.21,57.55,92.87,88.66,52.92,69.09,64.99,48.08,29.58,59.8,30.85,25.37,
2021-KW44,17.05,187.99,315.82,92.18,75.3,69.11,44.76,72.97,136.4,92.61,98.71,43.33,76.92,53.24,59.8,61.69,25.37,
2021-KW45,42.63,153.81,264.61,145.96,158.14,145.13,108.71,106.14,136.4,191.83,128.32,103.99,86.54,41.41,74.76,51.41,71.03,
2021-KW46,42.63,162.36,281.68,122.91,158.14,158.95,121.5,112.77,109.12,158.76,157.93,129.99,76.92,70.99,97.18,164.51,131.91,
2021-KW47,59.69,247.81,349.96,207.41,203.32,283.34,191.83,212.27,204.6,224.91,251.7,147.32,125.0,118.31,127.08,143.95,86.25,
2021-KW48,68.21,401.62,298.75,261.19,271.09,165.86,166.26,218.91,218.24,238.14,212.22,177.65,163.46,76.9,134.56,154.23,60.88,
2021-KW49,162.01,307.62,332.89,138.28,180.73,186.59,185.44,278.61,272.8,251.37,222.09,160.32,81.73,94.65,74.76,102.82,152.2,
2021-KW50,153.48,358.89,239.0,169.0,128.01,138.21,89.52,199.0,129.58,171.99,197.41,112.66,52.88,53.24,29.9,10.28,71.03,
2021-KW51,42.63,230.72,221.93,215.1,135.54,214.23,108.71,119.4,129.58,125.68,78.96,60.66,67.31,59.16,29.9,30.85,20.29,
2021-KW52,68.21,153.81,187.79,107.55,271.09,324.8,179.05,119.4,122.76,85.99,103.64,108.32,48.08,41.41,59.8,41.13,50.73,
2022-KW01,59.69,187.99,332.89,476.28,843.39,532.13,211.02,311.77,245.52,198.45,202.35,125.66,91.35,59.16,82.23,20.56,45.66,
2022-KW02,85.27,452.89,563.36,960.25,911.16,580.5,390.06,344.94,375.11,363.82,409.63,199.32,110.58,35.49,52.33,61.69,40.59,
