# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-02-12 07:53:30
# API-Download für Covid19-Inzidenzen in LK Hohenlohekreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,14.65,11.75,31.74,11.6,,,,,
2020-KW11,,18.27,18.39,52.63,31.95,14.56,13.07,13.57,14.37,146.46,82.26,63.48,34.79,29.05,73.97,54.24,41.33,
2020-KW12,17.05,36.54,91.94,105.26,255.61,189.24,130.73,108.57,229.84,219.69,340.81,264.51,197.14,159.77,166.43,189.83,151.55,
2020-KW13,,18.27,,70.18,175.73,87.34,91.51,135.72,129.29,161.11,293.8,253.93,220.33,232.39,203.41,271.19,192.88,
2020-KW14,,,18.39,,159.76,72.78,52.29,27.14,71.83,117.17,105.77,126.96,115.96,174.29,110.95,108.47,261.77,
2020-KW15,,,,35.09,63.9,160.12,39.22,95.0,71.83,102.52,82.26,84.64,92.77,130.72,258.89,189.83,289.33,
2020-KW16,,,,,15.98,58.23,39.22,13.57,28.73,29.29,23.5,63.48,69.58,43.57,55.48,27.12,68.89,
2020-KW17,,36.54,,17.54,47.93,29.11,13.07,13.57,14.37,58.58,23.5,42.32,46.38,14.52,,27.12,68.89,
2020-KW18,,,,,15.98,,13.07,,,,,21.16,11.6,,,27.12,13.78,
2020-KW19,,18.27,,,,,,,,14.65,,,,,36.98,,96.44,
2020-KW20,,,,17.54,15.98,14.56,13.07,13.57,14.37,,,10.58,34.79,,,,27.55,
2020-KW21,,,,,15.98,,,,,14.65,,10.58,11.6,,,27.12,,
2020-KW22,,,,,,,,,,,,,,,18.49,,13.78,
2020-KW23,,,,,,14.56,,,,,,,,,,,,
2020-KW25,,,,,,,,,,,11.75,,,,,,,
2020-KW26,,18.27,,,,,,13.57,,29.29,,10.58,,14.52,,,,
2020-KW27,,,,,,,,,,,,,,,,,13.78,
2020-KW28,,,,,,,,,,,,,,,,,13.78,
2020-KW29,,,18.39,,,,,,14.37,,,,,,,,,
2020-KW30,,,,,,,,13.57,,,,,,,,,,
2020-KW31,,,,17.54,15.98,,,13.57,,,,,,,,,,
2020-KW32,,18.27,,,,,,,14.37,14.65,,,,,,,,
2020-KW33,,,,,15.98,43.67,,,,14.65,23.5,,,,,,,
2020-KW34,,,,35.09,,,39.22,,,14.65,,,11.6,,,,,
2020-KW35,,,,35.09,,14.56,26.15,,,,11.75,10.58,,14.52,,,,
2020-KW36,17.05,,,35.09,,29.11,13.07,13.57,14.37,14.65,,10.58,,,18.49,,,
2020-KW37,,36.54,,52.63,79.88,,13.07,,,,,,11.6,,,,,
2020-KW38,,,,,,29.11,13.07,,,,11.75,21.16,,14.52,18.49,,,
2020-KW39,,,18.39,17.54,31.95,,13.07,40.72,28.73,,23.5,10.58,11.6,,,,13.78,
2020-KW40,17.05,,,,47.93,14.56,,,,14.65,,,23.19,29.05,18.49,27.12,27.55,
2020-KW41,,18.27,,52.63,63.9,29.11,,27.14,,29.29,23.5,10.58,,,18.49,27.12,41.33,
2020-KW42,,,,35.09,95.85,,39.22,27.14,57.46,,23.5,21.16,23.19,,36.98,54.24,68.89,
2020-KW43,17.05,,,35.09,79.88,87.34,91.51,67.86,100.56,73.23,82.26,52.9,46.38,29.05,36.98,27.12,27.55,
2020-KW44,17.05,18.27,55.16,70.18,255.61,131.01,104.59,122.15,57.46,190.4,117.52,126.96,46.38,101.67,18.49,108.47,41.33,
2020-KW45,17.05,73.09,128.72,140.35,191.71,131.01,130.73,203.58,114.92,248.98,58.76,52.9,104.37,43.57,36.98,108.47,13.78,
2020-KW46,,36.54,73.55,122.81,127.81,101.9,130.73,135.72,114.92,58.58,188.03,84.64,115.96,29.05,55.48,135.59,385.77,
2020-KW47,,18.27,147.11,52.63,191.71,116.45,183.02,122.15,201.11,146.46,199.78,201.03,127.56,116.19,73.97,135.59,427.1,
2020-KW48,51.14,73.09,91.94,52.63,111.83,131.01,156.88,149.29,158.02,161.11,129.27,126.96,81.17,29.05,55.48,54.24,110.22,
2020-KW49,34.09,18.27,36.78,52.63,79.88,72.78,65.37,54.29,86.19,43.94,164.53,137.54,57.98,14.52,55.48,54.24,110.22,
