# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-26 05:46:48
# API-Download für Covid19-Inzidenzen in LK Holzminden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,27.41,27.59,27.43,,,47.21,83.74,16.46,,,,,,
2020-KW12,,,,,27.41,,54.85,82.33,28.8,70.82,66.99,16.46,18.88,20.79,,,,
2020-KW13,,,,28.53,,,54.85,54.88,,23.61,16.75,32.93,18.88,,106.3,78.13,31.64,
2020-KW14,,,34.35,28.53,27.41,55.19,27.43,27.44,,,33.5,,75.5,,79.72,52.08,205.66,
2020-KW15,,,,,,27.59,54.85,,,,16.75,32.93,,20.79,26.57,26.04,110.74,
2020-KW16,,,,,,,,,,,16.75,,,,26.57,26.04,47.46,
2020-KW17,,,,,,,27.43,,,,16.75,,,,,,31.64,
2020-KW20,,,,,,,,,,,,,,,26.57,,15.82,
2020-KW31,,,,,27.41,,,,,,,,,,,,,
2020-KW33,,35.6,,,27.41,,,,,,,,,,,,,
2020-KW34,34.66,,,,27.41,55.19,,,,,,,,,26.57,,,
2020-KW35,,,,,54.82,27.59,,,28.8,,16.75,,,,,,,
2020-KW36,34.66,35.6,,,,,54.85,,,,,,,,,,,
2020-KW37,,35.6,,,,,,,,,16.75,,,,,,,
2020-KW38,,,,,,27.59,27.43,,,,16.75,49.39,,,26.57,,,
2020-KW39,,,,,,27.59,54.85,,,,,,,,,,,
2020-KW40,,,,,,,,,,,,,18.88,,,,,
2020-KW41,,,,,,27.59,27.43,,,23.61,,,,,,,,
2020-KW42,,,34.35,,,27.59,27.43,,,,,,18.88,,,,,
2020-KW43,,,,,,,27.43,,,,,16.46,18.88,,,,,
2020-KW44,,,,28.53,54.82,27.59,54.85,,,23.61,33.5,98.78,37.75,20.79,,26.04,15.82,
2020-KW45,,35.6,,57.06,,55.19,54.85,,,47.21,16.75,65.85,37.75,20.79,26.57,,63.28,
2020-KW46,,,,,82.24,27.59,54.85,,57.6,47.21,50.24,49.39,37.75,,,,,
2020-KW47,34.66,35.6,34.35,57.06,82.24,82.78,109.71,54.88,57.6,47.21,117.23,,18.88,41.57,26.57,26.04,63.28,
2020-KW48,34.66,,34.35,28.53,137.06,27.59,54.85,82.33,,70.82,66.99,65.85,,83.14,,26.04,31.64,
2020-KW49,34.66,,34.35,85.59,137.06,82.78,164.56,54.88,57.6,118.04,83.74,65.85,94.38,20.79,,52.08,110.74,
2020-KW50,34.66,71.2,137.41,171.18,328.95,331.13,109.71,109.77,172.81,236.07,83.74,131.71,132.13,62.36,,78.13,316.41,
2020-KW51,,71.2,,57.06,219.3,82.78,27.43,27.44,144.01,47.21,66.99,32.93,94.38,20.79,,78.13,110.74,
2020-KW52,,,34.35,57.06,137.06,165.56,109.71,164.65,86.41,70.82,150.73,98.78,75.5,103.93,26.57,104.17,158.2,
2020-KW53,69.32,,,28.53,27.41,55.19,27.43,54.88,28.8,47.21,50.24,65.85,,20.79,53.15,78.13,15.82,
2021-KW01,34.66,,,85.59,109.65,137.97,191.99,82.33,115.21,188.86,167.48,131.71,18.88,41.57,53.15,78.13,221.48,
2021-KW02,,,68.7,114.12,164.47,275.94,27.43,27.44,28.8,94.43,133.98,181.1,169.88,20.79,79.72,78.13,474.61,
2021-KW03,,35.6,,199.71,219.3,82.78,246.85,82.33,144.01,70.82,66.99,131.71,207.63,20.79,,26.04,126.56,
2021-KW04,138.65,71.2,,57.06,27.41,55.19,82.28,109.77,86.41,94.43,66.99,49.39,,20.79,53.15,104.17,47.46,
2021-KW05,34.66,,,57.06,27.41,27.59,27.43,82.33,86.41,47.21,83.74,65.85,37.75,62.36,26.57,,79.1,
2021-KW06,,71.2,137.41,,54.82,27.59,82.28,54.88,144.01,23.61,50.24,82.32,113.25,20.79,26.57,26.04,142.38,
2021-KW07,,,,,54.82,55.19,,,57.6,70.82,33.5,65.85,132.13,20.79,,78.13,63.28,
2021-KW08,69.32,,68.7,28.53,82.24,27.59,54.85,54.88,144.01,47.21,33.5,16.46,37.75,41.57,79.72,78.13,94.92,
2021-KW09,69.32,35.6,34.35,85.59,27.41,27.59,,82.33,28.8,47.21,50.24,16.46,75.5,62.36,26.57,130.21,31.64,
2021-KW10,173.31,569.6,,57.06,,82.78,137.14,54.88,28.8,23.61,100.49,82.32,18.88,,26.57,26.04,47.46,
2021-KW11,34.66,35.6,34.35,28.53,27.41,220.75,82.28,,57.6,47.21,16.75,65.85,56.63,,,52.08,189.84,
