# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-03-05 07:43:05
# API-Download für Covid19-Inzidenzen in LK Jerichower Land, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,,,,13.83,,,,
2020-KW12,,,,,,,,17.55,,,,23.57,,,,,,
2020-KW13,,23.87,,,33.81,,21.35,52.64,,20.18,,11.78,11.81,,18.84,,25.87,
2020-KW14,,,,,,38.66,21.35,,,,14.82,23.57,11.81,,18.84,,25.87,
2020-KW15,,,,,33.81,,,,,20.18,,11.78,,,,,,
2020-KW16,,,,,,,,,,,29.64,,,,18.84,,,
2020-KW17,,,,,,,,,,,,11.78,,,,,,
2020-KW22,,,,,,,,,,,14.82,,,,,,,
2020-KW26,,,,,,38.66,,,,,,,,,,,,
2020-KW27,,,25.39,,,,,17.55,,,,,,,,,,
2020-KW28,,,,,,,21.35,,,,14.82,,11.81,,,,,
2020-KW29,,,,,,,,,,,,11.78,,,,,12.94,
2020-KW30,,,25.39,,,,21.35,,,,,,11.81,13.83,,24.94,,
2020-KW31,,,,,,,21.35,17.55,,,14.82,,,,,,,
2020-KW32,,,,,,,,,,,,11.78,,13.83,,,12.94,
2020-KW33,,,,,,,,,,,,,,13.83,,,,
2020-KW34,,,25.39,,33.81,,,,17.74,,,,,,,,,
2020-KW35,,,,,,,21.35,35.09,17.74,20.18,,,,,,,,
2020-KW36,,,25.39,28.18,,,,,,,,,,,,,,
2020-KW38,,,,,,,,,,,14.82,,,,,,,
2020-KW39,,,,,,,,,,,,,,13.83,18.84,,,
2020-KW40,,,,,,,,,17.74,,,,,,,,,
2020-KW41,,,,,,,,17.55,17.74,20.18,14.82,,,,37.68,24.94,,
2020-KW42,,,,84.55,135.25,270.61,42.71,35.09,17.74,161.43,,23.57,11.81,13.83,18.84,,,
