# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-05-21 08:42:30
# API-Download für Covid19-Inzidenzen in LK Kassel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,5.18,,,,,,,
2020-KW11,,,,,18.27,,,14.94,7.55,,20.72,4.79,10.9,,,,,
2020-KW12,,,,,27.4,17.56,7.48,22.41,22.65,35.48,10.36,38.32,49.05,,,9.27,,
2020-KW13,,,,,18.27,,7.48,14.94,67.94,28.38,10.36,23.95,32.7,19.38,,18.54,10.2,
2020-KW14,,,,,9.13,17.56,22.45,29.88,15.1,7.1,15.54,19.16,16.35,19.38,14.05,9.27,35.72,
2020-KW15,9.34,9.59,,9.35,73.07,96.58,29.94,22.41,45.29,42.57,25.9,62.26,16.35,12.92,35.13,64.9,117.35,
2020-KW16,9.34,,,18.71,45.67,17.56,29.94,14.94,,7.1,20.72,9.58,32.7,,,9.27,76.54,
2020-KW17,,,,18.71,27.4,17.56,22.45,44.81,7.55,21.29,41.45,33.53,21.8,25.84,,18.54,25.51,
2020-KW18,9.34,,,9.35,45.67,26.34,7.48,7.47,15.1,,25.9,4.79,16.35,,14.05,9.27,10.2,
2020-KW19,18.69,,,,36.54,26.34,7.48,14.94,15.1,7.1,10.36,4.79,,12.92,,,,
2020-KW20,,,,,,,7.48,7.47,,,,4.79,,,,,5.1,
2020-KW21,,,,,9.13,,7.48,,,,5.18,9.58,,6.46,,,5.1,
2020-KW22,,,,,,8.78,,14.94,,14.19,,4.79,,,,,5.1,
2020-KW23,,,,,,,7.48,,15.1,,,,5.45,,,,,
2020-KW24,9.34,9.59,9.7,9.35,9.13,,,14.94,,,,,,,,,,
2020-KW25,9.34,28.77,,,,8.78,14.97,,7.55,,,,,6.46,7.03,,,
2020-KW26,,,,9.35,9.13,8.78,7.48,,,,,,,,,,,
2020-KW27,,,,,,,,,,,,,,,,,5.1,
2020-KW28,,,,,,,7.48,,,,,,,,7.03,,5.1,
2020-KW29,,,,,,,,7.47,7.55,,,,,6.46,,,,
2020-KW30,18.69,,9.7,9.35,9.13,8.78,7.48,14.94,,14.19,5.18,,,,,,10.2,
2020-KW31,,9.59,9.7,28.06,,,,,15.1,7.1,,,5.45,,,,,
2020-KW32,9.34,28.77,19.39,28.06,9.13,8.78,14.97,22.41,15.1,14.19,5.18,4.79,,6.46,,9.27,,
2020-KW33,9.34,,,37.42,9.13,8.78,7.48,7.47,22.65,,5.18,14.37,,,7.03,,,
2020-KW34,,,,37.42,27.4,26.34,22.45,7.47,30.2,7.1,5.18,9.58,10.9,,,,5.1,
2020-KW35,,,19.39,9.35,9.13,,,7.47,,,,,,,,,,
2020-KW36,,9.59,,9.35,,,14.97,,7.55,14.19,5.18,14.37,,6.46,,,,
