# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-03 08:50:49
# API-Download für Covid19-Inzidenzen in LK Kelheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,13.49,24.46,,,,10.1,,11.61,,18.41,,,
2020-KW12,,50.84,,47.63,56.56,40.48,36.7,62.13,12.53,37.07,60.62,29.57,69.64,,36.81,24.62,13.97,
2020-KW13,,33.89,16.87,47.63,56.56,13.49,48.93,49.7,100.28,123.56,70.73,69.01,116.06,43.85,92.03,98.5,55.9,
2020-KW14,31.55,,16.87,63.51,70.7,161.92,61.16,186.38,87.74,172.99,191.98,108.44,92.85,131.56,128.84,73.87,251.54,
2020-KW15,,,16.87,47.63,113.12,161.92,48.93,99.4,75.21,74.14,80.83,88.72,58.03,14.62,73.62,73.87,167.69,
2020-KW16,,,33.75,,70.7,26.99,12.23,12.43,25.07,37.07,80.83,49.29,23.21,29.24,18.41,49.25,111.79,
2020-KW17,,,,,,40.48,24.46,,12.53,12.36,50.52,19.72,23.21,14.62,,73.87,69.87,
2020-KW18,,,16.87,,,,36.7,12.43,,12.36,,29.57,,,18.41,,,
2020-KW19,,16.95,,,14.14,,,,,,,9.86,,,,,,
2020-KW20,,,,15.88,,,,,,,,19.72,,,,24.62,,
2020-KW21,,16.95,,15.88,14.14,,,,,,10.1,,,,,,,
2020-KW22,,,,,,,,,,,,9.86,,,,,,
2020-KW24,,,,,,,,,12.53,,,,,,,,,
2020-KW25,,16.95,,,,,,12.43,,,,,,,,,,
2020-KW26,15.77,,,,,,12.23,12.43,,,,9.86,,,,,,
2020-KW27,15.77,,,,14.14,13.49,,,,12.36,40.42,,,,,,,
2020-KW28,15.77,,,,14.14,,12.23,,25.07,,,,,,,,,
2020-KW29,,33.89,,15.88,28.28,,12.23,,12.53,12.36,,9.86,11.61,,,24.62,13.97,
2020-KW30,,,,,,,,,12.53,12.36,20.21,,,,,,,
2020-KW31,15.77,,33.75,31.76,14.14,,12.23,24.85,12.53,12.36,20.21,,,,,,,
2020-KW32,15.77,,16.87,,,13.49,24.46,,,,,,23.21,,,,,
2020-KW33,15.77,33.89,33.75,15.88,42.42,26.99,36.7,37.28,25.07,12.36,20.21,,11.61,,,,,
2020-KW34,47.32,50.84,16.87,79.39,84.84,67.47,73.39,49.7,87.74,24.71,30.31,,,,18.41,,13.97,
2020-KW35,15.77,50.84,16.87,63.51,56.56,80.96,61.16,12.43,25.07,24.71,20.21,,,,,,13.97,
2020-KW36,15.77,,16.87,,56.56,26.99,24.46,24.85,,,30.31,,,,18.41,,13.97,
2020-KW37,15.77,,,15.88,42.42,80.96,,12.43,12.53,24.71,10.1,9.86,,14.62,,,,
