# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-03-05 07:43:17
# API-Download für Covid19-Inzidenzen in LK Konstanz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,5.63,,,,,,,,,,
2020-KW11,,,,,9.96,20.82,27.23,16.9,12.02,6.16,14.38,4.25,29.59,12.28,,,4.73,
2020-KW12,,,7.65,,4.98,26.03,21.79,22.54,30.04,18.48,43.13,21.23,39.45,12.28,7.21,18.11,,
2020-KW13,,,,,19.91,36.44,16.34,33.81,12.02,43.13,23.96,33.96,29.59,12.28,21.63,36.22,14.18,
2020-KW14,14.53,7.38,,20.98,74.68,72.88,59.91,84.51,72.1,67.77,81.47,55.19,44.38,42.98,43.26,36.22,33.08,
2020-KW15,,7.38,7.65,,4.98,20.82,21.79,33.81,36.05,30.81,57.51,33.96,19.73,30.7,28.84,27.16,18.9,
2020-KW16,7.27,,7.65,13.99,34.85,26.03,27.23,5.63,18.03,12.32,23.96,8.49,19.73,,14.42,,9.45,
2020-KW17,7.27,,7.65,6.99,24.89,,38.13,5.63,6.01,12.32,4.79,8.49,9.86,6.14,,9.05,4.73,
2020-KW18,,,,6.99,,20.82,,28.17,,12.32,4.79,12.74,9.86,6.14,7.21,,,
2020-KW19,,,7.65,6.99,,,5.45,16.9,6.01,,4.79,,4.93,,,,,
2020-KW20,,7.38,,6.99,,10.41,,,,,,,,,7.21,,9.45,
2020-KW21,,,,,,,,,6.01,6.16,,,,,,,4.73,
2020-KW22,,,,,,,,,,,,,,6.14,,,9.45,
2020-KW23,,,,,,,,,,,,,,,,,4.73,
2020-KW24,,,,,,,,,6.01,,,,,,,,,
2020-KW27,,,,,,,,,,,4.79,,,,,,,
2020-KW28,,,,,,,,,,6.16,,,,,,9.05,4.73,
2020-KW29,7.27,7.38,7.65,,4.98,15.62,5.45,22.54,6.01,,4.79,,,6.14,,,,
2020-KW30,7.27,7.38,,6.99,9.96,5.21,5.45,16.9,18.03,18.48,4.79,4.25,4.93,12.28,,18.11,14.18,
2020-KW31,7.27,,15.3,6.99,19.91,10.41,21.79,5.63,12.02,18.48,4.79,,14.79,,,,4.73,
2020-KW32,7.27,,,6.99,19.91,15.62,5.45,,6.01,,4.79,,,,,,,
2020-KW33,,,,27.98,29.87,10.41,,5.63,18.03,,14.38,,14.79,,,,,
2020-KW34,,14.75,15.3,20.98,29.87,15.62,10.89,28.17,18.03,6.16,4.79,4.25,4.93,,,,4.73,
2020-KW35,7.27,,7.65,27.98,9.96,15.62,16.34,,6.01,18.48,14.38,8.49,,,7.21,9.05,,
2020-KW36,,,,,34.85,10.41,5.45,5.63,18.03,12.32,19.17,8.49,9.86,,,,,
2020-KW37,7.27,22.13,15.3,34.97,14.94,5.21,5.45,11.27,,12.32,9.58,12.74,,,7.21,18.11,,
2020-KW38,7.27,29.51,15.3,,24.89,26.03,21.79,11.27,30.04,30.81,19.17,4.25,9.86,12.28,7.21,,14.18,
2020-KW39,7.27,,15.3,6.99,24.89,10.41,21.79,11.27,,,9.58,8.49,,6.14,,9.05,4.73,
2020-KW40,,,15.3,34.97,9.96,31.24,38.13,16.9,12.02,6.16,,4.25,,,,,,
2020-KW41,,36.88,30.59,111.91,29.87,15.62,43.57,16.9,12.02,24.64,33.55,33.96,19.73,18.42,7.21,,9.45,
2020-KW42,7.27,7.38,,55.96,89.62,57.27,27.23,39.44,30.04,36.97,33.55,16.98,24.66,12.28,14.42,18.11,14.18,
2020-KW43,,29.51,15.3,97.92,333.57,182.21,98.04,73.24,30.04,104.74,129.39,84.91,73.97,55.26,28.84,117.7,66.17,
2020-KW44,29.06,7.38,45.89,132.9,273.83,249.89,206.97,135.22,120.17,178.67,138.97,174.07,44.38,67.55,72.1,72.43,47.26,
2020-KW45,36.33,44.26,38.24,174.86,248.93,239.48,234.2,185.93,174.25,147.87,172.52,140.1,118.36,110.53,64.89,81.48,122.88,
2020-KW46,50.86,22.13,38.24,181.86,229.02,187.42,125.27,140.85,102.15,221.8,124.6,178.31,88.77,92.11,100.95,99.59,141.79,
2020-KW47,7.27,36.88,76.48,153.88,258.89,249.89,174.29,169.03,168.24,209.48,201.27,191.05,78.9,98.25,86.53,63.38,283.57,
2020-KW48,21.8,14.75,30.59,62.95,94.59,67.68,98.04,61.98,126.18,73.93,124.6,114.63,88.77,73.69,57.68,81.48,231.58,
2020-KW49,7.27,22.13,38.24,125.9,149.36,171.8,119.83,90.15,114.17,135.55,124.6,140.1,108.49,49.12,79.32,90.54,103.98,
2020-KW50,43.59,44.26,168.25,104.92,144.38,182.21,196.08,157.76,174.25,154.03,172.52,144.35,78.9,79.83,28.84,63.38,241.04,
2020-KW51,50.86,73.76,61.18,41.97,234.0,166.59,179.74,163.39,150.22,252.61,244.4,148.59,123.29,104.39,79.32,108.65,415.9,
2020-KW52,14.53,44.26,107.07,132.9,149.36,161.39,114.38,95.78,156.23,160.19,167.73,165.58,123.29,73.69,79.32,81.48,288.3,
2020-KW53,21.8,29.51,45.89,125.9,124.47,135.36,125.27,129.59,60.09,117.06,172.52,195.29,113.42,30.7,28.84,153.92,335.56,
2021-KW01,7.27,7.38,61.18,76.94,159.32,213.45,174.29,123.95,186.27,178.67,182.1,178.31,128.22,92.11,93.74,144.86,382.82,
2021-KW02,21.8,44.26,76.48,97.92,94.59,140.56,185.19,152.12,126.18,135.55,119.8,148.59,177.53,55.26,93.74,99.59,278.84,
2021-KW03,21.8,,22.94,55.96,99.57,109.33,125.27,73.24,132.19,104.74,110.22,72.17,93.7,73.69,50.47,36.22,103.98,
2021-KW04,,36.88,38.24,55.96,114.51,88.5,59.91,90.15,114.17,80.09,62.3,72.17,24.66,55.26,57.68,45.27,61.44,
2021-KW05,14.53,7.38,15.3,90.93,54.77,88.5,81.7,95.78,132.19,73.93,47.92,76.42,69.04,12.28,21.63,45.27,42.54,
2021-KW06,29.06,59.01,45.89,69.95,64.72,72.88,76.25,67.61,90.13,55.45,47.92,63.68,54.25,61.41,21.63,18.11,56.71,
2021-KW07,14.53,14.75,45.89,111.91,99.57,140.56,130.72,90.15,102.15,129.38,95.84,106.14,54.25,92.11,21.63,18.11,51.99,
2021-KW08,36.33,81.14,107.07,146.89,124.47,109.33,103.49,107.05,120.17,141.71,110.22,80.66,73.97,18.42,50.47,54.32,108.7,
2021-KW09,36.33,73.76,53.53,132.9,134.42,156.18,98.04,107.05,126.18,147.87,91.05,123.12,78.9,61.41,36.05,54.32,75.62,
2021-KW10,43.59,51.63,107.07,139.89,204.12,145.77,136.17,101.42,174.25,147.87,158.14,165.58,108.49,55.26,57.68,81.48,99.25,
2021-KW11,50.86,95.89,122.36,160.88,169.27,150.97,92.59,191.56,174.25,184.83,196.48,186.8,118.36,79.83,50.47,117.7,61.44,
2021-KW12,167.1,169.65,145.3,167.87,129.45,161.39,185.19,225.37,162.24,147.87,186.9,135.86,64.11,85.97,57.68,144.86,75.62,
2021-KW13,58.12,95.89,122.36,104.92,119.49,187.42,168.85,208.47,138.2,141.71,158.14,169.82,73.97,30.7,72.1,36.22,28.36,
2021-KW14,58.12,66.39,68.83,160.88,159.32,156.18,255.99,236.64,156.23,209.48,158.14,152.84,133.15,104.39,115.37,90.54,89.8,
2021-KW15,79.92,199.16,107.07,223.83,189.19,260.3,212.42,231.0,204.3,221.8,191.69,174.07,162.74,122.81,115.37,108.65,80.35,
2021-KW16,123.51,110.64,214.13,328.75,189.19,260.3,239.65,157.76,270.39,215.64,287.53,199.54,138.08,159.65,86.53,63.38,70.89,
2021-KW17,50.86,110.64,152.95,202.84,164.3,135.36,157.95,191.56,162.24,129.38,186.9,93.4,98.63,98.25,79.32,54.32,37.81,
2021-KW18,72.65,95.89,84.12,139.89,94.59,88.5,103.49,129.59,114.17,86.26,62.3,67.93,59.18,49.12,43.26,90.54,28.36,
2021-KW19,14.53,110.64,122.36,76.94,94.59,31.24,65.36,95.78,60.09,80.09,52.71,84.91,83.84,42.98,21.63,,9.45,
2021-KW20,50.86,118.02,61.18,97.92,69.7,72.88,59.91,129.59,48.07,98.58,57.51,46.7,29.59,24.56,7.21,27.16,33.08,
2021-KW21,21.8,29.51,53.53,41.97,29.87,10.41,38.13,33.81,18.03,49.29,23.96,4.25,29.59,6.14,21.63,9.05,4.73,
2021-KW22,7.27,22.13,53.53,48.96,34.85,36.44,21.79,33.81,24.03,43.13,4.79,29.72,4.93,6.14,21.63,,,
2021-KW23,,22.13,22.94,62.95,24.89,20.82,27.23,33.81,30.04,24.64,9.58,4.25,4.93,6.14,7.21,,14.18,
2021-KW24,7.27,7.38,7.65,13.99,9.96,41.65,16.34,39.44,12.02,6.16,4.79,4.25,4.93,6.14,,,4.73,
2021-KW25,,7.38,,13.99,9.96,5.21,5.45,,,,,,9.86,,,,,
2021-KW26,,,,,14.94,5.21,,,,,,,,,7.21,,,
2021-KW27,,,,,,10.41,10.89,5.63,6.01,,4.79,,,,,,,
2021-KW28,,14.75,38.24,13.99,9.96,5.21,27.23,11.27,12.02,24.64,14.38,,,,7.21,,,
2021-KW29,7.27,22.13,15.3,,24.89,10.41,32.68,5.63,12.02,6.16,4.79,8.49,4.93,,,,4.73,
2021-KW30,14.53,36.88,15.3,6.99,19.91,26.03,27.23,5.63,6.01,6.16,4.79,,,,,,,
2021-KW31,29.06,51.63,,20.98,9.96,10.41,21.79,39.44,12.02,12.32,14.38,12.74,19.73,6.14,,,9.45,
2021-KW32,36.33,44.26,15.3,55.96,89.62,52.06,32.68,39.44,12.02,24.64,43.13,16.98,4.93,6.14,7.21,18.11,4.73,
2021-KW33,14.53,29.51,45.89,76.94,109.53,62.47,114.38,73.24,66.1,49.29,28.75,25.47,24.66,6.14,7.21,,4.73,
2021-KW34,21.8,59.01,152.95,118.91,179.23,119.74,125.27,118.32,132.19,98.58,71.88,50.95,14.79,24.56,7.21,9.05,9.45,
2021-KW35,36.33,110.64,130.01,69.95,104.55,114.53,152.51,118.32,138.2,98.58,57.51,72.17,24.66,30.7,28.84,27.16,42.54,
2021-KW36,43.59,66.39,152.95,146.89,149.36,98.91,168.85,157.76,120.17,73.93,47.92,42.46,54.25,6.14,28.84,9.05,,
2021-KW37,58.12,154.9,183.54,160.88,74.68,83.3,76.25,140.85,60.09,92.42,47.92,67.93,9.86,30.7,14.42,,14.18,
2021-KW38,29.06,118.02,107.07,118.91,49.79,57.27,65.36,56.34,72.1,49.29,19.17,33.96,14.79,12.28,14.42,18.11,9.45,
2021-KW39,14.53,118.02,152.95,62.95,59.74,98.91,54.47,39.44,48.07,92.42,33.55,33.96,19.73,18.42,,18.11,33.08,
2021-KW40,50.86,88.52,114.71,97.92,74.68,140.56,70.81,140.85,84.12,73.93,62.3,33.96,24.66,30.7,14.42,,23.63,
2021-KW41,21.8,59.01,107.07,167.87,184.21,109.33,65.36,112.68,108.16,73.93,62.3,38.21,39.45,24.56,28.84,27.16,51.99,
2021-KW42,36.33,81.14,198.84,188.85,214.08,182.21,223.31,118.32,78.11,129.38,110.22,93.4,93.7,36.84,43.26,36.22,18.9,
2021-KW43,43.59,317.18,305.9,188.85,194.17,135.36,185.19,152.12,180.26,172.51,100.64,93.4,93.7,30.7,50.47,63.38,61.44,
