# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-10-17 09:23:28
# API-Download für Covid19-Inzidenzen in LK Kulmbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,25.76,,,,,,,,,,
2020-KW12,,,344.87,,55.86,27.51,51.41,25.76,24.96,22.48,16.67,,,20.09,,,,
2020-KW13,34.83,37.16,,31.25,167.57,165.08,179.95,103.04,99.83,112.39,66.69,46.04,16.77,,47.22,35.21,104.82,
2020-KW14,,37.16,,,83.78,55.03,51.41,77.28,24.96,247.27,116.7,76.73,83.84,,,35.21,34.94,
2020-KW15,,,,93.74,27.93,55.03,51.41,77.28,99.83,112.39,16.67,15.35,33.54,60.27,94.44,70.41,104.82,
2020-KW16,,37.16,68.97,,111.71,27.51,,51.52,74.87,22.48,,61.38,16.77,20.09,23.61,105.62,,
2020-KW17,34.83,,34.49,62.49,27.93,,,25.76,24.96,,66.69,46.04,,,,35.21,17.47,
2020-KW18,,37.16,,,83.78,55.03,77.12,25.76,,67.44,83.36,61.38,67.07,20.09,,35.21,34.94,
2020-KW19,,,,31.25,,82.54,,25.76,24.96,22.48,,30.69,33.54,,23.61,35.21,,
2020-KW20,34.83,,,,,,,,,44.96,,15.35,,,23.61,,17.47,
2020-KW22,34.83,,,,,,,,,,,,,,,,,
2020-KW24,,,,,,,,,24.96,,,,,,,,,
2020-KW31,,,,,,,,25.76,24.96,,,,,,,,,
2020-KW32,,,,,,,,25.76,,,,,,,,,,
2020-KW33,,,,,,,,,,,33.34,,,,,35.21,,
2020-KW34,,37.16,,,27.93,,,,49.91,22.48,,,,,,,,
2020-KW35,,,,,,,,,,,,,,,,,17.47,
2020-KW37,,,34.49,312.47,83.78,27.51,25.71,,,,83.36,30.69,,20.09,23.61,,,
2020-KW38,,37.16,34.49,218.73,55.86,82.54,51.41,,24.96,44.96,16.67,,,,,35.21,17.47,
2020-KW39,,,,124.99,27.93,27.51,,,,,83.36,,,,,,,
2020-KW40,,,,,27.93,,,25.76,24.96,,16.67,,,,,,,
2020-KW41,,,,,27.93,27.51,,,,,,30.69,,,23.61,,,
2020-KW42,34.83,,206.92,,55.86,165.08,,25.76,,44.96,33.34,15.35,50.3,,,,,
2020-KW43,34.83,74.32,206.92,249.97,83.78,165.08,102.83,103.04,124.78,89.91,150.04,61.38,67.07,20.09,23.61,35.21,,
2020-KW44,243.82,222.97,344.87,718.68,390.99,192.59,102.83,309.12,299.48,247.27,183.38,92.07,117.38,60.27,94.44,,69.88,
2020-KW45,104.49,74.32,,156.23,111.71,55.03,77.12,25.76,99.83,89.91,166.71,46.04,67.07,,47.22,105.62,69.88,
2020-KW46,34.83,,,62.49,27.93,110.05,25.71,128.8,24.96,22.48,83.36,107.42,,40.18,23.61,70.41,34.94,
2020-KW47,,,,31.25,55.86,55.03,25.71,77.28,124.78,67.44,83.36,76.73,33.54,20.09,94.44,70.41,17.47,
2020-KW48,104.49,74.32,103.46,93.74,139.64,165.08,128.53,231.84,124.78,89.91,66.69,61.38,83.84,,94.44,70.41,,
2020-KW49,243.82,185.8,103.46,93.74,223.42,330.15,128.53,231.84,174.69,179.83,133.37,122.76,117.38,40.18,70.83,140.83,34.94,
2020-KW50,69.66,111.48,137.95,93.74,167.57,220.1,308.48,154.56,174.69,157.35,150.04,199.49,150.91,120.53,70.83,35.21,17.47,
2020-KW51,69.66,111.48,137.95,187.48,307.21,137.56,282.78,180.32,174.69,202.31,116.7,153.45,50.3,100.44,118.05,246.45,436.76,
2020-KW52,104.49,74.32,137.95,62.49,83.78,220.1,102.83,154.56,274.52,179.83,166.71,168.8,184.45,180.8,94.44,246.45,890.99,
2020-KW53,139.32,297.29,103.46,249.97,139.64,220.1,179.95,386.4,249.56,179.83,283.41,291.56,134.15,200.88,212.5,211.24,1013.28,
2021-KW01,69.66,297.29,172.43,312.47,474.77,440.21,385.6,360.64,374.34,314.7,416.78,260.87,234.75,100.44,212.5,422.49,559.05,
2021-KW02,174.16,,68.97,249.97,335.13,137.56,334.19,283.36,224.61,337.18,266.74,153.45,150.91,100.44,70.83,246.45,297.0,
2021-KW03,69.66,185.8,103.46,124.99,195.49,330.15,205.66,103.04,99.83,89.91,216.73,107.42,217.99,60.27,23.61,35.21,174.7,
2021-KW04,208.99,260.13,68.97,31.25,307.21,137.56,102.83,128.8,99.83,89.91,216.73,76.73,83.84,60.27,70.83,35.21,157.23,
2021-KW05,104.49,37.16,137.95,124.99,195.49,110.05,25.71,180.32,74.87,89.91,66.69,61.38,33.54,60.27,70.83,35.21,87.35,
2021-KW06,34.83,74.32,137.95,62.49,83.78,110.05,51.41,128.8,49.91,157.35,83.36,76.73,67.07,20.09,,70.41,52.41,
2021-KW07,208.99,148.64,68.97,187.48,418.92,247.62,179.95,180.32,349.39,359.66,133.37,168.8,100.61,40.18,94.44,35.21,17.47,
2021-KW08,487.63,371.61,172.43,156.23,363.06,440.21,257.07,257.6,199.65,157.35,316.75,245.52,184.45,140.62,23.61,70.41,69.88,
2021-KW09,626.96,483.09,379.35,218.73,279.28,385.18,437.02,566.72,99.83,269.74,233.4,199.49,217.99,80.35,118.05,176.04,69.88,
2021-KW10,208.99,260.13,310.38,249.97,251.35,357.67,462.72,540.96,249.56,314.7,316.75,260.87,301.83,160.71,141.67,35.21,122.29,
2021-KW11,626.96,148.64,172.43,468.7,390.99,330.15,334.19,437.92,249.56,224.79,216.73,368.29,251.52,241.06,141.67,211.24,192.17,
2021-KW12,557.3,483.09,310.38,343.71,363.06,330.15,359.9,412.16,449.21,427.09,250.07,260.87,234.75,140.62,141.67,105.62,209.64,
2021-KW13,487.63,520.25,344.87,249.97,390.99,385.18,462.72,463.68,274.52,224.79,250.07,245.52,83.84,80.35,188.89,140.83,192.17,
2021-KW14,208.99,297.29,379.35,499.95,335.13,330.15,257.07,154.56,324.43,404.62,150.04,245.52,201.22,160.71,47.22,70.41,69.88,
2021-KW15,139.32,185.8,310.38,312.47,726.12,27.51,231.36,206.08,249.56,224.79,133.37,122.76,117.38,180.8,23.61,70.41,52.41,
2021-KW16,243.82,185.8,482.81,374.96,418.92,247.62,385.6,412.16,399.3,292.22,200.06,214.83,134.15,140.62,23.61,105.62,34.94,
2021-KW17,,185.8,310.38,62.49,167.57,110.05,25.71,103.04,374.34,224.79,66.69,122.76,67.07,40.18,47.22,35.21,34.94,
2021-KW18,69.66,74.32,103.46,218.73,167.57,55.03,102.83,128.8,99.83,157.35,100.03,107.42,16.77,60.27,23.61,,157.23,
2021-KW19,34.83,111.48,137.95,156.23,139.64,27.51,25.71,77.28,24.96,89.91,66.69,30.69,33.54,40.18,,70.41,122.29,
2021-KW20,34.83,,34.49,62.49,,27.51,25.71,77.28,,22.48,50.01,46.04,16.77,20.09,,,,
2021-KW21,,37.16,,,55.86,110.05,,25.76,,,33.34,30.69,16.77,,,,,
2021-KW22,,,68.97,31.25,27.93,,51.41,,24.96,,16.67,,16.77,,,,,
2021-KW23,,,,31.25,,,,,,22.48,,,,,,,,
2021-KW24,,,,,,,,25.76,,,16.67,,,,,,17.47,
2021-KW25,,,,93.74,27.93,27.51,,,24.96,,33.34,,,20.09,,,,
2021-KW28,,,,,,,25.71,,,,,,,,,,,
2021-KW29,,,,,27.93,,,,,,16.67,,,,,,,
2021-KW30,,,,,27.93,,25.71,,,,,15.35,,,,,,
2021-KW31,,,,,,,,,,,,,33.54,20.09,,,,
2021-KW32,34.83,,,,,55.03,77.12,,,,,,,,,,,
2021-KW33,,37.16,34.49,62.49,27.93,,25.71,25.76,49.91,22.48,16.67,,,,,,,
2021-KW34,34.83,74.32,34.49,31.25,27.93,55.03,102.83,51.52,74.87,67.44,,30.69,,40.18,,,,
2021-KW35,69.66,148.64,103.46,62.49,279.28,,102.83,51.52,149.74,44.96,,46.04,33.54,,70.83,,,
2021-KW36,,185.8,34.49,93.74,307.21,55.03,77.12,51.52,99.83,89.91,66.69,30.69,,20.09,47.22,35.21,17.47,
2021-KW37,69.66,,103.46,31.25,55.86,165.08,51.41,25.76,74.87,44.96,16.67,,16.77,20.09,,,,
2021-KW38,69.66,74.32,68.97,31.25,27.93,27.51,77.12,77.28,,22.48,33.34,,,,,35.21,,
2021-KW39,626.96,334.45,206.92,218.73,55.86,110.05,128.53,128.8,74.87,202.31,183.38,46.04,33.54,,94.44,70.41,34.94,
2021-KW40,34.83,111.48,34.49,,83.78,82.54,,77.28,49.91,44.96,66.69,,,40.18,23.61,70.41,17.47,
2021-KW41,34.83,74.32,103.46,93.74,111.71,137.56,77.12,25.76,124.78,44.96,83.36,61.38,33.54,60.27,70.83,35.21,,
2021-KW42,139.32,222.97,310.38,218.73,111.71,110.05,102.83,180.32,149.74,112.39,166.71,92.07,16.77,,70.83,35.21,52.41,
2021-KW43,208.99,74.32,206.92,156.23,139.64,137.56,334.19,231.84,124.78,134.87,100.03,122.76,50.3,100.44,23.61,35.21,174.7,
2021-KW44,,260.13,137.95,62.49,251.35,275.13,179.95,180.32,224.61,247.27,233.4,214.83,167.68,160.71,70.83,176.04,314.47,
2021-KW45,139.32,557.41,413.84,281.22,195.49,137.56,385.6,154.56,424.26,269.74,250.07,322.25,335.36,321.41,306.94,316.86,192.17,
2021-KW46,208.99,1151.99,620.76,249.97,195.49,330.15,514.14,540.96,374.34,449.57,366.77,291.56,251.52,281.24,283.33,387.28,209.64,
2021-KW47,34.83,222.97,551.79,406.21,111.71,247.62,179.95,309.12,324.43,674.36,250.07,260.87,201.22,180.8,330.55,246.45,157.23,
2021-KW48,243.82,260.13,379.35,281.22,307.21,412.69,359.9,412.16,324.43,247.27,350.1,337.6,201.22,180.8,94.44,246.45,122.29,
2021-KW49,174.16,594.57,310.38,249.97,195.49,330.15,282.78,360.64,399.3,292.22,216.73,168.8,201.22,80.35,118.05,140.83,52.41,
2021-KW50,243.82,483.09,379.35,312.47,279.28,220.1,257.07,412.16,224.61,134.87,150.04,168.8,167.68,60.27,70.83,35.21,87.35,
2021-KW51,,297.29,344.87,156.23,55.86,165.08,102.83,206.08,274.52,202.31,133.37,138.11,150.91,100.44,23.61,,69.88,
