# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-02-09 07:50:04
# API-Download für Covid19-Inzidenzen in LK Kusel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,57.32,51.03,25.79,26.71,,130.24,15.57,,,,,,
2020-KW12,,,,,,28.66,,,26.71,,55.82,62.29,,,,39.27,,
2020-KW13,,,,,61.51,57.32,,103.17,26.71,26.03,55.82,77.87,32.14,18.4,,,,
2020-KW14,,,,32.65,61.51,28.66,102.07,51.59,80.14,,,62.29,,36.81,,,,
2020-KW15,,,,,61.51,28.66,51.03,51.59,26.71,,18.61,31.15,,18.4,48.49,,36.62,
2020-KW16,,,,,,,,25.79,,,37.21,,,,,,18.31,
2020-KW17,,,,,30.75,,,,,,18.61,,,,,39.27,,
2020-KW19,,,,,,,,,,,,15.57,16.07,,,,,
2020-KW20,,,,,30.75,,,,,,,,,,,,,
2020-KW21,,,,,,28.66,,,,,,,,,,,,
2020-KW27,,,,,61.51,28.66,,,,26.03,18.61,,,,,,,
2020-KW29,,,,,,,25.52,,26.71,,,,,,,,,
2020-KW30,,,,,30.75,,,,,,,,,,,,,
2020-KW31,,65.6,,,,28.66,,51.59,,,,,,,24.25,,,
2020-KW32,,32.8,,130.59,30.75,28.66,,,53.43,,,15.57,,,,,,
2020-KW33,,,,,,,,,,26.03,,,,,,,,
2020-KW34,,65.6,,32.65,,57.32,,25.79,,,,,,,,,,
2020-KW35,,32.8,,,,,25.52,51.59,,,,15.57,,,,,,
2020-KW37,,32.8,,,,,,,53.43,,,,,,,,,
2020-KW38,,32.8,,,,,,,,26.03,,,16.07,,,,,
2020-KW39,,,,,,,,,26.71,,,,,,24.25,,,
2020-KW40,,,,,,,,,,26.03,,,,,,,,
2020-KW41,,,,,30.75,,51.03,,,26.03,37.21,,,,,,,
2020-KW42,,,,,30.75,28.66,25.52,77.38,,26.03,,,,18.4,,,,
2020-KW43,30.38,32.8,34.59,32.65,61.51,57.32,102.07,51.59,80.14,104.1,74.42,77.87,64.28,36.81,,78.53,36.62,
2020-KW44,,65.6,34.59,163.24,369.04,114.64,127.58,103.17,160.28,78.08,148.85,202.45,80.35,184.05,72.74,117.8,128.17,
2020-KW45,60.77,32.8,69.19,522.36,645.82,315.25,408.27,309.52,187.0,286.28,241.88,233.6,321.41,202.45,121.23,157.07,677.45,
2020-KW46,91.15,229.61,345.94,424.42,553.56,286.59,178.62,283.72,106.86,286.28,223.27,77.87,128.56,36.81,96.99,235.6,622.52,
2020-KW47,30.38,98.4,172.97,391.77,215.27,143.29,127.58,206.35,374.0,208.21,241.88,124.58,112.49,73.62,145.48,39.27,311.26,
2020-KW48,182.3,32.8,276.75,261.18,338.29,143.29,255.17,103.17,187.0,182.18,223.27,77.87,96.42,92.02,24.25,196.34,292.95,
2020-KW49,91.15,32.8,103.78,195.89,184.52,315.25,178.62,257.93,53.43,130.13,130.24,109.01,128.56,18.4,48.49,39.27,219.71,
