# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-15 05:57:51
# API-Download für Covid19-Inzidenzen in LK Lahn-Dill-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,6.64,,,,4.69,,,,,,,
2020-KW11,,,,,7.32,,13.27,20.29,6.87,12.37,4.69,13.93,,6.49,,,,
2020-KW12,,,,16.02,7.32,20.89,6.64,20.29,41.23,43.3,37.54,60.38,22.17,,8.47,,,
2020-KW13,,,,16.02,36.61,62.66,13.27,74.4,48.1,49.49,65.7,46.45,16.63,12.99,42.36,8.62,44.78,
2020-KW14,8.52,8.89,34.17,16.02,43.93,55.69,6.64,20.29,20.61,30.93,61.01,46.45,44.33,45.46,33.89,43.11,33.59,
2020-KW15,8.52,8.89,,,,20.89,26.54,27.06,27.49,6.19,23.47,32.51,5.54,25.98,25.42,8.62,95.16,
2020-KW16,,8.89,,16.02,14.64,,6.64,13.53,13.74,,4.69,18.58,11.08,12.99,8.47,,16.79,
2020-KW17,,,,,14.64,,6.64,6.76,,6.19,9.39,4.64,5.54,,,25.86,5.6,
2020-KW18,,,,,,,,6.76,,,,,,6.49,,,11.2,
2020-KW19,,,,8.01,,,,,,,,4.64,,,16.94,8.62,,
2020-KW20,,,,,,6.96,,,,,,,,6.49,,,,
2020-KW21,,,,,,,,,,,,,,,8.47,,,
2020-KW24,,,,,,,,,6.87,,,,,,,,,
2020-KW26,,,,,,6.96,,,,,,,,,,,,
2020-KW27,,,,,,6.96,,,6.87,,,,,,,,,
2020-KW28,,,,,7.32,20.89,,,,,,,,,,,,
2020-KW29,,,,,7.32,,,,,,,,,,,,,
2020-KW30,,,,,,13.92,,6.76,,,,,5.54,6.49,,,5.6,
2020-KW31,8.52,,,24.03,14.64,6.96,,,,30.93,4.69,4.64,5.54,,,,,
2020-KW32,,17.77,25.63,8.01,7.32,6.96,,20.29,6.87,,,4.64,,6.49,,,5.6,
2020-KW33,,,8.54,16.02,7.32,6.96,,,,,14.08,,,12.99,8.47,,,
2020-KW34,8.52,17.77,17.08,8.01,29.29,6.96,26.54,,34.36,6.19,14.08,18.58,,6.49,,,5.6,
2020-KW35,,,42.71,,7.32,6.96,6.64,20.29,,,4.69,9.29,11.08,,,8.62,,
2020-KW36,,8.89,,,7.32,6.96,,6.76,,,23.47,,,6.49,,,,
2020-KW37,,8.89,,16.02,7.32,6.96,,20.29,6.87,6.19,4.69,,,6.49,8.47,,,
2020-KW38,,,34.17,40.06,7.32,27.85,,33.82,20.61,,4.69,4.64,11.08,12.99,,8.62,,
2020-KW39,8.52,,8.54,16.02,7.32,6.96,,6.76,,12.37,4.69,9.29,5.54,,,8.62,22.39,
2020-KW40,,17.77,34.17,40.06,51.25,13.92,13.27,20.29,20.61,18.56,14.08,13.93,5.54,6.49,8.47,,16.79,
2020-KW41,,35.54,17.08,24.03,109.83,20.89,39.81,47.35,96.2,43.3,42.24,23.22,16.63,12.99,16.94,34.49,33.59,
2020-KW42,25.57,17.77,8.54,56.08,65.9,83.54,112.81,81.17,48.1,61.86,51.62,41.8,33.25,12.99,16.94,17.24,11.2,
2020-KW43,93.74,133.29,119.59,208.3,234.29,264.55,199.07,128.52,116.81,136.1,136.1,102.18,38.79,38.97,33.89,43.11,44.78,
2020-KW44,102.27,177.71,247.72,264.38,329.48,327.21,159.26,182.63,213.01,272.19,178.34,143.99,72.04,77.93,67.78,60.35,72.77,
2020-KW45,93.74,106.63,128.13,200.29,241.62,243.66,265.43,202.92,137.43,86.61,140.79,162.56,72.04,71.44,118.61,60.35,83.96,
2020-KW46,51.13,88.86,76.88,184.27,219.65,243.66,172.53,155.57,171.79,204.14,89.17,106.83,49.88,58.45,42.36,43.11,83.96,
2020-KW47,93.74,177.71,187.92,304.44,322.16,229.74,218.98,182.63,199.27,123.72,201.8,222.94,149.63,64.94,93.2,86.21,190.32,
2020-KW48,59.66,151.06,256.26,328.47,292.87,250.63,172.53,223.21,254.24,222.7,112.63,120.76,77.58,84.43,93.2,112.08,335.85,
2020-KW49,25.57,79.97,85.42,104.15,153.76,181.01,172.53,162.34,164.91,160.84,112.63,125.41,121.92,45.46,84.72,68.97,167.93,
2020-KW50,59.66,71.09,111.04,168.24,205.01,146.2,152.62,121.75,185.53,216.52,145.49,148.63,83.13,25.98,25.42,103.46,128.74,
2020-KW51,85.22,142.17,170.84,176.25,292.87,264.55,172.53,189.39,219.89,241.26,215.88,162.56,199.5,84.43,144.03,129.32,218.3,
2020-KW52,42.61,71.09,42.71,144.21,58.57,153.16,165.89,135.28,158.04,179.4,117.33,162.56,99.75,90.92,76.25,60.35,195.91,
2020-KW53,76.7,79.97,68.34,144.21,161.08,160.12,132.71,169.1,178.66,167.03,112.63,88.25,99.75,51.95,84.72,68.97,139.94,
2021-KW01,51.13,79.97,111.04,120.17,278.23,257.59,185.8,263.8,206.14,185.59,145.49,116.12,182.88,116.9,59.31,34.49,117.55,
2021-KW02,76.7,62.2,85.42,112.16,241.62,139.24,238.89,94.7,219.89,117.54,126.71,116.12,88.67,84.43,101.67,94.84,190.32,
2021-KW03,17.04,26.66,76.88,88.13,139.11,167.08,139.35,169.1,130.56,80.42,89.17,102.18,155.17,51.95,135.56,86.21,257.49,
2021-KW04,59.66,53.31,102.5,120.17,131.79,160.12,192.44,128.52,144.3,154.66,103.25,60.38,83.13,58.45,101.67,137.94,335.85,
2021-KW05,,97.74,59.79,136.2,139.11,160.12,99.54,101.46,144.3,167.03,117.33,134.7,133.0,97.42,110.14,181.05,240.69,
2021-KW06,25.57,62.2,119.59,144.21,175.72,139.24,132.71,108.23,130.56,197.96,107.94,92.89,72.04,51.95,101.67,60.35,134.34,
2021-KW07,8.52,17.77,51.25,112.16,161.08,97.47,106.17,60.88,96.2,117.54,89.17,92.89,77.58,51.95,42.36,68.97,162.33,
2021-KW08,76.7,106.63,102.5,120.17,197.69,83.54,145.99,94.7,103.07,92.79,98.55,78.96,44.33,45.46,42.36,34.49,179.12,
2021-KW09,110.79,195.49,136.67,184.27,183.04,167.08,185.8,148.81,164.91,154.66,150.18,120.76,88.67,58.45,59.31,25.86,128.74,
2021-KW10,102.27,222.14,205.01,224.32,263.58,187.97,179.16,223.21,206.14,167.03,168.95,153.27,94.21,84.43,59.31,43.11,55.98,
2021-KW11,178.97,319.89,264.8,264.38,205.01,250.63,252.16,202.92,192.4,272.19,126.71,167.21,99.75,110.4,118.61,60.35,106.35,
2021-KW12,230.1,355.43,264.8,320.46,336.8,243.66,318.51,250.27,254.24,185.59,173.64,167.21,149.63,97.42,93.2,112.08,100.76,
2021-KW13,178.97,151.06,213.55,272.39,263.58,278.47,325.15,257.03,274.86,272.19,229.96,222.94,188.42,162.36,186.39,163.81,117.55,
2021-KW14,144.88,213.26,205.01,256.37,366.09,292.4,318.51,250.27,247.37,247.45,206.5,171.85,166.25,129.89,144.03,51.73,61.57,
2021-KW15,102.27,222.14,307.51,400.58,322.16,327.21,265.43,324.68,288.6,259.82,220.57,222.94,138.54,149.37,101.67,112.08,50.38,
2021-KW16,68.18,177.71,145.21,200.29,256.26,243.66,325.15,250.27,226.76,241.26,164.26,167.21,127.46,123.39,101.67,43.11,33.59,
2021-KW17,76.7,151.06,273.34,256.37,307.51,229.74,185.8,257.03,192.4,204.14,183.03,190.43,110.83,58.45,110.14,77.59,72.77,
2021-KW18,76.7,159.94,187.92,264.38,212.33,167.08,265.43,182.63,137.43,98.98,122.02,106.83,149.63,84.43,59.31,17.24,44.78,
2021-KW19,85.22,151.06,153.75,176.25,131.79,90.5,132.71,94.7,89.33,98.98,112.63,111.47,83.13,64.94,25.42,,44.78,
2021-KW20,76.7,115.51,128.13,152.22,80.54,48.73,33.18,94.7,137.43,55.68,70.4,83.6,44.33,32.47,33.89,25.86,33.59,
2021-KW21,25.57,35.54,59.79,56.08,21.97,6.96,19.91,13.53,54.97,24.74,32.85,4.64,,6.49,16.94,8.62,16.79,
2021-KW22,25.57,17.77,34.17,16.02,14.64,6.96,6.64,20.29,27.49,24.74,18.77,23.22,5.54,,,,,
2021-KW23,8.52,17.77,17.08,8.01,14.64,34.81,19.91,20.29,6.87,6.19,9.39,4.64,5.54,,16.94,,5.6,
