# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-24 07:53:25
# API-Download für Covid19-Inzidenzen in LK Leer, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,9.42,,,,,,,,,,,
2020-KW11,,,,,,,,,,,,13.86,,,,,,
2020-KW12,,,,11.08,,20.59,9.42,10.14,10.47,,14.07,13.86,,9.51,,,,
2020-KW13,,,,22.16,31.35,10.3,18.83,10.14,,27.98,21.1,13.86,16.56,,11.11,,,
2020-KW14,,,12.41,22.16,20.9,10.3,18.83,10.14,10.47,18.65,21.1,20.79,33.12,19.02,11.11,,,
2020-KW15,,,,,10.45,10.3,,,10.47,9.33,14.07,,,9.51,,29.36,9.05,
2020-KW16,,,,11.08,10.45,,9.42,,10.47,,14.07,20.79,33.12,,11.11,14.68,18.1,
2020-KW17,,,,,,10.3,9.42,10.14,10.47,,,,8.28,9.51,,,9.05,
2020-KW18,,,,,,20.59,,,,,,,16.56,,,,,
2020-KW19,,,,,,,,,,,,,8.28,9.51,,,9.05,
2020-KW21,,,,,,,,20.28,10.47,27.98,7.03,6.93,,28.54,33.34,14.68,9.05,
2020-KW22,,,,,31.35,20.59,9.42,10.14,31.4,9.33,35.17,27.72,,9.51,11.11,,18.1,
2020-KW23,,,,,10.45,,,,,,7.03,,,9.51,,,,
2020-KW24,,,,,,,,,,,14.07,,,9.51,,,,
2020-KW25,,,,,,,,,10.47,,,,,,,,,
2020-KW27,,,,,,,,,,,,6.93,,,,,,
2020-KW28,,,,,,,,,,,,6.93,,,,,,
2020-KW29,,,,,,10.3,,,,,,,,,,14.68,,
2020-KW32,,,,,,,9.42,,,,,,,,,,,
2020-KW33,,,,11.08,10.45,10.3,,,10.47,,,6.93,,,,,,
2020-KW34,,25.51,,11.08,31.35,20.59,,10.14,,27.98,14.07,,,,,,,
2020-KW35,,,12.41,11.08,,,,,,18.65,,,,9.51,,,,
2020-KW36,,,,11.08,,10.3,9.42,10.14,,9.33,,6.93,8.28,9.51,,,,
2020-KW37,,38.27,99.3,33.24,,,37.67,10.14,,,,,8.28,,,,,
2020-KW38,,25.51,62.07,55.4,20.9,20.59,,50.69,20.94,18.65,7.03,13.86,,,,,,
2020-KW39,,12.76,,,31.35,,18.83,10.14,,,,6.93,8.28,,,,,
2020-KW40,,,12.41,11.08,10.45,20.59,28.25,,10.47,9.33,14.07,6.93,8.28,,,,18.1,
2020-KW41,,,198.61,88.63,31.35,10.3,18.83,40.55,10.47,27.98,28.14,27.72,33.12,19.02,11.11,,9.05,
2020-KW42,11.87,12.76,24.83,66.47,31.35,30.89,18.83,30.41,41.87,65.29,35.17,34.65,41.4,,22.23,,18.1,
2020-KW43,11.87,25.51,12.41,44.32,94.04,20.59,37.67,40.55,31.4,46.64,28.14,41.58,57.96,19.02,33.34,29.36,9.05,
2020-KW44,23.74,25.51,24.83,88.63,73.15,61.77,56.5,81.1,62.81,65.29,42.2,20.79,16.56,9.51,11.11,44.04,36.2,
2020-KW45,35.61,51.03,49.65,33.24,83.59,102.95,103.59,70.97,41.87,46.64,35.17,83.15,24.84,38.05,,14.68,45.25,
2020-KW46,23.74,63.78,37.24,155.11,198.54,113.25,188.34,60.83,83.74,130.58,98.47,62.37,49.68,19.02,44.46,29.36,,
2020-KW47,23.74,25.51,24.83,44.32,146.29,51.48,56.5,40.55,52.34,74.62,77.37,48.51,16.56,76.1,,,36.2,
2020-KW48,11.87,12.76,37.24,55.4,52.25,51.48,75.34,50.69,94.21,37.31,28.14,83.15,41.4,28.54,11.11,,36.2,
2020-KW49,11.87,12.76,62.07,11.08,31.35,72.07,37.67,40.55,31.4,74.62,49.24,20.79,33.12,28.54,11.11,14.68,9.05,
