# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-26 05:58:58
# API-Download für Covid19-Inzidenzen in LK Leipzig, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,13.83,,,6.49,9.75,12.7,14.28,,,,,
2020-KW12,8.87,,,,,30.55,13.83,,12.03,19.46,29.25,12.7,9.52,10.18,14.45,,,
2020-KW13,,8.22,16.76,37.23,63.85,45.82,6.91,6.16,12.03,32.43,63.37,16.94,4.76,30.53,28.91,7.13,4.45,
2020-KW14,,,,18.62,25.54,45.82,,12.32,12.03,32.43,19.5,29.64,23.8,20.35,14.45,7.13,8.89,
2020-KW15,,,16.76,18.62,51.08,30.55,27.65,12.32,24.06,12.97,14.62,33.87,9.52,15.27,7.23,14.26,13.34,
2020-KW16,,,,9.31,12.77,,,,6.01,,,,,,,,4.45,
2020-KW17,,,,,,,6.91,,,,9.75,4.23,,,,7.13,,
2020-KW18,,,,,,,,,,,,8.47,,,,,,
2020-KW19,,,,,,,,,,,4.87,,,,,7.13,,
2020-KW20,,,,,,,6.91,6.16,,,,,,,,7.13,,
2020-KW22,,,,,,,,6.16,,,,,,,,,,
2020-KW24,,,,9.31,12.77,,,,,,,,,,,,,
2020-KW26,,,,,,,,,,,4.87,,,,,,,
2020-KW28,,,,,,,,,6.01,,,,,,,,,
2020-KW32,,,,,,,,,,6.49,,,,,,,,
2020-KW33,,8.22,,9.31,12.77,,6.91,,6.01,,,,,,,,,
2020-KW34,,,8.38,,12.77,,6.91,,,,,,,,,,,
2020-KW35,,,8.38,,25.54,,,,6.01,,4.87,,,,,,,
2020-KW36,,,8.38,27.92,,,,,6.01,6.49,4.87,,,,,,,
2020-KW37,,,,,,,,,,,,,,,,7.13,,
2020-KW38,,,,18.62,,,,6.16,,6.49,9.75,8.47,4.76,,,,,
2020-KW39,,,,18.62,12.77,,,,6.01,,4.87,4.23,,10.18,14.45,,13.34,
2020-KW40,,,,9.31,38.31,,,6.16,,6.49,4.87,,,10.18,7.23,7.13,8.89,
2020-KW41,8.87,8.22,8.38,27.92,12.77,15.27,,,,32.43,19.5,21.17,4.76,5.09,,,22.23,
2020-KW42,8.87,8.22,33.52,93.08,12.77,15.27,20.74,12.32,36.08,25.94,53.62,29.64,19.04,20.35,14.45,14.26,17.78,
2020-KW43,8.87,8.22,,27.92,38.31,15.27,55.3,36.97,60.14,38.91,34.12,46.57,42.84,30.53,7.23,28.51,102.24,
2020-KW44,17.74,74.0,50.28,83.77,114.93,76.37,82.95,110.92,180.42,168.61,107.25,127.02,133.28,61.06,108.41,85.53,137.8,
2020-KW45,17.74,24.67,75.43,111.69,127.7,168.02,117.52,166.38,78.18,155.64,165.75,101.62,114.24,71.24,50.59,121.17,164.47,
2020-KW46,35.48,74.0,33.52,167.54,191.55,122.19,152.08,92.43,174.4,214.01,258.37,182.06,114.24,96.68,108.41,106.91,160.03,
2020-KW47,124.19,82.22,125.71,158.23,89.39,61.1,117.52,209.51,60.14,181.58,199.87,114.32,99.96,45.8,57.82,71.28,115.58,
2020-KW48,44.35,139.78,167.62,204.77,204.32,290.21,186.64,228.0,288.67,214.01,219.37,207.47,185.63,122.12,79.5,114.04,275.6,
2020-KW49,70.97,98.67,142.47,204.77,332.01,320.76,262.68,277.3,204.47,291.83,234.0,186.3,152.32,101.77,93.95,135.42,204.48,
2020-KW50,88.71,131.56,150.85,307.15,434.17,381.85,311.07,394.38,264.61,415.05,355.87,275.21,237.99,132.3,195.13,185.32,404.52,
2020-KW51,133.06,222.0,234.66,418.84,549.1,534.6,476.98,492.98,475.1,499.35,531.37,482.68,399.83,249.34,202.36,392.02,724.57,
2020-KW52,88.71,164.45,150.85,232.69,395.86,442.95,394.03,492.98,354.82,551.23,497.25,478.45,399.83,264.6,224.04,249.47,729.02,
2020-KW53,35.48,24.67,75.43,167.54,370.32,366.58,297.25,283.46,300.7,252.92,307.12,287.92,290.35,269.69,173.45,270.85,466.75,
2021-KW01,124.19,123.33,150.85,400.22,638.49,549.87,525.37,486.81,511.19,505.84,507.0,512.32,495.03,295.14,317.99,299.36,733.46,
2021-KW02,53.22,65.78,50.28,242.0,498.02,458.23,421.68,320.43,396.92,350.19,448.5,402.24,342.71,173.01,180.68,228.08,426.74,
2021-KW03,35.48,24.67,83.81,335.07,153.24,412.4,290.34,363.57,330.77,226.98,238.87,309.09,209.43,198.45,108.41,142.55,386.74,
2021-KW04,79.84,57.56,41.9,121.0,127.7,259.66,193.56,215.68,174.4,142.67,234.0,313.32,161.84,132.3,137.31,199.57,395.63,
2021-KW05,35.48,49.33,16.76,46.54,344.78,122.19,317.99,172.54,156.36,214.01,165.75,215.94,147.56,117.04,65.04,121.17,328.95,
2021-KW06,44.35,16.44,16.76,65.15,114.93,106.92,117.52,129.41,132.31,90.79,141.37,122.79,142.8,81.42,65.04,71.28,337.84,
2021-KW07,62.1,49.33,58.67,46.54,153.24,137.47,131.34,98.6,174.4,110.25,141.37,160.89,66.64,81.42,115.63,121.17,280.05,
