# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-17 07:51:40
# API-Download für Covid19-Inzidenzen in LK Ludwigsburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,,2.78,3.5,,,,
2020-KW10,,,,,,3.06,,,,2.89,4.69,,2.78,,4.12,4.85,,
2020-KW11,3.51,3.73,,19.2,21.12,12.23,15.9,27.99,16.79,14.43,25.82,25.39,19.43,17.5,4.12,9.7,,
2020-KW12,,3.73,19.29,26.88,52.79,67.26,39.75,50.39,55.96,51.94,44.59,41.54,47.19,28.0,12.35,14.56,29.63,
2020-KW13,10.53,,11.58,34.56,70.39,113.12,58.31,81.18,117.52,106.77,98.57,131.55,74.94,52.5,90.6,82.49,86.19,
2020-KW14,17.55,7.46,27.01,49.93,95.03,110.06,66.26,67.18,75.55,77.92,100.91,66.93,77.72,56.0,45.3,97.04,115.82,
2020-KW15,3.51,,,23.04,28.16,39.74,26.5,39.19,44.77,40.4,61.02,53.08,49.96,70.0,45.3,106.75,148.14,
2020-KW16,,3.73,,7.68,14.08,30.57,29.15,14.0,22.38,28.86,28.16,20.77,33.31,31.5,45.3,38.82,51.18,
2020-KW17,7.02,,,11.52,21.12,39.74,23.85,8.4,22.38,31.74,16.43,34.62,27.76,21.0,16.47,38.82,80.8,
2020-KW18,3.51,3.73,,3.84,,12.23,10.6,5.6,,14.43,21.12,9.23,8.33,7.0,12.35,24.26,8.08,
2020-KW19,7.02,,3.86,11.52,14.08,6.11,10.6,8.4,5.6,8.66,14.08,6.92,11.1,10.5,12.35,4.85,13.47,
2020-KW20,3.51,3.73,3.86,,14.08,6.11,2.65,8.4,11.19,8.66,2.35,4.62,11.1,3.5,16.47,4.85,8.08,
2020-KW21,,,,,,3.06,5.3,2.8,5.6,2.89,,,,3.5,8.24,9.7,5.39,
2020-KW22,,,,,7.04,,,8.4,5.6,2.89,4.69,,,,4.12,,2.69,
2020-KW23,,,,,7.04,3.06,2.65,,,2.89,4.69,2.31,,,,,,
2020-KW24,,,,,7.04,3.06,2.65,11.2,2.8,2.89,,,2.78,,8.24,,5.39,
2020-KW25,3.51,,,3.84,,3.06,2.65,2.8,8.39,,,,2.78,,,,5.39,
2020-KW26,,3.73,,,,3.06,,2.8,,,2.35,4.62,,3.5,4.12,9.7,5.39,
2020-KW27,3.51,3.73,7.72,7.68,,15.29,2.65,5.6,8.39,14.43,2.35,4.62,,3.5,8.24,4.85,5.39,
2020-KW28,3.51,,,3.84,,3.06,5.3,2.8,2.8,,2.35,4.62,,3.5,,,2.69,
2020-KW29,,,,,3.52,3.06,,,2.8,,2.35,2.31,2.78,,,,,
2020-KW30,3.51,3.73,,7.68,,6.11,5.3,2.8,5.6,8.66,2.35,,,,4.12,,5.39,
