# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-05-21 09:02:23
# API-Download für Covid19-Inzidenzen in LK Lörrach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,6.72,,,,,,,,,,
2020-KW11,8.96,,,,8.81,22.95,6.78,6.72,21.04,,23.01,15.3,5.68,7.36,,,,
2020-KW12,,,,17.36,44.06,53.56,47.45,40.35,42.08,79.74,51.78,86.67,51.09,7.36,,97.32,24.87,
2020-KW13,8.96,8.51,8.67,,61.68,53.56,33.9,47.07,63.12,50.75,74.79,91.77,62.45,73.56,36.36,60.83,55.96,
2020-KW14,,8.51,,60.77,123.37,76.51,74.57,53.8,63.12,86.99,109.31,86.67,56.77,58.85,109.07,194.65,111.92,
2020-KW15,,,,26.05,35.25,38.26,27.12,26.9,21.04,43.5,74.79,56.08,51.09,14.71,54.54,72.99,68.4,
2020-KW16,,8.51,,,35.25,22.95,13.56,26.9,7.01,7.25,34.52,35.69,39.74,7.36,45.45,24.33,111.92,
2020-KW17,,,8.67,8.68,44.06,30.61,20.34,33.62,35.07,14.5,23.01,30.59,34.06,22.07,18.18,36.5,192.75,
2020-KW18,,,,8.68,17.62,15.3,6.78,6.72,14.03,7.25,11.51,10.2,11.35,14.71,9.09,12.17,24.87,
2020-KW19,,,,,,15.3,,6.72,,,5.75,,5.68,14.71,,,6.22,
2020-KW20,,,,,8.81,,,,,,,,,,,,6.22,
2020-KW21,,,,,,,,,,,,,,7.36,,,,
2020-KW23,,,,,,,,,,,5.75,,,,,,,
2020-KW24,,,,8.68,,,,,,,,,,,,,,
2020-KW25,,,,,,,,,7.01,,,,,,,,,
2020-KW27,,,,,,,,,,,,,,7.36,,,6.22,
2020-KW28,,,,,,,13.56,,7.01,,5.75,,,,,,,
2020-KW29,8.96,8.51,,,,7.65,20.34,,,7.25,,,,,,,,
2020-KW30,,,,,,,,,,,5.75,,,,,,,
2020-KW31,,,8.67,,,7.65,6.78,6.72,,7.25,,,5.68,,18.18,,,
2020-KW32,8.96,8.51,,,8.81,,13.56,6.72,14.03,7.25,5.75,15.3,,,9.09,,,
2020-KW33,,,8.67,34.73,52.87,15.3,6.78,13.45,7.01,21.75,11.51,,,,,,,
