# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-08 07:56:14
# API-Download für Covid19-Inzidenzen in LK Main-Spessart, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,19.3,17.44,,,,,13.96,13.46,9.86,,,,,,,
2020-KW12,,,,,,30.89,41.14,,,,9.86,26.31,,,,,,
2020-KW13,17.46,,,52.32,49.44,30.89,41.14,,41.88,67.32,39.45,70.17,76.54,22.98,42.21,,30.46,
2020-KW14,17.46,18.51,19.3,69.76,32.96,61.77,82.29,13.72,55.83,26.93,29.59,61.4,38.27,11.49,14.07,21.5,20.31,
2020-KW15,,,,17.44,32.96,30.89,41.14,13.72,13.96,,39.45,26.31,,34.47,14.07,43.01,20.31,
2020-KW16,,18.51,,17.44,16.48,,,,,,,17.54,,34.47,14.07,,10.15,
2020-KW17,,,,,,,,,,26.93,,,,11.49,14.07,,,
2020-KW18,,,,,,,,,,,9.86,,,,,,,
2020-KW19,,,,,,15.44,,,,,,,,,,,,
2020-KW20,,,,,,,,,,,9.86,,9.57,,,,,
2020-KW21,,,,,,,,,,,,,,,,21.5,,
2020-KW22,34.91,,,,,15.44,,13.72,,,,,,,,,,
2020-KW23,,,,,,,,,,,,,9.57,,,21.5,,
2020-KW27,,,19.3,,,,,,,,,,,,,,,
2020-KW29,,,,,,,13.71,13.72,,,,,,,,,,
2020-KW31,,,,,,,,13.72,,,,,,,,,,
2020-KW32,,,,,,,,,13.96,,,8.77,9.57,,14.07,,,
2020-KW33,17.46,,19.3,,16.48,,,27.43,13.96,,,,,,,,,
2020-KW34,,,19.3,,,,,,27.92,,9.86,17.54,,22.98,,,,
2020-KW35,,,19.3,17.44,16.48,30.89,,,,13.46,,,9.57,,,,,
2020-KW36,,,,34.88,,15.44,,,13.96,,,17.54,,,,,,
2020-KW37,,18.51,19.3,17.44,65.92,15.44,13.71,13.72,,13.46,29.59,8.77,,11.49,,,,
2020-KW38,17.46,,19.3,34.88,32.96,,,,,,,8.77,28.7,,28.14,,,
2020-KW39,,,,,16.48,46.33,27.43,13.72,,13.46,9.86,8.77,9.57,,14.07,,,
2020-KW40,,37.02,,69.76,32.96,46.33,13.71,,,13.46,29.59,,,,,,,
2020-KW41,,37.02,,17.44,49.44,61.77,13.71,,13.96,13.46,19.73,8.77,,,,,,
2020-KW42,,,,17.44,65.92,15.44,41.14,27.43,27.92,,19.73,52.63,9.57,22.98,,,,
2020-KW43,34.91,18.51,38.61,104.65,82.4,92.66,41.14,41.15,13.96,26.93,39.45,70.17,9.57,11.49,28.14,21.5,10.15,
2020-KW44,17.46,74.03,96.52,139.53,32.96,169.88,137.15,96.02,139.59,80.78,78.9,70.17,66.97,11.49,,,10.15,
2020-KW45,,55.52,,69.76,164.8,154.43,27.43,68.59,111.67,107.71,128.21,87.71,76.54,45.96,70.35,64.51,162.47,
2020-KW46,,,96.52,156.97,181.28,231.65,41.14,41.15,195.42,121.17,157.8,87.71,95.68,57.45,70.35,172.03,264.01,
2020-KW47,17.46,18.51,77.22,244.17,247.2,169.88,192.01,150.89,209.38,148.1,187.39,192.97,143.52,68.94,28.14,107.52,436.64,
2020-KW48,87.28,74.03,270.25,244.17,247.2,293.42,219.44,96.02,265.21,282.74,345.19,219.28,133.95,149.38,98.49,387.07,1228.68,
2020-KW49,69.82,74.03,57.91,209.29,164.8,262.53,233.15,137.17,209.38,215.42,325.47,333.3,200.92,183.85,225.13,365.57,964.66,
2020-KW50,52.37,92.54,96.52,209.29,247.2,154.43,192.01,150.89,265.21,201.96,236.7,254.36,162.65,149.38,196.99,322.56,812.35,
2020-KW51,52.37,55.52,115.82,209.29,214.24,169.88,178.29,137.17,125.63,175.03,187.39,306.99,172.22,114.91,140.71,408.57,751.42,
2020-KW52,69.82,277.62,115.82,261.61,263.68,293.42,219.44,274.35,139.59,188.49,177.53,236.82,229.63,103.42,42.21,236.54,335.09,
2020-KW53,34.91,111.05,135.13,104.65,181.28,154.43,109.72,96.02,181.46,134.64,138.08,166.65,124.38,137.89,70.35,150.53,213.24,
