# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-01 07:49:42
# API-Download für Covid19-Inzidenzen in LK Mansfeld-Südharz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,13.31,,,,,,,,,,
2020-KW12,,,18.51,,23.29,27.43,15.02,26.62,13.21,,,8.05,,,,13.69,7.49,
2020-KW13,,,,,,27.43,,,26.42,,,,,,11.32,,,
2020-KW14,,,18.51,19.77,,,15.02,,26.42,,30.28,24.16,8.21,8.68,11.32,,,
2020-KW15,,,,,,27.43,15.02,,,,,8.05,16.42,,,,,
2020-KW17,,,,,,,15.02,,,,,,,,,,7.49,
2020-KW18,,,,,,27.43,,13.31,,,,,,,,,,
2020-KW19,,,,,23.29,54.86,15.02,,,,,,8.21,,,,,
2020-KW20,,,,,,,,,,,,,,,11.32,13.69,7.49,
2020-KW21,,,,,,27.43,,,,,,,,,,13.69,7.49,
2020-KW22,,,,,,,,,13.21,,,,,,,,,
2020-KW23,,,,,,,,,,,,,,,,,14.98,
2020-KW24,,,,19.77,,,,,,,,,,,,,,
2020-KW27,21.91,,,,,,,,,,,,,,,,,
2020-KW28,21.91,,,19.77,93.15,,,,,,,,,,,,,
2020-KW29,,,,19.77,69.86,,,,13.21,,10.09,,,,,13.69,,
2020-KW30,,,18.51,,,,,,,,,,,,,13.69,,
2020-KW32,,,,,,,,,13.21,,,,,,,,,
2020-KW33,,,,,,,15.02,,,,,,,,,,,
2020-KW34,,,,,,,,,13.21,,,,,,,,,
2020-KW35,21.91,,,,,,,,,,,,,,,13.69,,
2020-KW36,,,,,,,,,,,,,,,,13.69,,
2020-KW37,,,,19.77,,,,,,13.76,,8.05,,,,13.69,,
2020-KW38,,,,,,,,13.31,,,10.09,,,,,,,
2020-KW39,,,,,23.29,,,,,,20.18,,,,,13.69,,
2020-KW40,,,,,23.29,,,,,,,,,,,,,
2020-KW41,,,18.51,,,,,,,,,,,8.68,,,,
2020-KW42,,,,19.77,46.57,,,26.62,,,10.09,16.1,24.63,,22.63,,22.48,
2020-KW43,,,37.02,98.86,116.43,,15.02,39.94,39.63,13.76,50.46,32.21,57.48,34.72,,82.12,29.97,
2020-KW44,,,,59.32,69.86,27.43,15.02,39.94,39.63,41.27,60.55,40.26,49.27,43.4,11.32,13.69,7.49,
2020-KW45,21.91,18.92,222.11,98.86,23.29,54.86,150.25,26.62,52.84,55.03,80.73,104.68,32.84,69.43,22.63,,59.94,
2020-KW46,,18.92,111.06,158.18,46.57,54.86,30.05,53.25,79.26,68.79,40.37,112.73,49.27,17.36,45.27,,67.43,
2020-KW47,21.91,,499.75,138.4,139.72,27.43,60.1,79.87,132.11,151.33,131.19,80.52,82.11,26.04,22.63,82.12,44.95,
2020-KW48,65.73,37.84,74.04,217.49,186.29,54.86,150.25,146.43,105.68,178.85,90.83,120.79,114.96,34.72,79.22,136.86,232.25,
2020-KW49,43.82,18.92,111.06,177.95,256.15,192.01,135.22,119.81,171.74,110.06,131.19,185.21,123.17,60.75,90.54,109.49,157.33,
2020-KW50,,94.6,55.53,79.09,209.58,192.01,255.42,346.11,145.32,192.61,312.85,249.62,205.28,121.51,101.86,164.23,224.76,
2020-KW51,43.82,113.52,74.04,138.4,349.3,164.58,180.3,199.68,396.32,357.7,292.66,120.79,156.01,69.43,113.17,136.86,659.29,
2020-KW52,21.91,56.76,55.53,158.18,139.72,192.01,285.47,252.93,211.37,357.7,413.77,362.36,336.65,156.22,124.49,218.98,382.09,
2020-KW53,65.73,18.92,166.58,336.12,395.87,466.31,375.62,412.67,277.42,536.55,514.68,483.14,369.5,260.37,215.03,437.96,606.85,
2021-KW01,21.91,37.84,55.53,217.49,419.16,219.44,270.45,239.62,145.32,357.7,272.48,144.94,147.8,112.83,124.49,314.78,486.98,
2021-KW02,87.64,189.2,111.06,296.58,582.16,576.03,495.82,412.67,554.85,440.25,484.41,362.36,361.29,225.66,215.03,465.33,1228.68,
2021-KW03,21.91,75.68,74.04,118.63,279.44,137.15,120.2,212.99,158.53,247.64,222.02,153.0,156.01,52.07,56.59,191.61,352.12,
2021-KW04,87.64,75.68,166.58,237.26,163.01,219.44,195.32,199.68,145.32,206.37,292.66,362.36,262.75,147.54,124.49,205.29,681.77,
2021-KW05,65.73,75.68,92.55,79.09,116.43,82.29,90.15,133.12,132.11,220.12,191.74,136.89,73.9,34.72,90.54,136.86,299.68,
2021-KW06,372.45,,18.51,98.86,46.57,137.15,90.15,66.56,66.05,55.03,70.64,72.47,57.48,60.75,67.9,95.8,74.92,
2021-KW07,,37.84,74.04,98.86,69.86,109.72,120.2,53.25,39.63,55.03,70.64,48.31,41.06,43.4,56.59,95.8,52.44,
2021-KW08,,,18.51,138.4,93.15,,45.07,26.62,39.63,27.52,60.55,40.26,65.69,26.04,45.27,68.43,59.94,
