# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-15 08:50:35
# API-Download für Covid19-Inzidenzen in LK Mayen-Koblenz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,9.72,,,,9.16,,15.08,,15.99,,17.13,58.71,6.1,35.6,28.03,48.8,19.53,
2020-KW12,,,,,27.48,50.56,52.79,77.14,87.95,55.23,91.33,53.37,79.31,42.72,9.34,24.4,32.55,
2020-KW13,,,,19.59,,25.28,30.17,,47.97,39.45,51.38,53.37,61.01,35.6,65.41,36.6,19.53,
2020-KW14,9.72,,10.57,,36.64,16.85,37.71,38.57,15.99,47.34,11.42,21.35,24.4,21.36,46.72,24.4,71.6,
2020-KW15,,,,9.8,27.48,16.85,,15.43,8.0,31.56,57.08,16.01,24.4,35.6,18.69,61.01,45.56,
2020-KW16,,10.32,,,27.48,8.43,15.08,,,,11.42,5.34,6.1,14.24,9.34,12.2,6.51,
2020-KW17,,,10.57,,,8.43,,,8.0,,,5.34,6.1,14.24,,,,
2020-KW18,,,,9.8,,,,7.71,,,5.71,,12.2,7.12,,,,
2020-KW20,,,,,,,,,,,,,,,,,6.51,
2020-KW22,,,,,,,,,,,,,,7.12,,12.2,,
2020-KW25,,,,,9.16,8.43,7.54,,,,,10.67,6.1,7.12,,,,
2020-KW26,,,,,9.16,,,,,,,,,,,,,
2020-KW28,,,,,,,,7.71,,,,,6.1,,,,,
2020-KW29,9.72,10.32,,,,,15.08,,,,,,,,,,13.02,
2020-KW30,,,,,,,,,,,11.42,,,,,,,
2020-KW32,,10.32,21.14,58.78,9.16,,7.54,,,15.78,,,,,9.34,,,
2020-KW33,9.72,10.32,,,,,7.54,7.71,,,,,,,,12.2,6.51,
2020-KW34,9.72,30.96,10.57,,27.48,16.85,15.08,15.43,8.0,,,,,,,,,
2020-KW35,,,,9.8,9.16,16.85,15.08,7.71,8.0,,5.71,,12.2,7.12,,,,
2020-KW36,,10.32,,,,8.43,7.54,7.71,,7.89,,,,,,,,
2020-KW37,,,,,9.16,8.43,,,,7.89,,,,,,,,
2020-KW38,,,,,9.16,,,7.71,,,,10.67,,14.24,,,13.02,
2020-KW39,,10.32,31.71,29.39,64.11,50.56,22.63,23.14,31.98,7.89,28.54,10.67,18.3,,,,6.51,
2020-KW40,,20.64,10.57,9.8,27.48,16.85,15.08,23.14,31.98,23.67,22.83,10.67,,7.12,,,,
2020-KW41,,,10.57,9.8,64.11,58.99,15.08,15.43,39.98,47.34,17.13,21.35,6.1,,28.03,36.6,,
2020-KW42,9.72,10.32,21.14,78.38,54.96,75.85,37.71,15.43,23.99,47.34,51.38,48.03,24.4,7.12,28.03,,45.56,
2020-KW43,,10.32,21.14,29.39,45.8,25.28,90.5,69.43,71.96,39.45,34.25,53.37,54.9,21.36,37.38,36.6,32.55,
2020-KW44,9.72,20.64,42.28,117.57,82.43,134.84,143.3,30.86,167.91,118.35,108.46,64.04,48.8,21.36,9.34,,110.66,
2020-KW45,58.3,20.64,116.28,205.74,219.82,185.4,135.76,123.43,111.94,165.69,137.0,101.4,61.01,56.96,56.07,158.61,130.18,
2020-KW46,19.43,82.57,116.28,215.54,174.02,168.55,173.47,285.43,127.93,149.91,148.42,133.43,103.71,78.33,93.45,122.01,240.84,
2020-KW47,29.15,41.28,84.57,127.36,201.5,117.98,60.34,146.57,167.91,134.13,119.88,122.75,140.31,78.33,121.48,97.61,123.67,
2020-KW48,9.72,61.93,95.14,68.58,174.02,185.4,158.38,77.14,135.92,157.8,119.88,53.37,122.01,42.72,9.34,36.6,58.58,
2020-KW49,48.58,20.64,52.85,58.78,109.91,92.7,98.05,61.71,103.94,94.68,97.04,85.39,54.9,49.84,18.69,97.61,162.73,
2020-KW50,87.45,92.89,52.85,127.36,192.34,252.82,165.93,123.43,143.92,157.8,119.88,74.72,134.21,85.45,56.07,122.01,195.27,
2020-KW51,87.45,51.6,42.28,88.17,302.25,227.54,165.93,154.29,119.93,197.25,131.29,160.11,97.61,49.84,112.14,146.41,358.0,
2020-KW52,29.15,,31.71,68.58,82.43,109.56,82.96,185.14,103.94,102.57,91.33,106.74,48.8,71.2,74.76,122.01,117.16,
2020-KW53,9.72,41.28,52.85,166.55,174.02,160.12,90.5,84.86,79.96,142.02,114.17,69.38,85.41,92.57,121.48,85.41,247.35,
2021-KW01,9.72,20.64,52.85,58.78,210.66,160.12,181.01,138.86,103.94,118.35,131.29,122.75,79.31,92.57,112.14,97.61,214.8,
2021-KW02,29.15,,31.71,117.57,137.39,134.84,165.93,92.57,79.96,94.68,62.79,138.76,140.31,49.84,84.1,97.61,188.77,
2021-KW03,9.72,51.6,84.57,146.96,183.18,202.26,105.59,123.43,167.91,173.58,114.17,149.44,67.11,64.08,93.45,146.41,371.02,
2021-KW04,29.15,41.28,21.14,117.57,137.39,92.7,173.47,77.14,63.96,134.13,97.04,64.04,61.01,42.72,46.72,36.6,91.13,
