# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-06 06:52:59
# API-Download für Covid19-Inzidenzen in LK Mettmann, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,3.53,7.37,,,,,,,,,
2020-KW11,,,,,4.3,4.15,11.18,3.53,3.68,9.67,2.37,14.4,8.84,3.55,4.27,,,
2020-KW12,,,8.93,8.6,21.48,37.36,37.28,31.73,51.58,48.34,52.06,26.4,17.68,10.64,29.87,33.98,23.53,
2020-KW13,4.35,,4.46,17.21,30.07,20.75,48.47,35.26,33.16,51.56,44.96,26.4,50.1,53.2,25.6,26.43,15.69,
2020-KW14,,4.54,4.46,21.51,17.18,58.11,26.1,35.26,40.52,35.45,47.32,50.4,29.47,21.28,21.33,56.64,75.82,
2020-KW15,4.35,4.54,4.46,21.51,73.02,70.57,63.38,24.68,51.58,38.67,11.83,50.4,26.52,3.55,42.67,15.1,75.82,
2020-KW16,,,,4.3,34.36,29.06,33.55,42.31,22.1,12.89,23.66,16.8,29.47,24.83,8.53,41.54,81.05,
2020-KW17,4.35,4.54,13.39,12.91,17.18,24.91,14.91,7.05,25.79,22.56,14.2,16.8,2.95,,8.53,7.55,20.92,
2020-KW18,,,4.46,4.3,21.48,12.45,26.1,,3.68,9.67,18.93,4.8,5.89,14.19,4.27,7.55,23.53,
2020-KW19,,,,,17.18,8.3,,3.53,14.74,3.22,7.1,,,7.09,4.27,7.55,10.46,
2020-KW20,,4.54,,8.6,8.59,,,7.05,3.68,,4.73,7.2,5.89,3.55,4.27,7.55,10.46,
2020-KW21,4.35,,4.46,4.3,4.3,4.15,7.46,3.53,3.68,9.67,,2.4,,3.55,4.27,11.33,2.61,
2020-KW22,4.35,,,4.3,,4.15,11.18,7.05,3.68,,4.73,7.2,5.89,3.55,21.33,3.78,13.07,
2020-KW23,4.35,,,,4.3,8.3,3.73,,,,,4.8,,3.55,4.27,,,
2020-KW24,,,,,4.3,4.15,3.73,,,6.45,2.37,,2.95,,,,,
2020-KW25,,9.09,,,8.59,4.15,3.73,,3.68,9.67,7.1,2.4,,,,,,
2020-KW26,17.42,4.54,4.46,8.6,12.89,8.3,,17.63,3.68,6.45,11.83,7.2,5.89,10.64,,7.55,2.61,
2020-KW27,8.71,,4.46,,12.89,4.15,3.73,3.53,7.37,6.45,11.83,7.2,14.74,10.64,,,,
2020-KW28,21.77,22.72,22.32,12.91,21.48,12.45,41.01,7.05,29.47,12.89,11.83,7.2,14.74,7.09,,,2.61,
2020-KW29,34.83,49.99,49.1,21.51,38.66,49.81,22.37,56.42,47.89,12.89,18.93,19.2,17.68,17.73,,3.78,5.23,
2020-KW30,26.12,22.72,31.25,34.41,17.18,29.06,33.55,14.1,22.1,9.67,11.83,14.4,8.84,3.55,4.27,,7.84,
2020-KW31,4.35,18.18,44.64,4.3,17.18,12.45,11.18,31.73,33.16,9.67,9.46,9.6,5.89,7.09,4.27,,5.23,
2020-KW32,8.71,22.72,40.18,47.32,38.66,8.3,22.37,31.73,33.16,32.23,26.03,7.2,8.84,7.09,4.27,,7.84,
2020-KW33,26.12,31.81,40.18,34.41,25.77,41.51,33.55,28.21,18.42,29.0,14.2,16.8,20.63,,8.53,3.78,,
2020-KW34,34.83,22.72,22.32,38.72,25.77,20.75,41.01,21.16,25.79,19.34,7.1,12.0,5.89,7.09,8.53,,5.23,
2020-KW35,4.35,,4.46,4.3,17.18,16.6,14.91,3.53,3.68,16.11,2.37,,20.63,,4.27,3.78,,
2020-KW36,,4.54,8.93,12.91,12.89,33.21,7.46,10.58,7.37,,11.83,7.2,2.95,3.55,12.8,11.33,2.61,
2020-KW37,4.35,,8.93,8.6,12.89,4.15,11.18,3.53,7.37,12.89,4.73,4.8,,3.55,,7.55,10.46,
2020-KW38,26.12,4.54,22.32,64.53,38.66,41.51,52.2,21.16,22.1,9.67,23.66,9.6,11.79,7.09,17.07,7.55,13.07,
2020-KW39,17.42,18.18,17.86,30.11,17.18,33.21,37.28,24.68,47.89,22.56,11.83,7.2,8.84,10.64,12.8,7.55,10.46,
2020-KW40,21.77,18.18,26.78,38.72,17.18,33.21,26.1,10.58,40.52,29.0,33.13,24.0,8.84,14.19,17.07,11.33,13.07,
2020-KW41,21.77,13.63,26.78,111.85,90.2,53.96,59.65,42.31,33.16,64.45,56.79,50.4,47.15,21.28,21.33,26.43,60.13,
2020-KW42,43.54,68.17,44.64,124.75,115.97,103.77,96.94,70.52,88.42,80.57,85.18,57.6,44.21,46.11,38.4,37.76,65.36,
2020-KW43,47.89,63.62,66.96,124.75,210.47,228.3,141.67,123.41,132.63,106.35,127.77,148.81,91.36,31.92,46.93,52.86,94.12,
2020-KW44,91.43,104.53,129.46,296.83,300.67,199.24,205.06,211.56,180.52,232.03,194.03,182.41,123.78,134.78,115.2,83.07,86.28,
2020-KW45,139.32,95.44,191.96,275.32,330.74,265.66,246.07,236.24,165.78,290.04,224.79,144.01,114.94,95.77,51.2,60.42,91.51,
2020-KW46,69.66,109.07,174.1,253.81,317.86,257.36,275.89,200.98,228.41,225.59,170.37,201.61,147.35,106.41,72.53,98.18,235.3,
