# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-02-15 07:49:14
# API-Download für Covid19-Inzidenzen in LK Miesbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,11.5,,,,,,
2020-KW11,,,21.65,86.82,,18.71,33.94,16.82,,31.81,94.5,91.99,71.01,,,,,
2020-KW12,,65.32,43.29,21.71,101.63,93.56,152.74,269.15,163.37,254.51,106.31,137.99,85.21,57.34,39.31,84.93,,
2020-KW13,21.22,43.55,21.65,130.24,284.57,243.25,169.71,185.04,130.7,222.69,200.81,241.48,85.21,172.01,98.28,127.39,38.6,
2020-KW14,21.22,65.32,129.88,86.82,142.29,74.85,118.8,168.22,98.02,190.88,177.19,183.99,184.62,133.78,117.93,84.93,90.06,
2020-KW15,,21.77,21.65,21.71,101.63,93.56,16.97,50.47,49.01,47.72,141.75,46.0,85.21,38.22,58.97,42.46,64.33,
2020-KW16,,,21.65,,20.33,18.71,33.94,,16.34,,47.25,23.0,42.61,,19.66,21.23,38.6,
2020-KW17,,,21.65,,20.33,,,16.82,,15.91,11.81,11.5,,19.11,19.66,,,
2020-KW18,,,,,60.98,18.71,,84.11,65.35,15.91,59.06,23.0,14.2,19.11,19.66,21.23,,
2020-KW19,,,,,60.98,37.42,33.94,,,15.91,23.62,34.5,,,19.66,21.23,128.66,
2020-KW20,,,,,,,50.91,16.82,49.01,31.81,,23.0,,,19.66,127.39,64.33,
2020-KW21,,,,,,18.71,,33.64,,,,23.0,,,19.66,,25.73,
2020-KW22,,,,,,,,,16.34,,,,,19.11,19.66,,12.87,
2020-KW23,,,,,,,,16.82,16.34,,23.62,23.0,,,,,,
2020-KW26,,,,,,18.71,16.97,,,,,,,,,,,
2020-KW27,,,,,,18.71,,,16.34,,,,,,,,,
2020-KW28,21.22,,,,40.65,,,,,,,,,,,,,
2020-KW29,,,,,,,,,16.34,,,,,,,,,
2020-KW30,21.22,,,,20.33,18.71,,,,,,,,,,,,
2020-KW31,,,,21.71,40.65,74.85,16.97,,16.34,,11.81,,,,,,,
2020-KW32,,,21.65,43.41,20.33,37.42,16.97,,,,23.62,,,,,,,
2020-KW33,,43.55,,43.41,20.33,18.71,33.94,,49.01,,23.62,,,,,21.23,,
2020-KW34,,,,,20.33,,84.86,50.47,16.34,31.81,35.44,23.0,14.2,,,,,
2020-KW35,,43.55,,43.41,40.65,93.56,16.97,,16.34,15.91,23.62,,28.4,,,,,
2020-KW36,21.22,,,43.41,,37.42,16.97,50.47,16.34,,,,,,,,,
2020-KW37,,43.55,86.59,282.18,,,,16.82,114.36,15.91,59.06,11.5,,,,,,
2020-KW38,21.22,,21.65,43.41,60.98,37.42,16.97,,16.34,15.91,,34.5,,,,,,
2020-KW39,21.22,21.77,,,20.33,56.13,33.94,16.82,16.34,,59.06,23.0,,,,21.23,,
2020-KW40,,,21.65,86.82,60.98,18.71,16.97,16.82,,63.63,23.62,11.5,14.2,,39.31,,,
2020-KW41,21.22,,,86.82,81.31,130.98,101.83,33.64,16.34,31.81,35.44,11.5,14.2,,19.66,,25.73,
2020-KW42,,,43.29,65.12,81.31,18.71,16.97,117.75,65.35,79.53,47.25,68.99,56.81,19.11,,21.23,,
2020-KW43,84.88,87.1,108.23,108.53,223.59,74.85,67.88,134.57,130.7,95.44,70.87,114.99,113.61,76.45,,63.69,102.93,
2020-KW44,106.1,108.87,151.53,173.65,121.96,280.67,237.6,235.51,179.71,127.25,212.62,160.99,99.41,172.01,39.31,63.69,180.13,
2020-KW45,63.66,130.64,86.59,130.24,264.25,224.54,186.68,134.57,147.03,206.79,224.44,160.99,127.82,229.34,334.14,191.08,192.99,
2020-KW46,42.44,43.55,64.94,195.35,203.27,130.98,101.83,100.93,179.71,238.6,153.56,137.99,42.61,,58.97,63.69,64.33,
2020-KW47,21.22,174.19,151.53,238.77,386.21,280.67,169.71,269.15,114.36,254.51,283.5,195.48,142.02,133.78,216.21,106.16,205.86,
2020-KW48,106.1,21.77,238.11,195.35,223.59,149.69,67.88,117.75,114.36,190.88,153.56,241.48,142.02,133.78,78.62,148.62,90.06,
2020-KW49,42.44,21.77,259.76,217.06,162.61,205.83,186.68,134.57,147.03,222.69,200.81,172.49,85.21,152.9,58.97,148.62,77.2,
2020-KW50,,108.87,151.53,325.59,284.57,168.4,135.77,134.57,114.36,286.32,189.0,149.49,71.01,95.56,98.28,127.39,115.8,
2020-KW51,21.22,87.1,108.23,43.41,121.96,205.83,186.68,134.57,179.71,63.63,129.94,183.99,71.01,76.45,78.62,191.08,180.13,
2020-KW52,84.88,239.51,259.76,217.06,304.9,280.67,254.57,269.15,326.74,143.16,189.0,172.49,71.01,172.01,176.9,169.85,257.32,
2020-KW53,63.66,108.87,129.88,217.06,162.61,130.98,84.86,134.57,163.37,174.97,189.0,137.99,127.82,95.56,78.62,84.93,90.06,
2021-KW01,63.66,,194.82,173.65,223.59,261.96,254.57,218.68,114.36,238.6,259.87,241.48,198.83,191.12,196.55,297.24,476.05,
2021-KW02,63.66,87.1,129.88,151.94,81.31,205.83,101.83,117.75,326.74,174.97,94.5,195.48,142.02,76.45,58.97,21.23,154.39,
2021-KW03,,21.77,21.65,,223.59,93.56,16.97,50.47,65.35,47.72,82.69,103.49,14.2,57.34,,127.39,192.99,
