# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-06 04:50:22
# API-Download für Covid19-Inzidenzen in LK Märkischer Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW01,,,,,,,,,,,,,,,,,3.28,
2020-KW09,,,,,,,4.12,,,,,,,,,,,
2020-KW10,,,,,,,4.12,,,,2.93,5.48,,,,,,
2020-KW11,,,,,,4.45,,8.55,4.41,,2.93,8.22,,,,,,
2020-KW12,,,,,4.69,,,8.55,13.22,12.31,20.48,8.22,23.0,,15.28,11.58,3.28,
2020-KW13,,,,,28.17,22.25,16.49,25.66,22.03,24.61,29.26,30.14,13.14,20.4,5.09,23.17,6.56,
2020-KW14,5.18,5.44,15.86,14.61,23.47,40.05,20.62,21.38,52.87,36.92,23.41,27.4,6.57,4.08,20.38,11.58,29.5,
2020-KW15,,16.31,15.86,38.96,37.56,13.35,32.99,38.49,57.28,77.94,52.67,41.09,42.71,24.48,25.47,28.96,45.9,
2020-KW16,5.18,10.87,31.72,19.48,42.25,22.25,16.49,25.66,8.81,32.82,40.97,27.4,13.14,32.65,40.76,52.13,32.78,
2020-KW17,10.36,10.87,21.15,9.74,23.47,31.15,16.49,25.66,26.44,4.1,17.56,21.92,16.43,4.08,10.19,11.58,6.56,
2020-KW18,,5.44,5.29,4.87,4.69,,20.62,8.55,4.41,8.2,14.63,10.96,6.57,,,11.58,19.67,
2020-KW19,,,,4.87,,,16.49,12.83,,4.1,2.93,8.22,3.29,4.08,10.19,5.79,6.56,
2020-KW20,5.18,,,9.74,,,,,4.41,,,2.74,,,,11.58,6.56,
2020-KW21,,,,,,,,,,8.2,2.93,2.74,,4.08,,,3.28,
2020-KW22,,,,,,,8.25,,,,,,,4.08,,,,
2020-KW23,,,,4.87,,,,,,,,,,,,5.79,,
2020-KW24,,,,,,,,4.28,,,,,3.29,,,5.79,3.28,
2020-KW25,,,,,,4.45,,4.28,13.22,,2.93,,,,,,,
2020-KW26,,,5.29,4.87,,,,,8.81,,5.85,,,,5.09,,,
2020-KW27,,,,,,13.35,,4.28,4.41,,2.93,2.74,,,10.19,5.79,,
2020-KW28,10.36,,,4.87,14.08,8.9,4.12,4.28,,,2.93,,,,,,3.28,
2020-KW29,5.18,5.44,10.57,19.48,14.08,13.35,4.12,4.28,,8.2,,,3.29,,,,3.28,
2020-KW30,,5.44,10.57,4.87,4.69,8.9,8.25,17.1,,,,8.22,,,,11.58,3.28,
2020-KW31,5.18,5.44,15.86,14.61,23.47,4.45,12.37,8.55,13.22,8.2,5.85,,6.57,4.08,5.09,5.79,,
2020-KW32,5.18,5.44,5.29,24.35,14.08,8.9,12.37,8.55,22.03,24.61,5.85,2.74,6.57,4.08,5.09,,3.28,
2020-KW33,15.53,48.92,47.58,14.61,46.94,13.35,37.11,17.1,35.25,16.41,8.78,8.22,9.86,4.08,,,6.56,
2020-KW34,5.18,21.74,47.58,29.22,28.17,40.05,16.49,25.66,26.44,4.1,17.56,19.18,6.57,,10.19,,,
