# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-23 07:50:43
# API-Download für Covid19-Inzidenzen in LK München, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,5.58,,,,,,,,,,,,,,,,
2020-KW06,,,,,,,,,,,,3.75,,,,,,
2020-KW10,,,,5.73,,,,,,8.34,3.43,,,,,,,
2020-KW11,,11.16,27.31,17.18,9.97,10.42,14.07,22.25,29.33,54.19,30.88,41.22,9.95,6.39,,12.17,,
2020-KW12,17.74,27.91,32.77,45.81,54.83,98.98,75.06,80.09,75.41,116.73,78.9,93.68,49.73,31.93,38.6,12.17,12.2,
2020-KW13,11.83,5.58,16.38,80.17,79.76,130.24,51.6,111.23,104.74,87.54,133.8,116.16,84.54,63.86,57.9,103.42,121.99,
2020-KW14,23.65,22.33,49.15,62.99,114.65,72.93,121.97,106.78,87.98,133.4,120.07,89.93,74.59,51.09,51.47,121.67,174.85,
2020-KW15,11.83,11.16,10.92,74.44,54.83,31.26,37.53,53.39,20.95,58.36,58.32,41.22,64.65,19.16,70.77,42.58,142.32,
2020-KW16,5.91,5.58,,28.63,14.95,31.26,18.76,31.14,41.9,8.34,20.58,26.23,9.95,25.54,12.87,36.5,109.79,
2020-KW17,,,,11.45,44.86,10.42,32.84,4.45,25.14,12.51,13.72,18.74,14.92,,19.3,30.42,48.8,
2020-KW18,23.65,16.75,10.92,40.08,24.92,46.88,18.76,26.7,12.57,4.17,24.01,11.24,9.95,6.39,12.87,18.25,61.0,
2020-KW19,,,5.46,11.45,29.91,20.84,28.15,17.8,4.19,8.34,3.43,7.49,4.97,6.39,6.43,6.08,12.2,
2020-KW20,,,,11.45,,10.42,,,8.38,12.51,,18.74,9.95,,6.43,24.33,8.13,
2020-KW21,,5.58,,,9.97,15.63,4.69,13.35,25.14,8.34,,3.75,4.97,12.77,,12.17,16.27,
