# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-03-10 07:42:29
# API-Download für Covid19-Inzidenzen in LK Neuburg-Schrobenhausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,16.19,,,,,,,,
2020-KW12,,,20.79,,75.26,17.76,31.7,45.53,,48.56,80.95,24.85,40.9,,,,16.65,
2020-KW13,,19.53,20.79,61.38,75.26,71.04,31.7,30.35,,32.37,121.42,62.14,40.9,17.68,43.84,88.93,133.2,
2020-KW14,,,,20.46,37.63,17.76,47.55,45.53,45.49,32.37,40.47,74.56,40.9,35.36,65.75,118.57,66.6,
2020-KW15,38.4,58.58,,122.77,37.63,53.28,47.55,60.7,90.99,97.11,161.9,49.71,54.53,53.04,65.75,177.86,166.5,
2020-KW16,,39.05,20.79,20.46,37.63,71.04,15.85,15.18,,32.37,26.98,49.71,27.27,17.68,,29.64,66.6,
2020-KW17,19.2,,20.79,20.46,37.63,53.28,,60.7,30.33,48.56,80.95,24.85,,17.68,87.67,88.93,99.9,
2020-KW18,,,,,56.44,53.28,63.4,15.18,60.66,48.56,13.49,,,35.36,,29.64,16.65,
2020-KW19,38.4,,,,56.44,106.55,31.7,15.18,45.49,,40.47,,13.63,17.68,,,,
2020-KW20,,,,,,,,15.18,15.16,,13.49,24.85,13.63,,,29.64,,
2020-KW21,,19.53,,,18.81,71.04,31.7,15.18,15.16,16.19,,12.43,13.63,,,,,
2020-KW23,,,,,18.81,17.76,,,15.16,,13.49,,,,21.92,,,
2020-KW24,,,,,18.81,,,,,,,,,,,,,
2020-KW26,,,,,,,,,,,,,,,21.92,,,
2020-KW28,,,,,,,,,,16.19,,,,,,,,
2020-KW30,,,,,,,15.85,,,,,,,,,,,
