# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-10 05:59:47
# API-Download für Covid19-Inzidenzen in LK Neunkirchen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,14.28,,,,,,,,,,,,
2020-KW11,,,,,,,50.47,,,13.95,28.85,,,,,,9.25,
2020-KW12,,,,18.12,31.5,42.83,25.24,,,69.74,86.56,24.84,17.87,10.97,,,9.25,
2020-KW13,,,18.78,18.12,47.25,57.11,37.85,52.95,82.52,55.79,76.94,82.81,44.67,32.91,,35.96,37.01,
2020-KW14,,19.18,,18.12,78.75,71.39,25.24,92.67,27.51,27.89,38.47,24.84,62.54,21.94,42.21,125.85,83.27,
2020-KW15,,19.18,56.34,18.12,31.5,28.56,37.85,13.24,27.51,55.79,38.47,33.12,,10.97,,17.98,92.52,
2020-KW16,,,,36.23,15.75,28.56,12.62,26.48,13.75,27.89,9.62,8.28,17.87,21.94,,,92.52,
2020-KW17,,,,18.12,15.75,,,,,13.95,19.23,,,21.94,,,9.25,
2020-KW18,,19.18,18.78,18.12,15.75,14.28,,13.24,13.75,13.95,19.23,8.28,,10.97,,,9.25,
2020-KW19,,,,18.12,,,,,,,9.62,8.28,17.87,,14.07,,,
2020-KW20,,,,,15.75,14.28,,,,,28.85,8.28,,,14.07,17.98,18.5,
2020-KW22,,,,,,,,,,,,,,,,,18.5,
2020-KW23,,,,,,,,,,,9.62,8.28,,,28.14,,27.76,
2020-KW24,,,,,15.75,14.28,,,,13.95,9.62,8.28,,,,,9.25,
2020-KW25,,,,,,,,,,,,,,,,17.98,,
2020-KW28,,,,,,,,,,,,,,,,17.98,9.25,
2020-KW30,17.91,,,,,42.83,12.62,,,13.95,,,,,,,,
2020-KW31,17.91,,,,31.5,,,,,,,,,,,,,
2020-KW32,,,18.78,,15.75,,,,,,,,,,,,,
2020-KW33,,,56.34,,,,,26.48,13.75,13.95,28.85,,,,,,,
2020-KW34,,,18.78,,15.75,,25.24,,,27.89,,8.28,,,,,,
