# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-01 08:03:53
# API-Download für Covid19-Inzidenzen in LK Nienburg (Weser), letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,15.76,,,,28.4,10.11,,,,,,,
2020-KW12,,,,,,15.76,,29.39,14.95,28.4,20.23,27.36,10.48,13.01,,,,
2020-KW13,,,,,,,29.17,14.7,29.91,14.2,10.11,18.24,10.48,,15.83,,,
2020-KW14,,,17.23,16.13,61.25,31.52,29.17,29.39,,28.4,30.34,18.24,20.95,13.01,15.83,22.13,,
2020-KW15,,,,,,,,14.7,44.86,14.2,10.11,,,13.01,,22.13,,
2020-KW16,,,,,,15.76,,,,,,,,,15.83,,10.83,
2020-KW17,,,,,,,,,,,,,,,15.83,,,
2020-KW18,,,17.23,,,31.52,,,,,,,,13.01,,22.13,10.83,
2020-KW19,,,,,,,,,,,,,,,,,10.83,
2020-KW21,,,,,,,,,,,,,10.48,,,,10.83,
2020-KW22,,,,,,,,,,,,9.12,,,,,,
2020-KW23,,,,,,,,,,14.2,,,,,,,,
2020-KW25,,,,,,,,,,,10.11,,,,,,,
2020-KW26,,,,,,31.52,,,,,,,,,,,21.66,
2020-KW27,,,,,,,,,,,10.11,,10.48,,,,,
2020-KW30,17.7,,,,,31.52,14.59,,,28.4,,,,,,,,
2020-KW31,,,,,15.31,47.29,14.59,14.7,14.95,,10.11,,,,,,,
2020-KW33,17.7,,34.46,16.13,,,,,14.95,14.2,,,,,,,,
2020-KW34,,,,,15.31,,,14.7,,,,,,,,,,
2020-KW35,,17.66,,,,,,,,,,,,,,,,
2020-KW37,,,,,,15.76,,,,,,,,,,,,
2020-KW38,,,,,15.31,47.29,14.59,14.7,,,,,,,,,,
2020-KW39,,,,,30.63,15.76,,,,,,27.36,,,,,,
2020-KW40,,,,,,,14.59,14.7,14.95,14.2,,18.24,,,,,,
2020-KW41,17.7,,17.23,16.13,,63.05,43.76,29.39,14.95,85.2,30.34,54.72,20.95,13.01,31.66,,,
2020-KW42,70.81,,17.23,,61.25,110.33,29.17,58.79,44.86,28.4,20.23,82.07,31.43,26.02,15.83,66.4,10.83,
2020-KW43,17.7,,,32.26,137.82,94.57,29.17,58.79,59.81,56.8,40.46,82.07,73.34,39.04,31.66,,10.83,
2020-KW44,,,34.46,48.39,122.51,78.81,87.51,58.79,14.95,142.01,80.92,36.48,10.48,,,,21.66,
2020-KW45,,,51.68,48.39,122.51,204.91,131.27,161.67,104.68,56.8,40.46,45.6,20.95,52.05,15.83,44.27,21.66,
2020-KW46,17.7,17.66,103.37,64.52,183.76,157.62,102.1,88.18,104.68,85.2,40.46,72.95,41.91,13.01,15.83,66.4,21.66,
2020-KW47,35.4,17.66,68.91,112.9,245.01,189.15,247.95,132.28,74.77,99.4,91.03,72.95,136.21,104.1,15.83,66.4,64.97,
2020-KW48,35.4,17.66,120.59,80.65,122.51,94.57,218.78,146.97,119.63,156.21,101.15,100.31,73.34,91.09,31.66,66.4,119.12,
2020-KW49,17.7,88.31,34.46,129.03,122.51,173.38,43.76,176.37,29.91,56.8,40.46,109.43,41.91,26.02,31.66,22.13,43.32,
2020-KW50,35.4,17.66,51.68,112.9,168.44,141.86,72.93,73.49,89.72,71.0,101.15,118.55,20.95,39.04,47.5,44.27,108.29,
2020-KW51,35.4,70.65,34.46,112.9,183.76,267.96,175.02,161.67,209.35,142.01,222.53,136.79,73.34,104.1,47.5,154.94,129.95,
2020-KW52,70.81,88.31,68.91,225.81,214.38,204.91,189.61,205.76,209.35,156.21,182.07,136.79,125.73,52.05,94.99,177.07,97.46,
2020-KW53,,,34.46,96.77,76.57,63.05,102.1,205.76,59.81,14.2,80.92,45.6,83.82,,,44.27,151.6,
2021-KW01,17.7,17.66,51.68,96.77,107.19,141.86,160.44,146.97,74.77,71.0,121.38,82.07,104.77,26.02,79.16,44.27,422.32,
