# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-05-15 08:52:34
# API-Download für Covid19-Inzidenzen in LK Nordsachsen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,6.84,,5.79,6.47,,,,
2020-KW12,,,,11.81,,,37.41,22.78,7.65,8.84,13.69,5.65,5.79,,,,17.16,
2020-KW13,,,,,,35.41,,7.59,30.61,8.84,27.38,5.65,11.58,6.47,,,5.72,
2020-KW14,11.84,,44.16,47.24,14.6,,18.71,7.59,30.61,17.68,34.22,45.17,28.95,12.95,,11.6,,
2020-KW15,11.84,21.16,11.04,23.62,14.6,,18.71,30.37,7.65,26.51,20.53,16.94,11.58,6.47,,11.6,11.44,
2020-KW16,,10.58,22.08,47.24,14.6,,,22.78,15.31,8.84,20.53,5.65,5.79,,,11.6,,
2020-KW17,11.84,10.58,11.04,,14.6,,,7.59,,35.35,,,,,,,,
2020-KW18,,,,,,,,,7.65,,,,,,,,,
2020-KW19,,,,,,,,,,8.84,,,5.79,,,,,
2020-KW20,,,,,,,,,,,6.84,,,,,,,
2020-KW21,,,,11.81,,,,,,,,,,,,,,
2020-KW22,,,,,,,9.35,,,,,,,,,,,
2020-KW26,,,,,,,,,,,6.84,,,,,,,
2020-KW28,,,,,,,,7.59,,,,,,,,,,
2020-KW29,,,,,,,,,,,,5.65,,,,,,
2020-KW30,11.84,,,,,17.71,,,,,,,5.79,,,,,
2020-KW31,,,,11.81,,,,,,,,,,,,,,
2020-KW32,,,,,14.6,,,,,,,5.65,,,,,,
2020-KW33,,,,,14.6,,,,7.65,,,,,,,,,
2020-KW34,,,,,14.6,,,,,,,16.94,11.58,,,,,
2020-KW35,,,,,14.6,17.71,18.71,22.78,,8.84,20.53,5.65,5.79,12.95,,,,
2020-KW36,11.84,,11.04,82.66,102.21,17.71,37.41,37.96,7.65,8.84,41.07,16.94,17.37,12.95,,,5.72,
2020-KW37,,21.16,22.08,11.81,29.2,53.12,28.06,,7.65,8.84,,5.65,,,,,,
2020-KW38,35.51,,,,29.2,35.41,37.41,7.59,30.61,17.68,13.69,22.59,,6.47,,,,
2020-KW39,,10.58,,11.81,29.2,,9.35,7.59,,,,,,6.47,17.62,,,
2020-KW40,11.84,,,,14.6,17.71,,7.59,7.65,,,5.65,5.79,,8.81,,11.44,
2020-KW41,11.84,,,,14.6,17.71,9.35,15.19,7.65,,6.84,11.29,5.79,12.95,,11.6,5.72,
2020-KW42,47.34,52.9,154.56,23.62,29.2,35.41,37.41,45.56,30.61,17.68,13.69,56.46,63.69,38.84,8.81,46.42,62.93,
2020-KW43,94.68,190.45,176.64,59.04,102.21,106.24,93.53,91.11,76.53,176.76,109.51,118.57,98.43,77.68,96.9,150.86,171.63,
2020-KW44,59.18,74.06,77.28,106.28,58.4,88.53,177.72,75.93,68.88,132.57,116.36,163.74,69.48,45.31,88.09,92.84,171.63,
2020-KW45,35.51,63.48,77.28,94.47,219.02,106.24,177.72,159.44,160.71,141.41,191.65,191.97,115.79,58.26,96.9,162.47,205.95,
2020-KW46,59.18,95.23,110.4,82.66,146.01,194.77,140.3,151.85,99.49,132.57,212.18,118.57,98.43,90.63,52.86,46.42,85.81,
2020-KW47,59.18,666.58,165.6,153.51,116.81,283.3,177.72,242.96,130.1,256.31,260.09,208.91,162.11,64.74,79.28,185.68,177.35,
2020-KW48,165.7,275.1,309.13,188.94,321.23,265.59,336.72,311.3,229.59,353.53,308.0,276.67,237.38,142.42,167.38,139.26,274.6,
2020-KW49,165.7,126.97,264.97,295.22,394.23,301.0,252.54,318.89,428.56,388.88,253.25,338.78,399.49,142.42,132.14,255.31,440.51,
2020-KW50,153.86,158.71,264.97,543.21,379.63,371.83,458.32,410.0,390.3,406.56,438.05,457.35,330.01,129.47,176.19,313.33,840.97,
