# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-04-09 09:03:10
# API-Download für Covid19-Inzidenzen in LK Oberallgäu, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,8.3,,,,,,,
2020-KW11,,,,14.02,,34.9,,10.46,,10.7,8.3,29.54,,,11.86,,,
2020-KW12,,,,14.02,25.79,11.63,20.69,20.93,10.71,42.81,33.21,44.3,8.34,31.59,11.86,14.51,,
2020-KW13,,,,,51.59,58.17,20.69,31.39,21.41,42.81,58.12,36.92,33.34,31.59,35.58,58.04,8.32,
2020-KW14,,13.39,,28.03,12.9,34.9,,20.93,42.83,64.21,41.51,14.77,25.01,10.53,,14.51,41.61,
2020-KW15,12.63,,,42.05,25.79,11.63,31.03,31.39,,21.4,24.91,7.38,,10.53,23.72,14.51,24.96,
2020-KW16,,26.78,,,12.9,,10.34,,,21.4,24.91,,8.34,,,,8.32,
2020-KW17,,,,14.02,,,,,10.71,10.7,,7.38,,,11.86,,,
2020-KW18,,,,,,,,,,10.7,8.3,,,,,,,
2020-KW19,,,,14.02,,,10.34,,,,,,,,,14.51,,
2020-KW20,,,,,,,,,,,,,,,,14.51,,
2020-KW22,37.9,,,,12.9,23.27,,10.46,,,8.3,,,,,,,
2020-KW23,,,,,,,10.34,,,,,,,,,,,
2020-KW24,,13.39,,,,,,,,,,,,,,,,
2020-KW25,,,,,,11.63,10.34,,,,,,,,,,,
2020-KW26,,,,,,,,,,,,,8.34,,,14.51,,
2020-KW27,,,,,12.9,,,,,,,,,,,,,
2020-KW28,12.63,,14.68,,,,,10.46,,,,,,,,,,
2020-KW30,,,,,,11.63,,,,10.7,,,,,,,,
2020-KW31,,13.39,29.37,,,,,,21.41,,24.91,,,,11.86,,,
2020-KW32,12.63,,,28.03,,,,,10.71,,8.3,,,,,,,
2020-KW33,,,,14.02,25.79,,,10.46,,,8.3,7.38,8.34,,,,,
2020-KW34,,,44.05,,25.79,,,,10.71,32.11,8.3,,8.34,,,,,
2020-KW35,12.63,13.39,,14.02,12.9,11.63,20.69,,,10.7,,7.38,8.34,,,,,
2020-KW36,,,,,,11.63,,10.46,,10.7,8.3,7.38,,,,,,
2020-KW37,,,14.68,,12.9,23.27,,,,32.11,,,8.34,,,,,
2020-KW38,,,14.68,14.02,51.59,34.9,41.37,10.46,,10.7,,7.38,8.34,,,14.51,,
2020-KW39,,,,28.03,38.69,11.63,10.34,,21.41,10.7,8.3,7.38,,,,,,
2020-KW40,,,,,,11.63,31.03,20.93,,10.7,,,25.01,10.53,,,8.32,
2020-KW41,,,14.68,,,,20.69,10.46,,32.11,16.61,14.77,8.34,10.53,,29.02,,
2020-KW42,37.9,,29.37,28.03,25.79,23.27,72.41,31.39,32.12,74.92,33.21,29.54,33.34,21.06,47.44,58.04,16.64,
2020-KW43,,120.52,44.05,84.1,116.07,139.61,237.9,73.25,53.53,42.81,99.63,118.15,58.35,42.12,47.44,14.51,33.28,
2020-KW44,75.8,13.39,73.42,140.17,180.55,255.96,237.9,167.42,128.48,128.43,141.15,169.84,116.7,94.77,47.44,72.55,116.49,
2020-KW45,101.06,133.91,73.42,98.12,296.62,186.15,237.9,219.74,224.84,139.13,240.78,132.91,125.04,115.83,59.3,87.06,91.53,
2020-KW46,88.43,93.74,176.2,140.17,335.31,279.22,155.16,230.2,139.19,149.83,207.57,243.68,158.38,94.77,71.16,159.61,133.14,
2020-KW47,50.53,107.13,88.1,140.17,309.52,244.32,175.84,209.28,107.07,171.24,166.05,184.6,116.7,94.77,59.3,101.57,91.53,
2020-KW48,12.63,66.95,132.15,140.17,180.55,104.71,155.16,177.88,160.6,224.75,199.27,162.45,50.01,136.89,106.74,217.64,216.35,
2020-KW49,12.63,66.95,88.1,168.21,167.66,93.07,134.47,125.57,192.72,96.32,174.36,118.15,116.7,52.65,83.02,58.04,91.53,
2020-KW50,63.16,107.13,176.2,252.31,322.41,232.69,237.9,177.88,246.25,214.05,290.6,147.68,100.03,73.71,106.74,101.57,149.78,
2020-KW51,88.43,107.13,88.1,238.3,309.52,302.49,217.22,198.81,192.72,139.13,215.87,214.14,166.72,136.89,59.3,130.59,166.42,
2020-KW52,50.53,53.56,102.78,154.19,193.45,116.34,134.47,94.17,149.89,139.13,207.57,95.99,116.7,84.24,59.3,72.55,166.42,
2020-KW53,,13.39,14.68,42.05,12.9,69.81,93.09,94.17,64.24,53.51,74.72,88.61,16.67,31.59,94.88,58.04,58.25,
2021-KW01,25.27,13.39,29.37,154.19,154.76,139.61,196.53,115.1,128.48,160.54,107.94,140.3,108.36,52.65,47.44,72.55,41.61,
2021-KW02,50.53,107.13,88.1,70.09,206.35,174.51,93.09,52.32,139.19,160.54,107.94,177.22,175.05,94.77,47.44,43.53,174.74,
2021-KW03,25.27,107.13,14.68,70.09,180.55,93.07,124.12,94.17,107.07,128.43,91.33,118.15,100.03,21.06,35.58,58.04,49.93,
2021-KW04,37.9,53.56,14.68,70.09,116.07,139.61,31.03,73.25,85.65,96.32,49.82,103.38,16.67,21.06,11.86,14.51,41.61,
2021-KW05,12.63,40.17,73.42,70.09,103.17,93.07,31.03,62.78,42.83,96.32,99.63,36.92,16.67,42.12,35.58,29.02,24.96,
2021-KW06,37.9,80.35,44.05,56.07,90.28,69.81,82.75,73.25,53.53,42.81,49.82,51.69,8.34,10.53,11.86,29.02,33.28,
2021-KW07,,,58.73,126.16,128.97,46.54,41.37,31.39,42.83,96.32,41.51,59.07,16.67,52.65,,14.51,,
2021-KW08,25.27,26.78,44.05,98.12,77.38,104.71,51.72,31.39,32.12,107.02,58.12,36.92,33.34,21.06,,14.51,49.93,
2021-KW09,37.9,26.78,73.42,56.07,90.28,58.17,41.37,41.86,42.83,64.21,66.42,44.3,41.68,21.06,,29.02,16.64,
2021-KW10,25.27,66.95,102.78,56.07,116.07,127.98,93.09,83.71,128.48,42.81,91.33,51.69,25.01,21.06,11.86,29.02,83.21,
2021-KW11,214.75,120.52,102.78,98.12,180.55,174.51,144.81,62.78,139.19,85.62,157.75,140.3,41.68,63.18,,14.51,91.53,
2021-KW12,202.12,40.17,146.83,126.16,257.93,162.88,186.19,125.57,160.6,117.73,149.45,118.15,158.38,105.3,83.02,29.02,41.61,
2021-KW13,101.06,120.52,117.47,210.26,245.03,267.59,196.53,240.67,182.01,139.13,174.36,199.37,175.05,73.71,106.74,145.1,49.93,
2021-KW14,75.8,133.91,249.61,210.26,270.83,197.78,72.41,146.49,203.43,214.05,174.36,110.76,150.04,147.42,59.3,72.55,99.85,
2021-KW15,37.9,13.39,205.56,392.49,361.1,302.49,175.84,251.13,182.01,181.94,240.78,162.45,125.04,63.18,118.6,43.53,41.61,
2021-KW16,75.8,66.95,176.2,350.43,193.45,232.69,217.22,156.96,171.31,192.64,157.75,132.91,108.36,42.12,94.88,87.06,83.21,
2021-KW17,37.9,53.56,102.78,168.21,90.28,127.98,82.75,83.71,214.13,117.73,132.84,169.84,116.7,42.12,118.6,29.02,24.96,
2021-KW18,50.53,80.35,161.52,224.28,206.35,186.15,144.81,83.71,149.89,117.73,232.48,155.07,125.04,105.3,83.02,29.02,99.85,
2021-KW19,12.63,40.17,102.78,70.09,128.97,93.07,103.44,94.17,85.65,74.92,116.24,51.69,66.69,63.18,71.16,29.02,,
2021-KW20,63.16,66.95,146.83,140.17,103.17,174.51,124.12,146.49,107.07,96.32,49.82,36.92,66.69,42.12,23.72,,16.64,
2021-KW21,25.27,53.56,146.83,70.09,64.48,104.71,41.37,62.78,74.95,117.73,24.91,81.23,8.34,31.59,,14.51,24.96,
2021-KW22,12.63,66.95,58.73,98.12,38.69,23.27,31.03,31.39,21.41,32.11,24.91,7.38,41.68,,23.72,,8.32,
2021-KW23,12.63,40.17,14.68,28.03,38.69,46.54,,10.46,21.41,32.11,33.21,22.15,8.34,,,,16.64,
2021-KW24,,,14.68,14.02,12.9,,20.69,,42.83,10.7,16.61,7.38,8.34,,,14.51,,
2021-KW25,,13.39,,,,11.63,10.34,10.46,,,8.3,,,,,,,
2021-KW26,,13.39,14.68,28.03,,11.63,,,,21.4,,,,,,,8.32,
2021-KW27,,,,,12.9,23.27,20.69,,,,,,,10.53,,,8.32,
2021-KW28,,,,,,23.27,20.69,10.46,,,8.3,,8.34,10.53,,,8.32,
2021-KW29,,,29.37,126.16,,34.9,31.03,10.46,32.12,32.11,33.21,,,,,,16.64,
2021-KW30,,,14.68,,,11.63,10.34,10.46,10.71,10.7,8.3,14.77,16.67,,,,,
2021-KW31,,,14.68,,51.59,46.54,41.37,52.32,10.71,10.7,33.21,7.38,8.34,10.53,,,,
2021-KW32,25.27,,58.73,42.05,116.07,58.17,10.34,20.93,21.41,53.51,24.91,14.77,8.34,,,,,
2021-KW33,,,58.73,154.19,154.76,11.63,31.03,52.32,32.12,53.51,33.21,36.92,8.34,,,,,
2021-KW34,12.63,,102.78,98.12,154.76,104.71,103.44,52.32,74.95,85.62,83.03,36.92,,10.53,,,8.32,
2021-KW35,25.27,66.95,88.1,196.24,219.24,127.98,93.09,94.17,64.24,85.62,74.72,51.69,25.01,,11.86,43.53,41.61,
2021-KW36,88.43,200.86,117.47,238.3,206.35,325.76,248.25,125.57,139.19,64.21,41.51,66.46,83.36,21.06,23.72,43.53,41.61,
2021-KW37,25.27,93.74,117.47,210.26,309.52,151.25,82.75,83.71,21.41,96.32,91.33,66.46,108.36,31.59,23.72,14.51,66.57,
2021-KW38,75.8,40.17,88.1,154.19,90.28,58.17,103.44,94.17,117.77,64.21,58.12,66.46,25.01,10.53,47.44,101.57,99.85,
2021-KW39,50.53,66.95,58.73,84.1,90.28,104.71,103.44,41.86,85.65,42.81,66.42,66.46,16.67,31.59,83.02,43.53,66.57,
2021-KW40,37.9,53.56,102.78,238.3,180.55,58.17,113.78,62.78,53.53,96.32,41.51,73.84,33.34,52.65,11.86,101.57,66.57,
2021-KW41,37.9,120.52,411.13,168.21,245.03,255.96,134.47,94.17,160.6,107.02,157.75,103.38,91.69,73.71,83.02,14.51,49.93,
2021-KW42,63.16,214.25,572.65,756.94,696.41,628.25,351.68,282.52,171.31,299.67,149.45,214.14,125.04,200.07,71.16,14.51,83.21,
2021-KW43,101.06,415.12,954.41,742.92,748.0,651.52,589.59,449.94,556.75,588.63,423.44,398.74,283.42,210.6,260.92,203.13,99.85,
2021-KW44,315.82,923.97,1145.29,1009.25,1005.93,907.48,889.56,826.64,760.17,588.63,705.73,487.35,500.15,315.91,332.08,130.59,208.03,
