# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-01-29 07:54:52
# API-Download für Covid19-Inzidenzen in LK Oberhavel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,5.98,,,,,,,
2020-KW11,,,9.51,,,,,6.91,,,,,5.46,,,,,
2020-KW12,,9.36,,9.98,,42.64,26.53,20.73,13.43,15.51,29.88,19.32,21.82,,9.02,,5.81,
2020-KW13,,28.08,9.51,29.95,70.86,28.43,35.37,41.45,33.58,38.77,23.9,38.64,16.37,33.71,9.02,11.49,5.81,
2020-KW14,,,,,23.62,28.43,44.22,6.91,33.58,23.26,47.81,24.15,27.28,6.74,27.07,,5.81,
2020-KW15,,,,9.98,,28.43,26.53,13.82,6.72,23.26,23.9,19.32,,,,11.49,5.81,
2020-KW16,11.14,9.36,,9.98,165.35,284.29,159.18,27.64,33.58,31.01,11.95,14.49,5.46,,9.02,11.49,17.44,
2020-KW17,,,,19.97,35.43,71.07,26.53,20.73,13.43,,17.93,19.32,,6.74,9.02,22.97,5.81,
2020-KW18,,,,19.97,11.81,14.21,,,,7.75,17.93,9.66,10.91,,,,5.81,
2020-KW19,,28.08,19.02,,11.81,28.43,17.69,6.91,33.58,,,,,6.74,,11.49,,
2020-KW20,,,,,,28.43,,6.91,6.72,,11.95,,,,,,5.81,
2020-KW22,,,,,,,,,,,,,10.91,,,11.49,,
2020-KW24,,,,,,,,6.91,,7.75,5.98,4.83,5.46,,,,,
2020-KW25,,,,,,,,,6.72,,,,,,,,,
2020-KW26,,,,,,14.21,8.84,,6.72,,,,,,,,,
2020-KW27,,,,,11.81,,,,,,,4.83,,,,,,
2020-KW28,,,,,,,,6.91,,,,,5.46,,,,,
2020-KW29,,,,,11.81,,,,,,,,,,9.02,,,
