# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-30 08:50:54
# API-Download für Covid19-Inzidenzen in LK Oder-Spree, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,33.93,104.41,9.96,,,10.02,7.27,,6.44,,,,,
2020-KW12,,,12.72,13.98,16.96,20.88,19.91,9.0,9.14,60.13,50.92,40.28,6.44,13.85,,21.0,,
2020-KW13,,,,41.94,,20.88,29.87,27.0,27.43,30.06,43.65,23.02,19.32,,11.16,,6.13,
2020-KW14,,,,,,20.88,9.96,,,,,11.51,19.32,,11.16,,6.13,
2020-KW15,,,,13.98,,,9.96,9.0,18.29,20.04,14.55,11.51,6.44,,,,12.25,
2020-KW16,,,,,,,,9.0,,10.02,7.27,,,6.92,,21.0,,
2020-KW17,,,25.44,,,,29.87,,,10.02,7.27,11.51,6.44,,11.16,,18.38,
2020-KW18,,,,,,,,9.0,18.29,30.06,,5.75,6.44,6.92,,,,
2020-KW19,,,,,,,,,,,,5.75,,,,,,
2020-KW20,,,,,,,,,,,,,6.44,,,,6.13,
2020-KW22,13.03,,,,16.96,,,,,,,,,,,,,
2020-KW23,,,,,16.96,20.88,,,,,,5.75,,,,,,
2020-KW24,13.03,,,,16.96,62.64,9.96,,,,,,,,,,,
2020-KW25,,,,,,20.88,,,,,,,,,,,,
2020-KW27,,,,,,,,,9.14,,,,,,,,,
2020-KW28,,,,,,,29.87,,,,,,,,,10.5,,
2020-KW29,,,,13.98,,,,,,,7.27,,,,,,,
2020-KW30,,,,,16.96,,,9.0,,,,,,,,,,
2020-KW31,,,,,,20.88,9.96,,,,,,,,,,,
2020-KW32,13.03,,,,16.96,,,,,10.02,,,25.77,,,,12.25,
2020-KW33,,,,13.98,,,,9.0,18.29,10.02,,5.75,6.44,,,10.5,,
2020-KW34,13.03,,,,16.96,,,,,,,,19.32,,,,6.13,
2020-KW35,,,,,,,9.96,,,,,,,,,,,
2020-KW36,,,,,,20.88,,,,10.02,,,,,,,,
2020-KW37,,,,,,,9.96,,,,,,,,,,,
2020-KW38,,,,,,,,,9.14,,,5.75,,,,,,
2020-KW39,13.03,,,,16.96,20.88,,9.0,,10.02,14.55,5.75,6.44,,11.16,,,
2020-KW40,13.03,,,,16.96,20.88,29.87,18.0,9.14,30.06,29.1,,12.88,13.85,,10.5,36.75,
2020-KW41,,,25.44,,33.93,83.52,9.96,18.0,64.01,60.13,65.47,23.02,64.42,6.92,11.16,73.51,67.38,
2020-KW42,13.03,12.62,50.88,41.94,33.93,167.05,79.64,27.0,73.15,110.23,50.92,40.28,45.09,34.62,44.62,42.0,30.63,
2020-KW43,,25.23,63.6,41.94,50.89,83.52,79.64,54.01,91.44,40.08,29.1,28.77,19.32,6.92,11.16,31.5,24.5,
2020-KW44,13.03,25.23,38.16,27.96,67.85,125.29,139.37,81.01,27.43,60.13,43.65,80.56,38.65,48.47,22.31,63.01,30.63,
2020-KW45,26.06,37.85,38.16,41.94,203.56,62.64,139.37,72.01,109.73,120.25,94.57,92.07,115.95,55.39,44.62,84.01,287.9,
2020-KW46,78.17,63.08,38.16,209.7,118.74,167.05,69.69,72.01,146.31,130.27,138.21,74.8,90.18,76.16,55.78,52.5,61.26,
2020-KW47,39.08,50.47,50.88,167.76,16.96,167.05,129.42,225.02,201.17,200.42,123.66,201.39,103.07,48.47,100.4,42.0,98.01,
2020-KW48,39.08,100.93,139.91,153.78,271.42,125.29,179.19,171.02,219.46,140.29,210.96,189.88,122.39,117.7,111.56,84.01,324.66,
2020-KW49,39.08,63.08,114.47,83.88,152.67,104.41,129.42,171.02,192.03,190.4,167.31,155.36,154.6,83.09,78.09,84.01,202.14,
2020-KW50,117.25,75.7,101.76,167.76,305.34,313.22,318.57,288.03,246.89,260.55,203.68,281.95,154.6,110.78,100.4,157.51,502.3,
2020-KW51,78.17,113.55,139.91,167.76,373.2,250.57,308.61,432.04,310.9,300.63,327.34,362.51,199.69,110.78,133.87,168.01,673.81,
2020-KW52,13.03,151.4,63.6,125.82,118.74,480.27,258.84,288.03,164.59,240.51,218.23,356.75,238.34,152.32,111.56,346.53,588.06,
2020-KW53,26.06,88.32,89.04,83.88,288.38,271.46,278.75,234.02,265.18,240.51,312.8,224.41,193.25,131.55,55.78,147.01,324.66,
2021-KW01,13.03,75.7,178.07,321.54,424.09,563.79,557.49,504.05,420.63,531.12,429.18,385.52,328.52,200.79,200.8,252.02,361.41,
