# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-27 07:50:09
# API-Download für Covid19-Inzidenzen in LK Oldenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,17.24,16.66,,,,,,
2020-KW12,,,,,28.81,30.26,,13.68,26.3,36.95,8.62,41.64,20.3,12.83,14.95,,,
2020-KW13,,,32.75,43.79,100.83,45.39,53.09,41.05,39.45,110.84,120.7,49.97,40.61,64.17,14.95,,215.74,
2020-KW14,,,,58.39,72.02,30.26,26.54,41.05,39.45,86.21,34.49,33.31,20.3,,14.95,96.25,118.66,
2020-KW15,15.9,,65.51,43.79,28.81,15.13,13.27,13.68,26.3,24.63,17.24,8.33,,,14.95,19.25,10.79,
2020-KW16,,,,,14.4,15.13,,,13.15,24.63,8.62,16.66,10.15,,14.95,,43.15,
2020-KW17,,,,14.6,,15.13,,,13.15,12.32,,8.33,10.15,12.83,,,64.72,
2020-KW18,,,,,,,13.27,,,,,8.33,,12.83,,,10.79,
2020-KW19,,,,,28.81,15.13,13.27,,,,8.62,,10.15,,,,,
2020-KW20,,,,,,15.13,,,,,,,10.15,,,,10.79,
2020-KW21,,,,,14.4,,,,,,,,10.15,,,,,
2020-KW23,,,,,,,,,,,,8.33,,,,,10.79,
2020-KW25,,,,,,,13.27,13.68,13.15,,,,,,,,,
2020-KW26,15.9,16.36,49.13,14.6,57.62,45.39,26.54,82.1,52.61,36.95,51.73,74.95,30.45,12.83,,19.25,,
2020-KW27,31.79,,32.75,29.19,28.81,15.13,13.27,13.68,,12.32,51.73,8.33,10.15,,,,,
2020-KW28,,,,,28.81,45.39,,,,,,8.33,,,,,,
2020-KW29,,,,14.6,14.4,15.13,66.36,,13.15,,,,,,,,,
2020-KW30,,,,,,,,13.68,,,,,,,,,,
2020-KW31,,16.36,16.38,14.6,86.43,45.39,26.54,,39.45,49.26,,,,,,,,
2020-KW32,,16.36,32.75,29.19,28.81,15.13,53.09,41.05,78.91,,8.62,33.31,,,,,,
