# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-08-31 08:43:41
# API-Download für Covid19-Inzidenzen in LK Ostprignitz-Ruppin, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,,,16.02,,,41.48,,,,,47.43,,
2020-KW13,,,,,28.29,,,,16.61,18.83,13.83,21.06,,,,,,
2020-KW14,,,,25.42,,,,,,75.33,55.31,,31.84,,,,23.17,
2020-KW15,,,,,,,18.39,,16.61,,41.48,10.53,21.23,12.03,,,23.17,
2020-KW16,,,,,,,,16.02,,,,,,,,,,
2020-KW17,25.98,92.95,185.87,25.42,,,,48.05,16.61,,,,,,,,,
2020-KW18,,,46.47,50.84,28.29,33.77,,16.02,16.61,37.66,,10.53,10.61,,,,,
2020-KW19,,,23.23,,28.29,,18.39,,16.61,18.83,,,,,,,,
2020-KW20,25.98,,,50.84,,33.77,,,16.61,,,10.53,,,,,,
2020-KW21,,,,,,,18.39,,,,,10.53,,,,,,
2020-KW25,,,,,,,,,,,,,,12.03,,,,
2020-KW27,51.96,,,,28.29,,36.78,,,18.83,,,,,,,,
2020-KW28,,,,,,,,,,,,,10.61,,,,,
2020-KW29,25.98,,,,,,18.39,16.02,,,,,,,,,,
2020-KW30,25.98,,,,,,,,,,,,,,,,,
2020-KW31,,,,,,,,,,,13.83,,,,,23.71,11.59,
2020-KW32,,,,,,33.77,,,,,,,,,,,23.17,
2020-KW34,,,,,,,,,,,,,10.61,,,,,
2020-KW35,,,,25.42,,,,,,18.83,13.83,,,,,,11.59,
2020-KW37,,,,,,,,,,18.83,,,,,,,,
2020-KW38,,,,,28.29,,,,,,,,,,,,,
2020-KW39,,,,,,,,,,,,,,,,,23.17,
2020-KW40,,,,,,,36.78,16.02,,,,,10.61,,,23.71,11.59,
2020-KW41,,,,25.42,,33.77,18.39,,,,,,,,,,,
2020-KW42,51.96,23.24,69.7,101.68,,67.53,18.39,48.05,16.61,,13.83,31.6,,,,23.71,11.59,
2020-KW43,51.96,,23.23,127.1,113.15,33.77,36.78,64.06,16.61,18.83,69.14,,42.45,12.03,17.8,47.43,34.76,
2020-KW44,103.93,69.71,116.17,76.26,113.15,168.83,183.9,112.11,182.66,169.49,193.58,10.53,95.52,72.2,53.4,,57.94,
2020-KW45,,46.48,185.87,101.68,28.29,101.3,73.56,80.08,132.85,188.32,96.79,73.73,42.45,,17.8,47.43,34.76,
2020-KW46,25.98,46.48,139.41,177.94,28.29,33.77,18.39,96.09,132.85,131.83,41.48,63.19,106.14,24.07,17.8,47.43,,
2020-KW47,,185.91,278.81,50.84,28.29,33.77,,112.11,116.24,112.99,27.65,73.73,95.52,24.07,53.4,23.71,34.76,
2020-KW48,77.95,46.48,69.7,50.84,,168.83,73.56,128.12,49.82,75.33,69.14,84.26,63.68,36.1,17.8,23.71,34.76,
2020-KW49,51.96,69.71,209.11,305.03,56.57,168.83,73.56,144.14,99.63,75.33,165.93,157.99,53.07,60.17,35.6,71.14,57.94,
2020-KW50,25.98,46.48,92.94,381.29,141.43,168.83,202.29,128.12,149.45,263.65,193.58,115.86,53.07,48.14,53.4,47.43,104.29,
2020-KW51,103.93,185.91,185.87,228.77,282.87,371.43,349.41,288.28,282.3,244.82,428.65,347.57,286.57,156.44,124.59,94.86,150.64,
2020-KW52,77.95,92.95,46.47,127.1,254.58,270.13,275.85,320.31,298.9,301.32,401.0,231.71,286.57,156.44,142.39,237.15,289.69,
2020-KW53,25.98,23.24,69.7,305.03,424.3,405.2,422.97,304.29,365.33,282.49,401.0,358.1,265.34,168.48,124.59,379.44,602.55,
2021-KW01,155.89,92.95,92.94,279.61,622.3,574.03,496.53,224.22,481.57,451.98,511.62,484.49,403.32,252.72,177.98,379.44,706.84,
2021-KW02,77.95,46.48,69.7,279.61,650.59,607.8,386.19,160.15,298.9,282.49,318.03,294.91,297.18,96.27,124.59,355.72,463.5,
2021-KW03,337.77,92.95,232.34,559.23,990.03,607.8,753.99,320.31,481.57,564.97,442.48,537.15,265.34,252.72,142.39,355.72,787.95,
2021-KW04,311.79,139.43,69.7,330.45,311.15,270.13,294.24,272.26,149.45,282.49,262.72,305.44,201.66,144.41,142.39,260.86,428.74,
2021-KW05,51.96,23.24,23.23,50.84,198.01,135.07,55.17,128.12,166.06,131.83,110.62,126.39,63.68,60.17,106.79,71.14,185.4,
2021-KW06,,,,,28.29,,73.56,48.05,33.21,37.66,82.96,126.39,84.91,60.17,35.6,71.14,115.87,
2021-KW07,,23.24,,,56.57,67.53,110.34,48.05,33.21,37.66,41.48,73.73,74.3,,17.8,,57.94,
2021-KW08,77.95,23.24,23.23,,56.57,,18.39,48.05,33.21,18.83,82.96,73.73,42.45,48.14,53.4,118.57,127.46,
2021-KW09,51.96,,23.23,25.42,,101.3,55.17,32.03,33.21,37.66,82.96,21.06,42.45,12.03,17.8,,69.52,
2021-KW10,25.98,69.71,69.7,101.68,56.57,67.53,73.56,80.08,99.63,75.33,55.31,31.6,63.68,60.17,17.8,47.43,34.76,
2021-KW11,77.95,139.43,209.11,76.26,113.15,33.77,73.56,128.12,66.42,37.66,96.79,94.79,84.91,84.24,17.8,47.43,11.59,
2021-KW12,181.88,302.1,69.7,25.42,56.57,303.9,165.51,224.22,132.85,169.49,193.58,221.18,191.05,132.37,71.19,47.43,127.46,
2021-KW13,181.88,185.91,116.17,25.42,84.86,135.07,128.73,208.2,132.85,94.16,82.96,179.05,148.59,192.54,106.79,47.43,127.46,
2021-KW14,103.93,92.95,139.41,177.94,198.01,67.53,202.29,128.12,166.06,131.83,193.58,115.86,95.52,108.31,17.8,,173.81,
2021-KW15,25.98,92.95,92.94,127.1,141.43,67.53,220.68,80.08,149.45,131.83,96.79,31.6,106.14,84.24,106.79,118.57,81.11,
2021-KW16,207.86,139.43,69.7,203.36,84.86,270.13,220.68,160.15,199.27,94.16,55.31,105.32,63.68,24.07,35.6,71.14,81.11,
2021-KW17,,,23.23,50.84,141.43,135.07,91.95,96.09,49.82,56.5,55.31,52.66,159.21,36.1,53.4,47.43,23.17,
2021-KW18,25.98,,,50.84,28.29,33.77,55.17,80.08,99.63,,82.96,84.26,21.23,24.07,,47.43,34.76,
2021-KW19,363.75,69.71,23.23,50.84,,67.53,110.34,80.08,49.82,75.33,27.65,10.53,10.61,12.03,17.8,,11.59,
2021-KW20,25.98,,23.23,,28.29,33.77,,48.05,49.82,56.5,13.83,,10.61,,,,,
2021-KW21,,23.24,,,,33.77,18.39,32.03,,,13.83,,10.61,,,,,
2021-KW22,,23.24,92.94,,,,,,33.21,,,,,,,,,
2021-KW23,25.98,,,,,33.77,18.39,,,,,,,,,,,
2021-KW24,,,,,,,,,,,27.65,,10.61,,,,,
2021-KW27,,,,50.84,28.29,,,,,,,,,,,,,
2021-KW28,,,23.23,,,,,,,,,,,,,,,
2021-KW29,,,,,,,,,,18.83,,,,,,,,
2021-KW30,,,,50.84,28.29,,,16.02,,,,,21.23,,,,,
2021-KW31,25.98,116.19,46.47,,,33.77,,48.05,16.61,18.83,13.83,10.53,10.61,,,,,
2021-KW32,,23.24,69.7,152.52,28.29,,36.78,,16.61,18.83,41.48,10.53,10.61,,,,,
2021-KW33,,23.24,116.17,25.42,28.29,,,16.02,16.61,75.33,13.83,10.53,10.61,,,23.71,,
2021-KW34,,23.24,92.94,25.42,28.29,,,32.03,33.21,37.66,13.83,,10.61,,,,,
2021-KW35,25.98,69.71,116.17,25.42,84.86,33.77,36.78,64.06,66.42,75.33,,10.53,42.45,12.03,,,,
2021-KW36,25.98,116.19,92.94,76.26,28.29,67.53,18.39,80.08,16.61,,41.48,21.06,10.61,24.07,,,,
2021-KW37,25.98,46.48,46.47,25.42,56.57,,18.39,16.02,33.21,,,10.53,,,,23.71,,
2021-KW38,51.96,23.24,23.23,50.84,84.86,33.77,128.73,80.08,49.82,18.83,13.83,10.53,10.61,,,,,
2021-KW39,25.98,46.48,23.23,50.84,28.29,,55.17,96.09,33.21,75.33,13.83,21.06,21.23,24.07,,,23.17,
2021-KW40,51.96,92.95,23.23,,84.86,101.3,128.73,80.08,66.42,18.83,41.48,,,12.03,17.8,23.71,104.29,
2021-KW41,25.98,,69.7,177.94,141.43,101.3,18.39,,33.21,94.16,55.31,52.66,,36.1,53.4,,34.76,
2021-KW42,,69.71,92.94,177.94,113.15,33.77,55.17,32.03,66.42,150.66,69.14,105.32,31.84,60.17,17.8,23.71,23.17,
2021-KW43,77.95,92.95,162.64,25.42,56.57,236.37,110.34,128.12,116.24,131.83,69.14,94.79,148.59,204.58,53.4,,127.46,
2021-KW44,233.84,766.86,836.43,406.71,198.01,236.37,183.9,272.26,265.69,301.32,179.76,179.05,180.43,96.27,53.4,142.29,208.57,
2021-KW45,155.89,1301.34,1742.57,406.71,367.73,371.43,367.8,528.51,415.14,320.15,193.58,221.18,191.05,144.41,177.98,189.72,139.05,
2021-KW46,337.77,1185.15,1626.39,737.16,452.58,337.67,441.36,736.71,481.57,433.15,442.48,326.5,233.5,288.82,249.18,94.86,208.57,
2021-KW47,233.84,1556.96,1324.35,686.32,735.45,540.27,790.77,624.6,996.35,772.13,456.31,421.3,318.41,288.82,266.98,260.86,243.34,
2021-KW48,389.74,1185.15,859.67,940.52,452.58,574.03,717.21,704.68,547.99,376.65,483.96,421.3,244.12,180.51,124.59,260.86,312.86,
2021-KW49,493.67,1161.91,1394.05,1042.2,650.59,506.5,882.72,656.63,581.2,451.98,373.34,294.91,159.21,204.58,124.59,284.58,220.16,
2021-KW50,493.67,1742.87,1486.99,889.68,424.3,776.63,809.16,928.89,614.41,696.8,608.41,252.78,233.5,192.54,213.58,118.57,127.46,
2021-KW51,363.75,1347.82,1115.24,533.81,537.44,405.2,496.53,496.48,531.38,414.31,304.2,179.05,180.43,84.24,17.8,47.43,57.94,
2021-KW52,77.95,627.43,580.86,279.61,396.01,168.83,441.36,448.43,282.3,207.16,248.89,115.86,63.68,84.24,106.79,94.86,92.7,
2022-KW01,285.81,697.15,627.32,813.42,565.73,472.73,459.75,512.49,498.17,414.31,290.38,168.52,275.96,120.34,35.6,71.14,81.11,
2022-KW02,571.61,1487.25,999.07,762.58,424.3,371.43,845.94,672.65,697.44,395.48,345.69,294.91,318.41,108.31,71.19,47.43,69.52,
2022-KW03,1247.16,2091.44,2346.65,1677.68,1244.61,1181.83,1121.79,1249.2,963.14,583.8,456.31,431.83,339.64,96.27,124.59,71.14,115.87,
2022-KW04,2026.63,4252.6,3926.58,2948.65,1838.63,1924.7,2556.2,2146.06,1976.09,1600.75,1175.33,821.53,530.69,240.68,266.98,260.86,220.16,
2022-KW05,1299.12,4647.65,4460.97,2618.2,1923.48,1857.17,2501.03,2818.71,1959.48,1412.43,843.47,832.06,477.62,252.72,195.78,142.29,243.34,
2022-KW06,2754.14,5275.08,5483.27,4270.46,3366.1,3477.97,3861.89,4196.03,4284.29,2730.7,1700.77,1464.01,1050.76,758.15,498.35,474.3,278.1,
2022-KW07,2078.6,3787.83,3485.13,2948.65,2404.36,2431.2,2868.83,3042.92,2540.68,1845.57,1935.84,1126.97,955.24,553.57,391.56,213.43,440.32,
2022-KW08,1636.9,4275.84,3926.58,2516.52,2093.2,2262.37,2905.61,2754.64,2507.47,1450.09,1534.85,1442.94,1061.37,565.6,587.35,498.01,892.24,
2022-KW09,1662.88,4508.22,4484.2,2719.88,2404.36,2194.83,2740.1,3106.98,2955.83,1657.25,1534.85,1242.82,934.01,577.63,427.16,403.15,811.12,
2022-KW10,1351.09,2556.21,2857.81,1957.3,1923.48,1890.93,2611.37,2498.4,2042.51,1657.25,1368.92,1169.1,923.4,565.6,640.74,450.58,753.19,
2022-KW11,1195.19,2509.73,4344.8,3584.14,2545.79,2397.43,2850.44,2514.41,2872.8,2052.73,2129.42,1959.03,1316.1,962.72,640.74,474.3,938.59,
2022-KW12,1481.0,2068.2,2555.76,3355.36,3111.52,3039.0,2629.76,3187.06,2673.53,2674.2,2032.63,2095.95,1454.08,734.08,854.32,592.87,1228.27,
2022-KW13,753.49,604.19,1463.75,1753.94,1980.06,1553.27,1489.59,1489.43,1527.73,1073.45,1064.71,1379.75,1199.35,553.57,800.93,355.72,660.49,
2022-KW14,493.67,883.05,1115.24,1601.42,1357.75,1418.2,919.5,864.83,1195.62,1016.95,1037.06,895.26,742.96,216.61,249.18,237.15,417.15,
2022-KW15,259.82,488.0,604.09,686.32,876.88,979.23,735.6,896.86,880.11,659.13,732.85,674.07,668.67,252.72,320.37,355.72,231.75,
2022-KW16,155.89,232.38,348.51,533.81,1074.89,945.47,496.53,752.72,680.84,677.97,857.3,631.94,668.67,288.82,231.38,284.58,220.16,
2022-KW17,129.91,255.62,302.04,660.9,678.88,472.73,606.87,640.61,448.36,470.81,470.13,631.94,498.85,144.41,266.98,118.57,162.22,
2022-KW18,181.88,162.67,255.58,355.87,650.59,506.5,606.87,288.28,365.33,395.48,331.86,410.76,212.27,168.48,213.58,118.57,173.81,
2022-KW19,51.96,46.48,69.7,177.94,339.44,303.9,331.02,288.28,249.09,207.16,235.07,284.38,244.12,84.24,195.78,47.43,139.05,
2022-KW20,51.96,46.48,209.11,355.87,396.01,303.9,202.29,320.31,249.09,301.32,359.51,221.18,244.12,108.31,106.79,94.86,104.29,
2022-KW21,,,116.17,50.84,254.58,101.3,18.39,144.14,199.27,188.32,138.27,200.12,265.34,48.14,17.8,94.86,150.64,
2022-KW22,,23.24,23.23,76.26,282.87,270.13,91.95,112.11,199.27,225.99,82.96,210.65,84.91,60.17,,23.71,57.94,
2022-KW23,,92.95,302.04,152.52,169.72,270.13,147.12,144.14,199.27,150.66,207.41,179.05,169.82,48.14,71.19,,46.35,
2022-KW24,,92.95,209.11,177.94,226.29,303.9,128.73,272.26,215.88,225.99,331.86,189.58,286.57,84.24,142.39,,139.05,
2022-KW25,77.95,46.48,185.87,177.94,622.3,270.13,239.07,368.35,315.51,338.98,456.31,379.17,318.41,156.44,142.39,189.72,150.64,
