# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-15 08:45:09
# API-Download für Covid19-Inzidenzen in LK Paderborn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,9.26,9.26,,,5.52,17.84,12.44,9.23,,,,,
2020-KW12,,6.57,,,38.49,18.52,32.42,15.07,21.74,55.24,57.97,37.33,13.84,,7.59,,,
2020-KW13,,,6.78,12.49,19.24,41.68,23.16,15.07,32.6,60.77,31.21,37.33,27.68,5.69,,,48.45,
2020-KW14,6.39,,13.57,31.23,48.11,50.94,37.06,30.14,97.81,88.39,75.8,49.77,50.76,22.74,22.77,73.71,161.5,
2020-KW15,6.39,6.57,,43.73,28.87,60.21,46.32,30.14,86.94,77.34,80.26,49.77,55.37,17.06,15.18,105.3,102.28,
2020-KW16,6.39,,13.57,24.99,33.68,23.16,23.16,5.02,10.87,38.67,22.29,16.59,13.84,,15.18,21.06,53.83,
2020-KW17,6.39,19.72,,18.74,4.81,18.52,23.16,20.1,27.17,,8.92,4.15,9.23,5.69,,21.06,26.92,
2020-KW18,,,6.78,12.49,,,,,10.87,,,4.15,,,15.18,21.06,21.53,
2020-KW19,,,,12.49,4.81,9.26,,5.02,5.43,,8.92,4.15,9.23,,15.18,21.06,26.92,
2020-KW20,,,,6.25,19.24,,,,5.43,5.52,4.46,,,5.69,7.59,10.53,32.3,
2020-KW21,6.39,,6.78,,4.81,4.63,13.9,,,,8.92,8.3,13.84,,,10.53,16.15,
2020-KW22,,,,,14.43,18.52,13.9,5.02,10.87,5.52,4.46,8.3,,5.69,,,,
2020-KW23,6.39,6.57,,,,4.63,9.26,5.02,,5.52,4.46,4.15,4.61,5.69,7.59,,,
2020-KW24,6.39,,,6.25,,4.63,4.63,5.02,,,,4.15,,5.69,,,5.38,
2020-KW25,,,,,14.43,,4.63,5.02,,11.05,4.46,12.44,4.61,5.69,,,,
2020-KW26,12.79,,6.78,6.25,4.81,,9.26,10.05,21.74,5.52,13.38,8.3,32.3,,7.59,,5.38,
2020-KW27,,13.14,,,,13.89,9.26,5.02,,,13.38,,9.23,5.69,,,10.77,
2020-KW28,,,,,,,4.63,,,,4.46,4.15,4.61,,,,,
2020-KW29,6.39,6.57,,,,9.26,4.63,10.05,5.43,,4.46,,4.61,,,31.59,,
2020-KW30,,,,6.25,4.81,,4.63,5.02,10.87,,4.46,,,,,,,
2020-KW31,6.39,,,6.25,4.81,13.89,9.26,5.02,5.43,,,8.3,,,,,,
2020-KW32,,13.14,27.13,,4.81,,,15.07,10.87,11.05,4.46,8.3,,11.37,,,5.38,
2020-KW33,12.79,13.14,,6.25,,9.26,9.26,,,11.05,,,,,,,,
2020-KW34,,,,6.25,14.43,18.52,9.26,10.05,16.3,11.05,4.46,8.3,4.61,,,,,
2020-KW35,,,13.57,12.49,,18.52,13.9,10.05,5.43,5.52,13.38,4.15,,,7.59,,,
2020-KW36,,,,,4.81,13.89,9.26,5.02,5.43,,13.38,,,,,,,
2020-KW37,,,,,9.62,23.16,9.26,10.05,,,4.46,8.3,,5.69,,,,
2020-KW38,,,,6.25,33.68,9.26,9.26,15.07,10.87,,,8.3,,,,,10.77,
2020-KW39,,,,,4.81,,18.53,5.02,10.87,,8.92,4.15,13.84,,7.59,,5.38,
2020-KW40,,,,6.25,4.81,23.16,4.63,10.05,5.43,5.52,,,4.61,5.69,7.59,,5.38,
2020-KW41,6.39,,,6.25,38.49,4.63,9.26,10.05,16.3,11.05,8.92,4.15,,5.69,,,5.38,
2020-KW42,19.18,,,12.49,33.68,41.68,23.16,20.1,16.3,16.57,8.92,12.44,27.68,11.37,,21.06,10.77,
2020-KW43,6.39,13.14,27.13,37.48,52.92,46.31,46.32,65.31,32.6,55.24,44.59,24.89,32.3,56.85,22.77,52.65,134.58,
2020-KW44,6.39,19.72,67.83,87.45,153.95,55.57,101.9,100.48,130.42,82.87,102.56,74.66,46.14,45.48,45.54,105.3,150.73,
2020-KW45,19.18,13.14,54.26,231.12,197.25,148.2,134.33,200.96,146.72,215.45,142.69,111.99,101.51,102.33,83.49,84.24,123.82,
2020-KW46,25.57,72.3,128.88,168.66,279.03,162.09,134.33,155.75,146.72,132.58,133.77,149.31,83.05,85.28,106.26,73.71,64.6,
2020-KW47,19.18,46.01,61.05,137.43,187.63,171.35,208.44,150.72,157.59,138.11,98.1,116.13,110.74,85.28,53.13,94.77,86.13,
2020-KW48,,59.15,54.26,131.18,129.9,125.04,162.12,155.75,135.85,165.73,124.85,107.84,78.44,73.91,37.95,84.24,64.6,
2020-KW49,31.97,19.72,33.92,168.66,158.76,138.94,152.85,130.63,141.28,198.88,191.74,141.02,106.12,73.91,60.72,115.83,102.28,
2020-KW50,38.36,32.86,74.61,93.7,86.6,125.04,115.8,140.68,130.42,143.63,138.23,66.36,138.42,51.17,37.95,63.18,123.82,
2020-KW51,25.57,26.29,47.48,93.7,197.25,208.4,176.01,130.63,190.19,171.25,138.23,145.17,170.72,125.07,75.9,105.3,145.35,
2020-KW52,19.18,13.14,33.92,124.93,149.14,120.41,111.17,145.7,163.02,204.4,182.82,136.87,78.44,68.22,30.36,84.24,156.12,
2020-KW53,44.75,46.01,54.26,49.97,173.19,166.72,134.33,155.75,130.42,132.58,182.82,145.17,101.51,96.65,91.08,115.83,150.73,
2021-KW01,44.75,32.86,61.05,156.17,211.68,148.2,157.49,135.65,163.02,149.16,133.77,128.58,143.04,90.96,98.67,189.55,220.71,
2021-KW02,25.57,26.29,13.57,68.71,129.9,134.3,143.59,110.53,86.94,154.68,89.18,78.8,96.9,68.22,83.49,63.18,177.65,
2021-KW03,38.36,39.43,20.35,49.97,182.82,92.62,101.9,70.34,76.08,99.44,120.39,78.8,13.84,45.48,37.95,52.65,48.45,
2021-KW04,12.79,13.14,13.57,62.47,115.46,111.15,88.01,110.53,124.98,132.58,93.64,99.54,64.6,28.43,37.95,42.12,64.6,
2021-KW05,31.97,13.14,27.13,56.22,134.71,83.36,74.11,85.41,81.51,60.77,49.05,78.8,46.14,51.17,53.13,10.53,26.92,
2021-KW06,,6.57,13.57,31.23,62.54,64.84,41.69,50.24,59.77,60.77,40.13,53.92,13.84,17.06,30.36,10.53,5.38,
2021-KW07,19.18,19.72,40.7,37.48,48.11,87.99,64.85,50.24,76.08,110.49,62.43,62.21,36.91,17.06,15.18,73.71,64.6,
2021-KW08,12.79,32.86,27.13,43.73,62.54,64.84,41.69,70.34,76.08,55.24,31.21,45.62,41.53,51.17,7.59,31.59,48.45,
2021-KW09,38.36,39.43,,37.48,62.54,55.57,60.21,50.24,54.34,60.77,75.8,24.89,13.84,28.43,7.59,,21.53,
2021-KW10,31.97,59.15,54.26,99.95,57.73,55.57,69.48,60.29,103.25,88.39,44.59,49.77,46.14,22.74,7.59,52.65,26.92,
2021-KW11,12.79,46.01,74.61,81.21,110.65,69.47,88.01,60.29,97.81,99.44,98.1,74.66,69.21,45.48,37.95,52.65,37.68,
2021-KW12,44.75,32.86,67.83,143.67,96.22,111.15,74.11,115.55,119.55,127.06,89.18,74.66,83.05,39.8,68.31,,26.92,
2021-KW13,6.39,26.29,40.7,81.21,125.08,106.52,101.9,75.36,81.51,127.06,93.64,58.07,69.21,39.8,37.95,52.65,10.77,
2021-KW14,12.79,52.58,88.18,193.65,221.3,115.78,138.96,115.55,163.02,143.63,120.39,87.1,46.14,34.11,30.36,31.59,10.77,
2021-KW15,63.93,131.45,101.75,387.29,269.41,148.2,185.28,221.06,222.79,193.35,178.36,145.17,64.6,73.91,113.85,42.12,32.3,
2021-KW16,147.04,276.04,271.32,318.58,211.68,291.77,231.6,251.21,271.7,187.83,182.82,170.05,92.28,108.02,60.72,52.65,59.22,
2021-KW17,115.07,184.03,183.14,168.66,153.95,101.89,180.64,140.68,146.72,143.63,129.31,111.99,138.42,51.17,30.36,42.12,37.68,
2021-KW18,89.5,111.73,135.66,168.66,86.6,166.72,148.22,135.65,135.85,171.25,62.43,70.51,78.44,68.22,68.31,105.3,69.98,
2021-KW19,83.11,144.59,149.23,156.17,101.03,97.26,166.75,125.6,124.98,132.58,89.18,74.66,96.9,90.96,53.13,31.59,53.83,
2021-KW20,76.72,72.3,128.88,131.18,67.35,92.62,138.96,155.75,65.21,88.39,84.72,41.48,73.83,39.8,22.77,52.65,16.15,
2021-KW21,19.18,65.72,88.18,49.97,43.3,18.52,23.16,40.19,59.77,55.24,44.59,24.89,9.23,17.06,,,16.15,
2021-KW22,70.32,72.3,54.26,31.23,19.24,37.05,46.32,75.36,48.91,33.15,44.59,16.59,23.07,22.74,7.59,,26.92,
