# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-09 07:52:48
# API-Download für Covid19-Inzidenzen in LK Plön, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,14.16,,17.51,8.47,,,,13.84,,
2020-KW12,,,,31.93,,,,,42.48,,17.51,8.47,,47.41,12.85,13.84,,
2020-KW13,,,16.91,31.93,18.17,37.84,46.74,,14.16,25.48,26.27,76.2,41.4,11.85,25.7,,27.18,
2020-KW14,,,,15.97,18.17,75.67,15.58,,14.16,12.74,8.76,33.87,10.35,23.71,,27.68,27.18,
2020-KW15,,,,15.97,36.34,37.84,15.58,,28.32,25.48,26.27,16.93,51.74,23.71,12.85,41.52,,
2020-KW16,,,,,,,,,14.16,,8.76,,10.35,,,,,
2020-KW17,,,,,18.17,,,,14.16,,17.51,8.47,10.35,23.71,12.85,13.84,9.06,
2020-KW18,,,,,,,,14.95,,,8.76,16.93,,,,,,
2020-KW19,,,,,,,,,,,,,10.35,,,,,
2020-KW27,,,,15.97,,,,,,,,,,,,,,
2020-KW30,,,,,,,15.58,29.89,,,,8.47,,,,,,
2020-KW31,,,16.91,,,18.92,,,14.16,12.74,,,,11.85,12.85,13.84,,
2020-KW32,,,,,54.51,,,,,,17.51,,20.7,,12.85,,9.06,
2020-KW33,,17.96,,15.97,,18.92,31.16,,,12.74,,,,,,13.84,18.12,
2020-KW34,,,,,,,,14.95,,,,,,,,,,
2020-KW35,,,,,18.17,,,,,,,,,,,,,
2020-KW36,,,,,,,15.58,,,,,,,,,,,
2020-KW38,,,,15.97,,,,,14.16,12.74,,,10.35,,,,,
2020-KW39,,,,15.97,,,15.58,14.95,,,17.51,,,,,13.84,,
2020-KW40,,,,15.97,18.17,,,14.95,,,8.76,8.47,,,,,,
2020-KW41,,,,,,,,,,,8.76,,,,,,,
2020-KW42,,,,,,18.92,15.58,14.95,,25.48,,,,11.85,,,9.06,
2020-KW43,18.43,,,,,18.92,15.58,44.84,14.16,12.74,8.76,8.47,10.35,23.71,12.85,13.84,18.12,
2020-KW44,18.43,,,,90.84,37.84,62.32,14.95,42.48,25.48,8.76,25.4,10.35,11.85,12.85,27.68,9.06,
2020-KW45,18.43,17.96,,31.93,36.34,18.92,15.58,29.89,28.32,38.23,17.51,25.4,10.35,11.85,12.85,27.68,18.12,
2020-KW46,,,50.74,31.93,36.34,18.92,46.74,59.78,14.16,12.74,87.57,16.93,10.35,11.85,25.7,,9.06,
2020-KW47,18.43,,16.91,15.97,72.67,,15.58,59.78,14.16,,,16.93,,,,,9.06,
2020-KW48,,17.96,50.74,31.93,54.51,18.92,46.74,,28.32,63.71,8.76,16.93,,,,27.68,,
2020-KW49,36.87,,50.74,63.87,72.67,37.84,31.16,74.73,42.48,63.71,26.27,16.93,31.05,,12.85,,9.06,
2020-KW50,18.43,53.87,50.74,175.63,72.67,75.67,62.32,44.84,84.96,76.45,8.76,25.4,20.7,23.71,25.7,27.68,,
2020-KW51,,17.96,16.91,79.83,90.84,37.84,77.91,,56.64,89.19,52.54,33.87,31.05,,12.85,13.84,45.3,
2020-KW52,,,,15.97,109.01,,46.74,59.78,14.16,50.97,52.54,42.33,62.09,23.71,25.7,27.68,27.18,
2020-KW53,,,,31.93,54.51,75.67,15.58,14.95,28.32,50.97,61.3,8.47,,23.71,64.25,55.36,81.54,
2021-KW01,,17.96,,31.93,90.84,,109.07,74.73,,38.23,17.51,50.8,31.05,35.56,38.55,110.73,63.42,
2021-KW02,,,,15.97,54.51,94.59,62.32,59.78,42.48,50.97,52.54,50.8,31.05,35.56,51.4,13.84,81.54,
