# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-02-20 07:44:43
# API-Download für Covid19-Inzidenzen in LK Ravensburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,4.5,,,,,,,
2020-KW10,,,,,,,,,,,4.5,4.33,5.0,,,,,
2020-KW11,,,22.02,13.77,17.42,22.47,10.52,34.22,64.12,28.82,22.51,13.0,,6.25,7.46,9.54,,
2020-KW12,,14.56,7.34,6.89,29.04,61.8,47.32,34.22,34.97,57.63,49.52,73.67,44.96,12.5,7.46,9.54,10.64,
2020-KW13,27.12,14.56,7.34,34.43,87.11,50.57,78.87,68.44,58.29,80.68,153.05,86.67,104.91,74.98,82.01,28.61,42.55,
2020-KW14,,,7.34,13.77,11.61,28.09,21.03,28.52,29.15,34.58,67.52,43.33,24.98,18.74,29.82,57.21,58.51,
2020-KW15,6.78,,,6.89,11.61,33.71,15.77,17.11,17.49,34.58,40.51,26.0,19.98,18.74,7.46,28.61,42.55,
2020-KW16,,,7.34,6.89,5.81,16.86,,5.7,5.83,5.76,22.51,17.33,5.0,12.5,14.91,19.07,47.87,
2020-KW17,,,,6.89,29.04,5.62,,17.11,5.83,11.53,,13.0,5.0,6.25,,,10.64,
2020-KW18,,,,,5.81,,,5.7,11.66,,,,,,,9.54,5.32,
2020-KW19,47.45,,,,,16.86,,,5.83,,,,,6.25,,,,
2020-KW20,,,,,,,,11.41,,,,,,,,,,
2020-KW21,,,,13.77,5.81,,,,,,,,,,,,,
2020-KW22,,,,,,,,,,,4.5,,,,,,5.32,
2020-KW24,,,,,,,,,,,4.5,4.33,,,,,,
2020-KW26,,,,,,5.62,,,,,,4.33,,,,,,
2020-KW27,,,,,,11.24,10.52,,,11.53,,,5.0,,,,,
2020-KW28,13.56,14.56,,,,,,11.41,,,,4.33,,6.25,,,,
2020-KW29,6.78,,7.34,13.77,17.42,11.24,10.52,,,,,,,,,,,
2020-KW30,,7.28,,,5.81,16.86,,11.41,5.83,,4.5,4.33,,,,,,
2020-KW31,,,7.34,20.66,11.61,5.62,,,17.49,11.53,13.5,8.67,,,,,10.64,
2020-KW32,6.78,14.56,7.34,13.77,17.42,5.62,5.26,11.41,,34.58,,,,,,,,
2020-KW33,6.78,,,27.54,17.42,22.47,21.03,11.41,,17.29,4.5,,,,,,,
2020-KW34,6.78,,22.02,6.89,87.11,50.57,26.29,11.41,17.49,11.53,27.01,8.67,,,,,,
2020-KW35,,21.83,,27.54,46.46,22.47,26.29,17.11,5.83,11.53,18.01,,,12.5,,,,
2020-KW36,,7.28,22.02,,69.69,50.57,21.03,22.81,17.49,17.29,27.01,21.67,,,7.46,9.54,,
2020-KW37,13.56,7.28,7.34,13.77,46.46,28.09,31.55,,5.83,5.76,4.5,17.33,5.0,6.25,,9.54,,
2020-KW38,6.78,7.28,14.68,20.66,46.46,16.86,5.26,,11.66,28.82,9.0,13.0,5.0,,,,,
2020-KW39,,,,6.89,11.61,28.09,10.52,5.7,,5.76,13.5,4.33,14.99,6.25,7.46,,,
2020-KW40,6.78,,,20.66,5.81,11.24,10.52,11.41,11.66,,9.0,8.67,14.99,6.25,7.46,9.54,,
2020-KW41,6.78,7.28,7.34,27.54,34.84,16.86,10.52,17.11,17.49,34.58,18.01,13.0,5.0,31.24,14.91,19.07,,
2020-KW42,6.78,7.28,14.68,13.77,34.84,33.71,31.55,5.7,11.66,46.1,31.51,43.33,34.97,31.24,14.91,,21.28,
2020-KW43,,14.56,29.36,48.2,58.07,44.95,63.1,57.03,58.29,40.34,45.02,26.0,54.95,49.99,14.91,47.68,26.6,
2020-KW44,40.67,36.39,22.02,34.43,145.18,140.46,141.97,91.25,46.63,80.68,117.04,47.67,54.95,6.25,52.19,38.14,26.6,
2020-KW45,,21.83,44.04,82.62,162.6,196.65,126.19,45.62,93.27,126.79,144.05,69.33,39.97,43.74,29.82,38.14,42.55,
2020-KW46,33.9,36.39,44.04,130.82,150.99,129.22,57.84,114.06,110.75,126.79,81.03,143.0,99.91,31.24,37.28,76.28,212.76,
2020-KW47,20.34,43.67,44.04,117.05,150.99,89.9,110.42,102.65,99.1,132.55,121.54,125.67,69.94,68.73,52.19,76.28,117.02,
2020-KW48,13.56,29.11,22.02,55.08,121.95,95.51,99.9,57.03,139.9,103.74,108.04,82.33,59.95,62.48,29.82,152.57,292.55,
2020-KW49,13.56,29.11,80.75,96.4,81.3,101.13,94.65,62.73,52.46,115.26,117.04,112.67,84.93,43.74,52.19,123.96,255.32,
2020-KW50,20.34,72.78,80.75,151.48,156.79,162.94,147.23,165.39,163.22,270.87,139.55,125.67,199.83,99.97,59.64,95.36,122.34,
2020-KW51,33.9,87.33,95.43,179.02,243.9,224.74,241.87,262.34,285.63,195.95,247.58,229.67,209.82,137.46,126.74,47.68,159.57,
2020-KW52,27.12,29.11,44.04,89.51,145.18,174.17,173.52,193.9,256.48,195.95,139.55,130.0,169.85,56.23,89.46,66.75,117.02,
2020-KW53,13.56,36.39,80.75,165.25,180.02,151.7,131.45,148.28,209.85,190.18,162.05,134.33,134.88,143.71,89.46,114.43,138.3,
2021-KW01,13.56,43.67,102.77,185.91,284.55,241.59,157.74,245.23,227.34,311.21,211.57,225.33,189.84,124.96,104.37,152.57,420.21,
2021-KW02,47.45,43.67,88.09,117.05,331.01,151.7,262.91,336.48,134.07,270.87,207.07,221.0,189.84,137.46,111.83,228.85,499.99,
2021-KW03,33.9,58.22,80.75,158.36,191.64,134.84,89.39,119.76,186.53,167.13,171.06,173.33,94.92,93.72,74.55,76.28,234.04,
2021-KW04,13.56,7.28,44.04,75.74,87.11,123.61,89.39,91.25,104.92,115.26,135.05,91.0,99.91,37.49,59.64,38.14,111.7,
2021-KW05,20.34,14.56,58.73,68.85,58.07,95.51,68.36,68.44,58.29,51.87,103.53,91.0,59.95,37.49,,57.21,95.74,
2021-KW06,47.45,50.95,14.68,110.17,40.65,44.95,63.1,51.33,81.61,34.58,81.03,65.0,49.96,31.24,22.37,9.54,37.23,
2021-KW07,13.56,14.56,22.02,34.43,40.65,56.18,52.58,45.62,46.63,46.1,54.02,78.0,34.97,6.25,37.28,28.61,47.87,
