# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-01-12 07:47:55
# API-Download für Covid19-Inzidenzen in LK Regensburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,6.31,5.92,,,,,,
2020-KW11,,,10.86,42.65,10.11,,16.93,8.02,15.6,7.9,6.31,11.84,,,,15.35,,
2020-KW12,,,,,50.53,48.89,33.86,56.13,39.0,47.43,69.4,65.11,40.88,33.79,20.7,,8.62,
2020-KW13,,10.32,,10.66,20.21,58.67,16.93,32.07,,39.52,44.16,100.62,54.51,50.68,51.74,30.69,43.08,
2020-KW14,10.22,,32.57,53.31,60.63,88.0,33.86,64.15,93.61,118.57,119.87,76.94,81.77,33.79,,76.74,43.08,
2020-KW15,,10.32,,21.32,20.21,68.44,25.4,32.07,31.2,47.43,56.78,76.94,54.51,33.79,20.7,15.35,51.7,
2020-KW16,,,,31.98,30.32,48.89,8.47,8.02,23.4,23.71,18.93,29.59,6.81,16.89,10.35,15.35,68.93,
2020-KW17,,,,10.66,,29.33,,16.04,7.8,,25.24,5.92,,8.45,10.35,,17.23,
2020-KW18,10.22,20.64,,10.66,,,8.47,8.02,23.4,,6.31,5.92,,8.45,10.35,,17.23,
2020-KW19,,,,,,,,16.04,,31.62,,5.92,13.63,16.89,,,,
2020-KW20,,,,10.66,10.11,,16.93,8.02,7.8,7.9,,5.92,,,10.35,,,
2020-KW21,,,,,10.11,29.33,25.4,16.04,7.8,7.9,,,,,20.7,,8.62,
2020-KW22,30.65,,,42.65,50.53,39.11,33.86,,7.8,,6.31,,6.81,8.45,,15.35,,
2020-KW23,,10.32,,21.32,,19.56,,8.02,15.6,7.9,,,,,,15.35,8.62,
2020-KW24,,,10.86,,,,8.47,8.02,,,,,,,,,,
2020-KW26,,,,,,9.78,,,,,,,,,,,,
2020-KW27,,,,,,,8.47,,,,6.31,,,,,,,
2020-KW28,,,10.86,,,,,16.04,,,,,,,,,,
2020-KW29,,,,,,19.56,,,,,12.62,,,,,,,
2020-KW31,,,10.86,,10.11,,8.47,,,15.81,,,6.81,16.89,,,17.23,
