# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-26 08:46:26
# API-Download für Covid19-Inzidenzen in LK Rems-Murr-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,5.06,,,,,,3.86,,5.89,2.77,,8.39,4.99,,,
2020-KW11,,,,,13.25,28.3,11.14,11.45,23.15,15.16,17.68,5.53,10.04,8.39,14.96,,3.21,
2020-KW12,14.05,9.84,5.06,9.49,61.81,72.76,26.0,45.79,42.45,37.9,70.72,47.04,23.42,20.98,24.93,35.43,22.45,
2020-KW13,14.05,14.76,40.46,47.45,92.72,109.14,78.01,64.87,84.89,98.53,76.62,113.45,80.3,71.32,54.85,76.76,41.7,
2020-KW14,4.68,14.76,20.23,42.7,48.57,68.72,104.02,83.95,92.61,106.11,73.67,105.15,66.91,67.12,49.86,106.28,176.4,
2020-KW15,4.68,9.84,,23.72,57.4,48.51,37.15,38.16,54.02,37.9,61.88,52.57,26.77,20.98,54.85,88.57,125.09,
2020-KW16,,9.84,,14.23,48.57,24.25,33.43,34.34,30.87,45.48,26.52,22.14,20.07,33.56,19.94,23.62,51.32,
2020-KW17,4.68,9.84,,9.49,22.08,36.38,33.43,15.26,50.16,53.06,53.04,30.44,33.46,25.17,34.9,47.24,109.05,
2020-KW18,4.68,,10.12,9.49,13.25,24.25,22.29,19.08,19.29,18.95,11.79,24.9,20.07,12.59,19.94,11.81,48.11,
2020-KW19,,14.76,,9.49,17.66,36.38,33.43,38.16,27.01,11.37,26.52,11.07,20.07,12.59,19.94,23.62,44.9,
2020-KW20,9.37,,,14.23,8.83,28.3,18.57,7.63,11.58,15.16,23.57,11.07,10.04,4.2,9.97,,28.87,
2020-KW21,9.37,4.92,,,13.25,8.08,7.43,7.63,7.72,7.58,8.84,11.07,13.38,4.2,14.96,5.9,35.28,
2020-KW22,,4.92,,,,4.04,7.43,3.82,,,2.95,,3.35,,4.99,5.9,22.45,
2020-KW23,,4.92,,,8.83,,3.71,,3.86,,11.79,2.77,,,4.99,11.81,3.21,
2020-KW24,,,,,17.66,4.04,3.71,,,7.58,,5.53,3.35,4.2,,5.9,9.62,
2020-KW25,,,,9.49,8.83,8.08,3.71,,3.86,,8.84,5.53,6.69,4.2,4.99,11.81,9.62,
2020-KW26,,4.92,,9.49,4.42,,,3.82,3.86,3.79,2.95,5.53,,4.2,4.99,5.9,12.83,
2020-KW27,9.37,9.84,5.06,9.49,4.42,,11.14,,3.86,3.79,,5.53,,,,,,
2020-KW28,4.68,4.92,,9.49,17.66,8.08,3.71,3.82,7.72,7.58,2.95,,,8.39,4.99,5.9,3.21,
2020-KW29,14.05,9.84,5.06,9.49,17.66,4.04,,11.45,7.72,15.16,8.84,2.77,3.35,4.2,,5.9,12.83,
2020-KW30,4.68,14.76,5.06,,8.83,16.17,7.43,7.63,15.43,7.58,2.95,,3.35,8.39,9.97,5.9,,
2020-KW31,,9.84,,4.74,4.42,12.13,14.86,11.45,,,2.95,,3.35,8.39,,5.9,,
2020-KW32,,,15.17,,13.25,,,3.82,,11.37,17.68,5.53,6.69,4.2,,,,
2020-KW33,4.68,14.76,10.12,37.96,35.32,52.55,11.14,3.82,19.29,15.16,2.95,,3.35,,,5.9,3.21,
2020-KW34,4.68,4.92,35.4,61.68,44.15,48.51,29.72,19.08,19.29,34.11,2.95,8.3,6.69,4.2,,,6.41,
2020-KW35,,24.6,40.46,75.91,79.47,44.47,18.57,34.34,38.59,34.11,23.57,8.3,,,4.99,,,
2020-KW36,14.05,14.76,15.17,71.17,61.81,24.25,7.43,19.08,19.29,37.9,29.47,2.77,13.38,4.2,9.97,5.9,16.04,
2020-KW37,,14.76,15.17,37.96,26.49,24.25,29.72,11.45,27.01,26.53,23.57,2.77,,,14.96,5.9,3.21,
2020-KW38,18.74,9.84,20.23,9.49,35.32,80.85,22.29,22.9,23.15,15.16,26.52,13.84,,25.17,19.94,5.9,12.83,
2020-KW39,,,5.06,9.49,35.32,24.25,14.86,15.26,30.87,11.37,14.73,2.77,10.04,12.59,9.97,,19.24,
2020-KW40,,14.76,10.12,18.98,35.32,20.21,18.57,11.45,27.01,26.53,14.73,5.53,10.04,4.2,9.97,,6.41,
2020-KW41,4.68,39.36,30.35,71.17,70.64,84.89,40.86,57.24,57.88,30.32,23.57,13.84,23.42,12.59,14.96,11.81,6.41,
2020-KW42,42.16,34.44,70.81,99.64,132.45,125.31,85.44,99.22,77.17,60.64,47.15,55.34,30.11,12.59,9.97,23.62,19.24,
2020-KW43,14.05,44.28,60.69,185.04,189.85,149.57,85.44,83.95,115.76,128.85,97.25,83.01,56.88,37.76,44.87,47.24,25.66,
2020-KW44,37.47,54.12,70.81,256.21,251.66,287.0,204.32,122.11,177.5,197.07,226.91,135.59,113.75,71.32,69.8,82.66,70.56,
2020-KW45,42.16,78.72,156.79,213.51,300.23,254.67,234.04,244.23,212.23,227.39,167.97,210.3,177.32,96.49,84.76,94.47,131.5,
2020-KW46,51.53,113.16,177.02,270.45,242.83,218.28,193.17,160.27,200.65,261.5,253.43,201.99,147.21,83.9,129.63,100.38,96.22,
2020-KW47,23.42,137.76,151.73,270.45,220.76,246.58,167.17,160.27,192.93,223.6,203.33,130.05,150.56,75.51,104.71,129.9,144.33,
2020-KW48,46.84,63.96,136.56,170.81,234.0,149.57,174.6,164.09,181.36,174.33,229.86,207.53,143.87,100.69,69.8,124.0,163.57,
2020-KW49,37.47,108.24,151.73,218.25,220.76,278.92,260.04,225.15,227.66,200.86,162.08,215.83,143.87,113.27,89.75,165.33,275.83,
2020-KW50,93.69,132.84,207.36,265.7,362.04,307.22,248.9,217.52,316.41,337.29,277.01,179.86,207.43,155.22,84.76,118.09,275.83,
2020-KW51,70.26,162.36,187.13,232.49,273.74,238.5,230.32,232.78,335.7,269.08,256.38,185.39,224.16,146.83,129.63,88.57,381.67,
2020-KW52,32.79,78.72,75.86,128.11,225.17,242.54,215.46,221.33,189.07,166.75,223.96,179.86,150.56,109.08,89.75,153.52,218.1,
2020-KW53,28.11,9.84,50.58,85.4,141.28,165.73,130.02,133.56,154.35,121.27,173.87,141.12,130.48,62.93,74.79,64.95,131.5,
2021-KW01,28.11,29.52,65.75,118.62,163.36,157.65,152.31,103.03,123.48,166.75,117.87,157.72,137.17,75.51,49.86,129.9,275.83,
2021-KW02,28.11,29.52,45.52,99.64,141.28,92.97,137.45,106.85,158.21,121.27,117.87,88.55,97.03,62.93,59.83,88.57,182.82,
2021-KW03,46.84,34.44,50.58,56.94,145.7,153.61,137.45,114.48,73.31,98.53,100.19,66.41,93.68,46.15,44.87,70.85,121.88,
2021-KW04,23.42,29.52,40.46,56.94,83.89,97.02,63.15,38.16,65.6,56.85,58.94,41.51,30.11,20.98,14.96,23.62,48.11,
2021-KW05,9.37,14.76,5.06,37.96,35.32,68.72,63.15,41.98,54.02,30.32,55.99,27.67,33.46,33.56,34.9,41.33,32.07,
2021-KW06,28.11,19.68,55.63,33.21,79.47,109.14,59.44,30.53,57.88,49.27,41.26,33.2,30.11,29.37,9.97,17.71,19.24,
2021-KW07,32.79,39.36,25.29,33.21,39.74,64.68,29.72,34.34,46.3,60.64,32.42,35.97,60.22,41.95,4.99,17.71,32.07,
2021-KW08,4.68,34.44,30.35,47.45,57.4,36.38,37.15,76.32,27.01,68.22,44.2,13.84,16.73,54.54,24.93,41.33,64.15,
2021-KW09,42.16,44.28,65.75,75.91,57.4,97.02,74.3,38.16,50.16,60.64,50.1,44.27,43.49,8.39,14.96,11.81,16.04,
2021-KW10,51.53,49.2,35.4,47.45,75.06,97.02,66.87,41.98,27.01,75.8,85.46,27.67,43.49,25.17,24.93,,22.45,
2021-KW11,51.53,83.64,40.46,71.17,110.38,97.02,96.59,95.4,84.89,87.17,109.03,63.64,83.64,20.98,44.87,41.33,22.45,
2021-KW12,121.79,211.56,207.36,223.0,251.66,153.61,189.46,213.7,185.22,155.38,114.93,116.22,107.06,79.71,69.8,59.05,44.9,
