# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-07-03 08:53:01
# API-Download für Covid19-Inzidenzen in LK Rhein-Kreis Neuss, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW06,,,,,4.65,,,,,,,,,,,,,
2020-KW10,,,,4.59,4.65,,,,,7.14,2.8,,,,,,,
2020-KW11,,,,,,4.4,,10.71,,10.72,16.8,5.12,8.96,3.68,,,,
2020-KW12,,4.38,4.58,,9.3,30.81,60.95,35.7,24.05,50.0,41.99,33.27,20.9,18.42,8.68,11.02,35.51,
2020-KW13,,,9.16,9.19,32.56,22.01,41.91,46.41,34.36,50.0,89.58,69.1,38.82,55.26,26.05,55.08,82.87,
2020-KW14,8.95,,,22.96,46.51,26.41,38.1,32.13,24.05,35.72,41.99,46.07,41.8,33.16,26.05,33.05,35.51,
2020-KW15,,,,,18.61,13.2,11.43,10.71,10.31,7.14,16.8,7.68,14.93,3.68,4.34,16.52,8.88,
2020-KW16,4.48,4.38,,9.19,9.3,13.2,15.24,7.14,6.87,25.0,8.4,5.12,14.93,14.74,4.34,11.02,2.96,
2020-KW17,4.48,4.38,,,9.3,17.6,7.62,3.57,3.44,7.14,5.6,2.56,11.94,,,,5.92,
2020-KW18,,,4.58,9.19,9.3,22.01,22.86,28.56,13.74,10.72,8.4,10.24,,,4.34,5.51,14.8,
2020-KW19,4.48,,,4.59,9.3,,11.43,7.14,10.31,21.43,19.6,10.24,11.94,3.68,4.34,,5.92,
2020-KW20,,,,,,13.2,11.43,7.14,3.44,7.14,,2.56,,7.37,,5.51,2.96,
2020-KW21,,,,,9.3,,,,,7.14,,10.24,5.97,3.68,4.34,,8.88,
2020-KW22,,,,4.59,9.3,4.4,,,6.87,7.14,5.6,2.56,8.96,11.05,,,5.92,
2020-KW23,,,,4.59,9.3,8.8,3.81,,3.44,,2.8,,2.99,,,,,
2020-KW24,,4.38,,,,,,3.57,,,2.8,2.56,5.97,,,,2.96,
2020-KW25,,,4.58,9.19,9.3,8.8,,7.14,,3.57,8.4,7.68,,,4.34,5.51,,
2020-KW26,8.95,30.66,9.16,13.78,9.3,30.81,19.05,10.71,,,11.2,7.68,8.96,,,,5.92,
2020-KW27,4.48,,,9.19,9.3,,3.81,,3.44,3.57,5.6,,2.99,3.68,,5.51,2.96,
2020-KW28,,,,9.19,,8.8,7.62,3.57,3.44,3.57,2.8,5.12,,,4.34,,,
2020-KW29,13.43,,4.58,,4.65,8.8,11.43,7.14,13.74,7.14,5.6,7.68,2.99,3.68,,,5.92,
2020-KW30,17.91,8.76,9.16,13.78,18.61,13.2,7.62,10.71,17.18,17.86,5.6,,,,8.68,,8.88,
2020-KW31,13.43,26.28,,55.11,32.56,17.6,7.62,14.28,10.31,25.0,8.4,20.47,5.97,11.05,,,5.92,
2020-KW32,8.95,13.14,4.58,22.96,37.21,8.8,22.86,10.71,3.44,7.14,11.2,7.68,2.99,3.68,,5.51,5.92,
2020-KW33,8.95,13.14,13.74,18.37,41.86,8.8,26.67,10.71,20.62,14.29,22.39,12.8,5.97,3.68,4.34,22.03,38.47,
2020-KW34,4.48,21.9,13.74,4.59,23.26,26.41,11.43,24.99,10.31,17.86,11.2,2.56,8.96,7.37,,5.51,5.92,
2020-KW35,4.48,13.14,,18.37,13.95,35.21,19.05,10.71,17.18,17.86,8.4,2.56,5.97,3.68,4.34,11.02,5.92,
2020-KW36,8.95,4.38,,13.78,32.56,13.2,15.24,,6.87,25.0,11.2,7.68,,7.37,8.68,,,
2020-KW37,4.48,4.38,4.58,13.78,37.21,17.6,7.62,7.14,3.44,7.14,,2.56,5.97,,,,,
2020-KW38,,4.38,9.16,4.59,18.61,17.6,26.67,10.71,6.87,21.43,22.39,10.24,5.97,,4.34,,,
2020-KW39,8.95,13.14,4.58,32.15,60.47,39.61,22.86,35.7,30.92,39.29,36.39,25.59,14.93,,8.68,16.52,5.92,
2020-KW40,4.48,,32.07,59.7,27.91,26.41,41.91,35.7,30.92,25.0,22.39,23.03,14.93,3.68,8.68,11.02,14.8,
2020-KW41,,17.52,22.91,55.11,60.47,35.21,49.53,46.41,48.1,46.43,44.79,23.03,26.87,3.68,4.34,5.51,20.72,
2020-KW42,17.91,30.66,59.56,55.11,102.33,114.43,137.15,71.4,68.72,96.44,58.79,63.98,83.6,18.42,43.41,38.56,29.59,
2020-KW43,22.38,65.71,73.3,151.56,209.31,180.45,179.05,149.94,106.52,167.87,128.77,104.93,104.5,51.58,34.73,27.54,38.47,
2020-KW44,85.06,48.19,142.03,165.34,283.73,272.87,278.11,207.07,188.98,182.16,128.77,138.2,116.45,58.95,60.78,60.59,94.7,
2020-KW45,49.24,105.14,109.96,169.93,274.43,233.26,148.58,146.37,151.19,167.87,162.36,166.36,56.73,36.84,78.14,93.64,106.54,
