# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-21 05:48:51
# API-Download für Covid19-Inzidenzen in LK Rhein-Neckar-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,2.15,,3.17,,,,
2020-KW10,,,,,,,,,2.97,,2.21,2.15,,,,,,
2020-KW11,,3.87,15.73,,7.11,16.43,8.93,14.68,17.83,17.79,24.26,8.61,10.23,6.33,3.64,,,
2020-KW12,3.8,3.87,,19.38,31.99,62.42,41.69,52.86,38.62,77.09,61.76,40.89,46.02,25.32,36.42,17.44,7.83,
2020-KW13,3.8,3.87,3.93,42.65,53.32,72.28,86.35,46.99,50.51,44.47,63.97,62.41,46.02,31.65,58.27,82.85,36.53,
2020-KW14,,11.6,11.8,23.26,53.32,42.71,38.71,29.37,44.56,59.3,39.7,38.74,25.57,18.99,36.42,34.88,46.96,
2020-KW15,,7.73,,11.63,10.66,19.71,8.93,14.68,5.94,26.68,22.06,12.91,15.34,12.66,7.28,13.08,41.74,
2020-KW16,,,3.93,3.88,14.22,13.14,2.98,5.87,5.94,8.89,19.85,4.3,25.57,,7.28,8.72,26.09,
2020-KW17,,,,,10.66,,2.98,,8.91,5.93,8.82,6.46,2.56,3.17,3.64,,2.61,
2020-KW18,7.59,3.87,,3.88,14.22,3.29,5.96,5.87,2.97,5.93,,6.46,2.56,3.17,3.64,,2.61,
2020-KW19,,,,3.88,7.11,3.29,5.96,,2.97,2.96,,4.3,7.67,3.17,10.93,4.36,5.22,
2020-KW20,,,3.93,,3.55,9.86,5.96,8.81,2.97,5.93,2.21,2.15,2.56,3.17,3.64,13.08,31.31,
2020-KW21,,,,3.88,,,5.96,2.94,,,,4.3,5.11,,,,,
2020-KW22,,,,,3.55,3.29,2.98,,,,,2.15,,,3.64,,2.61,
2020-KW23,,,3.93,3.88,,,,8.81,,,,,2.56,,,,,
2020-KW24,,,,,3.55,,2.98,,,,,,,,,,,
2020-KW25,,,,,3.55,,,2.94,,2.96,2.21,,,,,,,
2020-KW26,,,11.8,,,,,,,,2.21,,,,,,5.22,
2020-KW27,,3.87,,,,3.29,2.98,,,2.96,,2.15,,,,,2.61,
2020-KW28,3.8,7.73,11.8,7.75,,3.29,5.96,,11.88,5.93,,,5.11,3.17,,4.36,,
2020-KW29,7.59,7.73,3.93,,7.11,6.57,2.98,,2.97,5.93,,2.15,2.56,,,,,
2020-KW30,,,3.93,3.88,3.55,13.14,11.91,5.87,8.91,2.96,6.62,,2.56,,,,,
2020-KW31,11.39,7.73,15.73,23.26,14.22,13.14,23.82,11.75,5.94,8.89,2.21,2.15,,,,,2.61,
2020-KW32,11.39,3.87,3.93,7.75,3.55,9.86,2.98,11.75,2.97,,6.62,2.15,,,,,,
2020-KW33,7.59,3.87,3.93,31.01,35.55,23.0,8.93,17.62,,11.86,4.41,10.76,2.56,3.17,,,2.61,
2020-KW34,11.39,3.87,23.6,31.01,85.32,19.71,17.87,17.62,17.83,23.72,13.23,12.91,15.34,,,,,
2020-KW35,7.59,23.2,7.87,27.14,60.43,46.0,20.84,26.43,38.62,23.72,15.44,12.91,7.67,,,4.36,5.22,
