# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-10-22 09:06:47
# API-Download für Covid19-Inzidenzen in LK Rhein-Sieg-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,3.31,,,,,,10.96,,2.82,,1.9,,,,,,
2020-KW11,,,,6.57,6.49,9.48,11.46,5.48,5.41,8.47,10.89,17.11,6.52,8.19,,,,
2020-KW12,,,3.37,9.85,9.73,28.45,25.79,24.66,32.47,56.49,65.34,38.03,47.84,10.92,9.84,20.69,16.03,
2020-KW13,6.9,9.94,10.1,13.13,71.35,75.85,48.71,38.36,64.94,96.03,108.9,96.97,50.01,57.33,39.37,49.65,38.93,
2020-KW14,,6.63,3.37,19.7,38.92,28.45,28.65,16.44,32.47,33.89,43.56,49.44,34.79,30.03,42.65,41.37,103.06,
2020-KW15,,,,22.98,25.94,34.77,28.65,24.66,37.88,25.42,32.67,32.32,41.31,13.65,13.12,24.82,98.48,
2020-KW16,,6.63,16.84,26.26,51.89,56.89,42.98,38.36,32.47,14.12,23.96,28.52,15.22,10.92,29.53,28.96,52.67,
2020-KW17,6.9,,10.1,9.85,19.46,18.96,14.33,21.92,10.82,16.95,8.71,9.51,8.7,,,,11.45,
2020-KW18,10.35,3.31,13.47,9.85,9.73,12.64,11.46,2.74,5.41,11.3,4.36,5.7,,,6.56,12.41,13.74,
2020-KW19,3.45,,,6.57,3.24,9.48,2.87,,5.41,,4.36,1.9,4.35,,3.28,,6.87,
2020-KW20,3.45,9.94,16.84,19.7,58.37,44.25,37.25,13.7,18.94,14.12,8.71,1.9,15.22,8.19,3.28,4.14,9.16,
2020-KW21,24.15,19.88,13.47,42.67,68.1,66.37,28.65,35.62,40.59,11.3,10.89,7.61,4.35,2.73,,,,
2020-KW22,3.45,,,3.28,12.97,3.16,2.87,2.74,8.12,2.82,4.36,3.8,2.17,,3.28,,,
2020-KW23,,,,,,,,,,,2.18,1.9,,,,,,
2020-KW24,3.45,,,,,6.32,2.87,,,5.65,,1.9,,,,,,
2020-KW25,,,,,,3.16,2.87,5.48,5.41,2.82,,,,,,4.14,,
2020-KW26,,,,,,12.64,,2.74,,2.82,,,,,,,,
2020-KW27,,,,,3.24,,,2.74,2.71,2.82,,,,,3.28,,,
2020-KW28,,3.31,,,,,11.46,,,2.82,4.36,1.9,,5.46,,,,
2020-KW29,3.45,,,3.28,,12.64,5.73,2.74,8.12,14.12,6.53,3.8,,,3.28,,,
2020-KW30,3.45,3.31,3.37,13.13,16.22,6.32,5.73,13.7,10.82,5.65,6.53,1.9,2.17,,,,,
2020-KW31,3.45,6.63,6.74,16.41,9.73,9.48,5.73,5.48,5.41,5.65,13.07,11.41,2.17,,,,,
2020-KW32,,9.94,6.74,13.13,9.73,6.32,22.92,27.4,8.12,8.47,10.89,5.7,6.52,,,4.14,9.16,
2020-KW33,10.35,16.57,16.84,13.13,19.46,6.32,20.06,19.18,13.53,11.3,8.71,1.9,6.52,,,4.14,,
2020-KW34,13.8,13.25,13.47,13.13,29.19,28.45,5.73,19.18,13.53,14.12,15.25,13.31,4.35,,,,6.87,
2020-KW35,10.35,,10.1,16.41,29.19,37.93,17.19,16.44,10.82,8.47,8.71,3.8,4.35,2.73,,16.55,,
2020-KW36,,3.31,3.37,13.13,29.19,15.8,14.33,2.74,8.12,11.3,10.89,3.8,10.87,5.46,6.56,16.55,2.29,
2020-KW37,3.45,,16.84,6.57,29.19,31.61,17.19,13.7,8.12,14.12,23.96,11.41,2.17,2.73,3.28,,4.58,
2020-KW38,6.9,6.63,6.74,13.13,42.16,18.96,20.06,10.96,,16.95,4.36,15.21,4.35,5.46,13.12,,2.29,
2020-KW39,6.9,6.63,13.47,26.26,35.67,34.77,20.06,16.44,5.41,19.77,6.53,13.31,4.35,8.19,3.28,12.41,,
2020-KW40,6.9,9.94,30.31,32.83,9.73,41.09,31.52,19.18,35.18,25.42,17.42,24.72,19.57,10.92,3.28,20.69,11.45,
2020-KW41,10.35,13.25,50.52,72.22,61.62,22.12,37.25,30.14,35.18,42.37,65.34,51.34,67.41,49.14,22.97,28.96,11.45,
2020-KW42,31.04,26.5,13.47,78.78,94.05,72.69,48.71,54.8,70.36,36.72,74.05,41.83,45.66,40.95,32.81,8.27,9.16,
2020-KW43,48.29,43.07,77.47,131.3,142.69,142.23,140.41,126.04,83.89,107.33,117.62,104.58,106.55,73.71,42.65,62.06,54.96,
2020-KW44,20.7,49.7,121.26,200.23,239.98,224.4,223.5,142.48,186.71,192.06,213.45,144.51,102.2,90.09,68.9,78.61,93.9,
2020-KW45,34.49,56.32,74.1,203.52,301.6,202.28,212.04,161.66,162.36,206.19,211.27,157.81,132.64,95.55,42.65,82.75,146.57,
2020-KW46,34.49,36.44,74.1,226.49,217.28,189.63,157.6,167.14,143.42,225.96,193.85,117.89,100.02,68.25,62.34,78.61,178.64,
2020-KW47,41.39,66.26,134.73,252.75,252.96,246.52,223.5,205.5,197.54,189.24,150.29,152.11,143.51,90.09,62.34,111.71,208.41,
2020-KW48,20.7,53.01,74.1,193.67,188.09,180.15,154.73,153.44,178.6,158.17,159.0,135.0,100.02,98.28,55.78,119.99,245.05,
2020-KW49,44.84,39.76,84.21,111.61,165.39,173.83,103.16,101.38,110.95,104.51,169.89,114.08,80.45,46.41,36.09,24.82,98.48,
2020-KW50,20.7,89.45,161.67,249.47,269.17,287.61,249.29,169.88,257.07,240.08,209.1,209.15,167.43,65.52,101.71,124.12,256.5,
2020-KW51,68.99,99.39,104.41,252.75,272.41,237.04,194.85,257.56,194.83,240.08,302.75,205.35,145.69,122.85,59.06,153.09,201.54,
2020-KW52,27.6,96.08,43.79,118.17,194.58,173.83,128.94,131.52,148.83,158.17,145.93,155.91,102.2,87.36,91.87,148.95,196.96,
2020-KW53,10.35,29.82,64.0,82.06,113.51,97.98,111.75,106.86,97.42,84.73,137.22,106.48,117.42,57.33,75.46,111.71,224.44,
2021-KW01,10.35,26.5,64.0,121.45,191.34,199.12,169.06,134.26,175.89,149.7,163.36,127.39,134.81,68.25,59.06,124.12,224.44,
2021-KW02,27.6,29.82,33.68,65.65,152.42,148.55,149.0,139.74,108.24,138.4,117.62,112.18,78.28,79.17,59.06,82.75,217.57,
