# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-24 06:01:25
# API-Download für Covid19-Inzidenzen in LK Rheinisch-Bergischer Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,4.06,,9.46,,,,,
2020-KW11,7.68,,7.58,,,7.63,,6.18,12.36,28.78,20.31,19.34,18.92,6.09,,,,
2020-KW12,,7.63,,7.17,37.27,45.81,13.05,18.53,49.43,23.02,73.13,46.43,4.73,18.26,21.18,7.49,21.84,
2020-KW13,,,15.16,14.35,14.91,83.98,26.11,61.77,30.89,57.55,69.06,58.03,23.65,12.17,21.18,22.47,13.11,
2020-KW14,,,15.16,21.52,29.82,22.9,26.11,37.06,18.54,34.53,52.81,34.82,42.56,24.34,14.12,22.47,48.06,
2020-KW15,15.37,,15.16,7.17,22.36,61.08,26.11,49.41,37.07,28.78,32.5,54.16,23.65,6.09,7.06,59.93,74.27,
2020-KW16,7.68,,,,7.45,15.27,,6.18,,5.76,16.25,11.61,,,14.12,,48.06,
2020-KW17,,,,7.17,7.45,7.63,19.58,12.35,,5.76,4.06,,9.46,6.09,,14.98,48.06,
2020-KW18,,,,7.17,7.45,,13.05,12.35,,5.76,,,4.73,,,,,
2020-KW19,7.68,,,7.17,14.91,22.9,,6.18,6.18,,4.06,3.87,,,,,,
2020-KW20,,,,,,,6.53,,12.36,,4.06,3.87,9.46,6.09,,7.49,21.84,
2020-KW21,,7.63,15.16,,,7.63,,6.18,,,4.06,,,,,,,
2020-KW22,15.37,,,,,,19.58,,6.18,,,3.87,,,,,,
2020-KW24,,,,,,,,,,,,3.87,,6.09,,,,
2020-KW25,,,,,,,,,,5.76,,,,,,,,
2020-KW26,,,,,,,,,,5.76,,,,,,,,
2020-KW27,,,,,,7.63,,6.18,,5.76,,,,,,7.49,,
2020-KW28,15.37,,,7.17,7.45,,13.05,,6.18,,4.06,,4.73,,,,,
2020-KW29,7.68,,,,,15.27,,6.18,6.18,,4.06,,,,,7.49,,
2020-KW30,,,7.58,14.35,14.91,15.27,,12.35,,5.76,8.13,7.74,4.73,,,,4.37,
2020-KW31,,,7.58,21.52,14.91,7.63,,12.35,,5.76,4.06,,4.73,,,,,
2020-KW32,7.68,7.63,15.16,14.35,7.45,15.27,6.53,12.35,12.36,11.51,8.13,11.61,4.73,6.09,,,,
2020-KW33,15.37,15.26,7.58,28.69,,15.27,,12.35,24.72,17.27,8.13,15.48,14.19,6.09,,7.49,8.74,
2020-KW34,,,15.16,14.35,14.91,22.9,26.11,,6.18,11.51,8.13,23.21,14.19,,,,,
2020-KW35,,,,7.17,14.91,7.63,,12.35,,5.76,4.06,7.74,9.46,6.09,,,,
2020-KW36,,,7.58,,,38.17,26.11,6.18,,5.76,16.25,15.48,4.73,6.09,,7.49,,
2020-KW37,,,15.16,21.52,14.91,38.17,13.05,6.18,,11.51,16.25,7.74,14.19,6.09,,,,
2020-KW38,7.68,,,,44.73,45.81,6.53,24.71,12.36,,12.19,19.34,4.73,,7.06,,4.37,
2020-KW39,,7.63,,21.52,52.18,22.9,6.53,18.53,12.36,17.27,8.13,19.34,4.73,,7.06,14.98,4.37,
2020-KW40,7.68,7.63,7.58,14.35,52.18,45.81,19.58,30.88,43.25,23.02,16.25,15.48,4.73,,7.06,29.96,13.11,
2020-KW41,38.42,38.16,15.16,86.08,96.91,91.62,78.32,37.06,55.61,51.8,48.75,42.56,28.38,12.17,7.06,29.96,17.48,
2020-KW42,23.05,22.9,45.48,93.25,156.55,99.25,71.79,67.94,49.43,69.06,52.81,65.77,61.48,24.34,7.06,22.47,26.21,
2020-KW43,61.47,22.9,128.85,179.33,313.11,236.68,182.74,148.24,160.65,132.37,134.06,119.94,113.5,54.77,77.67,22.47,69.9,
2020-KW44,169.05,129.75,174.32,473.42,350.38,313.02,293.7,222.36,290.41,230.2,178.75,135.41,94.59,97.38,112.97,59.93,56.8,
2020-KW45,23.05,114.49,128.85,150.63,268.38,229.04,208.85,148.24,111.22,138.12,117.81,116.07,66.21,30.43,63.55,67.42,74.27,
2020-KW46,99.89,53.43,106.11,251.06,201.28,328.29,300.22,210.01,179.19,178.41,170.63,158.63,137.15,85.2,91.79,89.89,100.48,
2020-KW47,92.21,68.69,128.85,107.6,186.37,183.23,117.48,123.53,129.76,155.39,81.25,100.59,94.59,42.6,42.36,67.42,131.07,
2020-KW48,146.0,137.38,128.85,222.37,186.37,152.7,182.74,185.3,160.65,132.37,158.44,127.67,61.48,48.69,35.3,89.89,244.66,
2020-KW49,38.42,99.22,121.27,208.02,156.55,167.96,110.95,166.77,67.97,155.39,89.38,127.67,137.15,79.12,77.67,44.94,187.86,
2020-KW50,122.94,99.22,159.16,208.02,178.92,145.06,176.22,203.83,210.08,218.69,195.0,185.71,118.23,97.38,84.73,149.81,318.93,
2020-KW51,107.58,129.75,121.27,200.85,246.01,183.23,228.43,197.65,179.19,207.18,215.32,181.84,174.98,66.95,63.55,172.28,301.45,
2020-KW52,38.42,76.32,90.95,121.94,134.19,160.33,137.06,142.06,111.22,103.59,138.13,139.28,108.77,121.72,105.91,112.36,336.41,
2020-KW53,15.37,30.53,45.48,129.12,141.64,152.7,130.53,86.47,92.68,115.1,97.5,131.54,99.31,66.95,91.79,59.93,152.91,
2021-KW01,53.79,91.59,98.53,186.5,231.1,229.04,143.58,123.53,173.01,143.88,186.88,131.54,99.31,60.86,49.42,67.42,122.33,
2021-KW02,69.16,83.96,144.0,78.9,164.01,160.33,143.58,179.12,191.55,184.16,146.25,100.59,132.42,66.95,70.61,67.42,161.65,
2021-KW03,107.58,83.96,30.32,71.73,104.37,106.89,163.16,123.53,67.97,74.82,73.13,96.72,80.4,79.12,49.42,52.43,100.48,
2021-KW04,99.89,61.06,22.74,78.9,96.91,83.98,110.95,117.36,123.58,57.55,89.38,104.46,66.21,73.03,49.42,67.42,200.97,
2021-KW05,53.79,53.43,83.37,121.94,89.46,76.35,117.48,74.12,105.04,51.8,52.81,77.38,66.21,66.95,42.36,74.91,83.01,
2021-KW06,15.37,15.26,37.9,57.38,67.09,91.62,91.37,74.12,67.97,69.06,52.81,69.64,47.29,24.34,28.24,37.45,65.53,
2021-KW07,15.37,22.9,53.05,43.04,156.55,76.35,71.79,74.12,74.15,51.8,85.31,73.51,33.1,30.43,49.42,52.43,56.8,
