# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-06-02 08:47:52
# API-Download für Covid19-Inzidenzen in LK Saale-Holzland-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,22.51,,,21.33,,,14.18,,,,,
2020-KW12,30.98,,,,33.34,,45.02,18.77,37.81,,48.08,13.22,,,19.88,49.4,,
2020-KW13,,,,29.17,66.68,,22.51,18.77,,21.33,16.03,,14.18,,39.75,,,
2020-KW14,,,,,,,67.53,75.09,56.72,42.66,32.06,13.22,14.18,30.42,,,,
2020-KW15,,,,29.17,33.34,,22.51,,18.91,,,,,,,,14.62,
2020-KW17,,,,29.17,,,,18.77,,,16.03,13.22,,,,24.7,,
2020-KW18,,,,,,,,,,21.33,,13.22,,,,,29.25,
2020-KW19,,,54.38,,,,,,,21.33,,,,,19.88,,43.87,
2020-KW20,,,,,,,,,,,,,,,19.88,,14.62,
2020-KW21,,,,,,,,,,,,,,,,24.7,,
2020-KW22,,,,,,,,,,,16.03,,14.18,,,,,
2020-KW23,,,,,,,,,,,,,,15.21,,,,
2020-KW24,,,,,,,,,,,,,,15.21,,,,
2020-KW33,,,,58.34,,,,,,,,,,,,,,
2020-KW34,,,,58.34,,,,,,,,,,,,,,
2020-KW35,,,,29.17,33.34,,,,,,,,,,,,,
2020-KW36,,,,29.17,,43.46,67.53,,,,,26.43,28.36,,,,14.62,
2020-KW37,,,,,,43.46,,,18.91,,,,14.18,,,,,
2020-KW38,,,,,,,22.51,,,,,,,,,24.7,14.62,
2020-KW39,,,,,33.34,,,18.77,,,,13.22,,,19.88,,14.62,
2020-KW40,,,,,,,,,18.91,,,26.43,28.36,,,,29.25,
2020-KW41,,,,,,,22.51,,18.91,42.66,32.06,,42.53,60.83,,49.4,29.25,
