# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2026-01-07 08:12:08
# API-Download für Covid19-Inzidenzen in LK Saale-Orla-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,14.16,,,,,,
2020-KW11,,,,31.03,,,,,20.36,,,,,,,,,
2020-KW12,,,,31.03,,,,,,22.03,,14.16,13.71,,,,,
2020-KW13,,,,,,,26.78,,20.36,22.03,34.52,14.16,27.41,15.0,19.24,28.58,127.8,
2020-KW14,,,,62.07,,83.63,80.33,61.92,20.36,88.12,86.3,28.31,41.12,30.0,19.24,,113.6,
2020-KW15,,,,,,41.81,26.78,41.28,20.36,22.03,17.26,56.63,54.82,59.99,,,99.4,
2020-KW16,,,28.38,,34.26,,,,40.73,,,,13.71,15.0,19.24,28.58,85.2,
2020-KW17,,,,,,,26.78,20.64,20.36,,17.26,14.16,,30.0,,28.58,56.8,
2020-KW18,,,,,,,,41.28,20.36,44.06,,,,,,28.58,,
2020-KW19,,,,31.03,34.26,,26.78,,40.73,,17.26,,27.41,,,,,
2020-KW20,,,,,68.52,,,,,22.03,,28.31,,,,,28.4,
2020-KW21,,,,31.03,,,,20.64,,44.06,,,,,,,,
2020-KW22,,,,,34.26,,,,,,,,,,,57.16,,
2020-KW23,,,,,,,,,,,17.26,,,,,,14.2,
2020-KW27,,,,,,,26.78,,,,,,,,,,,
2020-KW31,,,,,34.26,,,,,,,,,,,,,
2020-KW32,33.78,,,93.1,,,,20.64,,,,,,,,,,
2020-KW33,,,,93.1,,,,,,,,,,,,,,
2020-KW35,,,,31.03,68.52,,,,,,,,,,,,,
2020-KW36,,,28.38,,,,,,20.36,,17.26,,,,,,,
2020-KW37,,,,31.03,34.26,,80.33,,,,,,,,,,,
2020-KW38,,,,,,41.81,,,20.36,,,,,,,,14.2,
2020-KW39,,,28.38,,,,,,,,,14.16,,,,,14.2,
2020-KW40,,,,,,,,41.28,40.73,44.06,69.04,14.16,27.41,15.0,19.24,,56.8,
2020-KW41,,,56.75,,68.52,,53.55,41.28,,,17.26,14.16,,,,,14.2,
2020-KW42,,,,31.03,68.52,,,82.56,,,17.26,,,,,,42.6,
2020-KW43,,,,,34.26,83.63,53.55,20.64,,66.09,34.52,70.78,13.71,,38.48,28.58,14.2,
2020-KW44,,,28.38,,,,26.78,61.92,,22.03,17.26,56.63,27.41,,,,28.4,
2020-KW45,,,,155.17,102.77,,,61.92,101.82,66.09,86.3,42.47,13.71,30.0,38.48,85.74,28.4,
2020-KW46,,28.49,28.38,31.03,102.77,83.63,80.33,61.92,20.36,44.06,86.3,42.47,54.82,,,85.74,42.6,
2020-KW47,33.78,56.99,85.13,155.17,205.55,209.07,267.77,227.05,101.82,220.3,258.91,268.98,137.06,30.0,57.73,28.58,142.01,
2020-KW48,,113.98,141.88,248.27,102.77,334.52,321.33,165.13,183.27,264.36,362.48,254.82,260.41,119.99,57.73,85.74,241.41,
2020-KW49,67.56,142.47,198.64,465.51,411.1,585.41,428.44,330.25,468.36,660.9,535.08,665.37,383.76,284.96,192.42,285.8,355.01,
2020-KW50,101.34,227.95,340.52,434.48,650.91,334.52,722.99,557.3,509.09,462.63,621.39,594.59,383.76,134.98,192.42,257.22,411.81,
2020-KW51,101.34,313.43,227.01,372.41,548.13,334.52,294.55,454.1,407.27,660.9,483.3,622.9,479.7,194.98,192.42,142.9,326.61,
2020-KW52,101.34,170.96,227.01,186.21,513.87,459.96,562.32,557.3,448.0,704.96,379.74,665.37,520.82,314.96,346.35,371.53,369.21,
2020-KW53,33.78,113.98,113.51,341.38,548.13,250.89,428.44,412.82,325.82,594.81,466.04,467.17,301.52,254.97,192.42,200.06,411.81,
2021-KW01,168.9,113.98,85.13,372.41,787.94,543.59,455.21,412.82,529.45,418.57,569.6,353.92,383.76,119.99,327.11,371.53,553.82,
2021-KW02,67.56,56.99,198.64,155.17,479.62,334.52,160.66,288.97,346.18,286.39,397.0,410.55,233.0,194.98,153.93,85.74,397.61,
2021-KW03,168.9,28.49,85.13,186.21,171.29,83.63,187.44,247.69,305.45,308.42,500.56,311.45,219.29,44.99,38.48,142.9,383.41,
2021-KW04,33.78,28.49,28.38,186.21,137.03,209.07,214.22,144.49,122.18,176.24,224.39,297.29,191.88,44.99,76.97,142.9,227.21,
2021-KW05,33.78,85.48,113.51,124.14,205.55,250.89,80.33,165.13,142.54,154.21,138.09,212.35,150.76,104.99,96.21,171.48,198.81,
2021-KW06,67.56,170.96,113.51,217.24,102.77,292.7,187.44,206.41,122.18,264.36,224.39,169.88,95.94,44.99,153.93,114.32,213.01,
2021-KW07,168.9,142.47,56.75,124.14,342.58,209.07,321.33,185.77,183.27,264.36,241.65,169.88,164.47,89.99,76.97,142.9,284.01,
2021-KW08,67.56,113.98,141.88,124.14,342.58,125.44,267.77,123.85,264.73,374.51,293.43,424.7,301.52,74.99,173.18,85.74,269.81,
2021-KW09,168.9,170.96,85.13,93.1,137.03,125.44,294.55,309.61,183.27,220.3,207.13,240.67,205.59,179.98,230.9,200.06,184.61,
2021-KW10,168.9,370.42,28.38,155.17,171.29,376.33,428.44,412.82,366.54,198.27,276.17,268.98,301.52,119.99,211.66,200.06,213.01,
2021-KW11,472.93,227.95,227.01,589.65,376.84,669.04,722.99,495.38,407.27,484.66,500.56,580.43,342.64,419.95,327.11,428.69,369.21,
2021-KW12,135.12,170.96,113.51,589.65,513.87,1212.63,589.1,619.23,264.73,528.72,604.13,438.86,370.05,209.97,461.8,257.22,383.41,
2021-KW13,168.9,56.99,56.75,217.24,479.62,376.33,589.1,288.97,285.09,462.63,241.65,438.86,356.35,209.97,269.39,114.32,198.81,
2021-KW14,67.56,28.49,85.13,279.31,205.55,209.07,428.44,206.41,244.36,286.39,431.52,382.23,260.41,164.98,211.66,228.64,213.01,
2021-KW15,101.34,113.98,227.01,775.86,650.91,501.78,589.1,557.3,631.27,440.6,707.69,509.64,644.17,344.96,346.35,285.8,383.41,
2021-KW16,168.9,227.95,85.13,279.31,376.84,459.96,481.99,371.54,325.82,352.48,276.17,353.92,219.29,254.97,230.9,171.48,241.41,
2021-KW17,472.93,484.4,312.15,775.86,685.17,418.15,1071.09,619.23,672.0,749.02,742.21,665.37,493.4,449.94,288.63,342.96,241.41,
2021-KW18,168.9,85.48,85.13,310.34,308.32,125.44,562.32,392.18,305.45,286.39,276.17,467.17,233.0,74.99,211.66,200.06,156.21,
2021-KW19,101.34,142.47,85.13,248.27,102.77,250.89,187.44,82.56,142.54,154.21,258.91,184.04,68.53,104.99,96.21,85.74,99.4,
2021-KW20,33.78,113.98,170.26,279.31,102.77,209.07,133.89,123.85,244.36,154.21,86.3,113.25,109.65,89.99,134.69,28.58,156.21,
2021-KW21,33.78,28.49,,310.34,68.52,41.81,160.66,20.64,122.18,110.15,17.26,70.78,95.94,15.0,38.48,57.16,,
2021-KW22,,56.99,28.38,62.07,34.26,41.81,26.78,41.28,20.36,,,70.78,,,,,42.6,
2021-KW23,33.78,,,,,41.81,,,,,,70.78,41.12,30.0,,,,
2021-KW24,,,28.38,,,,,41.28,,,,14.16,,,,,,
2021-KW25,,28.49,141.88,,,,,41.28,20.36,,,14.16,,,,,14.2,
2021-KW26,,28.49,85.13,,,,,61.92,,22.03,,,,,,28.58,14.2,
2021-KW28,,,,,,41.81,,,,,17.26,,,,,,,
2021-KW29,,,,,,,,20.64,,,,,,,,,,
2021-KW30,,,,31.03,,,,20.64,,22.03,,14.16,,,,,,
2021-KW31,,,,248.27,,,,,20.36,,,,,,,,,
2021-KW32,,,,62.07,34.26,,,,,,17.26,,,,,,,
2021-KW33,,,,31.03,68.52,,53.55,,,22.03,17.26,,,,,,14.2,
2021-KW34,33.78,85.48,28.38,31.03,34.26,41.81,107.11,20.64,20.36,,17.26,,41.12,,,,14.2,
2021-KW35,33.78,28.49,,93.1,68.52,41.81,26.78,20.64,20.36,22.03,34.52,,,,,,,
2021-KW36,,113.98,28.38,62.07,,,53.55,,20.36,44.06,,,13.71,15.0,,,,
2021-KW37,101.34,,,31.03,102.77,83.63,,41.28,40.73,44.06,34.52,,13.71,,,57.16,14.2,
2021-KW38,,28.49,141.88,,34.26,83.63,26.78,20.64,20.36,44.06,,14.16,27.41,30.0,19.24,,14.2,
2021-KW39,,170.96,113.51,62.07,137.03,41.81,80.33,20.64,81.45,44.06,86.3,14.16,150.76,,19.24,,28.4,
2021-KW40,101.34,227.95,56.75,124.14,205.55,83.63,80.33,268.33,142.54,66.09,51.78,141.57,54.82,134.98,19.24,28.58,56.8,
2021-KW41,33.78,113.98,255.39,496.55,650.91,125.44,455.21,309.61,183.27,154.21,207.13,113.25,95.94,104.99,19.24,171.48,71.0,
2021-KW42,33.78,199.46,312.15,403.44,342.58,334.52,428.44,350.9,346.18,330.45,327.95,127.41,219.29,134.98,230.9,57.16,127.8,
2021-KW43,67.56,199.46,227.01,155.17,479.62,334.52,374.88,557.3,325.82,264.36,327.95,311.45,164.47,89.99,96.21,171.48,213.01,
2021-KW44,236.47,370.42,425.65,620.68,376.84,501.78,883.65,433.46,285.09,550.75,535.08,481.33,328.94,239.97,211.66,285.8,326.61,
2021-KW45,506.71,1111.27,822.93,1303.44,856.46,1129.0,1204.98,1259.09,997.81,749.02,845.78,665.37,534.52,494.94,288.63,257.22,482.82,
2021-KW46,574.28,1396.21,1901.25,2637.91,1473.11,1254.44,1526.31,1568.71,1853.08,1498.04,1260.03,1075.92,781.22,629.92,558.01,543.01,610.62,
2021-KW47,574.28,2051.57,3547.11,3134.46,1747.17,1588.96,2222.52,2270.5,2423.26,2070.83,1674.29,1118.39,1082.75,704.91,577.26,371.53,468.62,
2021-KW48,641.84,2222.54,3547.11,2731.01,1849.95,2048.92,2490.29,2456.27,2687.98,2247.07,1657.03,1585.56,1164.98,974.88,538.77,571.59,440.22,
2021-KW49,945.87,1823.62,2752.55,2017.22,1815.69,1714.41,2409.96,1940.24,1873.44,1916.62,1467.16,1472.31,1041.63,659.92,615.74,571.59,610.62,
2021-KW50,506.71,1453.2,2213.39,1396.54,993.49,878.11,1686.97,1692.55,1649.44,1343.83,1398.12,990.98,863.46,494.94,250.14,514.43,710.03,
2021-KW51,202.69,854.82,1191.83,1024.13,753.68,543.59,589.1,887.56,1058.9,528.72,707.69,651.21,370.05,344.96,307.87,85.74,227.21,
2021-KW52,168.9,313.43,539.16,527.58,685.17,209.07,696.21,639.87,610.9,418.57,552.34,438.86,191.88,299.96,173.18,85.74,170.41,
2022-KW01,135.12,256.45,141.88,434.48,445.36,418.15,321.33,165.13,285.09,242.33,224.39,368.08,178.17,179.98,153.93,85.74,170.41,
2022-KW02,135.12,113.98,113.51,155.17,102.77,334.52,187.44,268.33,325.82,220.3,69.04,56.63,41.12,15.0,57.73,28.58,14.2,
2022-KW03,540.49,569.88,283.77,589.65,376.84,418.15,776.54,536.66,549.81,220.3,207.13,169.88,123.35,59.99,57.73,,42.6,
2022-KW04,371.59,740.85,851.31,589.65,650.91,669.04,615.88,866.92,488.72,528.72,293.43,368.08,246.7,59.99,57.73,57.16,56.8,
2022-KW05,608.06,2137.06,1929.63,1148.27,1199.04,1170.81,1472.75,1548.07,1282.9,881.2,828.51,509.64,315.23,269.97,153.93,114.32,184.61,
2022-KW06,1182.33,2194.04,2553.92,2172.4,2295.31,2132.55,2249.3,2332.42,1832.71,1035.41,1052.9,821.09,438.58,254.97,250.14,228.64,269.81,
2022-KW07,1148.55,2393.5,1730.99,2234.46,1507.37,2467.07,2784.84,2373.7,1649.44,1960.68,1139.21,1090.07,877.16,389.95,327.11,257.22,241.41,
2022-KW08,1351.24,1880.61,1872.87,2513.77,2398.08,1965.29,2517.07,2497.55,2056.71,1498.04,1242.77,1316.58,1000.51,584.93,365.6,428.69,227.21,
2022-KW09,1486.36,2507.48,2525.54,3258.59,3254.54,2425.26,2650.96,2476.91,2015.99,2203.01,1449.9,1217.48,1219.8,524.93,423.32,342.96,525.42,
2022-KW10,2736.26,3960.68,5334.85,5896.5,4898.94,5059.59,5783.91,5015.74,3502.52,3392.63,3020.63,2548.22,1877.68,1214.85,904.37,714.49,752.63,
2022-KW11,1790.39,4103.15,4398.41,5089.61,3905.45,3805.14,5328.69,4933.18,5009.42,3348.57,3124.19,2845.51,2042.14,1199.85,942.85,971.71,937.23,
