# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-20 08:57:21
# API-Download für Covid19-Inzidenzen in LK Saalekreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,,,,6.8,,,,
2020-KW12,,,,13.46,16.09,,37.01,8.65,17.39,18.11,34.08,11.87,,,,10.71,6.99,
2020-KW13,,,12.17,,16.09,18.49,,17.31,17.39,27.16,20.45,41.55,19.51,27.21,19.56,10.71,27.98,
2020-KW14,,,,26.92,32.18,,18.5,17.31,8.69,18.11,34.08,17.81,13.01,13.6,,32.12,20.98,
2020-KW15,13.1,12.25,,13.46,,,18.5,34.61,,9.05,6.82,5.94,6.5,,,,,
2020-KW16,,,,,,,9.25,17.31,,9.05,,,6.5,,,,6.99,
2020-KW17,,,,,,,,,8.69,9.05,,11.87,,,,,,
2020-KW18,,,,,,,18.5,8.65,,,,,6.5,6.8,,10.71,6.99,
2020-KW19,,,,,,18.49,,,,18.11,,,6.5,6.8,,,34.97,
2020-KW20,,,,,,,9.25,,,,,,,,,10.71,,
2020-KW21,,,,,,,,,,9.05,,,,,,,,
2020-KW22,,,,,,,,,,9.05,,,,,19.56,,,
2020-KW25,,,,,,,,8.65,,,,,,,,,,
2020-KW26,,,,,,,,8.65,,9.05,6.82,,,,,,,
2020-KW27,,,12.17,,,,,8.65,,,,,,,,,,
2020-KW28,,,,,,,9.25,8.65,,,,,,,,,,
2020-KW29,,,,,32.18,,,,,,,,,,,,,
2020-KW30,,,,13.46,,,9.25,,,,,,,,,,,
2020-KW32,,,,,32.18,18.49,,,,,,,,,9.78,,,
2020-KW33,,12.25,,,32.18,,9.25,8.65,,9.05,13.63,,,,,,,
2020-KW34,,,,,,,,,8.69,,,,,,,,,
2020-KW35,,,,,,,,17.31,,,6.82,,,,,,,
2020-KW36,,,,,,,,,,18.11,6.82,5.94,,,9.78,,,
2020-KW37,,,,13.46,,,9.25,,,,,,,,9.78,10.71,6.99,
2020-KW38,,,24.34,,,18.49,,,17.39,,,,,,,,,
2020-KW39,,12.25,,13.46,16.09,,,25.96,8.69,,6.82,11.87,6.5,,9.78,10.71,,
2020-KW40,,,,,,,9.25,,,,13.63,,13.01,,,,6.99,
2020-KW41,,,,26.92,,18.49,9.25,8.65,,18.11,6.82,11.87,6.5,27.21,,10.71,,
2020-KW42,13.1,,12.17,13.46,64.35,55.46,46.26,8.65,8.69,27.16,,29.68,19.51,27.21,9.78,10.71,6.99,
2020-KW43,,12.25,48.69,26.92,112.61,55.46,18.5,8.65,43.47,,34.08,53.42,6.5,27.21,9.78,10.71,27.98,
2020-KW44,13.1,24.5,48.69,67.29,80.44,18.49,46.26,25.96,86.93,63.37,74.97,65.29,13.01,20.41,9.78,,27.98,
2020-KW45,13.1,49.0,60.86,67.29,176.96,55.46,46.26,25.96,121.71,81.48,54.53,83.1,97.57,20.41,29.35,42.82,62.95,
2020-KW46,13.1,85.74,73.03,148.05,64.35,92.44,46.26,112.5,113.01,108.64,115.87,100.91,78.06,68.02,39.13,64.23,62.95,
2020-KW47,52.41,49.0,109.54,121.13,144.79,147.9,148.02,112.5,86.93,99.58,88.6,89.04,97.57,81.63,88.04,117.76,237.83,
2020-KW48,26.21,110.24,97.37,161.51,176.96,110.93,175.78,181.72,182.56,181.06,204.47,207.75,84.56,40.81,127.16,181.99,405.71,
2020-KW49,170.34,110.24,377.31,228.8,160.88,129.41,138.77,147.11,113.01,126.74,102.24,94.97,65.05,61.22,58.69,32.12,97.93,
2020-KW50,65.51,97.99,170.4,403.77,176.96,332.78,231.29,268.26,330.35,298.75,265.81,225.56,195.15,74.82,136.95,171.29,517.63,
2020-KW51,91.72,110.24,109.54,242.26,386.1,351.27,314.55,259.61,269.49,344.02,320.34,249.3,188.64,115.64,107.6,128.47,244.82,
2020-KW52,131.03,171.48,304.28,323.01,643.5,277.32,481.08,562.48,425.98,452.65,497.55,457.05,305.73,190.46,254.33,289.05,916.34,
2020-KW53,104.82,110.24,60.86,121.13,257.4,388.24,360.81,363.45,260.8,289.7,313.52,362.08,357.77,176.86,234.76,342.58,580.58,
2021-KW01,104.82,183.73,60.86,269.18,707.85,351.27,379.31,527.86,391.2,516.02,408.94,510.48,416.31,244.88,185.86,471.04,972.3,
2021-KW02,65.51,110.24,48.69,282.64,498.71,332.78,453.33,406.72,373.82,497.92,381.68,427.38,351.27,217.67,185.86,310.46,531.62,
2021-KW03,13.1,61.24,60.86,161.51,257.4,166.39,148.02,155.76,173.87,289.7,245.37,178.07,143.11,81.63,146.73,289.05,552.6,
2021-KW04,13.1,61.24,73.03,161.51,225.23,166.39,166.53,155.76,165.17,117.69,170.39,207.75,175.63,115.64,136.95,128.47,223.84,
2021-KW05,39.31,12.25,24.34,80.75,80.44,55.46,64.76,95.19,86.93,90.53,149.95,94.97,84.56,20.41,68.47,53.53,125.91,
2021-KW06,39.31,24.5,48.69,53.84,96.53,73.95,37.01,95.19,60.85,63.37,74.97,100.91,52.04,20.41,48.91,42.82,104.92,
2021-KW07,13.1,36.75,48.69,53.84,128.7,73.95,92.52,51.92,60.85,126.74,95.42,178.07,162.62,40.81,48.91,96.35,167.88,
2021-KW08,131.03,195.98,60.86,148.05,48.26,184.88,101.77,138.46,191.25,199.17,88.6,136.52,52.04,54.42,58.69,53.53,181.87,
2021-KW09,52.41,97.99,121.71,134.59,144.79,92.44,120.27,121.15,121.71,162.95,177.21,106.84,201.65,102.03,58.69,64.23,139.9,
2021-KW10,144.13,183.73,133.89,201.88,209.14,73.95,185.03,138.46,139.09,172.01,204.47,130.59,130.1,54.42,68.47,96.35,132.9,
2021-KW11,91.72,330.72,194.74,80.75,209.14,73.95,203.53,250.95,208.64,90.53,122.68,160.27,97.57,74.82,39.13,32.12,48.96,
2021-KW12,222.75,502.2,243.43,215.34,386.1,258.83,231.29,242.3,278.19,253.49,238.55,243.37,208.16,108.84,97.82,64.23,181.87,
2021-KW13,209.64,293.97,328.63,323.01,241.31,184.88,231.29,276.91,199.95,144.85,190.84,267.11,117.09,115.64,136.95,128.47,139.9,
2021-KW14,157.23,244.98,328.63,323.01,128.7,147.9,296.05,276.91,269.49,226.33,184.02,154.33,162.62,61.22,97.82,64.23,125.91,
2021-KW15,248.95,440.96,328.63,524.9,402.19,369.75,360.81,311.53,321.66,334.96,245.37,231.5,214.66,204.07,78.25,160.58,146.89,
2021-KW16,196.54,514.45,413.83,444.15,241.31,480.68,249.79,363.45,312.96,362.12,279.44,225.56,227.67,122.44,68.47,107.05,83.94,
2021-KW17,209.64,232.73,219.08,228.8,209.14,332.78,342.31,242.3,286.88,271.59,224.92,172.14,214.66,149.65,146.73,85.64,111.92,
2021-KW18,183.44,232.73,279.94,215.34,160.88,147.9,166.53,138.46,182.56,280.64,122.68,154.33,91.07,81.63,58.69,85.64,90.93,
2021-KW19,65.51,110.24,121.71,148.05,160.88,92.44,129.52,138.46,69.55,108.64,136.31,118.72,104.08,95.23,48.91,53.53,83.94,
2021-KW20,26.21,73.49,85.2,94.21,96.53,73.95,37.01,112.5,95.63,54.32,68.16,112.78,110.58,20.41,29.35,53.53,153.89,
2021-KW21,13.1,73.49,24.34,80.75,128.7,36.98,55.51,77.88,69.55,36.21,34.08,41.55,32.52,34.01,39.13,96.35,76.94,
2021-KW22,26.21,,36.51,,32.18,18.49,18.5,17.31,34.77,27.16,,,19.51,20.41,9.78,21.41,6.99,
2021-KW23,,36.75,12.17,26.92,16.09,,,,,9.05,,11.87,13.01,13.6,,10.71,,
2021-KW24,13.1,,,,,,18.5,8.65,,,,,6.5,6.8,,,6.99,
2021-KW25,,12.25,,,,,,,8.69,9.05,,,,6.8,,,,
2021-KW26,,24.5,24.34,,,18.49,9.25,8.65,8.69,9.05,6.82,,,,,,,
2021-KW27,,,24.34,,,,,8.65,,9.05,6.82,11.87,,,,10.71,,
2021-KW28,,24.5,97.37,13.46,,,,43.27,26.08,,,,6.5,,9.78,10.71,,
2021-KW29,13.1,24.5,121.71,80.75,,,,,,18.11,6.82,,,,,,,
2021-KW30,13.1,24.5,36.51,26.92,16.09,,,34.61,8.69,27.16,,5.94,,6.8,19.56,,,
2021-KW31,,,12.17,13.46,,,18.5,17.31,,9.05,13.63,5.94,6.5,6.8,9.78,,,
2021-KW32,13.1,24.5,,94.21,32.18,,,8.65,17.39,9.05,20.45,,,6.8,,,6.99,
2021-KW33,13.1,12.25,73.03,107.67,48.26,,27.75,,26.08,27.16,,,,,,,,
2021-KW34,,61.24,97.37,161.51,80.44,55.46,9.25,17.31,43.47,27.16,34.08,5.94,13.01,6.8,9.78,,6.99,
2021-KW35,39.31,24.5,24.34,67.29,16.09,55.46,18.5,8.65,8.69,,13.63,5.94,,,9.78,,,
2021-KW36,26.21,36.75,133.89,26.92,80.44,36.98,18.5,43.27,43.47,9.05,20.45,23.74,13.01,13.6,9.78,,6.99,
2021-KW37,52.41,159.24,158.23,94.21,48.26,55.46,64.76,51.92,34.77,54.32,34.08,23.74,13.01,20.41,19.56,10.71,13.99,
2021-KW38,52.41,110.24,36.51,80.75,48.26,92.44,111.02,34.61,113.01,36.21,47.71,29.68,26.02,,,,13.99,
2021-KW39,52.41,110.24,292.11,161.51,128.7,110.93,46.26,60.57,69.55,63.37,34.08,35.61,45.53,13.6,,,20.98,
2021-KW40,131.03,281.72,474.68,201.88,16.09,55.46,148.02,138.46,104.32,63.37,34.08,41.55,6.5,20.41,58.69,10.71,13.99,
2021-KW41,78.62,612.44,401.66,134.59,80.44,92.44,166.53,216.34,147.79,108.64,74.97,29.68,26.02,20.41,9.78,21.41,6.99,
2021-KW42,65.51,306.22,486.85,282.64,112.61,147.9,111.02,173.07,243.41,90.53,61.34,65.29,65.05,54.42,78.25,21.41,76.94,
2021-KW43,144.13,244.98,523.37,134.59,225.23,166.39,231.29,216.34,269.49,181.06,156.76,100.91,156.12,102.03,117.38,64.23,167.88,
2021-KW44,314.47,404.21,632.91,390.31,530.89,388.24,397.82,346.14,417.28,344.02,245.37,225.56,208.16,142.85,224.98,192.7,251.82,
2021-KW45,288.26,551.2,1156.28,551.82,498.71,406.73,499.58,406.72,460.75,362.12,470.28,308.66,227.67,170.06,185.86,181.99,272.8,
2021-KW46,353.77,1482.12,2288.22,1305.52,563.06,591.61,730.87,735.55,869.34,715.19,504.36,403.63,240.68,238.08,205.42,246.23,300.78,
2021-KW47,655.14,2560.02,2799.42,1991.92,916.99,924.39,1322.97,1367.26,1417.02,968.68,892.86,783.52,494.37,346.92,313.02,289.05,447.68,
