# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-08 08:55:08
# API-Download für Covid19-Inzidenzen in LK Saar-Pfalz-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,16.41,,,,,,,,,,,,,,
2020-KW11,,,,,,13.09,12.46,,26.16,,17.87,31.32,8.35,10.02,,,,
2020-KW12,,,,32.82,69.0,78.53,24.92,12.66,52.31,90.57,44.68,62.65,8.35,,12.83,79.8,8.17,
2020-KW13,,,17.16,,82.8,52.36,62.31,37.99,52.31,64.69,62.56,78.31,25.05,40.09,,47.88,16.34,
2020-KW14,,,17.16,82.05,82.8,104.71,87.23,88.64,52.31,38.81,53.62,31.32,58.45,30.07,12.83,31.92,65.36,
2020-KW15,35.37,,,32.82,82.8,39.27,37.38,37.99,78.47,25.88,98.3,46.99,16.7,10.02,,79.8,24.51,
2020-KW16,,,,32.82,69.0,,,25.33,13.08,12.94,26.81,31.32,,10.02,,15.96,16.34,
2020-KW17,,,,,,,,,13.08,12.94,8.94,23.49,,,12.83,15.96,49.02,
2020-KW18,,,,16.41,13.8,13.09,,12.66,,,8.94,7.83,,10.02,25.65,15.96,32.68,
2020-KW19,,,,,,26.18,24.92,,,12.94,,,8.35,,,,8.17,
2020-KW20,17.68,,,,,,,,,,,,8.35,,,15.96,,
2020-KW21,,,,,,,,,,,,7.83,,,,,,
2020-KW22,,,,16.41,,,,12.66,,,,7.83,,10.02,,,16.34,
2020-KW23,,,,,,,,,,,,,,10.02,,,,
2020-KW24,,,,,13.8,,,,,,,,,,,15.96,,
2020-KW28,17.68,,,,41.4,,12.46,,,,8.94,,,10.02,,15.96,,
2020-KW29,17.68,35.2,,16.41,,,12.46,,13.08,,,,,,,,,
2020-KW30,17.68,,,,,,,,,,,,,,,,,
2020-KW31,,,,,,,24.92,,,,,,,,,,,
2020-KW32,,,17.16,16.41,13.8,13.09,,12.66,13.08,25.88,,,,,,,,
2020-KW33,17.68,17.6,,82.05,13.8,39.27,49.84,12.66,13.08,12.94,,23.49,8.35,10.02,,,,
2020-KW34,,,34.33,16.41,,,,12.66,26.16,25.88,8.94,,,,,,,
2020-KW35,,,17.16,32.82,,13.09,24.92,,13.08,12.94,17.87,,,,,,,
2020-KW36,,,17.16,32.82,,,,,26.16,,17.87,7.83,,,,,,
