# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-30 05:55:00
# API-Download für Covid19-Inzidenzen in LK Saarlouis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,12.07,,,,,18.53,,35.96,9.52,17.69,18.85,5.65,6.32,,,,,
2020-KW12,,,12.68,,31.49,46.31,,62.94,28.56,17.69,31.41,22.61,12.63,,10.74,,,
2020-KW13,12.07,,,11.62,62.98,46.31,69.06,53.95,76.15,88.43,37.7,56.52,25.27,28.9,10.74,21.96,33.29,
2020-KW14,12.07,37.6,25.36,58.11,62.98,157.47,112.22,98.9,104.7,114.95,87.96,62.17,82.12,50.57,53.7,76.86,186.42,
2020-KW15,24.14,50.14,25.36,58.11,146.95,55.58,60.43,71.93,66.63,106.11,50.26,96.08,37.9,14.45,21.48,76.86,53.26,
2020-KW16,,12.53,12.68,,52.48,55.58,8.63,35.96,47.59,26.53,25.13,16.96,25.27,,32.22,32.94,39.95,
2020-KW17,,12.53,,23.25,20.99,18.53,34.53,,9.52,17.69,25.13,11.3,12.63,28.9,21.48,43.92,79.89,
2020-KW18,,,,,10.5,9.26,8.63,8.99,19.04,,6.28,,6.32,7.22,10.74,10.98,6.66,
2020-KW19,,,,,41.99,9.26,8.63,,9.52,,,,,7.22,10.74,,6.66,
2020-KW20,,,,,,,8.63,8.99,,,6.28,,,,,,13.32,
2020-KW21,,,,,,9.26,,,9.52,,6.28,5.65,,14.45,,10.98,13.32,
2020-KW22,,,,,,,,,9.52,,,,,,,,13.32,
2020-KW23,12.07,,,,,,,,,,6.28,,,14.45,,,13.32,
2020-KW24,,,,11.62,,,,8.99,,,,5.65,6.32,,,,,
2020-KW25,,,,,,,,,,,,,,7.22,,,13.32,
2020-KW26,,,,,,,,,,,,,,7.22,,10.98,13.32,
2020-KW27,,,,,,,,,,,,5.65,,,,,,
2020-KW28,,,,,,,,,,,,,6.32,,,,,
2020-KW29,,,,,,,,17.98,9.52,,,,,7.22,,,,
2020-KW30,,,,,10.5,,,,,,,,,7.22,,,,
2020-KW31,12.07,,,,,9.26,8.63,8.99,,8.84,,,,,,,,
2020-KW32,,,,23.25,,9.26,,17.98,28.56,,,5.65,,,,,,
2020-KW33,24.14,,,11.62,10.5,,34.53,17.98,,8.84,12.57,11.3,,,,,,
2020-KW34,,25.07,25.36,34.87,52.48,,34.53,35.96,19.04,8.84,6.28,,12.63,,10.74,,,
2020-KW35,36.21,37.6,12.68,23.25,52.48,27.79,,17.98,19.04,26.53,18.85,,,,,,,
2020-KW36,,,,46.49,,,,8.99,,,,,,7.22,,,6.66,
2020-KW37,,12.53,12.68,,31.49,18.53,,17.98,,,,,,,,,,
2020-KW38,,,63.4,34.87,10.5,,,,28.56,,6.28,5.65,,7.22,10.74,,6.66,
2020-KW39,,,12.68,34.87,10.5,,8.63,26.97,,8.84,6.28,5.65,6.32,,,,,
2020-KW40,24.14,,12.68,81.36,41.99,46.31,25.9,8.99,28.56,17.69,37.7,5.65,,,,10.98,,
2020-KW41,12.07,12.53,12.68,104.6,41.99,9.26,60.43,35.96,19.04,26.53,18.85,5.65,31.58,28.9,21.48,,,
2020-KW42,132.77,125.34,50.72,46.49,83.97,64.84,112.22,35.96,38.07,44.21,37.7,22.61,31.58,43.34,42.96,,26.63,
2020-KW43,72.42,62.67,88.76,127.85,83.97,268.62,138.12,116.89,114.22,150.32,125.65,118.69,120.02,50.57,75.18,54.9,39.95,
2020-KW44,108.63,137.88,152.17,232.45,293.9,324.19,215.81,161.84,123.74,176.85,188.48,163.91,126.33,151.7,128.88,76.86,73.24,
