# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-24 08:58:35
# API-Download für Covid19-Inzidenzen in LK Schmalkalden-Meiningen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,12.7,,,10.75,,,,,,,
2020-KW12,,,,41.37,21.25,48.94,13.59,,69.41,,,8.77,,,14.18,,,
2020-KW13,,,,20.68,,24.47,27.19,25.41,83.29,,21.5,8.77,9.15,,,,,
2020-KW14,,,,,,,,12.7,,13.84,10.75,,27.44,,,,,
2020-KW15,,,,,,48.94,27.19,,41.64,,21.5,26.32,27.44,,,,9.3,
2020-KW16,,,,,21.25,73.4,54.38,25.41,13.88,27.69,10.75,8.77,,,,,27.89,
2020-KW17,,,,,,24.47,27.19,12.7,13.88,27.69,32.25,8.77,,10.09,28.35,15.99,18.59,
2020-KW18,,,,20.68,,,40.78,12.7,13.88,,10.75,,,,,,18.59,
2020-KW19,,,,,,48.94,,12.7,13.88,,,26.32,,,28.35,,37.19,
2020-KW20,,18.28,,,,,,25.41,13.88,,,,9.15,10.09,,,18.59,
2020-KW21,,,,,,,,,,27.69,,,,10.09,,15.99,18.59,
2020-KW22,,18.28,,,,,27.19,,27.76,,,26.32,,20.19,,,9.3,
2020-KW23,,,,20.68,,,,12.7,,,,,,10.09,28.35,,9.3,
2020-KW24,,,,,21.25,,,12.7,13.88,,,,,,,15.99,,
2020-KW25,,18.28,,,,,,,,,,,,,14.18,,,
2020-KW26,20.71,,,,,24.47,,,,,,,,,,15.99,9.3,
2020-KW27,,,,,,,,12.7,,,,,,,14.18,,,
2020-KW28,20.71,,19.8,,,24.47,,,,,,,,10.09,14.18,,9.3,
2020-KW29,,,,20.68,,,,12.7,,13.84,,,,,,,,
2020-KW31,,18.28,,,,,13.59,,13.88,13.84,,8.77,,10.09,,15.99,9.3,
2020-KW32,,,,,,,13.59,12.7,,,,,9.15,10.09,,,18.59,
2020-KW33,,18.28,19.8,,21.25,,13.59,12.7,13.88,13.84,10.75,,,,,,9.3,
2020-KW34,,18.28,19.8,,,48.94,13.59,,,13.84,,,,10.09,,,,
2020-KW35,,,,,21.25,,,,,,,8.77,,,,,,
2020-KW36,,,,,,,,,13.88,,,,,,,,,
2020-KW37,,,,,21.25,,,,,,,,,,,,,
2020-KW38,,,,,,,,12.7,,,,,,,,,,
2020-KW39,,,,,,,,12.7,,,,,,,,,9.3,
2020-KW40,,18.28,19.8,20.68,21.25,,,,13.88,,,,18.29,,14.18,,,
