# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-31 07:46:08
# API-Download für Covid19-Inzidenzen in LK Schweinfurt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,20.17,,,,,,78.73,,10.37,,,,,40.06,12.53,
2020-KW12,,39.38,40.33,17.66,33.86,46.01,14.19,42.84,15.75,55.88,93.3,38.61,,,38.93,,62.66,
2020-KW13,18.03,19.69,40.33,52.98,135.46,30.67,28.39,42.84,15.75,97.79,114.04,77.23,79.85,,77.87,80.11,150.39,
2020-KW14,18.03,,,88.31,152.39,168.69,156.14,157.1,110.22,27.94,93.3,96.53,148.3,68.15,58.4,80.11,50.13,
2020-KW15,,19.69,40.33,141.29,220.12,168.69,198.72,142.82,94.47,97.79,62.2,106.19,68.45,81.78,58.4,60.08,137.86,
2020-KW16,,39.38,,52.98,152.39,92.01,42.58,28.56,62.98,27.94,31.1,28.96,22.82,27.26,38.93,40.06,25.07,
2020-KW17,18.03,,,52.98,186.25,138.02,28.39,28.56,,13.97,20.73,57.92,,,,20.03,87.73,
2020-KW18,,,,,16.93,46.01,28.39,14.28,,,,,11.41,,19.47,,37.6,
2020-KW19,,,,,67.73,15.34,14.19,,15.75,13.97,,9.65,11.41,,,,37.6,
2020-KW20,18.03,,,,16.93,46.01,,28.56,15.75,,,,34.22,,,,37.6,
2020-KW21,,,,,,,,,15.75,13.97,,,,,38.93,,,
2020-KW22,18.03,,,,,30.67,,28.56,,27.94,,9.65,,,,,37.6,
2020-KW23,,,20.17,,,,,,,,,,,13.63,,,,
2020-KW25,,19.69,,,,15.34,,,,,,9.65,,,,,12.53,
2020-KW26,,,,,,,,14.28,,,,,11.41,,,,,
2020-KW27,,,,,,,,,,,,9.65,,13.63,,,,
2020-KW28,,,,,,,,,,,,,11.41,,,,,
2020-KW29,,,,,,,,,,13.97,10.37,,,,,,,
2020-KW30,,,,,,,,,,,,,,,,20.03,,
2020-KW31,,,,17.66,,46.01,,14.28,15.75,,,19.31,11.41,,,,,
2020-KW32,,,,,16.93,,28.39,,,,,,,13.63,,,12.53,
2020-KW33,,,20.17,17.66,16.93,15.34,14.19,,31.49,,10.37,9.65,22.82,,,,,
2020-KW34,,,20.17,,,,28.39,,15.75,27.94,31.1,19.31,,13.63,,,,
2020-KW35,,,20.17,,,30.67,,28.56,15.75,,,,11.41,,,,,
2020-KW36,,,60.5,52.98,67.73,,14.19,14.28,31.49,,10.37,,,,,,,
2020-KW37,18.03,19.69,20.17,35.32,50.8,,42.58,42.84,15.75,13.97,10.37,9.65,,,,,,
2020-KW38,18.03,19.69,80.66,52.98,84.66,15.34,,42.84,,27.94,41.47,19.31,11.41,,,20.03,,
2020-KW39,,,20.17,17.66,33.86,30.67,28.39,14.28,47.24,,10.37,9.65,22.82,13.63,19.47,,12.53,
2020-KW40,18.03,19.69,40.33,35.32,50.8,46.01,14.19,14.28,47.24,27.94,10.37,57.92,22.82,27.26,,20.03,12.53,
2020-KW41,18.03,19.69,181.49,88.31,50.8,61.34,70.97,42.84,78.73,13.97,82.94,38.61,79.85,13.63,,20.03,25.07,
2020-KW42,18.03,39.38,241.98,211.94,33.86,168.69,70.97,99.97,110.22,83.82,62.2,67.57,79.85,27.26,19.47,20.03,62.66,
2020-KW43,72.14,19.69,342.81,441.54,253.98,306.7,141.94,128.53,188.95,97.79,155.5,202.72,171.12,136.3,136.27,120.17,175.46,
2020-KW44,90.17,177.2,241.98,247.26,220.12,230.03,269.69,228.51,157.46,181.61,196.97,164.11,68.45,81.78,77.87,120.17,187.99,
2020-KW45,198.38,59.07,221.82,264.92,203.18,276.03,298.08,185.66,204.69,237.5,259.17,193.07,125.48,149.93,155.73,200.28,238.13,
2020-KW46,90.17,59.07,80.66,158.95,287.84,122.68,170.33,71.41,94.47,139.7,207.34,212.38,79.85,109.04,38.93,200.28,213.06,
2020-KW47,162.31,433.16,141.16,194.28,84.66,138.02,198.72,128.53,204.69,139.7,145.14,96.53,125.48,109.04,116.8,140.2,563.98,
2020-KW48,36.07,118.13,80.66,88.31,152.39,107.35,99.36,99.97,157.46,83.82,124.4,125.49,136.89,68.15,77.87,100.14,213.06,
2020-KW49,36.07,19.69,221.82,353.23,220.12,107.35,85.17,114.25,125.96,167.64,114.04,144.8,193.93,95.41,38.93,60.08,338.39,
2020-KW50,36.07,78.76,80.66,211.94,203.18,61.34,212.92,85.69,141.71,139.7,155.5,125.49,91.26,81.78,58.4,160.22,150.39,
2020-KW51,18.03,78.76,80.66,194.28,152.39,199.36,156.14,114.25,110.22,139.7,145.14,135.15,79.85,81.78,77.87,120.17,263.19,
2020-KW52,54.1,59.07,60.5,52.98,203.18,122.68,56.78,14.28,62.98,111.76,124.4,135.15,91.26,109.04,77.87,120.17,250.66,
2020-KW53,72.14,137.82,141.16,158.95,118.52,92.01,99.36,128.53,188.95,167.64,134.77,125.49,102.67,27.26,38.93,100.14,275.72,
2021-KW01,36.07,157.51,141.16,52.98,101.59,107.35,170.33,171.38,188.95,97.79,124.4,154.46,125.48,149.93,97.33,140.2,263.19,
2021-KW02,90.17,39.38,60.5,70.65,135.46,76.68,70.97,42.84,110.22,125.73,93.3,77.23,34.22,81.78,97.33,40.06,87.73,
2021-KW03,54.1,78.76,20.17,52.98,84.66,107.35,42.58,99.97,47.24,125.73,51.83,96.53,57.04,27.26,19.47,,25.07,
2021-KW04,72.14,78.76,80.66,88.31,67.73,46.01,127.75,85.69,47.24,55.88,41.47,96.53,68.45,68.15,,20.03,100.26,
2021-KW05,36.07,19.69,40.33,17.66,101.59,30.67,56.78,42.84,110.22,55.88,82.94,57.92,34.22,27.26,,20.03,25.07,
2021-KW06,18.03,19.69,40.33,35.32,135.46,15.34,14.19,,31.49,13.97,31.1,28.96,34.22,13.63,19.47,,37.6,
2021-KW07,18.03,,,35.32,84.66,30.67,42.58,14.28,47.24,13.97,93.3,38.61,,13.63,,,12.53,
2021-KW08,,,40.33,,50.8,15.34,70.97,28.56,62.98,83.82,51.83,19.31,22.82,40.89,38.93,40.06,,
2021-KW09,18.03,19.69,,35.32,84.66,61.34,56.78,57.13,78.73,69.85,72.57,19.31,22.82,40.89,,,,
2021-KW10,36.07,59.07,60.5,35.32,152.39,92.01,56.78,28.56,94.47,55.88,62.2,48.27,34.22,54.52,19.47,60.08,,
2021-KW11,90.17,78.76,40.33,88.31,50.8,30.67,70.97,71.41,94.47,111.76,62.2,86.88,45.63,81.78,19.47,20.03,12.53,
2021-KW12,180.34,137.82,60.5,141.29,203.18,184.02,99.36,185.66,173.2,111.76,82.94,48.27,68.45,81.78,38.93,60.08,50.13,
2021-KW13,72.14,98.44,181.49,264.92,220.12,107.35,141.94,114.25,110.22,97.79,134.77,96.53,136.89,68.15,136.27,60.08,87.73,
2021-KW14,126.24,255.96,221.82,317.91,270.91,168.69,99.36,171.38,188.95,167.64,217.71,125.49,79.85,95.41,58.4,40.06,62.66,
