# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-21 08:48:27
# API-Download für Covid19-Inzidenzen in LK Schwäbisch Hall, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,39.27,18.32,41.29,14.98,,8.26,33.3,33.15,12.29,34.66,8.41,10.74,,,
2020-KW12,,,,9.82,45.8,74.33,44.93,91.34,74.32,66.6,66.3,67.6,76.24,58.84,32.21,81.11,90.16,
2020-KW13,9.56,,10.62,29.45,64.11,99.1,59.9,83.73,49.55,49.95,112.71,147.5,110.9,109.27,107.35,194.66,188.51,
2020-KW14,,,,58.9,54.96,148.65,97.34,60.89,99.09,99.9,132.6,135.2,194.08,126.08,107.35,145.99,254.08,
2020-KW15,,,10.62,29.45,64.11,41.29,97.34,30.45,49.55,83.25,59.67,67.6,97.04,25.22,32.21,32.44,122.94,
2020-KW16,,10.18,,,18.32,16.52,29.95,38.06,49.55,8.32,46.41,49.17,48.52,50.43,64.41,81.11,139.34,
2020-KW17,9.56,,31.86,29.45,64.11,41.29,67.39,53.28,49.55,66.6,53.04,43.02,,33.62,10.74,32.44,57.37,
2020-KW18,,,,19.63,36.64,,22.46,7.61,,,13.26,12.29,13.86,8.41,,16.22,8.2,
2020-KW19,9.56,,,9.82,,8.26,7.49,7.61,8.26,8.32,33.15,12.29,,,10.74,48.66,32.79,
2020-KW20,,10.18,,,45.8,,7.49,,,8.32,,6.15,,,,,,
2020-KW21,,,10.62,,18.32,16.52,7.49,15.22,8.26,,19.89,12.29,,,,,,
2020-KW22,,,,,,16.52,14.98,,8.26,8.32,6.63,6.15,,,10.74,32.44,,
2020-KW23,,,,,,,,,,,6.63,,,,,,,
2020-KW25,,,,,9.16,,,,,,,6.15,,,10.74,,8.2,
2020-KW26,,,,,,,,,,,,,,,10.74,,8.2,
2020-KW28,,,,,,,,7.61,,,6.63,6.15,,,,,,
2020-KW29,,,,,9.16,,,,,,,,,,,,,
2020-KW31,,,,,,8.26,,,,8.32,,,,,,,,
2020-KW32,,10.18,10.62,19.63,,8.26,14.98,7.61,,,,,13.86,,,,,
2020-KW33,,,,19.63,9.16,8.26,7.49,22.84,,16.65,6.63,6.15,20.79,,10.74,,,
2020-KW34,9.56,10.18,,19.63,45.8,41.29,7.49,15.22,8.26,8.32,13.26,,6.93,,,,,
2020-KW35,9.56,10.18,10.62,19.63,36.64,41.29,29.95,15.22,8.26,8.32,19.89,,6.93,,,,,
2020-KW36,,,,29.45,9.16,24.78,14.98,,8.26,24.97,6.63,,6.93,8.41,,,,
2020-KW37,,20.35,10.62,29.45,73.27,,14.98,15.22,,16.65,6.63,12.29,6.93,,,16.22,,
2020-KW38,9.56,20.35,74.35,98.17,54.96,16.52,14.98,7.61,49.55,49.95,13.26,30.73,6.93,8.41,21.47,,8.2,
2020-KW39,,,10.62,29.45,73.27,66.07,37.44,60.89,33.03,16.65,,12.29,6.93,16.81,10.74,48.66,16.39,
2020-KW40,,,,19.63,64.11,41.29,52.42,15.22,24.77,24.97,19.89,18.44,13.86,,10.74,,24.59,
2020-KW41,,,42.49,39.27,27.48,74.33,74.88,98.95,115.61,66.6,53.04,30.73,62.38,33.62,32.21,16.22,8.2,
2020-KW42,19.12,20.35,127.46,78.54,27.48,49.55,29.95,68.51,49.55,83.25,72.93,73.75,76.24,25.22,10.74,48.66,8.2,
2020-KW43,28.69,50.89,106.21,78.54,64.11,66.07,112.32,38.06,57.81,116.55,92.82,92.18,55.45,75.65,32.21,64.89,172.12,
2020-KW44,19.12,50.89,84.97,157.07,119.07,99.1,127.3,68.51,140.38,124.87,106.08,122.91,103.97,58.84,85.88,64.89,40.98,
2020-KW45,19.12,20.35,53.11,58.9,146.55,123.88,82.37,76.12,74.32,124.87,159.12,67.6,48.52,84.05,53.68,48.66,114.75,
2020-KW46,9.56,10.18,21.24,68.72,137.39,173.43,157.25,83.73,115.61,91.57,119.34,98.33,76.24,33.62,10.74,81.11,73.77,
2020-KW47,9.56,10.18,63.73,107.99,137.39,115.62,74.88,121.79,107.35,158.17,92.82,135.2,69.31,33.62,42.94,32.44,40.98,
2020-KW48,,,21.24,19.63,119.07,107.36,89.86,83.73,115.61,49.95,119.34,79.89,48.52,67.24,21.47,32.44,73.77,
2020-KW49,19.12,10.18,31.86,88.35,183.18,99.1,74.88,98.95,140.38,224.77,119.34,86.04,110.9,75.65,64.41,48.66,262.28,
2020-KW50,47.81,20.35,138.08,127.62,265.62,198.21,127.3,182.68,132.13,324.67,185.64,129.06,103.97,109.27,42.94,81.11,221.3,
2020-KW51,38.25,111.95,116.83,304.33,329.73,231.24,247.1,220.74,231.22,224.77,232.05,135.2,124.76,50.43,85.88,178.44,221.3,
2020-KW52,19.12,40.71,31.86,147.26,183.18,165.17,149.76,152.23,57.81,108.22,119.34,110.62,124.76,25.22,53.68,97.33,229.5,
2020-KW53,9.56,40.71,53.11,147.26,155.71,181.69,172.22,159.85,140.38,224.77,192.27,86.04,124.76,126.08,107.35,162.21,213.1,
2021-KW01,9.56,50.89,95.59,137.44,219.82,231.24,254.59,182.68,239.48,141.52,238.68,215.1,152.49,109.27,182.5,113.55,377.03,
2021-KW02,9.56,20.35,53.11,157.07,238.14,206.46,164.74,152.23,189.93,158.17,179.01,178.22,103.97,42.03,42.94,64.89,163.93,
2021-KW03,9.56,,21.24,88.35,146.55,66.07,59.9,45.67,24.77,166.5,125.97,92.18,27.73,42.03,10.74,48.66,131.14,
2021-KW04,19.12,10.18,21.24,127.62,146.55,132.14,44.93,76.12,115.61,83.25,92.82,55.31,62.38,75.65,32.21,48.66,139.34,
2021-KW05,19.12,10.18,63.73,68.72,82.43,74.33,44.93,83.73,132.13,149.85,99.45,86.04,41.59,25.22,32.21,32.44,90.16,
2021-KW06,9.56,50.89,106.21,98.17,164.87,140.4,74.88,83.73,239.48,191.47,99.45,153.64,76.24,92.46,42.94,64.89,98.36,
2021-KW07,57.37,71.24,116.83,166.89,228.98,132.14,164.74,137.01,74.32,174.82,132.6,153.64,97.04,16.81,53.68,48.66,32.79,
2021-KW08,95.62,81.42,169.94,166.89,320.57,222.98,172.22,205.52,280.77,216.44,132.6,147.5,90.11,92.46,75.15,48.66,81.96,
2021-KW09,57.37,162.83,159.32,166.89,210.66,322.08,292.03,190.29,272.51,283.04,212.16,122.91,166.35,75.65,32.21,97.33,65.57,
2021-KW10,191.25,173.01,106.21,176.71,311.41,313.82,321.98,281.63,272.51,266.39,324.87,288.85,249.53,67.24,118.09,48.66,49.18,
2021-KW11,296.43,366.37,212.43,461.4,375.53,379.89,389.38,365.36,396.38,382.94,304.98,288.85,325.77,226.95,150.3,97.33,98.36,
2021-KW12,315.56,376.55,329.26,481.04,741.89,503.77,718.85,685.05,528.5,690.96,497.25,589.98,436.67,277.38,193.24,194.66,245.89,
2021-KW13,143.44,152.66,339.88,304.33,348.05,421.19,479.23,426.26,454.18,308.02,371.28,362.59,353.5,218.54,236.18,129.77,106.55,
2021-KW14,133.87,101.77,169.94,382.87,467.12,371.63,284.54,296.86,346.83,482.84,192.27,344.16,242.6,184.92,161.03,162.21,98.36,
2021-KW15,114.75,152.66,233.67,382.87,567.87,437.7,381.89,357.75,388.12,341.32,304.98,313.43,201.01,117.68,96.62,162.21,106.55,
2021-KW16,28.69,193.36,233.67,451.59,375.53,214.72,209.66,312.08,412.89,374.61,331.5,245.83,235.66,92.46,85.88,162.21,65.57,
2021-KW17,143.44,244.25,223.05,343.6,393.85,247.76,366.91,296.86,289.03,291.37,285.09,153.64,187.14,126.08,107.35,32.44,139.34,
2021-KW18,105.19,101.77,148.7,235.61,274.78,140.4,187.2,167.46,148.64,199.79,132.6,104.48,110.9,142.89,139.56,48.66,16.39,
2021-KW19,105.19,162.83,201.81,206.16,210.66,107.36,172.22,129.4,41.29,124.87,112.71,135.2,62.38,75.65,42.94,32.44,32.79,
2021-KW20,57.37,91.59,223.05,206.16,128.23,156.91,187.2,175.07,90.84,91.57,79.56,92.18,83.18,42.03,21.47,,24.59,
2021-KW21,19.12,61.06,63.73,29.45,128.23,140.4,89.86,45.67,41.29,66.6,79.56,61.46,34.66,33.62,53.68,,,
2021-KW22,,61.06,21.24,29.45,73.27,49.55,7.49,45.67,49.55,58.27,46.41,12.29,20.79,50.43,32.21,,8.2,
2021-KW23,47.81,71.24,21.24,19.63,18.32,41.29,22.46,83.73,33.03,16.65,13.26,18.44,6.93,16.81,10.74,,8.2,
2021-KW24,19.12,30.53,21.24,9.82,18.32,24.78,14.98,7.61,8.26,16.65,6.63,6.15,6.93,8.41,,,8.2,
2021-KW25,,,10.62,,,,,,8.26,16.65,6.63,,6.93,,10.74,,,
2021-KW26,,10.18,,,9.16,8.26,,7.61,,,,,,,,,8.2,
2021-KW27,,,,,,,7.49,7.61,,,6.63,,,,,,,
2021-KW28,,,,,9.16,,7.49,15.22,,,,,6.93,8.41,,,,
2021-KW29,,,,,,16.52,,,,,6.63,,,,,,,
2021-KW30,,,21.24,9.82,,16.52,,,,,,,,,,,8.2,
2021-KW31,9.56,30.53,,9.82,45.8,49.55,14.98,7.61,8.26,,,,,,,,8.2,
2021-KW32,9.56,20.35,10.62,29.45,36.64,57.81,14.98,30.45,33.03,8.32,13.26,6.15,,,,,8.2,
2021-KW33,19.12,81.42,116.83,68.72,82.43,74.33,37.44,30.45,49.55,58.27,26.52,43.02,34.66,16.81,10.74,32.44,,
2021-KW34,76.5,91.59,138.08,147.26,137.39,115.62,119.81,152.23,99.09,66.6,59.67,30.73,6.93,8.41,10.74,,8.2,
2021-KW35,47.81,81.42,138.08,157.07,137.39,107.36,142.27,60.89,90.84,133.2,33.15,49.17,41.59,8.41,,32.44,8.2,
2021-KW36,28.69,61.06,159.32,186.52,54.96,107.36,97.34,68.51,123.87,49.95,46.41,36.87,34.66,8.41,10.74,,,
2021-KW37,19.12,81.42,169.94,107.99,54.96,107.36,89.86,106.56,74.32,74.92,39.78,55.31,27.73,16.81,10.74,,65.57,
2021-KW38,76.5,81.42,138.08,88.35,64.11,107.36,82.37,45.67,49.55,124.87,99.45,18.44,20.79,16.81,21.47,16.22,8.2,
2021-KW39,28.69,61.06,63.73,19.63,109.91,74.33,67.39,22.84,49.55,83.25,26.52,61.46,6.93,8.41,10.74,,24.59,
2021-KW40,19.12,20.35,127.46,98.17,54.96,132.14,119.81,121.79,82.58,74.92,33.15,43.02,13.86,16.81,10.74,16.22,8.2,
2021-KW41,28.69,50.89,74.35,58.9,64.11,90.84,67.39,68.51,66.06,41.62,39.78,30.73,34.66,25.22,10.74,32.44,49.18,
2021-KW42,38.25,183.19,223.05,137.44,91.59,140.4,127.3,53.28,90.84,141.52,79.56,49.17,69.31,58.84,32.21,64.89,49.18,
2021-KW43,28.69,173.01,435.48,127.62,146.55,165.17,142.27,190.29,255.99,166.5,192.27,98.33,145.56,67.24,118.09,97.33,81.96,
2021-KW44,105.19,346.02,754.12,363.23,247.3,189.95,262.08,266.41,272.51,291.37,324.87,239.68,138.63,75.65,75.15,64.89,81.96,
2021-KW45,57.37,437.61,987.79,647.93,293.09,363.38,396.87,281.63,437.67,499.49,331.5,313.43,228.73,184.92,246.91,227.1,163.93,
2021-KW46,210.37,692.04,924.06,608.66,457.96,346.86,651.46,532.82,503.73,591.06,351.39,258.12,298.05,193.33,171.77,162.21,81.96,
2021-KW47,219.93,834.52,1274.56,677.38,723.58,611.13,636.48,639.38,685.4,549.44,510.51,338.01,429.74,252.16,203.97,145.99,131.14,
2021-KW48,229.5,966.82,1178.97,667.56,705.26,578.1,569.09,578.49,644.11,591.06,464.1,417.9,422.81,252.16,150.3,194.66,131.14,
2021-KW49,133.87,620.8,828.47,608.66,467.12,371.63,404.35,479.54,412.89,441.21,417.69,288.85,242.6,168.11,150.3,129.77,114.75,
2021-KW50,124.31,366.37,658.52,589.02,393.85,256.01,307.01,380.59,478.96,366.29,285.09,276.55,221.8,176.52,107.35,81.11,57.37,
2021-KW51,95.62,264.6,392.99,274.88,311.41,305.57,164.74,304.47,338.57,208.12,185.64,172.08,145.56,92.46,107.35,48.66,40.98,
2021-KW52,153.0,305.31,371.75,245.43,302.25,222.98,277.06,350.14,239.48,266.39,179.01,104.48,152.49,176.52,118.09,64.89,98.36,
2022-KW01,86.06,295.14,509.82,687.2,567.87,487.25,381.89,304.47,338.57,391.26,344.76,245.83,187.14,109.27,53.68,32.44,106.55,
2022-KW02,210.37,437.61,785.98,716.65,815.17,635.91,643.97,388.2,611.08,457.86,384.54,258.12,201.01,142.89,118.09,97.33,24.59,
2022-KW03,640.68,1638.51,1688.79,1344.94,1108.26,1090.13,1108.23,1179.81,1073.52,865.78,643.11,553.11,408.95,134.49,139.56,81.11,65.57,
2022-KW04,1357.86,3439.85,2602.23,1914.33,2363.07,1767.33,1954.37,2253.06,2345.23,1440.19,1067.43,700.6,686.2,344.62,225.44,97.33,163.93,
2022-KW05,1329.17,5129.25,4333.51,3013.84,2372.23,1899.47,2276.36,3242.58,3030.64,1931.35,1405.56,940.28,880.27,554.76,515.3,291.99,590.13,
2022-KW06,1157.05,4762.87,4853.96,3730.49,2189.05,2254.58,2987.72,3082.74,3162.76,2564.03,1558.05,1229.13,991.17,739.68,493.83,486.64,598.33,
2022-KW07,984.92,3317.73,4301.65,3504.7,2940.1,2394.98,2553.41,3014.23,2865.48,2089.52,1597.83,1315.17,1081.28,630.41,526.03,421.76,401.62,
2022-KW08,640.68,1994.71,2920.87,2837.13,2115.77,1750.81,1939.4,1834.42,1899.31,1473.49,1332.63,1007.89,963.45,672.44,450.89,162.21,434.4,
2022-KW09,889.3,2137.19,2039.3,2257.93,1960.07,2072.9,1609.92,1811.59,1998.4,1748.2,1312.74,1161.53,790.17,714.47,289.86,340.65,327.85,
2022-KW10,860.61,2340.73,2602.23,3249.45,3352.26,2560.15,2238.92,2268.29,2262.66,1848.1,1485.12,1561.0,1115.94,714.47,590.45,567.75,303.26,
2022-KW11,927.55,3765.52,3908.66,3818.84,3453.01,3047.4,2515.97,2983.79,2675.55,2497.43,2267.45,1966.61,1379.33,865.76,751.48,583.97,729.47,
2022-KW12,1233.54,3073.48,3101.43,2680.06,2189.05,2461.05,2433.61,2412.91,2518.65,2164.44,1843.13,1487.25,1469.43,890.98,730.01,437.98,549.15,
2022-KW13,860.61,2269.49,2283.59,1875.06,1822.68,2015.09,2014.28,2047.55,1899.31,1598.36,1458.6,1161.53,1025.83,655.63,601.18,583.97,729.47,
2022-KW14,545.05,1536.74,1688.79,1443.11,1309.76,1436.99,1527.56,1408.16,1387.32,1223.74,1074.06,971.01,817.89,563.17,440.15,324.43,303.26,
2022-KW15,344.25,1088.95,1157.73,1158.41,1099.1,1024.06,1123.2,1263.54,1098.3,932.38,1021.02,921.85,783.24,437.08,504.56,324.43,368.83,
