# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-03-01 07:46:24
# API-Download für Covid19-Inzidenzen in LK Siegen-Wittgenstein, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,11.3,16.98,18.03,,,20.0,17.62,4.89,,7.08,,,
2020-KW12,,,,,6.12,,16.98,36.06,12.5,26.16,10.0,26.42,9.77,11.64,,,5.03,
2020-KW13,14.94,15.48,,7.68,12.23,22.6,62.26,24.04,18.75,,30.01,22.02,39.08,17.46,,19.66,15.08,
2020-KW14,7.47,,7.99,7.68,12.23,16.95,33.96,24.04,31.25,32.7,50.01,30.83,48.86,11.64,14.15,9.83,35.19,
2020-KW15,,,,,12.23,16.95,39.62,24.04,6.25,26.16,20.0,22.02,24.43,11.64,,9.83,30.16,
2020-KW16,7.47,,,,6.12,50.85,11.32,42.07,6.25,6.54,20.0,17.62,,5.82,28.31,,20.11,
2020-KW17,7.47,7.74,,,6.12,45.2,,12.02,12.5,,,8.81,9.77,5.82,14.15,9.83,,
2020-KW18,,7.74,,,30.58,22.6,5.66,,,,,,4.89,5.82,7.08,,,
2020-KW19,7.47,,,,12.23,5.65,5.66,,,6.54,5.0,4.4,4.89,17.46,,,5.03,
2020-KW20,,,,,,,,,,,,,4.89,5.82,,9.83,5.03,
2020-KW21,,,,,,,5.66,6.01,,6.54,,,,,,,5.03,
2020-KW22,,,,,,,,,,6.54,,,,,7.08,,,
2020-KW23,,,,,,,,,,,,,,5.82,,,,
2020-KW25,,,,,,5.65,,,,,,,,,,,,
2020-KW27,,,,,,,,,,,5.0,,,,,,,
2020-KW28,,,,,,,,,,6.54,,,,,,9.83,,
2020-KW29,,7.74,7.99,7.68,,11.3,5.66,,12.5,6.54,10.0,,,,,,,
2020-KW30,37.35,7.74,39.97,7.68,36.7,5.65,33.96,12.02,18.75,19.62,15.0,13.21,,,,,,
2020-KW31,,,47.97,23.05,12.23,11.3,5.66,12.02,25.0,13.08,10.0,,,,,,,
2020-KW32,22.41,15.48,31.98,7.68,18.35,22.6,11.32,30.05,25.0,26.16,5.0,13.21,9.77,11.64,,,,
2020-KW33,37.35,23.21,31.98,46.11,36.7,33.9,33.96,18.03,31.25,13.08,15.0,8.81,,,7.08,19.66,5.03,
2020-KW34,7.47,7.74,7.99,23.05,18.35,16.95,11.32,6.01,25.0,19.62,10.0,,4.89,,,,5.03,
2020-KW35,7.47,7.74,,,18.35,5.65,5.66,6.01,,,,,4.89,5.82,,19.66,5.03,
2020-KW36,,,7.99,15.37,36.7,22.6,5.66,12.02,,,5.0,4.4,4.89,5.82,14.15,,,
2020-KW37,7.47,,,7.68,18.35,11.3,22.64,,12.5,,10.0,8.81,4.89,,,9.83,,
2020-KW38,37.35,15.48,15.99,69.16,48.93,11.3,28.3,48.08,25.0,19.62,35.01,17.62,19.54,5.82,21.23,,5.03,
2020-KW39,44.82,30.95,39.97,53.79,61.17,16.95,62.26,42.07,50.0,58.87,10.0,4.4,9.77,29.1,7.08,9.83,,
2020-KW40,,,23.98,7.68,18.35,16.95,28.3,12.02,37.5,26.16,25.01,13.21,,5.82,,,10.05,
2020-KW41,59.76,54.17,55.96,53.79,42.82,33.9,45.28,48.08,68.75,32.7,30.01,26.42,14.66,5.82,7.08,19.66,,
2020-KW42,29.88,7.74,79.94,115.26,79.52,62.15,45.28,72.12,31.25,45.78,40.01,22.02,4.89,17.46,,39.32,15.08,
2020-KW43,104.59,38.69,79.94,146.0,97.87,141.25,107.54,72.12,87.5,117.73,125.03,39.64,34.2,34.92,49.54,19.66,25.13,
2020-KW44,89.65,85.12,47.97,161.37,171.27,163.85,181.12,126.22,137.5,91.57,60.01,70.46,87.94,34.92,42.46,9.83,30.16,
2020-KW45,127.0,92.86,151.89,138.32,263.02,158.2,130.18,90.15,125.0,202.76,100.02,70.46,53.74,40.74,77.84,108.13,45.24,
2020-KW46,67.23,193.45,167.88,192.11,214.08,158.2,141.5,180.31,100.0,156.98,185.04,171.76,102.6,40.74,77.84,78.64,80.43,
2020-KW47,112.06,216.66,175.88,268.95,275.25,175.15,169.8,222.38,268.75,222.38,245.06,127.72,136.8,98.93,134.46,108.13,60.32,
2020-KW48,119.53,177.97,175.88,176.74,177.38,180.8,152.82,216.37,206.25,202.76,195.04,202.58,127.03,64.02,99.07,88.47,387.06,
2020-KW49,112.06,131.55,191.87,153.69,134.57,158.2,152.82,168.29,137.5,143.89,190.04,110.1,107.48,40.74,42.46,78.64,241.28,
2020-KW50,112.06,116.07,183.87,215.16,146.8,158.2,113.2,138.24,143.75,130.81,105.02,162.95,102.6,87.3,99.07,108.13,241.28,
2020-KW51,82.18,131.55,127.91,222.85,238.55,146.9,215.08,126.22,187.5,202.76,175.04,140.93,122.14,104.75,49.54,108.13,165.88,
2020-KW52,104.59,116.07,71.95,99.9,103.98,107.35,147.16,120.2,150.0,143.89,150.03,136.52,68.4,69.84,70.77,19.66,105.56,
2020-KW53,52.29,85.12,95.93,153.69,201.85,118.65,73.58,54.09,106.25,137.35,110.02,123.31,58.63,34.92,56.61,68.81,90.48,
2021-KW01,104.59,123.81,151.89,169.06,214.08,158.2,254.69,156.27,150.0,137.35,125.03,70.46,122.14,104.75,99.07,68.81,246.31,
2021-KW02,67.23,54.17,87.94,92.21,171.27,158.2,118.86,102.17,150.0,104.65,135.03,74.87,102.6,75.66,42.46,127.79,402.14,
2021-KW03,89.65,54.17,71.95,169.06,97.87,135.6,124.52,96.16,125.0,104.65,85.02,57.25,83.06,75.66,134.46,88.47,145.78,
2021-KW04,82.18,77.38,55.96,115.26,103.98,96.05,135.84,48.08,56.25,104.65,90.02,92.48,39.08,34.92,42.46,68.81,70.37,
2021-KW05,74.7,116.07,103.93,30.74,134.57,67.8,84.9,102.17,81.25,150.43,35.01,61.66,34.2,64.02,,49.15,45.24,
2021-KW06,52.29,92.86,71.95,46.11,67.28,62.15,56.6,60.1,93.75,58.87,45.01,48.44,43.97,29.1,21.23,29.49,30.16,
2021-KW07,37.35,38.69,87.94,99.9,73.4,79.1,62.26,96.16,50.0,71.95,90.02,70.46,34.2,23.28,7.08,19.66,25.13,
2021-KW08,82.18,69.64,87.94,84.53,97.87,146.9,84.9,42.07,75.0,150.43,95.02,83.68,58.63,11.64,28.31,39.32,20.11,
2021-KW09,89.65,61.9,55.96,161.37,146.8,118.65,124.52,126.22,118.75,124.27,95.02,48.44,58.63,40.74,63.69,78.64,95.51,
2021-KW10,164.35,139.28,127.91,161.37,171.27,158.2,141.5,126.22,118.75,150.43,130.03,96.89,53.74,52.38,63.69,78.64,130.7,
2021-KW11,283.88,255.35,231.84,199.79,201.85,152.55,164.14,198.34,206.25,189.68,140.03,162.95,151.45,98.93,56.61,117.96,135.72,
2021-KW12,224.11,294.04,279.8,315.06,342.53,254.25,232.05,348.59,231.25,235.46,195.04,189.37,112.37,64.02,113.23,78.64,90.48,
2021-KW13,261.47,193.45,159.89,215.16,232.43,276.85,322.61,162.28,125.0,248.54,220.05,176.16,122.14,110.57,120.31,127.79,105.56,
