# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-10-22 09:07:56
# API-Download für Covid19-Inzidenzen in LK Sigmaringen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,13.13,,,,,,,,
2020-KW11,,15.55,,,,25.63,11.98,24.89,26.12,39.4,51.65,60.89,9.7,,,,,
2020-KW12,15.4,15.55,,14.76,39.83,89.7,47.92,62.22,26.12,52.53,113.63,139.18,29.11,12.24,46.43,21.98,33.0,
2020-KW13,30.8,46.64,15.88,88.55,212.41,179.41,167.71,211.53,130.61,288.92,278.92,321.87,106.75,85.66,139.29,219.83,176.02,
2020-KW14,15.4,15.55,15.88,191.87,159.3,230.67,155.73,49.77,156.73,223.26,392.55,156.58,184.39,159.09,123.82,109.91,110.01,
2020-KW15,,15.55,47.63,44.28,13.28,76.89,35.94,49.77,143.67,105.06,134.29,52.19,87.34,171.33,77.38,65.95,209.02,
2020-KW16,,,31.75,14.76,119.48,64.07,47.92,62.22,117.55,105.06,51.65,104.39,87.34,36.71,15.48,43.97,33.0,
2020-KW17,15.4,31.09,,44.28,92.93,,35.94,49.77,26.12,13.13,30.99,69.59,58.23,36.71,15.48,21.98,77.01,
2020-KW18,,,,14.76,,,11.98,12.44,,,10.33,17.4,19.41,,,,,
2020-KW19,,,,29.52,,,,,13.06,,,,,,15.48,21.98,,
2020-KW20,,,,,,,,,,,,,,,,,11.0,
2020-KW21,,,,,,,,,,,,8.7,,,,21.98,,
2020-KW25,,,,,,,,,13.06,,,,,,,,,
2020-KW28,,,,,13.28,,,,,,,,,,,,,
2020-KW30,,,,,13.28,12.81,,,,13.13,20.66,,,,,,,
2020-KW31,,,,,,,23.96,12.44,13.06,,10.33,,,,,,,
2020-KW32,15.4,15.55,,14.76,,12.81,23.96,,26.12,,,,,,,,,
2020-KW33,,15.55,31.75,,39.83,,,,,,,8.7,,,,,,
2020-KW34,,15.55,,44.28,13.28,25.63,11.98,37.33,26.12,52.53,10.33,17.4,9.7,24.48,15.48,,,
2020-KW35,15.4,15.55,,29.52,66.38,25.63,11.98,37.33,,13.13,,,,12.24,15.48,,,
2020-KW36,,15.55,,,,25.63,,,13.06,,20.66,,,,,21.98,,
2020-KW37,,15.55,47.63,,13.28,,11.98,12.44,,,20.66,8.7,,,,,11.0,
2020-KW38,15.4,15.55,15.88,14.76,39.83,25.63,11.98,12.44,,,,,9.7,,,,,
2020-KW39,15.4,31.09,15.88,,,12.81,23.96,12.44,26.12,,20.66,8.7,9.7,,,,,
2020-KW40,,,15.88,,,38.44,,12.44,13.06,,10.33,17.4,19.41,,,,11.0,
2020-KW41,,,15.88,14.76,53.1,12.81,11.98,,13.06,26.27,20.66,34.8,,12.24,,,22.0,
2020-KW42,,,,59.04,39.83,76.89,47.92,24.89,,52.53,51.65,,9.7,24.48,,,11.0,
2020-KW43,,,31.75,59.04,39.83,115.33,23.96,12.44,26.12,65.66,10.33,60.89,19.41,48.95,30.95,21.98,,
2020-KW44,,31.09,63.51,88.55,106.2,217.85,95.83,49.77,78.36,91.93,154.95,78.29,87.34,24.48,,65.95,33.0,
2020-KW45,77.0,15.55,15.88,,172.58,281.92,155.73,74.66,65.3,118.2,103.3,95.69,48.52,48.95,30.95,21.98,55.01,
2020-KW46,30.8,15.55,31.75,191.87,92.93,115.33,83.85,99.55,39.18,26.27,82.64,60.89,106.75,12.24,77.38,109.91,55.01,
2020-KW47,30.8,62.18,111.14,103.31,212.41,51.26,107.81,136.88,78.36,183.86,82.64,78.29,48.52,24.48,30.95,21.98,33.0,
2020-KW48,61.6,46.64,47.63,59.04,66.38,140.96,107.81,62.22,78.36,52.53,61.98,104.39,58.23,36.71,30.95,,11.0,
2020-KW49,,,47.63,132.83,172.58,115.33,83.85,24.89,104.49,144.46,144.62,60.89,67.93,61.19,77.38,87.93,44.0,
2020-KW50,46.2,124.36,95.26,88.55,106.2,76.89,95.83,74.66,117.55,183.86,165.28,121.79,106.75,110.14,139.29,131.9,44.0,
2020-KW51,46.2,186.55,111.14,103.31,132.75,230.67,251.56,99.55,169.79,131.33,175.62,130.49,223.21,73.43,92.86,153.88,385.04,
2020-KW52,46.2,15.55,63.51,73.8,132.75,102.52,107.81,111.99,52.24,105.06,123.96,121.79,145.57,110.14,15.48,21.98,121.01,
2020-KW53,30.8,,95.26,118.07,199.13,89.7,71.88,124.43,182.85,144.46,92.97,104.39,67.93,36.71,61.91,21.98,22.0,
2021-KW01,30.8,15.55,47.63,162.35,159.3,256.3,215.63,174.21,169.79,131.33,123.96,165.28,116.46,146.85,108.34,109.91,110.01,
2021-KW02,15.4,31.09,95.26,132.83,199.13,230.67,71.88,111.99,169.79,105.06,92.97,121.79,77.64,24.48,108.34,109.91,165.02,
2021-KW03,15.4,15.55,31.75,44.28,146.03,205.04,167.71,111.99,65.3,105.06,61.98,69.59,38.82,24.48,46.43,87.93,154.02,
2021-KW04,92.4,77.73,79.38,88.55,106.2,179.41,107.81,111.99,104.49,131.33,113.63,130.49,116.46,,15.48,65.95,22.0,
2021-KW05,77.0,31.09,31.75,29.52,79.65,115.33,71.88,149.32,39.18,78.8,123.96,104.39,77.64,,,,22.0,
2021-KW06,,,,44.28,,89.7,59.9,62.22,13.06,52.53,41.32,43.5,,24.48,15.48,65.95,22.0,
