# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-12 08:59:59
# API-Download für Covid19-Inzidenzen in LK Soest, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,6.25,,,16.89,5.74,5.35,,7.68,13.3,,,,,
2020-KW12,,,,19.71,,36.12,16.93,50.66,45.89,58.87,55.93,57.59,39.89,5.46,6.98,8.66,4.59,
2020-KW13,7.11,,,32.85,43.76,18.06,16.93,33.78,45.89,16.05,47.94,61.43,44.32,27.28,13.96,17.32,18.37,
2020-KW14,,,7.11,13.14,18.75,24.08,16.93,5.63,17.21,21.41,47.94,26.88,39.89,21.82,6.98,17.32,13.78,
2020-KW15,14.22,,7.11,19.71,6.25,54.18,16.93,11.26,17.21,37.46,55.93,15.36,4.43,32.74,13.96,51.96,22.96,
2020-KW16,,,7.11,6.57,18.75,6.02,11.29,,5.74,5.35,4.0,3.84,8.86,5.46,,8.66,18.37,
2020-KW17,,,,,6.25,6.02,,,,,,7.68,,,6.98,,13.78,
2020-KW18,,7.22,14.23,6.57,18.75,,,,11.47,,4.0,3.84,4.43,,,,,
2020-KW19,,,,,,6.02,5.64,,5.74,,,,,,6.98,,,
2020-KW20,,,,,,12.04,,,5.74,,,,,,,,4.59,
2020-KW21,,,,,,6.02,,,,,,3.84,,,,,,
2020-KW22,,,,,,,,5.63,,,,3.84,,,,,,
2020-KW23,,,,,,,,,,,,,4.43,,,,,
2020-KW24,,7.22,,,6.25,,16.93,5.63,,,4.0,,,,,,,
2020-KW25,,,,,,6.02,,11.26,5.74,5.35,4.0,,,5.46,,,4.59,
2020-KW26,,,,6.57,12.5,6.02,5.64,11.26,,16.05,4.0,,,,,,,
2020-KW27,,,,,,,5.64,5.63,,10.7,,3.84,,,,,,
2020-KW28,,,,,,,,,5.74,,,,,,,,4.59,
2020-KW29,,,7.11,13.14,12.5,,,,,5.35,,,,5.46,,,,
2020-KW30,7.11,,,6.57,,,,,,,4.0,,,,,,,
2020-KW31,,,,6.57,12.5,6.02,,,,5.35,4.0,3.84,,,,,4.59,
2020-KW32,7.11,21.67,21.34,59.12,25.0,6.02,22.58,11.26,34.42,26.76,11.99,3.84,,16.37,6.98,,4.59,
2020-KW33,,,,6.57,,6.02,11.29,5.63,5.74,,4.0,3.84,,5.46,,,,
2020-KW34,7.11,,7.11,,18.75,6.02,16.93,,5.74,10.7,,,,10.91,,,,
2020-KW35,,,7.11,,,,5.64,,,10.7,4.0,3.84,,,,,,
2020-KW36,,7.22,7.11,,,12.04,,5.63,22.94,16.05,4.0,3.84,,5.46,,,,
2020-KW37,,,,,18.75,12.04,11.29,5.63,,,4.0,3.84,,,,,,
2020-KW38,,,,6.57,6.25,6.02,,,,5.35,,15.36,,5.46,,,4.59,
2020-KW39,7.11,,7.11,6.57,37.51,6.02,,11.26,11.47,10.7,15.98,7.68,4.43,,,,,
2020-KW40,,,7.11,26.28,68.76,18.06,22.58,39.41,28.68,10.7,15.98,26.88,,,,,,
2020-KW41,,,35.56,19.71,56.26,42.14,39.51,22.52,28.68,69.57,19.98,7.68,26.59,16.37,6.98,8.66,18.37,
2020-KW42,,,28.45,39.42,68.76,84.28,16.93,22.52,22.94,37.46,35.96,26.88,22.16,27.28,13.96,,27.56,
2020-KW43,7.11,14.44,14.23,52.56,75.01,54.18,67.73,56.29,57.36,58.87,23.97,42.24,39.89,49.11,27.91,17.32,22.96,
2020-KW44,28.44,28.89,64.02,52.56,100.02,102.34,39.51,106.96,74.57,64.22,95.88,88.31,75.34,21.82,48.85,25.98,27.56,
2020-KW45,21.33,28.89,28.45,137.96,112.52,120.4,135.46,67.55,80.31,58.87,79.9,111.35,62.05,54.56,48.85,34.64,64.3,
2020-KW46,35.55,72.22,99.58,157.67,137.53,102.34,90.31,101.33,114.72,128.44,107.87,92.15,84.21,70.93,55.82,51.96,55.11,
2020-KW47,28.44,28.89,56.9,111.68,87.52,138.46,163.68,151.99,108.99,176.6,143.83,111.35,97.5,38.19,41.87,34.64,55.11,
2020-KW48,21.33,28.89,99.58,111.68,81.27,126.42,101.6,101.33,63.1,85.63,47.94,84.47,70.91,21.82,13.96,17.32,78.07,
2020-KW49,21.33,50.56,28.45,144.53,56.26,126.42,90.31,123.85,57.36,112.38,79.9,99.83,66.48,43.65,13.96,60.62,78.07,
2020-KW50,7.11,36.11,7.11,124.82,118.77,102.34,73.38,129.48,103.25,85.63,103.88,111.35,84.21,98.21,76.76,155.87,179.11,
2020-KW51,21.33,43.33,35.56,137.96,262.55,216.72,197.55,146.36,143.41,112.38,175.79,107.51,97.5,114.58,104.67,95.25,243.41,
2020-KW52,21.33,7.22,21.34,59.12,137.53,168.56,90.31,118.22,131.93,133.79,91.89,88.31,84.21,70.93,76.76,95.25,151.56,
2020-KW53,7.11,14.44,35.56,32.85,156.28,108.36,101.6,135.1,126.2,107.03,83.9,119.03,66.48,76.39,55.82,69.28,252.59,
2021-KW01,14.22,57.78,71.13,137.96,156.28,210.7,180.62,174.51,154.88,112.38,115.86,111.35,84.21,92.75,76.76,86.6,183.71,
2021-KW02,7.11,14.44,28.45,124.82,137.53,126.42,118.53,73.18,143.41,139.14,127.85,95.99,75.34,32.74,83.73,77.94,101.04,
2021-KW03,35.55,7.22,21.34,65.69,150.03,114.38,107.24,50.66,114.72,144.49,119.86,61.43,62.05,27.28,76.76,95.25,133.19,
2021-KW04,7.11,28.89,42.68,78.83,181.28,72.24,112.89,67.55,86.04,69.57,71.91,95.99,62.05,38.19,48.85,43.3,105.63,
2021-KW05,14.22,36.11,28.45,124.82,137.53,84.28,124.17,67.55,103.25,64.22,95.88,80.63,88.64,32.74,13.96,69.28,87.26,
2021-KW06,21.33,43.33,35.56,85.4,131.27,60.2,45.15,61.92,80.31,107.03,47.94,80.63,66.48,21.82,13.96,69.28,73.48,
2021-KW07,7.11,14.44,21.34,59.12,118.77,72.24,95.95,95.7,57.36,42.81,83.9,69.11,39.89,27.28,27.91,43.3,91.85,
2021-KW08,56.89,57.78,35.56,52.56,131.27,54.18,39.51,78.81,63.1,90.98,55.93,26.88,70.91,38.19,20.93,34.64,22.96,
2021-KW09,99.55,151.67,56.9,45.99,62.51,156.52,84.66,95.7,97.52,53.52,63.92,34.56,48.75,54.56,34.89,34.64,41.33,
2021-KW10,78.22,137.22,113.81,59.12,93.77,84.28,84.66,112.59,166.35,64.22,43.95,65.27,35.46,16.37,62.8,25.98,22.96,
2021-KW11,85.33,86.67,49.79,137.96,137.53,108.36,112.89,118.22,91.78,112.38,95.88,69.11,75.34,81.84,62.8,34.64,78.07,
2021-KW12,71.11,209.45,99.58,105.11,112.52,216.72,169.33,129.48,137.67,133.79,75.91,76.79,79.78,27.28,41.87,34.64,45.93,
2021-KW13,120.88,50.56,92.47,98.54,131.27,138.46,118.53,129.48,97.52,90.98,111.87,88.31,57.62,54.56,48.85,34.64,45.93,
2021-KW14,35.55,50.56,71.13,91.97,118.77,126.42,107.24,106.96,108.99,107.03,67.92,99.83,39.89,60.02,41.87,51.96,45.93,
2021-KW15,213.33,195.0,184.93,157.67,187.54,240.8,174.97,157.62,80.31,139.14,71.91,92.15,70.91,49.11,97.69,60.62,13.78,
2021-KW16,220.44,180.56,149.37,216.79,175.03,204.68,203.19,174.51,114.72,107.03,91.89,134.39,93.07,54.56,34.89,25.98,18.37,
2021-KW17,92.44,57.78,92.47,45.99,162.53,168.56,141.11,135.1,63.1,107.03,55.93,84.47,39.89,38.19,20.93,8.66,13.78,
2021-KW18,78.22,93.89,92.47,72.26,118.77,54.18,84.66,118.22,86.04,101.68,79.9,53.76,39.89,32.74,41.87,8.66,36.74,
2021-KW19,49.78,50.56,42.68,52.56,106.27,24.08,50.8,78.81,51.63,32.11,55.93,34.56,48.75,21.82,13.96,17.32,18.37,
2021-KW20,56.89,43.33,35.56,65.69,31.26,120.4,73.38,50.66,28.68,26.76,27.97,19.2,31.02,38.19,6.98,,,
2021-KW21,35.55,28.89,42.68,19.71,18.75,12.04,67.73,50.66,57.36,32.11,35.96,19.2,22.16,21.82,34.89,17.32,13.78,
2021-KW22,35.55,57.78,64.02,45.99,18.75,36.12,22.58,67.55,28.68,10.7,19.98,23.04,31.02,5.46,27.91,,87.26,
2021-KW23,,14.44,21.34,19.71,6.25,6.02,28.22,5.63,28.68,5.35,23.97,7.68,22.16,,13.96,17.32,18.37,
2021-KW24,14.22,,14.23,52.56,6.25,12.04,16.93,11.26,5.74,10.7,4.0,,4.43,,,,18.37,
