# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-03-15 07:47:22
# API-Download für Covid19-Inzidenzen in LK Stendal, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,27.8,49.46,14.8,,34.48,24.13,9.54,,,,,,
2020-KW13,,,,21.8,24.78,27.8,65.95,29.6,64.95,34.48,72.38,38.14,38.28,,60.39,20.57,84.53,
2020-KW14,,20.77,20.34,21.8,,,16.49,14.8,16.24,17.24,24.13,19.07,,11.09,15.1,,,
2020-KW15,,,,,,,,,16.24,,24.13,28.61,,,,20.57,31.7,
2020-KW16,,,,,24.78,27.8,16.49,,16.24,,12.06,,19.14,22.17,,20.57,,
2020-KW17,,,,21.8,49.56,27.8,16.49,14.8,16.24,17.24,12.06,9.54,9.57,,,,10.57,
2020-KW18,,,,21.8,,,,,,17.24,36.19,,,11.09,,,21.13,
2020-KW19,,,,,,,,,,,,9.54,,,,,,
2020-KW21,,,,,,,,,,,,,,11.09,,,,
2020-KW28,,,,,24.78,,,,,,,,,,,,,
2020-KW29,,,,,,,,,,,,9.54,,,,,,
2020-KW32,,,,,,,16.49,,,,,,,,,,,
2020-KW33,,20.77,,,,,,,,,,9.54,,,,,,
2020-KW34,,,,,,,,14.8,,,,,,,,,,
2020-KW36,,,,21.8,,,,,,,12.06,,,,,,,
2020-KW37,,,,21.8,,,,29.6,,17.24,,,,,,,,
2020-KW38,23.38,,,,,,,,,,,,,,,,,
2020-KW39,,,,21.8,,,,14.8,,,,,,,,,,
2020-KW40,,,,,,,,14.8,16.24,17.24,,9.54,,,,20.57,10.57,
2020-KW41,,,20.34,,,,16.49,,,,,,,,,,,
2020-KW42,70.13,,20.34,21.8,,,49.46,14.8,,,24.13,9.54,9.57,,15.1,,10.57,
2020-KW43,,,,21.8,,,,29.6,,68.97,12.06,38.14,9.57,,15.1,,10.57,
