# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-11-28 07:47:03
# API-Download für Covid19-Inzidenzen in LK Straubing-Bogen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,21.29,,18.3,,,,,,,,,15.99,,,,
2020-KW12,,41.65,,,36.6,18.52,,93.73,31.67,15.26,129.34,79.92,12.79,31.99,40.01,29.77,32.5,
2020-KW13,18.91,,42.59,19.95,18.3,55.55,30.97,15.62,31.67,76.32,47.03,91.33,38.37,15.99,40.01,,65.0,
2020-KW14,18.91,41.65,63.88,139.64,237.91,92.58,61.93,109.35,,198.44,329.22,182.66,76.75,63.97,180.05,297.69,162.5,
2020-KW15,,,21.29,99.74,201.31,92.58,30.97,31.24,79.19,91.59,141.09,91.33,63.96,31.99,120.04,89.31,32.5,
2020-KW16,,,,39.9,91.5,92.58,61.93,31.24,79.19,61.06,35.27,91.33,89.54,47.98,40.01,89.31,81.25,
2020-KW17,,,,39.9,54.9,37.03,15.48,31.24,47.51,91.59,82.3,45.67,12.79,31.99,100.03,89.31,487.51,
2020-KW18,18.91,41.65,,19.95,36.6,55.55,46.45,31.24,,15.26,35.27,11.42,12.79,15.99,,29.77,81.25,
2020-KW19,,,,,18.3,37.03,,15.62,,,,11.42,25.58,79.97,,29.77,32.5,
2020-KW20,,,,19.95,54.9,166.64,139.35,31.24,126.7,122.11,58.79,57.08,51.17,,,,16.25,
2020-KW21,,20.83,,,,,30.97,,,,11.76,45.67,25.58,,,,,
2020-KW22,18.91,20.83,42.59,19.95,,,15.48,,,15.26,11.76,11.42,25.58,15.99,,,,
2020-KW23,,,,,,,,,15.84,15.26,,,,,,,16.25,
2020-KW25,,,,,,,,15.62,,,,,,,,,,
2020-KW26,,,,,,37.03,15.48,,15.84,,11.76,,,,,,,
2020-KW27,,,,,,,,,,,,,12.79,,,,,
2020-KW28,18.91,,,,18.3,,15.48,,,,11.76,,12.79,,,,,
2020-KW29,,,,,,,,,15.84,,,,,,,,,
2020-KW30,,,,,18.3,,,,,,,,12.79,15.99,,,,
2020-KW31,,,,,,,,,,30.53,,,,,,,,
2020-KW32,,,,,,18.52,,,,,,,,,,,,
2020-KW33,,,42.59,,18.3,18.52,,,31.67,,,,,,,,,
2020-KW34,,,,,36.6,,15.48,15.62,,,,,12.79,,,,,
2020-KW35,,,,,18.3,74.06,15.48,,,,,,12.79,,,,,
2020-KW36,,,,,,,,15.62,,30.53,23.52,,,,,,,
2020-KW37,18.91,41.65,42.59,19.95,,,15.48,15.62,31.67,15.26,,,,,,,16.25,
2020-KW38,,,21.29,59.84,,,,,15.84,30.53,23.52,22.83,38.37,,,,16.25,
2020-KW39,,,21.29,,18.3,,,15.62,,,11.76,,,,,59.54,,
2020-KW40,,,,,54.9,37.03,,15.62,,,23.52,11.42,,,,,32.5,
2020-KW41,,,,19.95,18.3,18.52,15.48,,,61.06,11.76,,,,,,,
2020-KW42,,,21.29,19.95,73.2,55.55,46.45,46.86,31.67,76.32,47.03,22.83,,,20.01,,16.25,
2020-KW43,18.91,41.65,106.47,119.69,73.2,55.55,30.97,124.97,95.02,152.64,141.09,102.75,89.54,31.99,20.01,29.77,32.5,
2020-KW44,,41.65,21.29,119.69,146.41,148.12,77.41,140.59,79.19,106.85,94.06,102.75,63.96,31.99,40.01,,16.25,
2020-KW45,56.74,104.13,149.06,119.69,146.41,203.67,185.79,124.97,110.86,213.7,188.12,228.33,191.87,79.97,120.04,208.38,503.76,
2020-KW46,132.4,229.1,42.59,139.64,256.21,314.76,263.21,156.21,95.02,61.06,117.58,159.83,102.33,143.94,120.04,89.31,178.75,
2020-KW47,94.57,145.79,255.52,99.74,183.01,277.73,263.21,218.7,300.91,228.96,293.94,216.91,204.66,159.94,160.05,178.61,845.01,
2020-KW48,18.91,104.13,212.94,319.17,439.22,333.27,340.62,187.46,316.74,274.76,246.91,228.33,191.87,95.96,80.02,178.61,455.01,
2020-KW49,208.06,208.27,340.7,319.17,237.91,185.15,185.79,296.81,237.56,198.44,211.64,205.5,102.33,31.99,20.01,89.31,130.0,
2020-KW50,37.83,104.13,127.76,199.48,219.61,203.67,201.28,171.83,253.4,183.17,211.64,171.25,179.08,31.99,120.04,89.31,227.5,
