# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-12-11 08:07:33
# API-Download für Covid19-Inzidenzen in LK Sächsische Schweiz-Osterzgebirge, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,,5.58,,,,
2020-KW11,,,8.17,,,,7.99,,,13.62,5.77,4.89,5.22,11.17,13.52,,,
2020-KW12,9.73,,,,48.91,30.64,55.96,32.06,31.14,34.04,28.86,14.67,36.56,22.33,,16.15,4.21,
2020-KW13,29.2,16.09,8.17,18.15,73.37,91.92,55.96,19.23,49.83,102.13,75.04,24.45,41.79,11.17,27.04,32.29,,
2020-KW14,,16.09,16.33,54.44,85.6,15.32,23.98,44.88,37.37,61.28,75.04,48.89,47.01,39.08,20.28,16.15,75.79,
2020-KW15,,16.09,16.33,9.07,,30.64,39.97,12.82,,34.04,23.09,39.11,26.12,22.33,,,12.63,
2020-KW16,,16.09,8.17,,36.69,,7.99,6.41,6.23,6.81,17.32,,15.67,5.58,6.76,,8.42,
2020-KW17,,,,9.07,12.23,,,,6.23,6.81,11.54,9.78,5.22,5.58,6.76,8.07,12.63,
2020-KW18,,,,9.07,,,7.99,,6.23,,5.77,,,,,,,
2020-KW19,,,,,,,,,,6.81,,14.67,,11.17,,24.22,8.42,
2020-KW20,9.73,8.04,8.17,,,45.96,,6.41,12.46,6.81,5.77,9.78,,5.58,,,16.84,
2020-KW21,9.73,8.04,,9.07,,15.32,15.99,,18.69,,,4.89,26.12,,,,12.63,
2020-KW22,,,,,12.23,,7.99,6.41,,,,,,,,,,
2020-KW23,,,,,,,,,,,,,,5.58,,,,
2020-KW24,,,,,,15.32,,,,,,,,,,,4.21,
2020-KW27,,,,,,,,,,,,4.89,,,,,,
2020-KW29,,,,,,,,,6.23,,,,,,,,,
2020-KW31,,,,9.07,,,,,,,,,,5.58,,,,
2020-KW32,,,,9.07,,,,,,,,,,,,,,
2020-KW33,,8.04,,,,15.32,7.99,12.82,,6.81,,9.78,,,,,4.21,
2020-KW34,,,,,,,23.98,,6.23,,,,,5.58,,8.07,,
2020-KW35,,,,9.07,12.23,,,,6.23,6.81,11.54,4.89,,,,,4.21,
2020-KW36,,,8.17,27.22,12.23,15.32,,6.41,12.46,,,,,,,,,
2020-KW37,,,,18.15,36.69,15.32,,,6.23,,,,,,,,4.21,
2020-KW38,,,,27.22,36.69,,15.99,,6.23,13.62,,9.78,,,,,4.21,
2020-KW39,,,,,,45.96,23.98,,6.23,6.81,23.09,9.78,5.22,,,,8.42,
2020-KW40,,8.04,8.17,9.07,12.23,,7.99,25.65,12.46,13.62,17.32,4.89,20.89,5.58,20.28,8.07,12.63,
2020-KW41,19.47,24.13,130.68,9.07,24.46,61.28,23.98,6.41,18.69,6.81,57.72,44.0,15.67,27.91,6.76,80.73,21.05,
2020-KW42,29.2,24.13,49.0,45.37,36.69,76.6,79.94,44.88,80.97,47.66,80.81,63.56,52.23,16.75,6.76,56.51,164.21,
2020-KW43,9.73,40.22,24.5,45.37,146.74,107.23,103.92,76.94,105.88,115.74,98.13,112.45,62.68,50.25,40.57,161.47,235.79,
2020-KW44,58.4,40.22,24.5,99.81,97.83,260.43,175.87,121.82,155.71,170.21,242.44,190.68,161.92,94.91,87.89,145.32,197.89,
2020-KW45,19.47,64.36,114.34,199.63,256.8,183.83,159.88,269.28,280.28,340.42,363.66,312.9,276.83,173.07,128.46,314.86,366.32,
2020-KW46,38.93,24.13,171.52,127.04,293.49,199.15,271.8,250.05,218.0,279.14,334.8,264.01,334.29,139.57,162.26,258.35,391.58,
2020-KW47,48.67,64.36,187.85,335.74,330.17,306.38,359.73,326.99,398.62,537.86,404.07,547.58,417.86,234.48,263.68,484.4,880.0,
2020-KW48,38.93,96.54,196.02,344.81,403.55,551.49,383.72,320.57,454.68,510.63,496.43,464.47,349.96,212.15,250.16,427.89,791.58,
2020-KW49,97.33,257.44,171.52,471.85,635.89,382.98,599.56,577.03,554.34,619.56,658.06,591.59,475.31,351.72,283.96,516.69,1082.11,
