# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-12-24 08:12:09
# API-Download für Covid19-Inzidenzen in LK Südliche Weinstraße, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,18.8,,,,30.95,34.8,28.9,10.54,,,,,
2020-KW12,20.39,,,,40.4,18.8,15.89,14.96,45.96,30.95,92.79,19.27,21.07,,,,12.11,
2020-KW13,20.39,,20.38,20.11,80.8,18.8,31.77,74.8,30.64,46.43,69.59,19.27,31.61,38.31,,46.04,,
2020-KW14,20.39,19.15,20.38,20.11,40.4,75.22,15.89,89.76,61.28,46.43,46.39,28.9,42.14,25.54,14.86,23.02,48.44,
2020-KW15,,,,,,,15.89,,,15.48,11.6,28.9,21.07,38.31,,,,
2020-KW16,,,,,,18.8,15.89,,15.32,15.48,11.6,,10.54,,,,12.11,
2020-KW17,,,,,,,,,15.32,,23.2,,,,,,,
2020-KW18,,,20.38,,20.2,18.8,15.89,,,15.48,,,,,,,,
2020-KW19,,,,,,,,,,,,,,,,,12.11,
2020-KW22,,,,,,,,,,,,,,,,,12.11,
2020-KW25,,,20.38,,,,,,15.32,15.48,,,,,,,,
2020-KW30,,,,,,,,,,,,9.63,,,,23.02,,
2020-KW32,20.39,19.15,20.38,,,,15.89,14.96,,,,,,,,,,
2020-KW33,,,40.76,,,,,14.96,15.32,,11.6,,,,,,,
2020-KW34,,,20.38,40.21,,,,,,15.48,11.6,,,,,,,
2020-KW35,,,20.38,,,,,,,,,,,,,,,
2020-KW37,,,,20.11,40.4,,,,45.96,15.48,,9.63,,,,,,
2020-KW38,,19.15,,,,,15.89,,15.32,30.95,,,,,,,,
2020-KW39,,,,60.32,,,15.89,14.96,,,23.2,9.63,,,,23.02,,
2020-KW40,,,,,20.2,18.8,,,,15.48,11.6,,,,,,,
2020-KW41,,,,60.32,20.2,,,14.96,30.64,15.48,,,,,,,,
2020-KW42,61.18,,20.38,,40.4,18.8,,29.92,15.32,15.48,,,21.07,,,,,
2020-KW43,40.79,134.04,20.38,60.32,40.4,112.83,63.55,29.92,107.23,216.68,81.19,67.44,63.21,25.54,59.45,23.02,24.22,
2020-KW44,20.39,76.59,142.66,241.28,181.8,37.61,158.86,29.92,245.11,139.29,162.38,105.98,63.21,38.31,74.32,69.05,24.22,
2020-KW45,142.76,134.04,183.42,201.07,101.0,150.44,79.43,44.88,214.47,154.77,150.78,154.16,136.96,38.31,29.73,115.09,96.87,
2020-KW46,224.34,153.18,142.66,180.96,80.8,188.05,142.98,239.35,153.19,139.29,104.39,125.25,84.29,89.39,74.32,46.04,48.44,
