# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-03-19 08:01:54
# API-Download für Covid19-Inzidenzen in LK Tuttlingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,11.06,,,,,,,,,
2020-KW11,,,,26.34,,11.38,,,22.13,,29.75,9.04,,,,,10.51,
2020-KW12,,,,,12.52,11.38,20.75,,22.13,22.98,19.83,27.12,,12.33,,,,
2020-KW13,25.45,13.29,13.73,52.69,187.78,45.53,134.87,74.67,132.77,114.91,99.17,117.52,98.64,37.0,30.78,130.91,63.04,
2020-KW14,12.72,13.29,41.19,79.03,100.15,79.67,134.87,213.35,165.96,137.89,89.25,126.56,128.24,74.01,61.55,174.55,52.53,
2020-KW15,,,,13.17,25.04,11.38,72.62,42.67,110.64,45.96,89.25,27.12,78.91,12.33,46.16,218.19,115.57,
2020-KW16,,13.29,41.19,,87.63,,20.75,53.34,33.19,45.96,19.83,36.16,49.32,24.67,30.78,21.82,31.52,
2020-KW17,,,,13.17,87.63,34.15,,10.67,33.19,45.96,,18.08,19.73,24.67,46.16,218.19,231.13,
2020-KW18,,,,,,,10.37,,,,19.83,45.2,9.86,12.33,,65.46,52.53,
2020-KW19,,,,13.17,,,10.37,,22.13,,,18.08,,12.33,15.39,65.46,,
2020-KW20,,26.58,,,,,,,,,9.92,,,,,,21.01,
2020-KW21,,,,,,,,,,,,9.04,,,,,10.51,
2020-KW22,,,,,,,,,,,9.92,,9.86,,15.39,,,
2020-KW23,,,,,,,,,,,,,9.86,,,,10.51,
2020-KW24,,,,,,,,,,,,9.04,,,,,,
2020-KW25,,,,,,,,,,,,,,,,,10.51,
2020-KW26,12.72,,27.46,,,,,21.34,,,9.92,,9.86,12.33,,,10.51,
2020-KW27,,,,,,,10.37,,,,,,,12.33,,,,
2020-KW28,,,,26.34,,,,,,,,,,12.33,,,,
2020-KW29,,,,,12.52,,,,11.06,,,,,,,,,
2020-KW30,,,,13.17,12.52,,,,11.06,,9.92,,,,,,,
2020-KW31,,,,,,,,,,,9.92,,,,,,,
2020-KW33,,,,,,11.38,10.37,,,,,,,,,,,
2020-KW34,12.72,,,39.51,25.04,68.29,10.37,10.67,33.19,,,,9.86,12.33,,,,
2020-KW35,,13.29,27.46,39.51,12.52,11.38,31.12,32.0,,11.49,19.83,,9.86,,,,,
2020-KW36,25.45,,13.73,26.34,25.04,45.53,31.12,21.34,11.06,,9.92,,,,,,10.51,
2020-KW37,,,13.73,,,11.38,,,11.06,,9.92,18.08,9.86,,,,,
2020-KW38,,,,13.17,25.04,11.38,10.37,,22.13,,19.83,,,,,,,
2020-KW39,,,13.73,,37.56,11.38,,,22.13,,9.92,9.04,,,,21.82,,
2020-KW40,12.72,,,26.34,50.08,11.38,20.75,10.67,,11.49,9.92,9.04,9.86,,,,,
2020-KW41,12.72,13.29,82.38,26.34,,56.91,51.87,74.67,22.13,57.45,49.58,54.24,19.73,37.0,15.39,21.82,,
2020-KW42,,39.87,68.65,118.54,25.04,79.67,51.87,32.0,55.32,91.93,29.75,18.08,49.32,,,21.82,,
2020-KW43,12.72,26.58,82.38,171.23,112.67,45.53,114.12,74.67,110.64,80.44,59.5,45.2,39.46,12.33,,,,
2020-KW44,12.72,39.87,54.92,79.03,125.19,136.58,72.62,53.34,77.45,22.98,89.25,81.36,78.91,49.34,30.78,87.27,42.02,
2020-KW45,,26.58,82.38,158.06,225.34,147.97,186.74,160.01,132.77,218.33,138.84,144.64,69.05,98.67,30.78,43.64,105.06,
2020-KW46,25.45,66.45,164.76,158.06,250.38,216.26,197.12,192.02,154.9,160.87,208.26,99.44,78.91,49.34,184.66,43.64,273.16,
2020-KW47,38.17,53.16,178.49,276.6,300.45,250.41,269.74,309.36,331.92,287.27,238.01,262.16,118.37,123.34,76.94,152.73,357.21,
2020-KW48,50.9,93.03,343.24,302.94,588.38,443.9,269.74,213.35,320.86,402.18,277.67,280.24,197.29,74.01,107.72,218.19,189.11,
2020-KW49,12.72,172.77,96.11,197.57,162.74,273.17,238.61,234.69,243.41,241.31,208.26,189.84,128.24,37.0,92.33,152.73,388.73,
2020-KW50,50.9,106.32,205.94,421.48,312.97,250.41,228.24,256.02,354.05,241.31,277.67,189.84,226.88,98.67,92.33,196.37,283.67,
2020-KW51,50.9,146.19,137.3,316.11,350.53,261.79,311.24,256.02,331.92,183.86,317.34,244.08,197.29,148.01,46.16,152.73,388.73,
2020-KW52,25.45,26.58,68.65,210.74,375.56,261.79,248.99,245.35,331.92,367.71,297.51,352.56,187.42,172.68,92.33,305.46,399.23,
2020-KW53,25.45,79.74,123.57,158.06,187.78,273.17,238.61,245.35,188.09,287.27,347.09,244.08,217.02,98.67,169.27,240.0,315.18,
2021-KW01,12.72,26.58,82.38,118.54,187.78,204.88,165.99,160.01,287.67,195.35,247.92,117.52,236.74,111.01,138.49,174.55,325.69,
2021-KW02,63.62,,,52.69,312.97,193.5,155.62,245.35,188.09,91.93,158.67,135.6,157.83,111.01,107.72,109.09,210.12,
2021-KW03,25.45,26.58,54.92,65.86,175.26,273.17,93.37,128.01,143.83,172.36,228.09,162.72,138.1,135.68,123.11,196.37,199.62,
2021-KW04,38.17,26.58,41.19,52.69,200.3,227.64,186.74,85.34,143.83,137.89,198.34,81.36,78.91,24.67,169.27,109.09,168.1,
2021-KW05,63.62,,,118.54,112.67,102.44,145.24,96.01,88.51,137.89,128.92,117.52,108.51,86.34,46.16,43.64,52.53,
2021-KW06,12.72,13.29,54.92,65.86,75.11,56.91,83.0,64.01,121.7,34.47,59.5,117.52,69.05,24.67,46.16,21.82,31.52,
2021-KW07,,,13.73,79.03,87.63,56.91,51.87,21.34,11.06,22.98,69.42,63.28,19.73,,30.78,,31.52,
2021-KW08,38.17,39.87,13.73,65.86,37.56,45.53,51.87,42.67,44.26,114.91,89.25,81.36,29.59,86.34,138.49,65.46,157.59,
2021-KW09,25.45,26.58,54.92,131.71,137.71,56.91,51.87,42.67,99.58,137.89,49.58,72.32,49.32,24.67,76.94,43.64,189.11,
2021-KW10,76.35,53.16,13.73,79.03,187.78,136.58,145.24,181.35,154.9,114.91,99.17,63.28,69.05,24.67,30.78,65.46,94.56,
2021-KW11,63.62,93.03,41.19,158.06,162.74,136.58,217.86,192.02,55.32,149.38,79.34,108.48,69.05,98.67,76.94,152.73,42.02,
2021-KW12,63.62,119.61,68.65,79.03,100.15,136.58,134.87,277.36,165.96,114.91,99.17,99.44,98.64,49.34,,43.64,63.04,
2021-KW13,38.17,53.16,68.65,105.37,187.78,182.11,93.37,181.35,154.9,114.91,89.25,180.8,69.05,61.67,61.55,65.46,52.53,
2021-KW14,50.9,13.29,82.38,144.88,388.08,204.88,248.99,149.35,177.03,195.35,158.67,99.44,108.51,49.34,61.55,109.09,21.01,
2021-KW15,76.35,93.03,164.76,329.28,338.01,216.26,248.99,256.02,177.03,241.31,247.92,244.08,157.83,61.67,169.27,152.73,94.56,
2021-KW16,89.07,225.93,260.86,434.65,325.49,341.46,311.24,394.7,342.99,310.26,297.51,307.36,217.02,86.34,169.27,65.46,73.54,
2021-KW17,76.35,132.9,343.24,210.74,363.04,318.7,383.86,277.36,354.05,379.2,327.26,370.64,256.47,222.02,138.49,174.55,105.06,
2021-KW18,25.45,186.06,96.11,237.08,225.34,193.5,259.36,298.69,154.9,241.31,247.92,207.92,226.88,185.01,61.55,43.64,42.02,
2021-KW19,114.52,119.61,164.76,237.08,300.45,227.64,186.74,181.35,143.83,229.82,138.84,189.84,177.56,61.67,92.33,43.64,42.02,
2021-KW20,12.72,66.45,96.11,118.54,275.41,147.97,134.87,106.68,132.77,160.87,148.75,153.68,108.51,37.0,15.39,87.27,31.52,
2021-KW21,50.9,119.61,96.11,65.86,112.67,170.73,176.37,85.34,88.51,91.93,178.51,90.4,98.64,61.67,15.39,21.82,31.52,
2021-KW22,50.9,26.58,27.46,26.34,87.63,79.67,93.37,,66.38,68.95,69.42,45.2,49.32,,15.39,65.46,31.52,
2021-KW23,38.17,66.45,96.11,118.54,100.15,113.82,51.87,74.67,132.77,68.95,59.5,18.08,19.73,24.67,46.16,,31.52,
2021-KW24,12.72,53.16,,13.17,25.04,34.15,10.37,10.67,33.19,34.47,29.75,18.08,9.86,,,,10.51,
2021-KW25,,,,13.17,,11.38,,53.34,,22.98,,,,,,,,
2021-KW26,,26.58,,,,11.38,,,,,,18.08,,,,,,
2021-KW27,,,,,,,,,,,,9.04,,,15.39,,,
2021-KW28,,,27.46,39.51,12.52,22.76,10.37,,11.06,,,,,,,,,
2021-KW29,,,,65.86,25.04,56.91,10.37,,,11.49,19.83,,,24.67,,,,
2021-KW30,,,,,12.52,,,,11.06,,,,,,,,,
2021-KW31,,,,26.34,50.08,11.38,41.5,10.67,11.06,,29.75,9.04,19.73,,,,,
2021-KW32,,,27.46,52.69,87.63,56.91,62.25,,22.13,22.98,9.92,9.04,,,,,,
2021-KW33,,26.58,27.46,52.69,175.26,56.91,83.0,42.67,44.26,22.98,59.5,9.04,9.86,49.34,30.78,21.82,31.52,
2021-KW34,38.17,66.45,96.11,144.88,262.89,193.5,186.74,213.35,177.03,68.95,39.67,72.32,49.32,86.34,30.78,21.82,10.51,
2021-KW35,50.9,93.03,178.49,171.23,262.89,102.44,186.74,96.01,177.03,149.38,109.09,45.2,19.73,,,,10.51,
2021-KW36,38.17,66.45,205.94,118.54,200.3,147.97,145.24,192.02,221.28,80.44,19.83,81.36,19.73,12.33,15.39,43.64,63.04,
2021-KW37,63.62,186.06,205.94,210.74,100.15,125.2,134.87,160.01,121.7,80.44,89.25,45.2,69.05,74.01,61.55,,31.52,
2021-KW38,12.72,132.9,192.22,118.54,87.63,113.82,134.87,53.34,177.03,103.42,89.25,126.56,39.46,49.34,46.16,21.82,10.51,
2021-KW39,25.45,132.9,151.03,223.91,62.59,91.06,93.37,96.01,177.03,103.42,49.58,99.44,49.32,24.67,,43.64,63.04,
2021-KW40,,186.06,356.97,118.54,100.15,34.15,62.25,117.34,66.38,126.4,49.58,45.2,98.64,61.67,46.16,43.64,52.53,
2021-KW41,38.17,239.22,192.22,131.71,62.59,125.2,20.75,181.35,154.9,34.47,29.75,36.16,59.19,74.01,15.39,,52.53,
