# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-12-09 07:50:24
# API-Download für Covid19-Inzidenzen in LK Tübingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,5.21,,,,,7.89,,5.79,,,,,,
2020-KW10,,,,,,,,,,,6.33,,,,,,,
2020-KW11,17.35,9.33,19.71,42.71,20.84,59.86,35.65,26.65,60.98,31.56,69.67,28.93,19.75,,,14.18,,
2020-KW12,17.35,9.33,,8.54,31.26,59.86,11.88,39.98,45.73,71.02,69.67,34.72,52.66,57.52,42.92,56.71,90.51,
2020-KW13,43.38,27.99,19.71,93.97,255.32,201.33,249.53,186.58,121.95,370.87,405.33,335.64,250.15,197.23,236.07,382.82,286.63,
2020-KW14,,9.33,9.85,51.26,93.79,108.83,71.29,59.97,129.57,173.6,202.66,133.1,151.41,115.05,118.03,198.5,392.23,
2020-KW15,,9.33,,59.8,36.47,81.62,23.76,33.32,68.6,78.91,101.33,104.16,59.25,8.22,32.19,70.89,181.03,
2020-KW16,,,19.71,17.09,41.69,32.65,53.47,6.66,15.24,47.34,31.67,40.51,52.66,8.22,,85.07,143.31,
2020-KW17,,9.33,,,31.26,21.77,17.82,13.33,15.24,15.78,44.33,17.36,,32.87,,14.18,52.8,
2020-KW18,,,,17.09,15.63,10.88,,13.33,7.62,,19.0,5.79,6.58,8.22,,28.36,15.09,
2020-KW19,8.68,,,,10.42,10.88,17.82,,7.62,,6.33,,6.58,8.22,,,15.09,
2020-KW20,,,,,,16.32,23.76,19.99,7.62,23.67,,23.15,,8.22,10.73,14.18,30.17,
2020-KW21,17.35,,,,10.42,10.88,5.94,6.66,7.62,,,,6.58,,,,,
2020-KW22,,,,,5.21,,11.88,,,,6.33,5.79,,8.22,,,7.54,
2020-KW23,,,,,,,,,,,6.33,5.79,,,,,,
2020-KW24,,,,,,,5.94,,,,,,,,,,7.54,
2020-KW27,,,,,5.21,,,,,,12.67,,6.58,,,,,
2020-KW30,,,,,,,,,,,6.33,,,8.22,,,,
2020-KW31,,,,,,,,6.66,7.62,7.89,6.33,,,,,,,
2020-KW32,,,,,,,,,,,,,6.58,,,,,
2020-KW33,,9.33,,8.54,,,5.94,6.66,15.24,,12.67,,,,10.73,,,
2020-KW34,,,9.85,34.17,46.9,32.65,11.88,,15.24,31.56,25.33,,,,,,7.54,
2020-KW35,8.68,,19.71,25.63,31.26,5.44,59.41,53.31,,15.78,,,6.58,24.65,10.73,,,
2020-KW36,,18.66,9.85,51.26,31.26,27.21,5.94,19.99,15.24,63.13,12.67,5.79,13.17,8.22,21.46,,,
2020-KW37,17.35,18.66,39.42,34.17,36.47,16.32,17.82,46.64,15.24,23.67,25.33,34.72,13.17,,,,7.54,
2020-KW38,,9.33,19.71,,20.84,5.44,17.82,6.66,7.62,15.78,25.33,28.93,13.17,16.44,,,,
2020-KW39,,18.66,,,62.53,21.77,29.71,19.99,7.62,,,,13.17,8.22,21.46,,7.54,
2020-KW40,17.35,18.66,9.85,8.54,20.84,43.53,17.82,13.33,7.62,,19.0,,13.17,24.65,10.73,,7.54,
2020-KW41,,,187.24,42.71,10.42,21.77,41.59,6.66,15.24,55.24,50.67,46.29,32.91,16.44,21.46,,15.09,
2020-KW42,43.38,18.66,187.24,145.22,72.95,70.74,53.47,99.95,83.84,110.47,88.67,46.29,32.91,41.09,42.92,28.36,22.63,
2020-KW43,17.35,37.31,108.4,85.43,125.06,92.5,53.47,39.98,106.71,118.36,95.0,156.24,79.0,57.52,32.19,56.71,218.74,
2020-KW44,17.35,74.63,49.27,162.31,177.16,212.21,112.88,126.6,160.06,157.82,158.33,231.47,118.49,90.4,64.38,28.36,233.83,
2020-KW45,43.38,121.27,98.54,205.02,171.95,163.24,196.06,113.28,160.06,142.03,133.0,162.03,157.99,106.83,75.11,127.61,120.68,
2020-KW46,34.7,55.97,108.4,85.43,145.9,130.59,89.12,99.95,114.33,78.91,101.33,109.95,118.49,106.83,64.38,70.89,67.89,
2020-KW47,17.35,83.96,88.69,93.97,114.64,130.59,124.76,93.29,68.6,126.25,158.33,121.52,65.83,73.96,32.19,56.71,90.51,
2020-KW48,52.05,55.97,118.25,68.34,31.26,81.62,89.12,99.95,106.71,110.47,76.0,121.52,92.16,73.96,32.19,28.36,90.51,
2020-KW49,86.76,65.3,39.42,102.51,151.11,119.71,142.59,53.31,91.46,110.47,190.0,173.6,105.33,65.74,53.65,70.89,188.57,
2020-KW50,69.4,93.28,118.25,136.68,156.32,168.68,219.82,159.92,221.04,228.83,209.0,162.03,204.07,147.92,53.65,198.5,422.4,
2020-KW51,78.08,111.94,137.96,222.11,286.59,217.66,190.12,226.56,167.68,315.63,354.66,219.9,177.74,156.14,203.88,241.03,407.31,
