# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-10-21 05:52:42
# API-Download für Covid19-Inzidenzen in LK Uelzen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,12.92,,,,,,,
2020-KW12,,,,22.38,21.7,22.13,,,,17.6,12.92,23.98,,16.28,19.85,,,
2020-KW13,,,,22.38,,,,21.55,,,12.92,23.98,27.53,,19.85,,,
2020-KW14,,,,22.38,21.7,,19.96,21.55,,,,47.95,27.53,,,22.33,,
2020-KW15,,,,,,22.13,19.96,21.55,,,12.92,,,,,,12.21,
2020-KW16,26.71,,,,43.39,22.13,,,,17.6,,,13.76,,,,,
2020-KW17,,,,,,,39.92,,,,,,,,,,,
2020-KW19,,,,,21.7,,,,,,,,,,,,,
2020-KW24,,,,,21.7,,,,,,,,,,,,,
2020-KW29,80.13,,75.26,67.14,,,19.96,43.09,,,,11.99,,,,,,
2020-KW30,26.71,53.92,,,,44.27,,21.55,,,,,,,,,,
2020-KW31,26.71,26.96,50.18,22.38,,,39.92,,,17.6,,,,16.28,,,,
2020-KW33,,,,,,,19.96,,,,,,,,,,,
2020-KW34,,53.92,,22.38,,,,21.55,,,12.92,,,16.28,,,,
2020-KW35,,,,,,,19.96,43.09,,,,,,,39.7,,,
2020-KW36,,,,44.76,,44.27,,,,,12.92,,,,,,,
2020-KW37,,,,,,,,,20.0,,,,,,,,,
2020-KW38,26.71,26.96,25.09,,,,,,,,,23.98,,,,,,
2020-KW39,,,,,,,,,,,,,,16.28,,,,
2020-KW40,,,,,,,,,,17.6,,11.99,,,,,,
2020-KW41,,,,44.76,43.39,44.27,,,,,,,13.76,,,,,
2020-KW42,,,,,,22.13,,21.55,,,,,13.76,,,,,
2020-KW43,,,25.09,,65.09,,,,,,25.84,11.99,13.76,,,,,
2020-KW44,,,,22.38,108.48,110.67,39.92,43.09,20.0,17.6,38.76,23.98,41.29,,39.7,,,
2020-KW45,,,125.44,67.14,216.97,110.67,39.92,21.55,100.0,52.81,38.76,47.95,,,19.85,,12.21,
2020-KW46,26.71,80.88,100.35,134.29,86.79,22.13,39.92,43.09,60.0,35.21,77.52,71.93,55.06,,19.85,,24.41,
2020-KW47,26.71,53.92,150.53,134.29,151.88,154.94,119.76,193.92,60.0,88.01,64.6,167.83,55.06,48.83,99.25,111.63,305.18,
2020-KW48,26.71,53.92,100.35,,43.39,,39.92,21.55,20.0,17.6,38.76,,41.29,16.28,,,24.41,
2020-KW49,,80.88,25.09,22.38,21.7,44.27,139.72,86.19,20.0,35.21,12.92,11.99,,32.55,19.85,,12.21,
2020-KW50,,,,44.76,108.48,66.4,39.92,,60.0,35.21,12.92,23.98,13.76,,19.85,44.65,24.41,
2020-KW51,,,25.09,22.38,65.09,66.4,119.76,,40.0,17.6,,11.99,13.76,,39.7,22.33,12.21,
2020-KW52,106.84,80.88,25.09,67.14,21.7,132.8,59.88,43.09,20.0,17.6,77.52,23.98,27.53,,39.7,22.33,24.41,
2020-KW53,26.71,,25.09,,,88.53,159.68,107.74,20.0,52.81,77.52,11.99,68.82,32.55,19.85,22.33,12.21,
2021-KW01,26.71,,25.09,67.14,43.39,132.8,39.92,129.28,60.0,35.21,51.68,71.93,55.06,32.55,39.7,44.65,73.24,
2021-KW02,106.84,26.96,,111.91,195.27,132.8,79.84,,60.0,105.62,129.2,107.89,123.88,81.38,39.7,22.33,244.14,
2021-KW03,,26.96,,89.53,195.27,154.94,79.84,215.47,100.0,176.03,129.2,143.85,96.35,65.1,158.79,111.63,512.7,
2021-KW04,53.42,26.96,50.18,179.05,130.18,199.2,199.6,150.83,180.0,105.62,180.88,215.78,247.76,179.04,238.19,357.22,952.15,
2021-KW05,80.13,188.73,,44.76,151.88,199.2,119.76,215.47,100.0,123.22,77.52,155.84,178.94,65.1,99.25,223.26,646.97,
2021-KW06,53.42,26.96,,223.81,216.97,132.8,139.72,86.19,120.0,158.42,77.52,83.91,41.29,65.1,19.85,111.63,317.38,
2021-KW07,80.13,26.96,25.09,179.05,130.18,132.8,79.84,107.74,140.0,140.82,38.76,119.88,41.29,16.28,19.85,66.98,122.07,
2021-KW08,106.84,80.88,50.18,44.76,108.48,66.4,139.72,43.09,220.0,35.21,77.52,59.94,110.12,48.83,39.7,66.98,12.21,
2021-KW09,80.13,53.92,50.18,89.53,43.39,88.53,99.8,43.09,80.0,35.21,25.84,,41.29,16.28,,44.65,,
2021-KW10,186.97,161.77,125.44,89.53,108.48,110.67,199.6,64.64,100.0,35.21,25.84,11.99,41.29,,,,12.21,
2021-KW11,26.71,107.85,75.26,67.14,86.79,110.67,59.88,,40.0,52.81,12.92,35.96,13.76,,,,12.21,
2021-KW12,160.26,161.77,150.53,134.29,151.88,177.07,179.64,150.83,100.0,17.6,90.44,23.98,13.76,16.28,59.55,22.33,,
2021-KW13,213.68,80.88,100.35,156.67,238.66,110.67,79.84,86.19,100.0,176.03,129.2,83.91,27.53,48.83,39.7,22.33,61.04,
2021-KW14,,53.92,150.53,380.48,282.06,110.67,239.52,193.92,200.0,193.63,142.12,71.93,68.82,,99.25,22.33,48.83,
2021-KW15,133.55,269.61,301.05,223.81,173.57,177.07,59.88,107.74,40.0,70.41,155.04,59.94,55.06,130.21,39.7,66.98,73.24,
2021-KW16,53.42,80.88,125.44,111.91,43.39,66.4,79.84,129.28,40.0,88.01,51.68,95.9,110.12,65.1,19.85,44.65,61.04,
2021-KW17,53.42,80.88,,22.38,65.09,66.4,39.92,43.09,80.0,88.01,77.52,47.95,,,19.85,66.98,24.41,
2021-KW18,133.55,26.96,75.26,111.91,65.09,110.67,59.88,107.74,40.0,17.6,64.6,23.98,13.76,16.28,,44.65,48.83,
2021-KW19,,,,22.38,86.79,22.13,,43.09,20.0,17.6,51.68,35.96,,,19.85,,,
2021-KW20,53.42,26.96,25.09,44.76,43.39,22.13,19.96,43.09,,,51.68,,13.76,32.55,,,,
2021-KW21,,26.96,25.09,22.38,,,19.96,21.55,,17.6,,,13.76,,,,,
2021-KW22,,,,,,,,21.55,20.0,,,,,,,,,
2021-KW23,,,25.09,,,22.13,,,,17.6,,,,,,,,
2021-KW24,,26.96,,,,,19.96,,,,,,,,,,,
2021-KW25,,,,,,,,,,,12.92,,,,,,,
2021-KW27,,26.96,25.09,,,22.13,19.96,21.55,20.0,,,,,,,,,
2021-KW28,,,50.18,22.38,,,19.96,43.09,,17.6,12.92,,55.06,16.28,,22.33,,
2021-KW29,26.71,53.92,75.26,179.05,86.79,,19.96,43.09,20.0,,12.92,,,,,,,
2021-KW30,,,25.09,22.38,43.39,44.27,,21.55,20.0,35.21,,,,,,,,
2021-KW31,,26.96,,,43.39,44.27,,21.55,,17.6,,,,,,,,
2021-KW32,,,25.09,44.76,,44.27,19.96,,40.0,17.6,12.92,,,,19.85,,12.21,
2021-KW33,26.71,80.88,75.26,111.91,108.48,22.13,19.96,21.55,20.0,,12.92,11.99,,16.28,,,12.21,
2021-KW34,,53.92,,44.76,65.09,22.13,59.88,21.55,,,12.92,,13.76,,,,,
2021-KW35,160.26,134.81,100.35,156.67,130.18,44.27,79.84,86.19,40.0,35.21,77.52,,13.76,16.28,,,,
2021-KW36,26.71,53.92,50.18,44.76,21.7,44.27,79.84,43.09,40.0,35.21,12.92,11.99,13.76,,,,12.21,
