# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-12-25 07:59:14
# API-Download für Covid19-Inzidenzen in LK Unterallgäu, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,14.84,14.26,24.44,11.45,,,,33.77,26.35,8.09,28.14,11.78,,,,
2020-KW12,,,,14.26,61.1,22.9,21.25,,22.18,33.77,43.92,24.27,18.76,23.57,,17.63,38.46,
2020-KW13,12.73,,,57.04,73.32,22.9,63.76,32.7,22.18,22.51,70.27,88.99,56.28,70.71,68.67,70.5,76.91,
2020-KW14,12.73,,,42.78,122.2,68.69,31.88,32.7,11.09,22.51,43.92,32.36,46.9,70.71,68.67,70.5,38.46,
2020-KW15,,,,14.26,97.76,22.9,21.25,32.7,44.35,45.03,52.7,32.36,28.14,47.14,13.73,17.63,57.69,
2020-KW16,12.73,13.78,29.67,28.52,,11.45,10.63,,22.18,33.77,17.57,8.09,,11.78,13.73,52.88,9.61,
2020-KW17,,,14.84,14.26,,,,,,22.51,17.57,8.09,,,,52.88,9.61,
2020-KW19,,,,,,,,,,,,,9.38,,13.73,,,
2020-KW21,,,,,,,10.63,,,,,,,,,,,
2020-KW27,,,,,,,,,,,,,9.38,,,,,
2020-KW28,12.73,,14.84,14.26,24.44,22.9,31.88,,,,8.78,,,,,,,
2020-KW29,,,,,36.66,,,,,11.26,,,,,,,,
2020-KW30,,,,,,,,,,,,8.09,,,,,,
2020-KW32,,,,28.52,,,,,,,8.78,8.09,,,,,,
2020-KW33,,,,14.26,,11.45,,,,11.26,,8.09,,,,,,
2020-KW34,,,,42.78,73.32,22.9,31.88,,,33.77,8.78,,,11.78,13.73,,,
2020-KW35,12.73,,14.84,,24.44,,21.25,21.8,,22.51,,8.09,,,,,,
2020-KW36,,,29.67,,36.66,45.79,10.63,10.9,,,,8.09,18.76,,,,,
2020-KW37,,,29.67,,146.64,114.48,74.39,43.6,33.27,45.03,8.78,40.45,,11.78,13.73,17.63,67.3,
