# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-27 08:55:27
# API-Download für Covid19-Inzidenzen in LK Viersen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,,4.37,,,,,
2020-KW10,,,,,6.79,6.44,,,,,3.75,,,,,,,
2020-KW11,15.07,,,,,25.78,5.92,5.83,35.62,38.65,22.48,17.94,13.1,16.35,13.26,,,
2020-KW12,15.07,,7.54,6.97,33.95,19.33,41.44,23.32,47.5,66.26,59.93,46.64,21.84,5.45,13.26,23.7,18.28,
2020-KW13,7.53,,7.54,13.94,33.95,25.78,11.84,40.82,23.75,33.13,52.44,43.05,39.31,27.24,13.26,23.7,100.57,
2020-KW14,7.53,7.71,,,40.74,25.78,11.84,40.82,23.75,33.13,59.93,46.64,34.94,16.35,39.79,47.4,297.13,
2020-KW15,15.07,,7.54,20.91,13.58,32.22,23.68,34.99,53.43,16.57,37.46,28.7,13.1,5.45,6.63,31.6,86.85,
2020-KW16,7.53,,7.54,13.94,33.95,38.67,23.68,17.49,29.69,22.09,26.22,21.52,13.1,16.35,19.9,39.5,68.57,
2020-KW17,7.53,38.55,45.23,20.91,40.74,51.56,29.6,17.49,23.75,33.13,14.98,17.94,,5.45,,15.8,13.71,
2020-KW18,7.53,,,20.91,33.95,32.22,29.6,17.49,11.87,16.57,26.22,14.35,8.73,10.9,6.63,7.9,36.57,
2020-KW19,,,,,20.37,,11.84,17.49,5.94,11.04,3.75,17.94,4.37,,13.26,15.8,13.71,
2020-KW20,,7.71,,,27.16,6.44,11.84,5.83,5.94,5.52,,,,5.45,,,9.14,
2020-KW21,,,,,,6.44,,5.83,11.87,5.52,,17.94,4.37,5.45,,,4.57,
2020-KW22,,,,,6.79,,5.92,5.83,,5.52,,,,,,7.9,4.57,
2020-KW23,,,7.54,,,,,,,,,,8.73,,,,,
2020-KW24,,,,,,,,,,5.52,7.49,3.59,,,,,,
2020-KW25,,,,13.94,6.79,12.89,,,,11.04,3.75,3.59,4.37,,,,4.57,
2020-KW26,7.53,,,13.94,,6.44,5.92,,,5.52,3.75,3.59,,,,,,
2020-KW27,,,,,,,5.92,,,,,,,5.45,,7.9,,
2020-KW28,7.53,,,,,,17.76,,,,,,8.73,,,,,
2020-KW29,7.53,7.71,15.08,,,6.44,11.84,11.66,11.87,,,10.76,4.37,,,,,
2020-KW30,15.07,,7.54,13.94,6.79,12.89,5.92,11.66,5.94,5.52,,7.17,,,,,,
2020-KW31,7.53,,7.54,20.91,20.37,25.78,,5.83,29.69,22.09,7.49,10.76,,,,,4.57,
2020-KW32,7.53,38.55,22.61,27.87,20.37,6.44,11.84,,23.75,,3.75,7.17,4.37,,,,,
2020-KW33,15.07,23.13,,41.81,6.79,32.22,11.84,11.66,,11.04,11.24,3.59,13.1,5.45,,,4.57,
2020-KW34,,15.42,7.54,6.97,13.58,6.44,5.92,11.66,11.87,,,10.76,4.37,,,,,
2020-KW35,,,,13.94,6.79,32.22,29.6,40.82,11.87,16.57,,10.76,,5.45,6.63,,,
2020-KW36,,,7.54,13.94,27.16,25.78,11.84,29.16,,27.61,7.49,7.17,4.37,5.45,,,,
2020-KW37,,,,13.94,40.74,6.44,11.84,11.66,5.94,11.04,18.73,7.17,26.2,5.45,,,,
2020-KW38,7.53,7.71,,34.84,,19.33,11.84,23.32,5.94,11.04,,10.76,8.73,,,7.9,,
2020-KW39,,,,6.97,20.37,38.67,5.92,17.49,11.87,5.52,7.49,7.17,8.73,,,,,
2020-KW40,15.07,,,20.91,33.95,19.33,5.92,5.83,41.56,27.61,14.98,10.76,,10.9,,,4.57,
2020-KW41,7.53,30.84,15.08,34.84,40.74,19.33,53.28,34.99,11.87,16.57,11.24,39.46,21.84,5.45,,7.9,13.71,
2020-KW42,15.07,23.13,45.23,20.91,40.74,38.67,41.44,17.49,29.69,27.61,44.95,43.05,13.1,27.24,6.63,15.8,9.14,
2020-KW43,45.2,46.26,37.69,97.56,169.73,83.78,112.49,87.47,89.06,182.22,89.9,57.4,87.35,27.24,86.22,63.2,86.85,
2020-KW44,67.8,77.1,82.92,348.43,278.36,116.0,112.49,186.6,178.12,193.26,161.07,147.09,96.08,81.73,66.32,55.3,118.85,
2020-KW45,60.26,92.51,90.46,216.03,210.47,283.56,165.77,151.61,130.62,138.05,116.12,125.56,74.25,43.59,53.06,94.79,105.14,
2020-KW46,120.53,107.93,203.53,257.84,373.41,270.67,201.29,157.44,273.11,138.05,161.07,161.43,96.08,70.83,39.79,79.0,45.71,
2020-KW47,30.13,69.39,97.99,174.22,183.31,232.0,171.69,145.78,142.49,187.74,134.85,104.04,82.98,59.93,79.59,71.1,54.85,
2020-KW48,45.2,115.64,75.38,153.31,169.73,135.34,195.37,122.46,154.37,204.31,134.85,154.26,131.02,103.52,19.9,71.1,77.71,
2020-KW49,105.46,123.35,135.69,174.22,291.94,148.22,195.37,116.62,178.12,138.05,202.28,161.43,100.45,92.62,126.01,110.59,306.27,
2020-KW50,37.66,92.51,105.53,236.93,271.57,251.34,195.37,233.25,178.12,248.48,194.79,157.85,161.59,125.31,119.38,197.49,351.98,
2020-KW51,45.2,84.8,82.92,167.25,244.42,277.12,278.25,163.27,296.86,270.57,247.23,190.13,170.33,141.66,106.11,197.49,402.27,
2020-KW52,52.73,84.8,45.23,111.5,271.57,264.23,219.05,192.43,166.24,226.39,134.85,190.13,152.86,152.56,139.28,189.59,521.12,
2020-KW53,45.2,77.1,52.77,139.37,264.78,167.56,201.29,174.94,118.74,143.57,146.09,175.78,135.39,130.76,99.48,126.39,324.56,
2021-KW01,52.73,53.97,128.15,153.31,251.21,154.67,177.61,204.09,166.24,198.79,134.85,132.74,122.29,92.62,72.95,157.99,274.27,
2021-KW02,45.2,46.26,37.69,90.59,149.37,116.0,82.88,157.44,59.37,82.83,142.34,104.04,96.08,38.14,72.95,86.89,132.57,
2021-KW03,90.4,30.84,22.61,90.59,129.0,109.56,118.41,128.29,83.12,99.39,56.19,64.57,65.51,70.83,53.06,102.69,146.28,
2021-KW04,37.66,7.71,22.61,41.81,142.58,154.67,112.49,116.62,65.31,104.91,104.88,89.69,56.78,43.59,112.75,86.89,114.28,
2021-KW05,45.2,23.13,37.69,97.56,88.26,116.0,65.12,64.14,94.99,55.22,63.68,46.64,52.41,43.59,59.69,71.1,118.85,
2021-KW06,22.6,30.84,22.61,55.75,74.68,83.78,47.36,11.66,53.43,55.22,41.2,78.92,21.84,5.45,33.16,79.0,59.43,
2021-KW07,15.07,,22.61,41.81,101.84,45.11,41.44,40.82,17.81,27.61,33.71,64.57,26.2,43.59,53.06,47.4,91.42,
2021-KW08,22.6,30.84,45.23,27.87,88.26,25.78,41.44,46.65,53.43,38.65,37.46,43.05,48.04,65.38,13.26,31.6,41.14,
2021-KW09,37.66,23.13,30.15,27.87,88.26,58.0,88.8,46.65,71.25,77.31,63.68,60.99,48.04,27.24,19.9,15.8,41.14,
