# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-12-22 07:47:59
# API-Download für Covid19-Inzidenzen in LK Vogelsbergkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,19.62,,,,,,,,,,,,,
2020-KW11,,,,,,,,17.31,,,,10.41,,,,,,
2020-KW12,,,,,39.23,19.88,69.47,34.63,,15.81,49.1,62.46,,,,26.37,,
2020-KW13,22.85,,,,,,34.74,34.63,33.61,63.24,73.65,41.64,32.33,39.72,,26.37,11.26,
2020-KW14,,22.81,,20.82,58.85,19.88,17.37,17.31,,15.81,24.55,52.05,64.67,,31.37,,11.26,
2020-KW15,,22.81,,,58.85,59.65,52.11,17.31,16.8,15.81,24.55,10.41,21.56,,31.37,,22.51,
2020-KW16,,,,,39.23,19.88,17.37,,16.8,,12.27,20.82,10.78,,15.68,,,
2020-KW17,,22.81,,41.63,,,,17.31,16.8,15.81,12.27,20.82,,,15.68,,,
2020-KW18,,,,,,,,,,,12.27,,,,,,,
2020-KW27,,,,,,19.88,,,,,,,,,,,,
2020-KW28,,,,,19.62,19.88,17.37,,,,,,,,,,,
2020-KW29,,,,,39.23,,17.37,,,15.81,,,,,,,,
2020-KW30,,,,,58.85,19.88,17.37,,,,12.27,,,,,,,
2020-KW31,22.85,45.62,,,19.62,39.77,,,,,,10.41,,13.24,,,,
2020-KW32,22.85,,,,,,,34.63,16.8,,,,,,,,,
2020-KW34,,,22.26,41.63,58.85,19.88,,17.31,33.61,15.81,,,,,,,,
2020-KW35,,,,20.82,,19.88,,17.31,,,,,,,,,,
2020-KW36,,22.81,,,,,17.37,17.31,,,12.27,,,,,,,
2020-KW37,,,,,,,52.11,,,,,,,,,,,
2020-KW38,,,,,19.62,19.88,,,16.8,15.81,12.27,10.41,,,,,11.26,
2020-KW39,,,44.53,,19.62,,,,,15.81,12.27,,,,,,,
2020-KW40,,,,41.63,39.23,19.88,17.37,,16.8,15.81,,,10.78,,,,,
2020-KW41,,,,,19.62,19.88,,,,15.81,,,,,,,11.26,
2020-KW42,,,,41.63,39.23,19.88,17.37,51.94,,,61.37,20.82,32.33,,,26.37,,
2020-KW43,45.7,,,62.45,78.47,119.3,104.21,86.57,67.22,110.68,110.47,10.41,10.78,26.48,47.05,26.37,11.26,
2020-KW44,,,44.53,83.26,176.55,159.06,69.47,121.2,16.8,94.87,98.2,124.93,86.23,105.91,31.37,105.48,22.51,
2020-KW45,22.85,,66.79,104.08,176.55,79.53,69.47,17.31,134.44,63.24,49.1,62.46,10.78,13.24,,26.37,11.26,
2020-KW46,22.85,114.04,44.53,124.9,58.85,79.53,86.84,103.89,134.44,79.05,135.02,41.64,21.56,13.24,31.37,26.37,67.53,
2020-KW47,91.39,,111.32,124.9,215.78,198.83,173.69,121.2,67.22,142.3,98.2,135.34,75.45,13.24,47.05,105.48,67.53,
2020-KW48,22.85,,66.79,41.63,137.32,139.18,52.11,86.57,100.83,110.68,135.02,114.52,86.23,26.48,62.73,131.85,258.87,
