# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-02-09 07:49:06
# API-Download für Covid19-Inzidenzen in LK Vorpommern-Greifswald, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,9.23,,,,,
2020-KW11,,,,,,,,,,,6.29,,,,7.4,,,
2020-KW12,,,,,27.88,77.71,13.85,20.07,7.03,,25.15,9.58,4.62,10.23,,,,
2020-KW13,,,,10.31,9.29,33.3,,6.69,,16.83,31.44,14.37,9.23,,7.4,10.46,34.56,
2020-KW14,,9.97,,10.31,37.17,,6.92,,14.06,,6.29,4.79,23.08,,,41.86,24.69,
2020-KW15,,,,,,,,,7.03,16.83,18.86,4.79,9.23,25.57,7.4,31.39,44.44,
2020-KW16,,,,,9.29,11.1,13.85,,,,18.86,4.79,4.62,5.11,,10.46,4.94,
2020-KW17,,,,,,,,,,,18.86,,,15.34,,,9.88,
2020-KW18,,,,10.31,,,,,,8.42,6.29,,,5.11,,,14.81,
2020-KW19,,,,,,,,,,,,4.79,,,,,,
2020-KW22,,,,,,,,,,,6.29,,,,,,,
2020-KW23,,,,,,,6.92,,,,,,,,,,,
2020-KW25,,,,,,11.1,,,,,,,,,,,,
2020-KW27,,,,,,,,,,,,,4.62,,,,,
2020-KW29,,29.92,,,,,,,,8.42,,4.79,,,,,,
2020-KW31,,,,,9.29,,,,14.06,,,,,,,,4.94,
2020-KW32,,,,20.62,9.29,22.2,6.92,6.69,14.06,,12.57,,,,,,,
2020-KW33,,,,,,,,6.69,,,,4.79,,,7.4,,,
2020-KW34,,,,,9.29,11.1,,,7.03,8.42,,,,,,,,
2020-KW37,,,,10.31,9.29,22.2,6.92,20.07,,,,,,,,,,
2020-KW38,,,,,,,,6.69,,,,,,,,,,
2020-KW39,,,,,18.58,,,,,,,,9.23,,7.4,10.46,4.94,
2020-KW40,,,,,9.29,44.41,20.77,20.07,14.06,8.42,6.29,,4.62,,,10.46,,
2020-KW41,11.03,,,51.56,,33.3,6.92,13.38,7.03,33.67,18.86,4.79,4.62,5.11,14.81,,4.94,
2020-KW42,11.03,59.85,,20.62,9.29,,34.62,13.38,,16.83,18.86,4.79,9.23,30.68,,,14.81,
2020-KW43,33.09,29.92,78.73,41.25,65.05,33.3,27.69,66.9,35.16,67.34,88.02,43.1,36.93,,,10.46,19.75,
2020-KW44,11.03,19.95,88.58,195.94,111.51,33.3,20.77,60.21,119.54,126.25,62.87,67.05,41.55,71.59,88.85,83.71,39.5,
2020-KW45,33.09,99.74,127.94,92.81,102.22,88.81,90.01,153.86,154.7,117.84,106.88,91.0,83.09,35.79,22.21,31.39,14.81,
