# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-05-29 08:52:48
# API-Download für Covid19-Inzidenzen in LK Weilheim-Schongau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,9.53,,,12.37,,,9.98,
2020-KW11,,14.56,,,,40.16,,11.88,,12.67,19.06,,9.84,24.73,14.61,17.26,9.98,
2020-KW12,14.48,29.12,15.33,30.29,71.74,120.47,24.4,47.53,24.29,152.0,133.44,50.75,49.22,24.73,29.22,34.52,19.96,
2020-KW13,,,30.65,121.16,43.05,53.54,73.2,95.06,60.71,139.34,152.51,93.05,19.69,61.83,58.44,51.79,19.96,
2020-KW14,72.41,14.56,15.33,75.72,57.39,53.54,158.61,95.06,85.0,25.33,142.98,76.13,88.59,61.83,58.44,86.31,,
2020-KW15,14.48,,,45.43,28.7,66.93,12.2,23.77,24.29,12.67,19.06,25.38,,12.37,43.83,34.52,29.94,
2020-KW16,,29.12,30.65,,,,12.2,,24.29,12.67,19.06,25.38,9.84,,,,9.98,
2020-KW17,,,,,,,12.2,11.88,12.14,12.67,,8.46,,,,,,
2020-KW18,,,,,,,,,,,,,9.84,24.73,,17.26,,
2020-KW19,,,,,,,,,,12.67,,,,,,,,
2020-KW20,,,,,14.35,,,,,,,,9.84,,14.61,,,
2020-KW21,14.48,14.56,15.33,,57.39,26.77,24.4,,12.14,12.67,9.53,,,12.37,,,9.98,
2020-KW25,,,,,,,,11.88,12.14,,,8.46,,,,,,
2020-KW26,,,,,,13.39,,,,,,,,,,,,
2020-KW28,,,,,,,,,,,9.53,,,,,,,
2020-KW29,,,,30.29,43.05,,,,,,,,,,,,,
2020-KW30,,,,,,26.77,12.2,,,,,,,,,,,
2020-KW31,,,,,,26.77,,,12.14,,,,,,,,,
2020-KW32,14.48,14.56,,,,,,,,,,8.46,,,,,,
2020-KW33,,,,,,,,11.88,12.14,,,,,,,,,
2020-KW34,,,,15.14,43.05,13.39,,11.88,24.29,12.67,,,,,,,,
2020-KW35,,14.56,,60.58,14.35,13.39,12.2,,,12.67,9.53,,,,,17.26,,
2020-KW36,,,15.33,45.43,28.7,,,,48.57,25.33,19.06,,19.69,,,,,
2020-KW37,28.96,,30.65,30.29,57.39,13.39,24.4,23.77,12.14,25.33,19.06,8.46,9.84,,,17.26,,
2020-KW38,,14.56,45.98,30.29,57.39,40.16,24.4,23.77,,38.0,19.06,25.38,9.84,12.37,,,,
2020-KW39,28.96,,15.33,30.29,14.35,13.39,12.2,,36.43,38.0,9.53,8.46,9.84,12.37,14.61,,,
2020-KW40,,,,,,26.77,12.2,,12.14,,9.53,,,,,,,
2020-KW41,,,,15.14,14.35,,24.4,11.88,24.29,25.33,19.06,8.46,9.84,,14.61,17.26,19.96,
2020-KW42,28.96,,45.98,90.87,86.09,174.01,122.01,35.65,12.14,38.0,85.79,8.46,49.22,37.1,43.83,,9.98,
2020-KW43,14.48,58.24,45.98,45.43,200.88,160.63,24.4,83.18,60.71,50.67,66.72,118.42,68.91,160.77,160.71,138.1,79.85,
2020-KW44,72.41,58.24,107.28,166.59,344.37,254.33,231.81,154.48,109.28,126.67,200.17,253.76,137.81,49.47,58.44,34.52,169.67,
2020-KW45,86.89,87.36,122.61,363.47,330.02,361.41,207.41,225.77,267.14,152.0,190.64,312.98,255.94,148.4,160.71,138.1,129.75,
2020-KW46,101.37,101.93,214.56,227.17,301.32,187.4,109.81,142.59,109.28,50.67,190.64,186.09,49.22,74.2,29.22,138.1,59.88,
2020-KW47,57.93,58.24,61.3,196.88,186.53,200.78,158.61,106.95,72.86,152.0,133.44,84.59,127.97,86.57,14.61,103.57,49.9,
2020-KW48,43.45,87.36,168.58,166.59,229.58,200.78,73.2,95.06,170.0,164.67,95.32,50.75,59.06,74.2,14.61,69.05,19.96,
2020-KW49,57.93,101.93,91.95,196.88,315.67,227.55,170.81,83.18,109.28,164.67,152.51,67.67,88.59,37.1,58.44,34.52,59.88,
2020-KW50,130.34,218.41,199.23,333.18,215.23,254.33,207.41,249.54,303.56,367.34,247.83,84.59,137.81,61.83,116.88,51.79,99.81,
2020-KW51,72.41,87.36,168.58,136.3,272.63,120.47,158.61,142.59,121.43,152.0,200.17,50.75,118.12,86.57,102.27,103.57,39.92,
2020-KW52,14.48,29.12,15.33,151.45,157.84,147.24,134.21,106.95,85.0,76.0,133.44,126.88,39.37,123.67,87.66,69.05,249.52,
2020-KW53,43.45,29.12,91.95,136.3,186.53,107.08,97.61,83.18,109.28,164.67,95.32,84.59,49.22,61.83,73.05,69.05,129.75,
2021-KW01,28.96,145.61,45.98,242.31,172.18,174.01,268.42,118.83,230.71,266.01,171.57,152.26,98.44,61.83,131.49,172.62,169.67,
2021-KW02,28.96,43.68,45.98,90.87,129.14,80.31,109.81,106.95,109.28,88.67,85.79,109.96,59.06,61.83,58.44,155.36,159.69,
2021-KW03,,,30.65,90.87,43.05,66.93,12.2,71.3,72.86,50.67,66.72,33.84,68.91,,58.44,34.52,89.83,
2021-KW04,14.48,14.56,,106.01,71.74,66.93,36.6,71.3,36.43,50.67,47.66,50.75,59.06,37.1,58.44,34.52,29.94,
2021-KW05,28.96,29.12,30.65,15.14,71.74,107.08,85.4,35.65,48.57,50.67,66.72,42.29,49.22,37.1,29.22,51.79,79.85,
2021-KW06,,29.12,,75.72,143.49,26.77,48.8,71.3,36.43,12.67,66.72,42.29,39.37,61.83,,,39.92,
2021-KW07,14.48,29.12,30.65,30.29,100.44,40.16,48.8,47.53,48.57,38.0,28.6,50.75,39.37,37.1,14.61,34.52,39.92,
2021-KW08,57.93,43.68,30.65,75.72,100.44,,97.61,35.65,24.29,38.0,66.72,67.67,19.69,24.73,,51.79,29.94,
2021-KW09,43.45,29.12,61.3,90.87,186.53,80.31,158.61,83.18,85.0,101.34,57.19,42.29,39.37,12.37,29.22,,,
2021-KW10,28.96,116.49,107.28,90.87,172.18,120.47,85.4,106.95,85.0,101.34,47.66,50.75,19.69,61.83,43.83,51.79,69.87,
2021-KW11,43.45,14.56,91.95,151.45,57.39,160.63,134.21,23.77,133.57,88.67,66.72,50.75,68.91,24.73,29.22,34.52,89.83,
2021-KW12,86.89,87.36,260.54,393.76,301.32,133.86,134.21,202.01,145.71,190.01,66.72,67.67,88.59,49.47,14.61,69.05,89.83,
2021-KW13,28.96,29.12,45.98,181.74,272.63,66.93,73.2,166.36,48.57,177.34,114.38,67.67,19.69,37.1,73.05,34.52,89.83,
