# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-27 05:58:57
# API-Download für Covid19-Inzidenzen in LK Wetteraukreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,5.49,15.77,10.42,19.24,7.41,3.89,,,,,,
2020-KW12,,,,6.56,,,,5.26,36.48,9.62,22.23,19.45,9.55,16.87,14.22,7.18,5.0,
2020-KW13,,,,13.11,18.4,,5.49,15.77,31.27,28.86,29.64,27.23,14.33,28.12,,21.54,5.0,
2020-KW14,6.93,,6.87,13.11,30.67,17.68,32.92,21.03,10.42,28.86,48.16,11.67,33.43,5.62,21.34,21.54,19.99,
2020-KW15,,,,,12.27,5.89,10.97,10.51,20.85,14.43,40.75,27.23,4.78,16.87,7.11,28.72,29.99,
2020-KW16,,,,,12.27,11.79,21.95,21.03,10.42,19.24,7.41,7.78,4.78,5.62,,7.18,84.97,
2020-KW17,,,6.87,,,5.89,5.49,5.26,15.63,19.24,3.7,7.78,,,,7.18,15.0,
2020-KW18,,,,,,5.89,,5.26,,,3.7,3.89,,,,7.18,10.0,
2020-KW19,,,,,6.13,,5.49,5.26,5.21,4.81,,,4.78,,,7.18,,
2020-KW20,13.87,7.04,6.87,13.11,6.13,11.79,5.49,,5.21,14.43,3.7,,9.55,11.25,,,,
2020-KW21,27.74,28.17,27.48,6.56,6.13,5.89,10.97,21.03,5.21,,,,4.78,5.62,7.11,7.18,,
2020-KW22,,,6.87,,,,10.97,10.51,5.21,4.81,,7.78,,,,,,
2020-KW23,13.87,7.04,,,,11.79,10.97,5.26,,,3.7,3.89,9.55,,,,10.0,
2020-KW24,,,,,,,,5.26,5.21,,3.7,3.89,,,,14.36,,
2020-KW25,,,,6.56,6.13,,5.49,,,,,,,,,,,
2020-KW26,,,,6.56,,,5.49,,,,3.7,,,,,,,
2020-KW27,,,,,6.13,5.89,,,5.21,,3.7,3.89,,,7.11,,,
2020-KW28,6.93,,,,6.13,11.79,5.49,,,,,7.78,,,,,,
2020-KW29,6.93,21.12,,,12.27,5.89,5.49,5.26,5.21,4.81,,3.89,4.78,,,,,
2020-KW30,6.93,,,,6.13,,10.97,5.26,5.21,4.81,,3.89,4.78,,,,,
2020-KW31,,,13.74,19.67,12.27,5.89,,,20.85,,11.11,11.67,9.55,,,7.18,,
2020-KW32,6.93,,,13.11,6.13,17.68,5.49,10.51,10.42,9.62,,3.89,,5.62,7.11,,5.0,
2020-KW33,,,13.74,19.67,30.67,5.89,10.97,10.51,31.27,,11.11,,,,,,,
2020-KW34,6.93,7.04,13.74,13.11,30.67,41.26,10.97,10.51,5.21,,14.82,11.67,19.1,11.25,,,,
2020-KW35,,14.08,13.74,6.56,,11.79,21.95,5.26,,19.24,11.11,3.89,,5.62,,,,
2020-KW36,,,6.87,,24.54,11.79,16.46,5.26,5.21,9.62,3.7,,9.55,5.62,7.11,14.36,,
2020-KW37,13.87,7.04,6.87,6.56,12.27,5.89,21.95,15.77,5.21,9.62,3.7,3.89,9.55,,7.11,7.18,,
2020-KW38,,14.08,,6.56,6.13,17.68,10.97,10.51,5.21,4.81,11.11,,,5.62,,,,
2020-KW39,,,13.74,6.56,18.4,35.36,38.41,10.51,10.42,14.43,7.41,23.34,9.55,11.25,,7.18,5.0,
2020-KW40,,7.04,6.87,6.56,6.13,41.26,49.38,5.26,10.42,4.81,3.7,15.56,9.55,,7.11,7.18,,
2020-KW41,20.8,7.04,13.74,39.34,42.94,11.79,27.43,57.83,62.54,19.24,48.16,27.23,28.65,16.87,7.11,,10.0,
2020-KW42,20.8,14.08,41.22,45.9,116.54,76.62,65.84,68.34,57.32,57.72,25.93,19.45,33.43,5.62,7.11,21.54,15.0,
2020-KW43,13.87,35.21,34.35,104.92,208.55,117.88,126.2,89.37,62.54,81.77,62.98,54.46,19.1,28.12,35.56,28.72,29.99,
2020-KW44,41.61,35.21,48.09,72.13,208.55,218.08,126.2,184.0,135.49,158.73,100.03,85.58,90.73,67.5,64.01,114.86,124.96,
2020-KW45,13.87,105.62,103.06,170.49,257.62,182.72,164.61,126.17,130.28,91.39,114.84,163.38,105.06,67.5,92.46,78.97,79.98,
2020-KW46,20.8,42.25,89.32,157.38,282.16,247.55,219.48,215.54,171.97,177.97,177.82,155.6,157.59,78.74,56.9,86.15,89.97,
2020-KW47,69.34,91.54,158.02,249.18,306.69,170.93,192.04,252.34,130.28,168.35,140.78,194.5,143.26,118.12,135.14,57.43,104.97,
2020-KW48,34.67,63.37,116.8,163.93,190.15,206.29,203.02,152.46,166.76,177.97,163.01,163.38,128.93,78.74,92.46,114.86,144.96,
2020-KW49,55.47,70.41,82.45,229.51,208.55,135.57,164.61,157.71,130.28,163.54,129.66,186.72,157.59,67.5,99.57,86.15,314.91,
2020-KW50,55.47,84.5,82.45,288.52,208.55,229.87,224.97,184.0,286.62,211.64,170.41,190.61,171.91,163.11,227.6,402.01,1809.46,
2020-KW51,27.74,77.45,54.96,216.39,312.83,277.02,257.89,231.31,229.3,245.31,233.39,202.28,233.99,224.98,128.02,186.65,524.84,
2020-KW52,20.8,14.08,48.09,118.03,184.02,129.67,137.17,168.23,182.4,120.25,185.23,190.61,186.24,146.24,142.25,308.69,934.72,
2020-KW53,34.67,35.21,34.35,65.57,153.35,123.78,224.97,189.25,119.86,125.06,88.91,140.04,138.48,73.12,56.9,100.5,374.89,
2021-KW01,41.61,28.17,48.09,98.36,269.89,212.19,164.61,157.71,125.07,182.78,166.71,147.82,191.01,84.37,106.69,157.93,629.81,
2021-KW02,27.74,21.12,27.48,157.38,134.94,165.04,230.45,152.46,161.55,173.16,148.19,128.37,143.26,101.24,113.8,100.5,454.86,
2021-KW03,20.8,63.37,75.58,118.03,147.21,94.31,175.58,141.94,140.71,144.3,144.48,108.92,157.59,89.99,99.57,122.04,294.91,
